tanggal,NAV,AUM
2013-06-05,976.36,NA
2013-06-14,932.62,NA
2013-06-24,865.02,NA
2013-07-01,926.33,NA
2013-07-10,877.0,NA
2013-07-18,945.46,NA
2013-07-29,913.08,NA
2013-08-12,925.67,NA
2013-08-14,936.95,NA
2013-08-22,830.24,NA
2013-09-02,832.52,NA
2013-09-09,861.04,NA
2013-09-18,928.34,NA
2013-09-26,922.72,NA
2013-10-07,913.4,NA
2013-10-16,955.95,NA
2013-10-22,952.56,NA
2013-10-31,950.59,NA
2013-11-11,944.04,NA
2013-11-18,937.01,NA
2013-11-26,911.29,NA
2013-12-05,908.05,NA
2013-12-16,887.62,NA
2013-12-23,902.14,NA
2014-01-02,928.06,NA
2014-01-09,925.6,NA
2014-01-20,964.87,NA
2014-01-27,954.9,NA
2014-02-04,968.3,NA
2014-02-13,999.71,NA
2014-02-24,1021.91,NA
2014-03-03,1020.15,NA
2014-03-11,1040.98,NA
2014-03-20,1039.19,NA
2014-04-01,1066.73,NA
2014-04-07,1076.37,NA
2014-04-15,1060.28,NA
2014-04-24,1072.16,NA
2014-05-02,1074.53,NA
2014-05-12,1093.14,NA
2014-05-20,1070.97,NA
2014-05-30,1073.96,NA
2014-06-06,1079.57,NA
2014-06-16,1071.33,NA
2014-06-24,1069.5,NA
2014-07-03,1078.24,NA
2014-07-11,1103.29,NA
2014-07-21,1118.66,NA
2014-08-04,1114.66,NA
2014-08-07,1100.87,NA
2014-08-15,1119.42,NA
2014-08-25,1130.59,NA
2014-09-02,1133.78,NA
2014-09-10,1140.41,NA
2014-09-19,1160.69,NA
2014-09-29,1153.0,NA
2014-10-07,1132.12,NA
2014-10-15,1122.66,NA
2014-10-24,1147.37,NA
2014-11-03,1159.85,NA
2014-11-11,1141.92,NA
2014-11-19,1165.53,NA
2014-11-28,1172.57,NA
2014-12-08,1160.82,NA
2014-12-15,1156.72,NA
2014-12-24,1166.35,NA
2015-01-02,1188.08,NA
2015-01-12,1180.24,NA
2015-01-19,1166.23,NA
2015-01-28,1184.8,NA
2015-02-06,1198.86,NA
2015-02-09,1200.87,NA
2015-02-16,1183.75,NA
2015-02-23,1205.47,NA
2015-03-02,1212.45,NA
2015-03-04,1201.48,NA
2015-03-10,1203.01,NA
2015-03-13,1189.3,NA
2015-03-17,1194.08,NA
2015-03-23,1194.36,NA
2015-03-25,1187.31,NA
2015-03-30,1197.22,NA
2015-04-01,1209.39,NA
2015-04-08,1213.89,NA
2015-04-09,1226.11,NA
2015-04-16,1194.85,NA
2015-04-17,1193.37,NA
2015-04-24,1201.78,NA
2015-04-27,1162.04,NA
2015-05-04,1148.3,NA
2015-05-11,1156.09,NA
2015-05-13,1171.32,NA
2015-05-18,1171.15,NA
2015-05-22,1186.98,NA
2015-05-25,1179.81,NA
2015-06-01,1155.57,NA
2015-06-08,1114.96,NA
2015-06-15,1065.13,NA
2015-06-17,1093.93,NA
2015-06-23,1094.56,NA
2015-06-26,1090.77,NA
2015-06-30,1085.73,NA
2015-07-06,1086.14,NA
2015-07-07,1086.74,NA
2015-07-13,1077.54,NA
2015-07-15,1063.6,NA
2015-07-22,1070.61,NA
2015-07-30,1037.1,NA
2015-08-06,1051.02,NA
2015-08-10,1041.06,NA
2015-08-14,1008.69,NA
2015-08-18,979.82,NA
2015-08-21,929.25,NA
2015-08-26,896.84,NA
2015-08-31,960.05,NA
2015-09-03,945.75,NA
2015-09-07,915.51,NA
2015-09-14,940.1,NA
2015-09-21,938.72,NA
2015-09-28,881.42,NA
2015-09-30,897.8,NA
2015-10-05,929.54,NA
2015-10-08,950.54,NA
2015-10-13,952.13,NA
2015-10-19,966.24,NA
2015-10-20,968.87,NA
2015-10-26,990.26,NA
2015-10-28,975.29,NA
2015-11-03,954.72,NA
2015-11-04,969.55,NA
2015-11-12,931.45,NA
2015-11-19,935.1,NA
2015-11-23,944.37,NA
2015-11-26,956.91,NA
2015-11-30,919.62,NA
2015-12-04,935.42,NA
2015-12-08,925.53,NA
2015-12-11,908.41,NA
2015-12-17,945.89,NA
2015-12-21,931.38,NA
2015-12-28,946.06,NA
2016-01-04,939.2,NA
2016-01-11,921.56,NA
2016-01-12,935.23,NA
2016-01-18,926.24,NA
2016-01-21,922.33,NA
2016-01-25,941.8,NA
2016-02-01,961.37,NA
2016-02-02,953.54,NA
2016-02-09,996.46,NA
2016-02-16,991.9,NA
2016-02-17,998.74,NA
2016-02-24,969.2,NA
2016-02-25,965.23,NA
2016-03-03,1009.65,NA
2016-03-07,1009.28,NA
2016-03-10,1005.0,NA
2016-03-14,1032.44,NA
2016-03-18,1037.82,NA
2016-03-22,1031.62,NA
2016-03-28,1013.21,NA
2016-03-31,1029.22,NA
2016-04-04,1030.85,NA
2016-04-11,1031.4,NA
2016-04-18,1043.33,NA
2016-04-25,1049.32,NA
2016-04-26,1033.82,NA
2016-05-02,1024.16,NA
2016-05-09,1014.41,NA
2016-05-13,1017.66,NA
2016-05-16,1008.89,NA
2016-05-23,1010.33,NA
2016-05-24,1004.33,NA
2016-05-31,1023.4,NA
2016-06-08,1051.3,NA
2016-06-09,1040.67,NA
2016-06-15,1029.61,NA
2016-06-17,1035.46,NA
2016-06-23,1045.76,NA
2016-06-27,1038.27,NA
2016-06-30,1071.39,NA
2016-07-11,1079.9,NA
2016-07-14,1087.15,NA
2016-07-15,1092.91,NA
2016-07-22,1115.85,NA
2016-07-25,1118.54,NA
2016-08-01,1163.32,NA
2016-08-08,1179.25,NA
2016-08-09,1173.72,NA
2016-08-15,1141.54,NA
2016-08-18,1175.55,NA
2016-08-22,1168.59,NA
2016-08-26,1167.38,NA
2016-08-29,1148.64,NA
2016-09-05,1144.75,NA
2016-09-13,1109.44,NA
2016-09-20,1132.77,NA
2016-09-21,1143.99,NA
2016-09-28,1157.16,NA
2016-09-30,1138.54,NA
2016-10-05,1155.13,NA
2016-10-10,1137.94,NA
2016-10-13,1136.82,NA
2016-10-18,1156.71,NA
2016-10-20,1155.01,NA
2016-10-26,1155.83,NA
2016-10-28,1164.63,NA
2016-11-04,1148.75,NA
2016-11-14,1079.97,NA
2016-11-21,1079.88,NA
2016-11-22,1092.3,NA
2016-11-28,1068.41,NA
2016-11-30,1071.52,NA
2016-12-05,1106.32,NA
2016-12-09,1106.2,NA
2016-12-13,1103.63,NA
2016-12-19,1077.32,NA
2016-12-27,1053.35,NA
2017-01-03,1091.28,NA
2017-01-04,1100.77,NA
2017-01-11,1098.58,NA
2017-01-13,1093.86,NA
2017-01-18,1097.85,NA
2017-01-23,1087.05,NA
2017-01-25,1101.61,NA
2017-01-30,1102.59,NA
2017-02-02,1117.7,NA
2017-02-08,1117.25,NA
2017-02-09,1124.06,NA
2017-02-17,1133.77,NA
2017-02-24,1141.26,NA
2017-02-27,1137.66,NA
2017-03-06,1143.47,NA
2017-03-13,1137.8,NA
2017-03-15,1147.76,NA
2017-03-20,1172.6,NA
2017-03-24,1195.29,NA
2017-03-27,1191.32,NA
2017-04-03,1211.27,NA
2017-04-10,1218.94,NA
2017-04-18,1202.87,NA
2017-04-20,1195.77,NA
2017-04-25,1214.27,NA
2017-04-28,1214.02,NA
2017-05-03,1202.2,NA
2017-05-08,1223.13,NA
2017-05-10,1208.61,NA
2017-05-15,1218.33,NA
2017-05-18,1204.14,NA
2017-05-24,1218.38,NA
2017-05-26,1218.33,NA
2017-06-02,1226.88,NA
2017-06-09,1214.4,NA
