tanggal,NAV,AUM
2019-01-01,NA,960000000000.0
2019-01-02,1001.01,NA
2019-01-04,1001.25,NA
2019-01-08,1001.87,NA
2019-01-14,1002.57,NA
2019-01-18,1003.19,NA
2019-01-22,1003.83,NA
2019-01-28,1004.7,NA
2019-01-31,1005.14,NA
2019-02-01,NA,990000000000.0
2019-02-06,1006.13,NA
2019-02-11,1006.78,NA
2019-02-14,1007.16,NA
2019-02-18,1007.69,NA
2019-02-25,1008.72,NA
2019-02-28,1009.13,NA
2019-03-01,NA,1120000000000.0
2019-03-04,1009.66,NA
2019-03-11,1010.7,NA
2019-03-13,1010.98,NA
2019-03-18,1011.69,NA
2019-03-22,1012.25,NA
2019-03-27,1012.89,NA
2019-04-01,1013.58,1280000000000.0
2019-04-05,1014.11,NA
2019-04-10,1014.8,NA
2019-04-15,1015.48,NA
2019-04-22,1016.42,NA
2019-04-23,1016.57,NA
2019-04-29,1017.35,NA
2019-05-01,NA,740000000000.0
2019-05-02,1017.72,NA
2019-05-07,1018.4,NA
2019-05-13,1019.21,NA
2019-05-16,1019.63,NA
2019-05-21,1020.27,NA
2019-05-27,1020.71,NA
2019-05-31,1021.32,NA
2019-06-01,NA,440750000000.0
2019-06-10,1022.74,NA
2019-06-12,1023.0,NA
2019-06-17,1023.56,NA
2019-06-24,1024.44,NA
2019-06-26,1024.69,NA
2019-07-01,1025.39,92990000000.0
2019-07-05,1026.06,NA
2019-07-10,1026.76,NA
2019-07-15,1027.54,NA
2019-07-19,1025.08,NA
2019-07-24,1025.86,NA
2019-07-29,1026.28,NA
2019-08-01,NA,1140000000000.0
2019-08-02,1026.34,NA
2019-08-06,1026.6,NA
2019-08-12,1027.31,NA
2019-08-15,1027.73,NA
2019-08-20,1028.18,NA
2019-08-26,1028.93,NA
2019-08-29,1029.48,NA
2019-09-01,NA,1270000000000.0
2019-09-03,1030.06,NA
2019-09-09,1030.87,NA
2019-09-12,1031.3,NA
2019-09-16,1031.84,NA
2019-09-23,1032.25,NA
2019-09-25,1032.57,NA
2019-09-30,1033.04,NA
2019-10-01,NA,1390000000000.0
2019-10-07,1033.88,NA
2019-10-09,1034.15,NA
2019-10-14,1034.76,NA
2019-10-18,1035.24,NA
2019-10-23,1035.86,NA
2019-10-28,1036.88,NA
2019-11-01,1037.3,1270000000000.0
2019-11-05,1037.68,NA
2019-11-11,1038.35,NA
2019-11-15,1038.85,NA
2019-11-19,1013.76,NA
2019-11-25,1036.39,NA
2019-11-28,1036.77,NA
2019-12-01,NA,1570000000000.0
2019-12-03,1037.32,NA
2019-12-09,1038.04,NA
2019-12-12,1038.41,NA
2019-12-17,1039.02,NA
2019-12-23,1039.76,NA
2019-12-26,1040.13,NA
2019-12-30,1040.59,NA
2020-01-01,NA,1790000000000.0
2020-01-06,1041.41,NA
2020-01-08,1041.64,NA
2020-01-13,1042.25,NA
2020-01-17,1042.73,NA
2020-01-22,1043.34,NA
2020-01-27,1043.91,NA
2020-01-31,1044.35,NA
2020-02-01,NA,1760000000000.0
2020-02-05,1044.76,NA
2020-02-06,1044.87,NA
2020-02-10,1045.26,NA
2020-02-13,1045.6,NA
2020-02-14,1045.7,NA
2020-02-17,1046.05,NA
2020-02-18,1046.16,NA
2020-02-21,1046.51,NA
2020-02-24,1046.85,NA
2020-02-28,1047.28,NA
2020-03-01,NA,560000000000.0
2020-03-03,1047.71,NA
2020-03-09,1048.37,NA
2020-03-10,1048.5,NA
2020-03-12,1048.72,NA
2020-03-16,1049.16,NA
2020-03-17,1049.14,NA
2020-03-18,1049.25,NA
2020-03-23,1049.44,NA
2020-03-26,1049.78,NA
2020-03-30,1050.46,NA
2020-04-01,NA,640000000000.0
2020-04-02,1050.77,NA
2020-04-06,1051.15,NA
2020-04-09,1051.48,NA
2020-04-13,1051.88,NA
2020-04-17,1052.25,NA
2020-04-20,1052.55,NA
2020-04-21,1052.64,NA
2020-04-22,1052.74,NA
