tanggal,NAV,AUM
2017-11-13,999.44,NA
2017-11-20,1002.08,NA
2017-11-24,1005.64,NA
2017-11-29,1004.84,NA
2017-12-01,NA,230910000000.0
2017-12-04,1007.28,NA
2017-12-11,1010.35,NA
2017-12-15,1012.91,NA
2017-12-21,1015.56,NA
2017-12-27,1017.36,NA
2018-01-01,NA,241820000000.0
2018-01-02,1020.32,NA
2018-01-08,1026.01,NA
2018-01-11,1025.74,NA
2018-01-17,1028.45,NA
2018-01-22,1028.72,NA
2018-01-29,1030.89,NA
2018-02-01,NA,247900000000.0
2018-02-02,1032.62,NA
2018-02-07,1033.03,NA
2018-02-13,1034.35,NA
2018-02-19,1033.52,NA
2018-02-23,1032.07,NA
2018-03-01,1033.24,360620000000.0
2018-03-06,1034.35,NA
2018-03-12,1035.17,NA
2018-03-19,1041.43,NA
2018-03-23,1041.74,NA
2018-03-28,1041.26,NA
2018-04-01,NA,368000000000.0
2018-04-02,1042.6,NA
2018-04-09,1044.15,NA
2018-04-13,1045.44,NA
2018-04-19,1042.75,NA
2018-04-24,1040.97,NA
2018-04-30,1040.69,NA
2018-05-01,NA,368580000000.0
2018-05-07,1040.71,NA
2018-05-11,1039.24,NA
2018-05-16,1040.4,NA
2018-05-21,1038.94,NA
2018-05-28,1037.43,NA
2018-06-01,NA,365490000000.0
2018-06-04,1039.21,NA
2018-06-06,1040.16,NA
2018-06-20,1042.27,NA
2018-06-22,1038.36,NA
2018-06-28,1030.1,NA
2018-07-01,NA,362450000000.0
2018-07-03,1030.07,NA
2018-07-09,1033.14,NA
2018-07-16,1020.23,NA
2018-07-19,1014.82,NA
2018-07-25,1008.5,NA
2018-07-30,1007.4,NA
2018-08-01,NA,360640000000.0
2018-08-06,1007.37,NA
2018-08-10,1009.69,NA
2018-08-16,1005.19,NA
2018-08-21,1007.47,NA
2018-08-27,1005.46,NA
2018-09-01,NA,357390000000.0
2018-09-03,999.59,NA
2018-09-06,991.74,NA
2018-09-12,992.51,NA
2018-09-17,992.5,NA
2018-09-24,988.45,NA
2018-09-28,990.9,NA
2018-10-01,NA,356730000000.0
2018-10-03,993.29,NA
2018-10-09,992.17,NA
2018-10-15,989.47,NA
2018-10-19,987.06,NA
2018-10-25,988.12,NA
2018-10-30,988.38,NA
2018-11-01,NA,364290000000.0
2018-11-05,990.73,NA
2018-11-12,997.74,NA
2018-11-15,999.5,NA
2018-11-21,1003.27,NA
2018-11-26,1007.4,NA
2018-12-01,NA,372490000000.0
2018-12-03,1012.41,NA
2018-12-07,1010.61,NA
2018-12-12,1011.18,NA
2018-12-18,1009.62,NA
2018-12-26,1013.62,NA
2019-01-01,NA,373760000000.0
2019-01-02,1016.04,NA
2019-01-03,1016.46,NA
2019-01-09,1019.03,NA
2019-01-14,1019.44,NA
2019-01-21,1020.18,NA
2019-01-25,1020.22,NA
2019-01-30,1020.87,NA
2019-02-01,NA,380730000000.0
2019-02-06,1021.36,NA
2019-02-11,1020.09,NA
2019-02-15,1019.61,NA
2019-02-21,1022.31,NA
2019-02-26,1024.92,NA
2019-03-01,NA,378480000000.0
2019-03-04,1027.33,NA
2019-03-11,1028.87,NA
2019-03-14,1030.63,NA
2019-03-20,1037.15,NA
2019-03-25,1040.07,NA
2019-04-01,1046.03,377440000000.0
2019-04-05,1046.36,NA
2019-04-10,1045.59,NA
2019-04-16,1047.25,NA
2019-04-22,1047.96,NA
2019-04-29,1046.42,NA
2019-05-01,NA,375870000000.0
2019-05-02,1046.64,NA
2019-05-07,1045.97,NA
2019-05-13,1043.84,NA
2019-05-20,1040.05,NA
2019-05-24,1047.7,NA
2019-05-29,1051.26,NA
2019-06-01,NA,373890000000.0
2019-06-10,1059.14,NA
2019-06-14,1063.44,NA
2019-06-20,1070.16,NA
2019-06-25,1074.33,NA
2019-07-01,1077.25,381150000000.0
2019-07-08,1090.4,NA
2019-07-11,1094.14,NA
2019-07-17,1100.69,NA
2019-07-22,1103.13,NA
2019-07-29,1094.73,NA
2019-08-01,NA,382190000000.0
2019-08-02,1090.75,NA
2019-08-07,1094.92,NA
2019-08-13,1094.17,NA
2019-08-19,1099.81,NA
2019-08-26,1103.99,NA
2019-08-29,1100.46,NA
2019-09-01,NA,363310000000.0
2019-09-03,1100.16,NA
2019-09-09,1102.14,NA
2019-09-16,1104.15,NA
2019-09-20,1107.1,NA
2019-09-25,1107.96,NA
2019-09-30,1111.18,NA
2019-10-01,NA,381260000000.0
2019-10-07,1113.43,NA
2019-10-11,1114.45,NA
2019-10-17,1118.25,NA
2019-10-22,1120.73,NA
2019-10-28,1124.64,NA
2019-11-01,NA,395930000000.0
2019-11-04,1128.7,NA
2019-11-07,1128.85,NA
2019-11-13,1129.97,NA
2019-11-18,1132.7,NA
2019-11-25,1133.69,NA
2019-11-29,1134.72,NA
2019-12-01,NA,402030000000.0
2019-12-04,1131.43,NA
2019-12-10,1133.71,NA
2019-12-16,1131.69,NA
2019-12-23,1132.45,NA
2019-12-26,1133.16,NA
2020-01-01,NA,418370000000.0
2020-01-02,1135.76,NA
2020-01-06,1134.75,NA
2020-01-13,1138.42,NA
2020-01-17,1142.1,NA
2020-01-22,1144.14,NA
2020-01-27,1147.28,NA
2020-02-01,NA,409830000000.0
2020-02-03,1143.74,NA
2020-02-06,1147.99,NA
2020-02-07,1149.11,NA
2020-02-10,1148.45,NA
2020-02-13,1157.95,NA
2020-02-17,1158.59,NA
2020-02-18,1159.98,NA
2020-02-21,1160.38,NA
2020-02-24,1158.35,NA
2020-02-28,1139.32,NA
2020-03-01,NA,396990000000.0
2020-03-02,1142.55,NA
2020-03-03,1143.37,NA
2020-03-05,1163.18,NA
2020-03-09,1140.45,NA
2020-03-10,1140.62,NA
2020-03-11,1143.16,NA
2020-03-16,1141.3,NA
2020-03-18,1136.73,NA
2020-03-23,1109.89,NA
2020-03-26,1105.23,NA
2020-03-27,1106.56,NA
2020-03-30,1109.75,NA
2020-04-01,1108.66,405570000000.0
2020-04-02,1108.43,NA
2020-04-06,1108.66,NA
2020-04-07,1107.06,NA
2020-04-09,1109.93,NA
2020-04-13,1112.0,NA
2020-04-17,1118.59,NA
2020-04-20,1123.97,NA
2020-04-21,1126.39,NA
2020-04-23,1126.77,NA
2020-04-24,1127.13,NA
2020-04-28,1125.01,NA
2020-05-01,NA,408670000000.0
2020-05-04,1126.88,NA
2020-05-05,1124.48,NA
2020-05-11,1122.31,NA
2020-05-13,1123.86,NA
2020-05-15,1127.75,NA
2020-05-18,1130.69,NA
2020-05-20,1134.5,NA
2020-05-26,1136.39,NA
2020-05-28,1121.45,NA
2020-06-01,NA,408480000000.0
2020-06-02,1135.72,NA
2020-06-04,1140.19,NA
2020-06-05,1137.21,NA
2020-06-08,1132.14,NA
2020-06-11,1137.91,NA
2020-06-12,1135.68,NA
2020-06-16,1137.81,NA
2020-06-19,1137.93,NA
2020-06-22,1138.65,NA
2020-06-23,1139.2,NA
2020-06-29,1144.07,NA
2020-07-01,1144.43,422180000000.0
2020-07-02,1144.5,NA
2020-07-06,1145.51,NA
2020-07-08,1149.05,NA
2020-07-13,1155.17,NA
2020-07-15,1155.46,NA
2020-07-20,1152.65,NA
2020-07-23,1162.42,NA
2020-07-24,1163.97,NA
2020-07-27,1163.83,NA
2020-07-29,1162.36,NA
2020-07-30,1165.47,NA
2020-08-01,NA,430510000000.0
2020-08-03,1164.61,NA
2020-08-04,1164.01,NA
2020-08-07,1168.81,NA
2020-08-10,1169.69,NA
2020-08-11,1171.66,NA
2020-08-14,1173.21,NA
2020-08-18,1173.12,NA
2020-08-24,1176.41,NA
2020-08-25,1178.94,NA
2020-08-26,1176.76,NA
2020-08-31,1175.63,NA
2020-09-01,NA,407120000000.0
2020-09-02,1176.23,NA
2020-09-07,1178.05,NA
2020-09-10,1175.62,NA
2020-09-11,1174.09,NA
2020-09-14,1177.18,NA
2020-09-16,1178.83,NA
2020-09-17,1179.03,NA
2020-09-21,1180.65,NA
2020-09-24,1182.78,NA
2020-09-28,1184.92,NA
2020-10-01,NA,417850000000.0
2020-10-02,1183.93,NA
2020-10-06,1187.45,NA
2020-10-08,1186.69,NA
2020-10-09,1186.19,NA
2020-10-13,1189.17,NA
2020-10-19,1195.34,NA
2020-10-21,1200.02,NA
2020-10-26,1198.03,NA
2020-11-01,NA,448280000000.0
2020-11-02,1200.86,NA
2020-11-04,1200.93,NA
2020-11-05,1203.12,NA
2020-11-09,1215.83,NA
2020-11-12,1208.5,NA
2020-11-16,1214.27,NA
2020-11-20,1218.93,NA
2020-11-23,1219.68,NA
2020-11-25,1223.72,NA
2020-11-27,1226.49,NA
2020-12-01,1229.7,367780000000.0
2020-12-07,1238.07,NA
2020-12-08,1238.26,NA
2020-12-11,1240.13,NA
2020-12-14,1239.79,NA
2020-12-16,1243.55,NA
2020-12-17,1250.61,NA
2020-12-21,1254.79,NA
2020-12-22,1253.8,NA
2020-12-23,1254.99,NA
2020-12-28,1257.29,NA
2021-01-01,NA,373870000000.0
2021-01-04,1258.08,NA
2021-01-07,1254.45,NA
2021-01-11,1249.88,NA
2021-01-13,1247.89,NA
2021-01-15,1245.16,NA
2021-01-18,1243.03,NA
2021-01-22,1242.92,NA
2021-01-25,1242.74,NA
2021-01-26,1243.96,NA
2021-01-29,1245.76,NA
2021-02-01,1247.98,401930000000.0
2021-02-02,1249.61,NA
2021-02-03,1250.88,NA
2021-02-08,1249.64,NA
2021-02-09,1248.06,NA
2021-02-10,1246.14,NA
2021-02-15,1248.32,NA
2021-02-17,1244.08,NA
2021-02-22,1235.38,NA
2021-02-25,1237.33,NA
2021-03-01,1234.15,412700000000.0
2021-03-03,1238.38,NA
2021-03-04,1239.24,NA
2021-03-08,1232.98,NA
2021-03-12,1229.39,NA
2021-03-15,1229.1,NA
2021-03-19,1229.1,NA
2021-03-23,1231.13,NA
2021-03-24,1233.64,NA
2021-03-29,1233.29,NA
2021-03-30,1232.6,NA
2021-04-01,NA,426930000000.0
2021-04-05,1237.8,NA
2021-04-07,1244.11,NA
2021-04-09,1246.56,NA
2021-04-12,1244.44,NA
2021-04-14,1242.16,NA
