tanggal,NAV,AUM
2018-09-01,NA,28070000000.0
2018-09-06,1001.07,NA
2018-09-12,1001.91,NA
2018-09-17,1002.65,NA
2018-09-21,1003.11,NA
2018-09-26,1003.75,NA
2018-10-01,1004.57,31710000000.0
2018-10-05,1005.06,NA
2018-10-10,1005.77,NA
2018-10-15,1006.47,NA
2018-10-22,1007.46,NA
2018-10-24,1007.83,NA
2018-10-29,1008.37,NA
2018-11-01,NA,36790000000.0
2018-11-05,1009.46,NA
2018-11-08,1009.82,NA
2018-11-13,1010.48,NA
2018-11-19,1011.26,NA
2018-11-22,1011.76,NA
2018-11-27,1012.46,NA
2018-12-01,NA,37320000000.0
2018-12-03,1013.5,NA
2018-12-07,1014.03,NA
2018-12-11,1014.6,NA
2018-12-17,1015.6,NA
2018-12-21,1016.31,NA
2018-12-26,1017.06,NA
2019-01-01,NA,40090000000.0
2019-01-02,1018.21,NA
2019-01-04,1018.67,NA
2019-01-09,1019.66,NA
2019-01-14,1020.43,NA
2019-01-21,1021.47,NA
2019-01-24,1021.94,NA
2019-01-28,1022.56,NA
2019-02-01,NA,40400000000.0
2019-02-04,1023.57,NA
2019-02-07,1024.06,NA
2019-02-12,1024.83,NA
2019-02-18,1025.84,NA
2019-02-21,1026.31,NA
2019-02-26,1027.19,NA
2019-03-01,NA,45230000000.0
2019-03-04,1028.37,NA
2019-03-08,1028.97,NA
2019-03-12,1029.62,NA
2019-03-18,1030.52,NA
2019-03-22,1031.19,NA
2019-03-27,1031.92,NA
2019-04-01,1032.8,38000000000.0
2019-04-05,1033.33,NA
2019-04-10,1034.08,NA
2019-04-15,1034.9,NA
2019-04-22,1036.28,NA
2019-04-25,1036.81,NA
2019-04-29,1037.21,NA
2019-05-01,NA,38030000000.0
2019-05-06,1038.2,NA
2019-05-09,1038.57,NA
2019-05-14,1039.36,NA
2019-05-20,1040.2,NA
2019-05-23,1040.76,NA
2019-05-28,1041.55,NA
2019-06-01,NA,40780000000.0
2019-06-10,1043.92,NA
2019-06-12,1043.93,NA
2019-06-17,1045.09,NA
2019-06-21,1045.78,NA
2019-06-26,1046.59,NA
2019-07-01,1047.38,39290000000.0
2019-07-08,1048.84,NA
2019-07-10,1049.19,NA
2019-07-15,1050.13,NA
2019-07-22,1051.63,NA
2019-07-25,1052.04,NA
2019-07-30,1054.14,NA
2019-08-01,NA,37540000000.0
2019-08-05,1054.68,NA
2019-08-08,1055.44,NA
2019-08-13,1056.33,NA
2019-08-19,1057.59,NA
2019-08-23,1058.35,NA
2019-08-27,1058.95,NA
2019-09-01,NA,40490000000.0
2019-09-02,1059.8,NA
2019-09-06,1060.51,NA
2019-09-11,1061.63,NA
2019-09-16,1062.62,NA
2019-09-20,1063.36,NA
2019-09-25,1064.26,NA
2019-09-30,1065.29,NA
2019-10-01,NA,41430000000.0
2019-10-07,1066.0,NA
2019-10-10,1066.59,NA
2019-10-14,1067.28,NA
2019-10-21,1068.48,NA
2019-10-24,1069.08,NA
2019-10-29,1070.03,NA
2019-11-01,NA,41150000000.0
2019-11-04,1071.07,NA
2019-11-07,1071.79,NA
2019-11-12,1072.59,NA
2019-11-18,1073.51,NA
2019-11-22,1074.04,NA
2019-11-27,1074.67,NA
2019-12-01,NA,47580000000.0
2019-12-02,1075.32,NA
2019-12-06,1076.08,NA
2019-12-11,1076.91,NA
2019-12-16,1077.66,NA
2019-12-23,1078.63,NA
2019-12-26,1079.12,NA
2019-12-30,1079.65,NA
2020-01-01,NA,37330000000.0
2020-01-06,1081.49,NA
2020-01-09,1082.01,NA
2020-01-14,1083.14,NA
2020-01-20,1084.08,NA
2020-01-23,1084.54,NA
2020-01-28,1085.19,NA
2020-02-01,NA,34770000000.0
2020-02-03,1085.85,NA
2020-02-06,1086.32,NA
2020-02-07,1086.48,NA
2020-02-10,1086.77,NA
2020-02-11,1086.82,NA
2020-02-13,1087.24,NA
2020-02-17,1087.81,NA
2020-02-21,1088.28,NA
2020-02-24,1088.6,NA
2020-02-26,1088.75,NA
2020-02-28,1088.97,NA
2020-03-01,NA,35860000000.0
2020-03-02,1089.32,NA
2020-03-03,1089.46,NA
2020-03-06,1089.84,NA
2020-03-09,1090.31,NA
2020-03-10,1090.31,NA
2020-03-11,1090.47,NA
2020-03-16,1091.14,NA
2020-03-18,1091.25,NA
2020-03-23,1091.93,NA
2020-03-26,1092.32,NA
2020-03-30,1092.85,NA
2020-04-01,NA,37240000000.0
2020-04-02,1093.09,NA
2020-04-06,1093.51,NA
2020-04-09,1093.79,NA
2020-04-13,1094.24,NA
2020-04-14,1094.33,NA
2020-04-17,1094.61,NA
2020-04-20,1095.32,NA
2020-04-21,1095.41,NA
2020-04-23,1095.61,NA
2020-04-24,1095.72,NA
2020-04-28,1096.13,NA
2020-05-01,NA,39590000000.0
2020-05-04,1096.92,NA
2020-05-05,1096.92,NA
2020-05-08,1097.22,NA
2020-05-11,1097.55,NA
2020-05-12,1097.66,NA
2020-05-13,1097.77,NA
2020-05-18,1098.31,NA
2020-05-20,1098.5,NA
2020-05-26,1099.15,NA
2020-05-27,1099.41,NA
2020-05-28,1099.52,NA
2020-06-01,NA,42410000000.0
2020-06-02,1100.01,NA
2020-06-04,1100.38,NA
2020-06-05,1100.54,NA
2020-06-08,1101.24,NA
2020-06-10,1101.47,NA
2020-06-12,1101.75,NA
2020-06-15,1102.09,NA
2020-06-16,1102.21,NA
2020-06-19,1102.3,NA
2020-06-22,1102.68,NA
2020-06-23,1102.82,NA
2020-06-25,1103.07,NA
2020-06-29,1103.56,NA
2020-07-01,1103.9,42390000000.0
2020-07-06,1104.46,NA
2020-07-08,1104.67,NA
2020-07-09,1104.82,NA
2020-07-13,1105.33,NA
2020-07-14,1105.45,NA
2020-07-15,1105.61,NA
2020-07-20,1106.55,NA
2020-07-23,1106.98,NA
2020-07-27,1107.49,NA
2020-07-28,1107.65,NA
2020-07-30,1108.22,NA
2020-08-01,NA,42080000000.0
2020-08-03,1108.66,NA
2020-08-07,1109.24,NA
2020-08-11,1109.85,NA
2020-08-12,1110.03,NA
2020-08-14,1110.35,NA
2020-08-18,1110.98,NA
2020-08-24,1112.0,NA
2020-08-26,1112.69,NA
2020-08-31,1113.86,NA
2020-09-01,NA,43840000000.0
2020-09-02,1114.14,NA
2020-09-07,1114.83,NA
2020-09-09,1115.11,NA
2020-09-10,1115.25,NA
2020-09-14,1115.77,NA
2020-09-17,1116.13,NA
2020-09-21,1116.97,NA
2020-09-24,1118.12,NA
2020-09-28,1118.65,NA
2020-09-29,1119.12,NA
2020-10-01,NA,41970000000.0
2020-10-02,1119.75,NA
2020-10-05,1120.17,NA
2020-10-06,1120.24,NA
2020-10-08,1120.5,NA
2020-10-09,1120.63,NA
2020-10-13,1121.13,NA
2020-10-19,1121.94,NA
2020-10-21,1122.19,NA
2020-10-23,1122.48,NA
2020-10-26,1122.88,NA
2020-10-27,1123.02,NA
2020-11-01,NA,43790000000.0
2020-11-02,1123.7,NA
2020-11-05,1124.36,NA
2020-11-06,1124.64,NA
2020-11-09,1125.07,NA
2020-11-11,1125.37,NA
2020-11-12,1125.5,NA
2020-11-16,1126.1,NA
2020-11-20,1126.78,NA
2020-11-23,1127.16,NA
2020-11-25,1127.47,NA
2020-11-27,1127.71,NA
2020-11-30,1129.29,NA
2020-12-01,1129.42,47330000000.0
2020-12-07,1130.13,NA
2020-12-08,1130.24,NA
2020-12-10,1130.47,NA
2020-12-14,1130.95,NA
2020-12-16,1131.39,NA
2020-12-21,1131.91,NA
2020-12-23,1132.11,NA
2020-12-28,1132.79,NA
2020-12-29,1132.74,NA
2021-01-01,NA,48300000000.0
2021-01-04,1133.0,NA
2021-01-07,1133.27,NA
2021-01-11,1133.62,NA
2021-01-12,1133.71,NA
2021-01-15,1133.94,NA
2021-01-18,1134.22,NA
2021-01-22,1134.61,NA
2021-01-26,1134.99,NA
2021-01-27,1135.09,NA
2021-02-01,1135.55,76260000000.0
2021-02-02,1135.63,NA
2021-02-05,1135.83,NA
2021-02-08,1136.11,NA
2021-02-10,1136.29,NA
2021-02-15,1136.76,NA
2021-02-17,1137.03,NA
2021-02-22,1137.52,NA
2021-02-24,1137.73,NA
2021-02-25,1137.83,NA
2021-03-01,1138.5,73300000000.0
2021-03-04,1138.77,NA
2021-03-08,1139.13,NA
2021-03-12,1139.52,NA
2021-03-15,1139.82,NA
2021-03-19,1140.26,NA
2021-03-22,1140.52,NA
2021-03-23,1140.6,NA
2021-03-25,1140.83,NA
2021-03-29,1141.18,NA
2021-03-30,1141.29,NA
2021-04-01,NA,73450000000.0
2021-04-05,1141.85,NA
2021-04-07,1142.05,NA
2021-04-08,1142.25,NA
2021-04-12,1142.58,NA
2021-04-13,1142.66,NA
2021-04-14,1142.73,NA
2021-04-19,1143.16,NA
2021-04-22,1143.39,NA
2021-04-23,1143.46,NA
2021-04-26,1143.74,NA
2021-04-28,1143.96,NA
2021-04-29,1144.05,NA
2021-05-01,NA,76330000000.0
2021-05-03,1144.39,NA
2021-05-07,1144.92,NA
2021-05-10,1145.15,NA
2021-05-17,1145.69,NA
2021-05-18,1145.77,NA
2021-05-24,1146.21,NA
2021-05-25,1146.28,NA
2021-05-27,1146.43,NA
2021-05-31,1146.62,NA
2021-06-01,NA,76690000000.0
2021-06-02,1146.94,NA
2021-06-07,1147.32,NA
2021-06-09,1147.52,NA
2021-06-10,1147.54,NA
2021-06-14,1147.93,NA
2021-06-15,1148.04,NA
2021-06-17,1148.17,NA
2021-06-21,1148.46,NA
2021-06-24,1148.7,NA
2021-06-28,1149.03,NA
2021-06-29,1149.11,NA
2021-07-01,NA,76920000000.0
2021-07-02,1149.32,NA
2021-07-05,1149.53,NA
2021-07-06,1149.69,NA
2021-07-09,1149.87,NA
2021-07-13,1150.15,NA
2021-07-19,1150.53,NA
2021-07-21,1150.64,NA
2021-07-23,1150.85,NA
2021-07-26,1151.21,NA
2021-07-28,1151.35,NA
2021-08-01,NA,76100000000.0
2021-08-02,1151.59,NA
2021-08-04,1151.79,NA
2021-08-06,1152.07,NA
2021-08-09,1152.3,NA
2021-08-12,1152.39,NA
2021-08-16,1152.68,NA
2021-08-19,1152.96,NA
2021-08-23,1153.22,NA
2021-08-26,1153.51,NA
2021-08-27,1153.51,NA
2021-08-30,1153.81,NA
2021-08-31,1153.85,NA
2021-09-01,NA,72830000000.0
2021-09-03,1153.92,NA
2021-09-06,1154.17,NA
2021-09-07,1154.41,NA
2021-09-09,1154.47,NA
2021-09-13,1154.56,NA
2021-09-14,1154.63,NA
2021-09-15,1154.98,NA
2021-09-20,1155.4,NA
2021-09-22,1155.51,NA
2021-09-23,1155.6,NA
2021-09-27,1155.96,NA
2021-09-28,1156.22,NA
2021-09-30,1156.01,NA
2021-10-01,NA,76240000000.0
2021-10-04,1156.25,NA
2021-10-07,1156.33,NA
2021-10-08,1156.35,NA
2021-10-11,1156.61,NA
2021-10-13,1156.76,NA
2021-10-14,1156.8,NA
2021-10-18,1157.12,NA
2021-10-22,1157.36,NA
2021-10-26,1157.53,NA
2021-10-27,1157.55,NA
2021-10-29,1157.58,NA
2021-11-01,1157.81,79480000000.0
2021-11-02,1157.86,NA
2021-11-08,1158.21,NA
2021-11-10,1158.24,NA
2021-11-15,1158.62,NA
2021-11-17,1158.78,NA
2021-11-22,1159.14,NA
2021-11-25,1159.36,NA
2021-11-29,1159.69,NA
2021-11-30,1159.67,NA
2021-12-01,NA,86970000000.0
2021-12-02,1159.8,NA
2021-12-06,1159.96,NA
2021-12-09,1160.05,NA
2021-12-10,1160.05,NA
2021-12-13,1160.24,NA
2021-12-14,1160.33,NA
2021-12-17,1160.46,NA
2021-12-20,1160.59,NA
2021-12-21,1160.62,NA
2021-12-24,1160.99,NA
2021-12-28,1161.46,NA
2022-01-01,NA,79310000000.0
2022-01-03,1161.85,NA
2022-01-05,1162.02,NA
2022-01-07,1162.09,NA
2022-01-10,1162.18,NA
2022-01-12,1162.24,NA
2022-01-17,1162.55,NA
2022-01-20,1162.78,NA
2022-01-21,1162.79,NA
2022-01-24,1163.04,NA
2022-01-26,1163.11,NA
2022-01-27,1163.15,NA
2022-01-31,1163.31,NA
2022-02-01,NA,82220000000.0
2022-02-04,1163.65,NA
2022-02-07,1163.76,NA
2022-02-09,1163.84,NA
2022-02-10,1163.87,NA
2022-02-11,1163.93,NA
2022-02-14,1164.17,NA
2022-02-15,1164.24,NA
2022-02-16,1164.34,NA
2022-02-18,1164.45,NA
2022-02-21,1164.57,NA
2022-02-22,1164.64,NA
2022-02-23,1164.65,NA
2022-02-24,1164.69,NA
2022-02-25,1164.77,NA
2022-03-01,1165.04,112470000000.0
2022-03-02,1165.11,NA
2022-03-04,1165.21,NA
2022-03-07,1165.37,NA
2022-03-08,1165.39,NA
2022-03-09,1165.38,NA
2022-03-10,1165.36,NA
2022-03-14,1165.49,NA
2022-03-15,1165.54,NA
2022-03-17,1165.26,NA
2022-03-21,1165.49,NA
2022-03-22,1165.66,NA
2022-03-24,1165.67,NA
2022-03-25,1165.69,NA
2022-03-28,1165.97,NA
2022-03-29,1165.98,NA
2022-03-31,1166.13,NA
2022-04-01,1166.26,114600000000.0
2022-04-04,1166.42,NA
2022-04-06,1166.36,NA
2022-04-08,1166.37,NA
2022-04-11,1166.54,NA
2022-04-12,1166.59,NA
2022-04-13,1166.62,NA
2022-04-18,1166.84,NA
2022-04-19,1166.9,NA
2022-04-20,1166.95,NA
2022-04-22,1166.07,NA
2022-04-25,1166.24,NA
2022-04-27,1165.61,NA
2022-05-01,NA,188020000000.0
2022-05-09,1166.12,NA
2022-05-10,1166.06,NA
2022-05-12,1165.82,NA
2022-05-17,1165.94,NA
2022-05-19,1166.47,NA
2022-05-23,1167.62,NA
2022-05-27,1168.36,NA
2022-05-30,1168.64,NA
2022-05-31,1168.66,NA
2022-06-01,NA,61250000000.0
2022-06-02,1168.76,NA
2022-06-03,1168.8,NA
2022-06-06,1168.95,NA
2022-06-07,1169.01,NA
2022-06-08,1169.08,NA
2022-06-09,1169.15,NA
2022-06-10,1169.21,NA
2022-06-13,1169.34,NA
2022-06-14,1169.39,NA
2022-06-15,1169.44,NA
2022-06-17,1169.53,NA
2022-06-20,1169.68,NA
2022-06-22,1169.64,NA
2022-06-24,1169.7,NA
2022-06-27,1169.88,NA
2022-06-28,1169.93,NA
2022-06-29,1170.0,NA
2022-07-01,1170.12,144180000000.0
2022-07-04,1170.31,NA
2022-07-05,1170.33,NA
2022-07-07,1170.39,NA
2022-07-08,1170.44,NA
2022-07-11,1170.59,NA
2022-07-12,1170.65,NA
2022-07-13,1170.7,NA
2022-07-14,1170.75,NA
2022-07-18,1170.99,NA
2022-07-19,1171.07,NA
2022-07-21,1171.18,NA
2022-07-22,1171.22,NA
2022-07-25,1171.37,NA
2022-07-26,1171.45,NA
2022-07-27,1171.49,NA
2022-07-28,1171.63,NA
2022-07-29,1171.76,NA
2022-08-01,1171.94,148900000000.0
2022-08-02,1171.98,NA
2022-08-03,1172.03,NA
2022-08-05,1172.44,NA
2022-08-08,1172.68,NA
2022-08-09,1172.75,NA
2022-08-10,1172.82,NA
2022-08-11,1172.89,NA
2022-08-12,1172.96,NA
2022-08-15,1173.08,NA
2022-08-16,1173.11,NA
2022-08-18,1173.24,NA
2022-08-19,1173.26,NA
2022-08-22,1173.3,NA
2022-08-23,1173.23,NA
2022-08-24,1173.5,NA
2022-08-25,1173.56,NA
2022-08-26,1173.59,NA
2022-08-29,1173.73,NA
2022-08-30,1173.8,NA
2022-09-01,1173.86,67519999999.99999
2022-09-05,1173.9,NA
2022-09-06,1173.94,NA
2022-09-08,1174.08,NA
2022-09-09,1174.14,NA
2022-09-12,1174.33,NA
2022-09-13,1174.39,NA
2022-09-15,1174.56,NA
2022-09-16,1174.62,NA
2022-09-19,1174.8,NA
2022-09-20,1174.86,NA
2022-09-22,1175.01,NA
2022-09-23,1175.06,NA
2022-09-26,1175.25,NA
2022-09-27,1175.31,NA
2022-09-28,1175.36,NA
2022-10-01,NA,122180000000.0
2022-10-03,1175.73,NA
2022-10-05,1177.71,NA
2022-10-07,1177.8,NA
2022-10-10,1177.99,NA
2022-10-12,1178.11,NA
2022-10-14,1178.24,NA
2022-10-17,1178.43,NA
2022-10-18,1179.01,NA
2022-10-20,1179.14,NA
2022-10-21,1179.2,NA
2022-10-24,1179.39,NA
2022-10-25,1179.45,NA
2022-10-27,1179.58,NA
2022-10-31,1179.82,NA
2022-11-01,1179.89,75090000000.0
2022-11-03,1180.03,NA
2022-11-07,1180.3,NA
2022-11-08,1180.37,NA
2022-11-10,1180.51,NA
2022-11-11,1180.58,NA
2022-11-14,1180.79,NA
2022-11-15,1180.86,NA
2022-11-17,1180.87,NA
2022-11-18,1180.94,NA
2022-11-21,1181.18,NA
2022-11-22,1181.25,NA
2022-11-23,1181.33,NA
2022-11-24,1181.38,NA
2022-11-28,1181.62,NA
2022-11-29,1181.54,NA
2022-11-30,1181.49,NA
2022-12-01,NA,93300000000.0
2022-12-02,1180.7,NA
2022-12-05,1180.78,NA
