tanggal,NAV,AUM
2005-01-07,1026.32,NA
2005-01-24,1052.74,NA
2005-02-07,1068.7,NA
2005-02-21,1105.0,NA
2005-03-08,1136.39,NA
2005-03-23,1168.74,NA
2005-04-07,1137.78,NA
2005-04-25,1054.49,NA
2005-05-09,1114.75,NA
2005-05-23,1094.51,NA
2005-06-06,1153.45,NA
2005-06-21,1197.55,NA
2005-07-06,1182.68,NA
2005-07-21,1226.05,NA
2005-08-05,1242.88,NA
2005-08-22,1147.26,NA
2005-09-05,1126.79,NA
2005-09-19,1138.2,NA
2005-10-04,1169.15,NA
2005-10-19,1134.08,NA
2005-11-09,1119.73,NA
2005-11-18,1128.17,NA
2005-12-05,1182.79,NA
2005-12-19,1225.14,NA
2006-01-02,1222.06,NA
2006-01-17,1245.78,NA
2006-02-01,1279.82,NA
2006-02-16,1267.65,NA
2006-03-03,1288.87,NA
2006-03-20,1371.44,NA
2006-04-03,1376.72,NA
2006-04-17,1440.97,NA
2006-05-02,1511.51,NA
2006-05-17,1495.26,NA
2006-06-01,1341.83,NA
2006-06-16,1347.12,NA
2006-07-03,1380.64,NA
2006-07-17,1322.42,NA
2006-07-31,1398.1,NA
2006-08-15,1489.9,NA
2006-08-30,1488.35,NA
2006-09-14,1538.59,NA
2006-10-02,1592.5,NA
2006-10-16,1637.06,NA
2006-10-30,1653.98,NA
2006-11-14,1731.31,NA
2006-11-29,1771.84,NA
2006-12-14,1872.75,NA
2007-01-02,1926.07,NA
2007-01-15,1797.88,NA
2007-01-29,1824.52,NA
2007-02-12,1776.75,NA
2007-02-27,1801.23,NA
2007-03-14,1802.48,NA
2007-03-29,1844.09,NA
2007-04-13,1956.19,NA
2007-04-30,1990.43,NA
2007-05-14,2069.31,NA
2007-05-28,2114.27,NA
2007-06-12,2169.18,NA
2007-06-27,2201.99,NA
2007-07-12,2382.13,NA
2007-07-27,2435.1,NA
2007-08-13,2340.13,NA
2007-08-27,2308.09,NA
2007-09-10,2368.57,NA
2007-09-25,2515.72,NA
2007-10-10,2807.57,NA
2007-10-25,2786.3,NA
2007-11-09,2920.64,NA
2007-11-26,2864.59,NA
2007-12-10,3023.24,NA
2007-12-26,2936.62,NA
2008-01-08,2985.7,NA
2008-01-23,2636.37,NA
2008-02-08,2837.78,NA
2008-02-22,2939.25,NA
2008-03-10,2689.59,NA
2008-03-24,2538.5,NA
2008-04-07,2463.96,NA
2008-04-22,2464.97,NA
2008-05-07,2581.03,NA
2008-05-22,2688.18,NA
2008-06-06,2571.81,NA
2008-06-23,2521.15,NA
2008-07-07,2447.09,NA
2008-07-21,2343.78,NA
2008-08-06,2390.61,NA
2008-08-21,2313.19,NA
2008-09-05,2308.38,NA
2008-09-22,2193.09,NA
2008-10-06,1956.16,NA
2008-10-09,NA,477950.0
2008-10-20,1714.17,NA
2008-11-04,1647.64,NA
2008-11-19,1441.47,NA
2008-12-04,1515.52,NA
2008-12-19,1691.19,1691.19
2008-12-26,NA,1677.79
2009-01-05,1798.47,NA
2009-01-08,NA,1757.39
2009-01-19,1703.22,NA
2009-01-20,NA,1694.08
2009-02-02,1660.36,1660.36
2009-02-16,NA,1675.58
2009-02-17,1641.54,NA
2009-02-27,NA,1615.7
2009-03-04,1622.34,NA
2009-03-12,NA,1654.03
2009-03-19,1690.4,NA
2009-03-24,NA,1801.89
2009-04-03,1874.62,NA
2009-04-06,NA,1887.68
2009-04-20,2009.27,2009.27
2009-05-01,NA,2127.21
2009-05-04,2192.83,NA
2009-05-13,NA,2278.6
2009-05-18,2212.21,NA
2009-05-26,NA,2266.44
2009-06-02,2487.32,NA
2009-06-08,NA,2592.64
2009-06-17,2508.05,NA
2009-06-22,NA,2485.88
2009-07-02,2605.87,NA
2009-07-03,NA,2626.03
2009-07-15,NA,2725.84
2009-07-17,2723.15,NA
2009-07-28,NA,2898.04
2009-08-03,3065.41,NA
2009-08-10,NA,3107.46
2009-08-18,3040.84,NA
2009-08-24,NA,3096.04
2009-08-31,3059.32,NA
2009-09-03,NA,3019.93
2009-09-15,3172.12,NA
2009-09-16,NA,3189.84
2009-09-29,NA,3205.46
2009-09-30,3262.29,NA
2009-10-12,NA,3247.9
2009-10-15,3329.27,NA
2009-10-26,NA,3273.11
2009-10-30,3155.93,NA
2009-11-05,NA,3154.64
2009-11-16,3319.85,NA
2009-11-18,NA,3334.25
2009-11-30,3210.59,3210.59
2009-12-14,3355.34,3355.34
2009-12-28,NA,3331.68
2009-12-29,3343.93,NA
2010-01-07,NA,3452.17
2010-01-13,3538.67,NA
2010-01-20,NA,3571.42
2010-01-28,3486.31,NA
2010-02-01,NA,3439.05
2010-02-12,3362.02,NA
2010-02-15,NA,3325.26
2010-03-01,3406.56,3406.56
2010-03-11,NA,3541.19
2010-03-15,3520.82,NA
2010-03-23,NA,3574.12
2010-03-29,3672.37,NA
2010-04-05,NA,3801.67
2010-04-13,3778.21,NA
2010-04-19,NA,3730.72
2010-04-28,3810.68,NA
2010-04-30,NA,3898.34
2010-05-14,3751.14,3751.14
2010-05-25,NA,3307.54
2010-05-31,3661.31,NA
2010-06-07,NA,3562.73
2010-06-14,3711.03,NA
2010-06-21,NA,3863.45
2010-06-28,3840.27,NA
2010-07-02,NA,3755.54
2010-07-13,3930.76,NA
2010-07-15,NA,3965.4
2010-07-27,NA,4070.86
2010-07-28,4096.05,NA
2010-08-09,NA,4085.62
2010-08-12,4016.53,NA
2010-08-23,NA,4166.31
2010-08-27,4122.36,NA
2010-09-03,NA,4254.68
2010-09-15,4486.97,4486.97
2010-09-27,4581.95,NA
2010-09-28,NA,4593.59
2010-10-11,4689.56,4689.56
2010-10-25,NA,4790.34
2010-10-26,4798.7,NA
2010-11-05,NA,4773.38
2010-11-10,4854.13,NA
2010-11-18,NA,4687.8
2010-11-25,4718.07,NA
2010-11-30,NA,4505.62
2010-12-10,4729.42,NA
2010-12-13,NA,4696.3
2010-12-27,4574.7,4574.7
2011-01-06,NA,4774.0
2011-01-10,4401.1,NA
2011-01-19,NA,4457.05
2011-01-24,4196.24,NA
2011-02-01,NA,4264.25
2011-02-08,4268.45,NA
2011-02-14,NA,4213.8
2011-02-23,4325.84,NA
2011-02-28,NA,4339.39
2011-03-10,4542.37,4542.37
2011-03-23,NA,4497.41
2011-03-25,4566.6,NA
2011-04-04,NA,4641.9
2011-04-11,4670.68,NA
2011-04-18,NA,4665.92
2011-04-25,4752.58,NA
2011-04-29,NA,4780.63
2011-05-09,4731.75,NA
2011-05-12,NA,4781.27
2011-05-24,4716.97,NA
2011-05-25,NA,4718.16
2011-06-06,NA,4804.59
2011-06-08,4786.11,NA
2011-06-20,NA,4664.5
2011-06-23,4816.16,NA
2011-07-01,NA,4953.87
2011-07-08,5063.89,NA
2011-07-14,NA,5075.69
2011-07-25,5243.33,NA
2011-07-26,NA,5315.99
2011-08-08,5009.09,5009.09
2011-08-22,5023.63,5023.63
2011-09-05,NA,5048.62
2011-09-06,5056.49,NA
2011-09-15,NA,4859.75
2011-09-21,4763.22,NA
2011-09-27,NA,4464.55
2011-10-06,4446.31,NA
2011-10-10,NA,4469.23
2011-10-21,4716.9,NA
2011-10-24,NA,4844.54
2011-11-04,NA,4971.98
2011-11-07,4968.61,NA
2011-11-16,NA,5039.93
2011-11-21,4814.15,NA
2011-11-29,NA,4812.27
2011-12-05,4945.22,NA
2011-12-12,NA,4961.52
2011-12-20,4915.93,NA
2011-12-27,NA,4908.39
2012-01-04,5100.29,NA
2012-01-06,NA,5048.78
2012-01-18,NA,5133.39
2012-01-19,5140.51,NA
2012-01-31,NA,5083.28
2012-02-03,5178.29,NA
2012-02-13,NA,5083.34
2012-02-20,5149.69,NA
2012-02-27,NA,4966.35
2012-03-05,5187.7,NA
2012-03-09,NA,5223.79
2012-03-19,5214.79,NA
2012-03-21,NA,5253.29
2012-04-03,5479.4,5479.4
2012-04-16,NA,5331.56
2012-04-19,5390.59,NA
2012-04-30,NA,5414.69
2012-05-04,5440.37,NA
2012-05-10,NA,5298.41
2012-05-21,5118.38,NA
2012-05-23,NA,5164.32
2012-06-04,4718.86,4718.86
2012-06-18,4981.2,4981.2
2012-07-02,NA,5167.99
2012-07-03,5221.81,NA
2012-07-12,NA,5142.79
2012-07-18,5278.11,NA
2012-07-25,NA,5168.03
2012-08-02,5205.59,NA
2012-08-06,NA,5240.2
2012-08-23,5248.18,5248.18
2012-08-31,NA,5033.53
2012-09-03,5102.15,NA
2012-09-13,NA,5146.65
2012-09-17,5235.7,NA
2012-09-26,NA,5140.5
2012-10-01,5216.7,NA
2012-10-08,NA,5256.96
2012-10-16,5295.3,NA
2012-10-22,NA,5286.48
2012-10-31,5295.58,NA
2012-11-02,NA,5295.79
2012-11-19,5245.41,5245.41
2012-11-27,NA,5374.76
2012-11-30,5297.93,NA
2012-12-10,NA,5386.6
2012-12-17,5412.14,NA
2012-12-26,NA,5360.34
2013-01-02,5401.02,NA
2013-01-04,NA,5460.07
2013-01-14,5394.37,NA
2013-01-17,NA,5438.01
2013-01-29,5463.99,5463.99
2013-02-11,NA,5512.36
2013-02-13,5588.12,NA
2013-02-25,NA,5824.92
2013-02-28,5977.68,NA
2013-03-08,NA,6147.15
2013-03-15,6070.4,NA
2013-03-20,NA,6101.02
2013-04-01,6236.9,NA
2013-04-02,NA,6251.35
2013-04-15,6136.86,6136.86
2013-04-29,6374.04,6374.04
2013-05-10,NA,6562.31
2013-05-14,6572.31,NA
2013-05-22,NA,6794.15
2013-05-29,6857.24,NA
2013-06-04,NA,6607.25
2013-06-13,5995.91,NA
2013-06-17,NA,6246.52
2013-06-28,6185.55,NA
2013-07-01,NA,6131.06
2013-07-12,NA,5919.22
2013-07-15,5903.85,NA
2013-07-24,NA,6066.93
2013-07-29,5908.66,NA
2013-08-12,5963.46,5963.46
2013-08-19,NA,5575.23
2013-08-27,5047.69,NA
2013-09-02,NA,5251.78
2013-09-11,5522.23,NA
2013-09-12,NA,5547.68
2013-09-25,NA,5586.35
2013-09-26,5575.21,NA
2013-10-07,NA,5545.22
2013-10-11,5706.06,NA
2013-10-21,NA,5776.79
2013-10-28,5841.85,NA
2013-11-04,NA,5571.23
2013-11-11,5577.73,NA
2013-11-14,NA,5501.08
2013-11-25,5432.08,NA
2013-11-27,NA,5350.02
2013-12-09,NA,5276.5
2013-12-10,5354.06,NA
2013-12-23,NA,5259.25
2013-12-27,5261.89,NA
2014-01-03,NA,5346.11
2014-01-09,5314.6,NA
2014-01-16,NA,5589.61
2014-01-24,5635.46,NA
2014-01-29,NA,5600.69
2014-02-10,5673.12,5673.12
2014-02-24,5886.26,5886.26
2014-03-07,NA,5976.23
2014-03-11,6021.76,NA
2014-03-20,NA,5998.15
2014-03-26,6060.93,NA
2014-04-01,NA,6280.59
2014-04-10,6041.8,NA
2014-04-14,NA,6196.86
2014-04-25,6246.86,NA
2014-04-28,NA,6119.6
2014-05-09,NA,6255.15
2014-05-12,6271.47,NA
2014-05-22,NA,6314.51
2014-05-26,6299.94,NA
2014-06-03,NA,6268.93
2014-06-09,6182.15,NA
2014-06-16,NA,6201.32
2014-06-24,6151.18,NA
2014-06-30,NA,6178.69
2014-07-10,6554.57,NA
2014-07-11,NA,6442.32
2014-07-23,NA,6536.39
2014-07-24,6521.33,NA
2014-08-05,NA,6507.17
2014-08-08,6428.11,NA
2014-08-18,NA,6534.22
2014-08-25,6578.25,NA
2014-09-01,NA,6553.73
2014-09-08,6565.03,NA
2014-09-12,NA,6437.8
2014-09-22,6520.95,NA
2014-09-24,NA,6463.37
2014-10-07,6260.58,6260.58
2014-10-20,NA,6308.2
2014-10-22,6358.44,NA
2014-11-03,NA,6386.51
2014-11-06,6324.43,NA
2014-11-13,NA,6393.81
2014-11-21,6530.4,NA
2014-11-26,NA,6576.64
2014-12-08,6591.5,NA
2014-12-09,NA,6584.77
2014-12-22,6671.89,6671.89
2015-01-05,6826.36,6826.36
2015-01-15,NA,6777.02
2015-01-20,6780.98,NA
2015-01-28,NA,6959.21
2015-02-04,7049.56,7049.56
2015-02-09,7146.2,7146.2
2015-02-12,NA,7094.81
2015-02-16,7048.57,NA
2015-02-20,7198.51,7198.51
2015-02-23,NA,7190.98
2015-02-24,7222.36,NA
2015-02-26,NA,7269.36
2015-03-03,7215.25,NA
2015-03-06,7232.99,7232.99
2015-03-09,NA,7110.91
2015-03-11,7083.59,NA
2015-03-13,NA,7091.47
2015-03-18,7142.02,NA
2015-03-19,NA,7208.9
2015-03-23,7200.56,7200.56
2015-03-26,7109.15,NA
2015-03-30,NA,7215.62
2015-04-01,NA,7269.33
2015-04-02,7204.39,NA
2015-04-06,7195.37,7195.37
2015-04-10,7284.49,NA
