Date,Open,High,Low,Close,Adj Close,Volume
1990-04-06,641.27,641.27,641.27,641.27,641.24,
1990-04-09,633.48,633.48,633.48,633.48,633.46,
1990-04-10,632.09,632.09,632.09,632.09,632.06,
1990-04-11,634.69,634.69,634.69,634.69,634.67,
1990-04-12,639.61,639.61,639.61,639.61,639.59,
1990-04-16,640.01,640.01,640.01,640.01,639.99,
1990-04-17,641.87,641.87,641.87,641.87,641.85,
1990-04-18,640.53,640.53,640.53,640.53,640.50,
1990-04-19,643.91,643.91,643.91,643.91,643.88,
1990-04-20,641.69,641.69,641.69,641.69,641.66,
1990-04-23,643.91,643.91,643.91,643.91,643.88,
1990-04-24,638.80,638.80,638.80,638.80,638.77,
1990-05-01,639.01,639.01,639.01,639.01,638.99,
1990-05-02,636.15,636.15,636.15,636.15,636.13,
1990-05-03,642.16,642.16,642.16,642.16,642.13,
1990-05-04,643.09,643.09,643.09,643.09,643.07,
1990-05-07,641.95,641.95,641.95,641.95,641.92,
1990-05-08,642.98,642.98,642.98,642.98,642.96,
1990-05-09,645.01,645.01,645.01,645.01,644.99,
1990-05-11,643.31,643.31,643.31,643.31,643.29,
1990-05-14,638.92,638.92,638.92,638.92,638.90,
1990-05-15,640.85,640.85,640.85,640.85,640.83,
1990-05-16,639.34,639.34,639.34,639.34,639.31,
1990-05-17,644.44,644.44,644.44,644.44,644.42,
1990-05-21,647.22,647.22,647.22,647.22,647.19,
1990-05-22,647.40,647.40,647.40,647.40,647.38,
1990-05-23,646.25,646.25,646.25,646.25,646.22,
1990-05-25,647.36,647.36,647.36,647.36,647.33,
1990-05-28,640.13,640.13,640.13,640.13,640.11,
1990-05-29,641.14,641.14,641.14,641.14,641.12,
1990-05-30,640.58,640.58,640.58,640.58,640.56,
1990-05-31,636.40,636.40,636.40,636.40,636.38,
1990-06-01,635.02,635.02,635.02,635.02,635.00,
1990-06-04,636.24,636.24,636.24,636.24,636.22,
1990-06-05,637.08,637.08,637.08,637.08,637.06,
1990-06-06,636.64,636.64,636.64,636.64,636.62,
1990-06-07,636.00,636.00,636.00,636.00,635.98,
1990-06-08,636.06,636.06,636.06,636.06,636.04,
1990-06-11,634.76,634.76,634.76,634.76,634.74,
1990-06-12,634.42,634.42,634.42,634.42,634.40,
1990-06-13,631.38,631.38,631.38,631.38,631.36,
1990-06-14,630.30,630.30,630.30,630.30,630.28,
1990-06-15,628.28,628.28,628.28,628.28,628.26,
