Date,Open,High,Low,Close,Adj Close,Volume
1997-02-24,147.22,147.78,146.74,147.07,147.07,
1997-02-25,147.03,147.56,146.97,147.50,147.50,
1997-02-26,147.50,150.20,147.47,150.20,150.20,
1997-02-27,150.20,151.35,148.87,149.42,149.42,
1997-02-28,149.21,149.42,147.51,148.18,148.18,
1997-03-03,148.25,148.25,146.53,146.92,146.92,
1997-03-04,146.87,147.35,145.15,145.92,145.92,
1997-03-05,146.19,146.19,142.30,143.87,143.87,
1997-03-06,143.93,144.48,142.76,142.76,142.76,
1997-03-07,142.87,143.23,142.24,142.91,142.91,
1997-03-10,142.91,143.76,142.78,143.51,143.51,
1997-03-11,143.67,144.39,142.88,143.51,143.51,
1997-03-12,143.58,143.71,141.55,142.30,142.30,
1997-03-13,142.44,142.44,138.84,139.50,139.50,
1997-03-14,139.26,139.50,137.90,138.70,138.70,
1997-03-17,138.82,139.80,138.71,139.50,139.50,
1997-03-18,137.80,139.50,136.19,136.84,136.84,
1997-03-19,137.26,137.82,136.29,137.82,137.82,
1997-03-20,138.26,139.28,137.27,137.75,137.75,
1997-03-21,137.84,137.99,135.52,135.90,135.90,
1997-03-24,135.78,135.96,133.98,134.57,134.57,
1997-03-25,134.75,136.43,134.57,136.43,136.43,
1997-03-26,137.53,137.53,136.36,136.90,136.90,
1997-03-27,136.97,137.41,136.50,137.41,137.41,
1997-04-01,137.17,137.41,134.35,134.94,134.94,
1997-04-02,135.26,135.26,134.18,134.74,134.74,
1997-04-03,134.00,134.74,131.96,132.61,132.61,
1997-04-04,132.67,132.82,131.26,131.80,131.80,
1997-04-07,131.81,132.22,131.09,131.92,131.92,
1997-04-08,131.94,132.48,131.53,131.99,131.99,
1997-04-10,132.08,132.18,130.71,131.31,131.31,
1997-04-11,131.37,131.87,130.89,131.87,131.87,
1997-04-14,131.85,131.87,130.81,131.46,131.46,
1997-04-15,131.46,131.70,130.37,130.57,130.57,
1997-04-16,130.74,131.54,130.37,130.91,130.91,
1997-04-17,130.70,132.25,130.67,132.03,132.03,
1997-04-21,132.06,133.50,132.03,133.25,133.25,
1997-04-22,133.35,134.12,133.25,134.05,134.05,
1997-04-23,134.05,135.27,134.05,135.20,135.20,
1997-04-24,135.23,135.47,134.61,135.47,135.47,
1997-04-25,135.43,135.66,134.50,135.13,135.13,
1997-04-28,135.22,135.55,134.97,135.53,135.53,
1997-04-29,135.59,135.64,132.97,133.34,133.34,
1997-04-30,133.38,134.47,133.38,134.26,134.26,
1997-05-01,134.35,134.46,132.80,133.71,133.71,
