tanggal,NAV,AUM,currency
2019-09-01,NA,4389999999999.9995,IDR
2019-09-03,38350.0,NA,IDR
2019-09-10,38550.0,NA,IDR
2019-09-18,38700.0,NA,IDR
2019-09-23,38680.0,NA,IDR
2019-09-25,38590.0,NA,IDR
2019-10-01,NA,4480000000000.0,IDR
2019-10-02,38730.0,NA,IDR
2019-10-07,38820.0,NA,IDR
2019-10-10,38780.0,NA,IDR
2019-10-17,39016.6,NA,IDR
2019-10-21,39130.0,NA,IDR
2019-10-25,39290.0,NA,IDR
2019-11-01,39502.9,4490000000000.0,IDR
2019-11-11,39660.0,NA,IDR
2019-11-13,39540.0,NA,IDR
2019-11-18,39600.0,NA,IDR
2019-11-25,39580.0,NA,IDR
2019-11-26,39570.0,NA,IDR
2019-12-01,NA,4050000000000.0,IDR
2019-12-02,39440.0,NA,IDR
2019-12-09,39570.0,NA,IDR
2019-12-16,39360.0,NA,IDR
2019-12-23,39570.0,NA,IDR
2019-12-26,39630.0,NA,IDR
