tanggal,NAV,AUM,currency
2017-04-17,1002.77,NA,IDR
2017-04-25,1004.16,NA,IDR
2017-05-01,NA,157110000000.0,IDR
2017-05-02,1004.98,NA,IDR
2017-05-05,1005.34,NA,IDR
2017-05-10,1006.02,NA,IDR
2017-05-16,1007.27,NA,IDR
2017-05-22,1009.05,NA,IDR
2017-05-29,1010.26,NA,IDR
2017-06-01,NA,155330000000.0,IDR
2017-06-05,1011.25,NA,IDR
2017-06-09,1011.93,NA,IDR
2017-06-14,1012.74,NA,IDR
2017-06-20,1013.72,NA,IDR
2017-07-01,NA,158030000000.0,IDR
2017-07-03,1016.29,NA,IDR
2017-07-10,1017.47,NA,IDR
2017-07-14,1018.04,NA,IDR
2017-07-19,1018.91,NA,IDR
2017-07-25,1019.99,NA,IDR
2017-07-31,1020.89,NA,IDR
2017-08-01,NA,115090000000.0,IDR
2017-08-07,1022.11,NA,IDR
2017-08-14,1023.39,NA,IDR
2017-08-18,1024.09,NA,IDR
2017-08-23,1025.03,NA,IDR
2017-08-29,1026.17,NA,IDR
2017-09-01,NA,125780000000.0,IDR
2017-09-04,1027.03,NA,IDR
2017-09-11,1028.32,NA,IDR
2017-09-18,1029.62,NA,IDR
2017-09-22,1030.36,NA,IDR
2017-09-27,1031.3,NA,IDR
2017-10-01,NA,121230000000.0,IDR
2017-10-03,1032.43,NA,IDR
2017-10-09,1033.57,NA,IDR
2017-10-16,1034.83,NA,IDR
2017-10-23,1036.14,NA,IDR
2017-10-27,1036.87,NA,IDR
2017-11-01,1037.56,93180000000.0,IDR
2017-11-07,1038.58,NA,IDR
2017-11-13,1039.62,NA,IDR
2017-11-20,1040.84,NA,IDR
2017-11-27,1042.03,NA,IDR
2017-12-01,NA,68990000000.0,IDR
2017-12-04,1043.33,NA,IDR
2017-12-06,1043.68,NA,IDR
2017-12-12,1044.74,NA,IDR
2017-12-18,1045.91,NA,IDR
2017-12-27,1047.37,NA,IDR
2018-01-01,NA,72200000000.0,IDR
2018-01-02,1048.28,NA,IDR
2018-01-05,1048.8,NA,IDR
2018-01-11,1049.87,NA,IDR
2018-01-16,1050.75,NA,IDR
2018-01-22,1051.8,NA,IDR
2018-01-29,1052.97,NA,IDR
2018-02-01,NA,69270000000.0,IDR
2018-02-05,1054.02,NA,IDR
2018-02-09,1055.5,NA,IDR
2018-02-15,1057.15,NA,IDR
2018-02-20,1057.72,NA,IDR
2018-02-26,1058.59,NA,IDR
2018-03-01,NA,55560000000.0,IDR
2018-03-05,1059.56,NA,IDR
2018-03-12,1060.47,NA,IDR
2018-03-16,1061.03,NA,IDR
2018-03-22,1061.87,NA,IDR
2018-03-27,1062.6,NA,IDR
2018-04-01,NA,182390000000.0,IDR
2018-04-02,1063.43,NA,IDR
2018-04-09,1064.38,NA,IDR
2018-04-16,1065.36,NA,IDR
2018-04-20,1065.94,NA,IDR
2018-04-26,1066.89,NA,IDR
2018-05-01,NA,166720000000.0,IDR
2018-05-02,1067.75,NA,IDR
2018-05-07,1068.47,NA,IDR
2018-05-14,1069.49,NA,IDR
2018-05-21,1070.5,NA,IDR
2018-05-25,1071.09,NA,IDR
2018-05-31,1071.96,NA,IDR
2018-06-01,NA,58930000000.0,IDR
2018-06-05,1072.68,NA,IDR
2018-06-20,1074.77,NA,IDR
2018-06-25,1075.51,NA,IDR
2018-06-29,1076.0,NA,IDR
2018-07-01,NA,206480000000.0,IDR
2018-07-05,1076.96,NA,IDR
2018-07-10,1077.67,NA,IDR
2018-07-16,1078.42,NA,IDR
2018-07-23,1079.49,NA,IDR
2018-07-30,1080.59,NA,IDR
2018-08-01,NA,306650000000.0,IDR
2018-08-03,1081.24,NA,IDR
2018-08-09,1082.21,NA,IDR
2018-08-14,1083.02,NA,IDR
2018-08-20,1084.01,NA,IDR
2018-08-27,1085.17,NA,IDR
2018-09-01,NA,205310000000.0,IDR
2018-09-03,1086.33,NA,IDR
2018-09-07,1087.04,NA,IDR
2018-09-13,1088.04,NA,IDR
2018-09-18,1089.3,NA,IDR
2018-09-24,1090.36,NA,IDR
2018-10-01,1091.6,203050000000.0,IDR
2018-10-08,1092.83,NA,IDR
2018-10-12,1093.53,NA,IDR
2018-10-18,1094.61,NA,IDR
2018-10-24,1095.76,NA,IDR
2018-10-29,1096.71,NA,IDR
2018-11-01,NA,57450000000.0,IDR
2018-11-05,1098.05,NA,IDR
2018-11-12,1099.38,NA,IDR
2018-11-16,1100.14,NA,IDR
2018-11-22,1101.27,NA,IDR
2018-11-28,1102.4,NA,IDR
2018-12-01,NA,259180000000.0,IDR
2018-12-03,1103.13,NA,IDR
2018-12-10,1104.42,NA,IDR
2018-12-17,1105.89,NA,IDR
2018-12-21,1106.74,NA,IDR
2018-12-27,1108.01,NA,IDR
2019-01-01,NA,263899999999.99997,IDR
2019-01-02,1109.25,NA,IDR
2019-01-07,1110.3,NA,IDR
2019-01-14,1111.77,NA,IDR
2019-01-21,1113.2,NA,IDR
2019-01-25,1114.05,NA,IDR
2019-01-31,1115.24,NA,IDR
2019-02-01,NA,293150000000.0,IDR
2019-02-06,1116.45,NA,IDR
2019-02-11,1117.47,NA,IDR
2019-02-18,1118.85,NA,IDR
2019-02-25,1120.24,NA,IDR
2019-03-01,1121.06,182500000000.0,IDR
2019-03-08,1122.45,NA,IDR
2019-03-13,1123.45,NA,IDR
2019-03-18,1124.44,NA,IDR
2019-03-25,1125.85,NA,IDR
2019-04-01,1127.23,311270000000.0,IDR
2019-04-05,1127.98,NA,IDR
2019-04-11,1129.17,NA,IDR
2019-04-18,1130.56,NA,IDR
2019-04-22,1131.34,NA,IDR
2019-04-29,1132.7,NA,IDR
2019-05-01,NA,178070000000.0,IDR
2019-05-06,1134.05,NA,IDR
2019-05-10,1134.83,NA,IDR
2019-05-16,1135.99,NA,IDR
2019-05-22,1137.21,NA,IDR
2019-05-27,1137.79,NA,IDR
2019-06-01,NA,259790000000.00003,IDR
2019-06-10,1140.5,NA,IDR
2019-06-14,1141.27,NA,IDR
2019-06-20,1142.44,NA,IDR
2019-06-26,1143.58,NA,IDR
2019-07-01,1144.55,306060000000.0,IDR
2019-07-08,1145.92,NA,IDR
2019-07-15,1147.32,NA,IDR
2019-07-19,1148.11,NA,IDR
2019-07-25,1149.3,NA,IDR
2019-07-31,1150.47,NA,IDR
2019-08-01,NA,200730000000.0,IDR
2019-08-06,1151.6,NA,IDR
2019-08-12,1152.79,NA,IDR
2019-08-19,1154.21,NA,IDR
2019-08-23,1154.99,NA,IDR
2019-08-29,1156.2,NA,IDR
2019-09-01,NA,292750000000.0,IDR
2019-09-04,1157.37,NA,IDR
2019-09-10,1158.56,NA,IDR
2019-09-16,1159.77,NA,IDR
2019-09-23,1161.13,NA,IDR
2019-09-27,1161.91,NA,IDR
2019-10-01,NA,189100000000.0,IDR
2019-10-03,1163.07,NA,IDR
2019-10-09,1164.24,NA,IDR
2019-10-15,1165.45,NA,IDR
2019-10-21,1166.62,NA,IDR
2019-10-28,1167.98,NA,IDR
2019-11-01,1168.7,289390000000.0,IDR
2019-11-07,1169.92,NA,IDR
2019-11-13,1171.06,NA,IDR
2019-11-19,1172.19,NA,IDR
2019-11-25,1173.34,NA,IDR
2019-12-01,NA,265560000000.0,IDR
2019-12-02,1174.64,NA,IDR
2019-12-06,1175.42,NA,IDR
2019-12-12,1176.75,NA,IDR
2019-12-18,1177.84,NA,IDR
2019-12-26,1179.42,NA,IDR
2019-12-30,1180.2,NA,IDR
2020-01-01,NA,162080000000.0,IDR
2020-01-06,1181.54,NA,IDR
2020-01-10,1182.34,NA,IDR
2020-01-16,1183.51,NA,IDR
2020-01-22,1184.68,NA,IDR
2020-01-28,1185.8,NA,IDR
2020-02-01,NA,162960000000.0,IDR
2020-02-03,1186.87,NA,IDR
2020-02-06,1187.43,NA,IDR
2020-02-10,1188.18,NA,IDR
2020-02-13,1188.78,NA,IDR
2020-02-14,1188.97,NA,IDR
2020-02-17,1189.53,NA,IDR
2020-02-20,1190.09,NA,IDR
2020-02-21,1190.28,NA,IDR
2020-02-24,1190.84,NA,IDR
2020-02-26,1191.19,NA,IDR
2020-02-28,1191.56,NA,IDR
2020-03-01,NA,165040000000.0,IDR
2020-03-03,1192.33,NA,IDR
2020-03-09,1193.43,NA,IDR
2020-03-10,1193.62,NA,IDR
2020-03-16,1194.74,NA,IDR
2020-03-18,1195.1,NA,IDR
2020-03-20,1195.47,NA,IDR
2020-03-23,1196.02,NA,IDR
2020-03-26,1196.58,NA,IDR
2020-03-30,1197.35,NA,IDR
2020-04-01,1197.7,137550000000.0,IDR
2020-04-02,1197.88,NA,IDR
2020-04-06,1198.63,NA,IDR
2020-04-07,1198.82,NA,IDR
2020-04-09,1199.19,NA,IDR
2020-04-13,1199.94,NA,IDR
2020-04-17,1200.59,NA,IDR
2020-04-20,1201.15,NA,IDR
2020-04-21,1201.34,NA,IDR
2020-04-24,1201.88,NA,IDR
2020-04-28,1202.6,NA,IDR
2020-04-30,1202.99,NA,IDR
2020-05-01,NA,38000000000.0,IDR
2020-05-04,1203.75,NA,IDR
2020-05-05,1203.94,NA,IDR
2020-05-06,1204.13,NA,IDR
2020-05-11,1205.08,NA,IDR
2020-05-12,1205.27,NA,IDR
2020-05-13,1205.46,NA,IDR
2020-05-18,1206.4,NA,IDR
2020-05-20,1206.79,NA,IDR
2020-05-26,1207.92,NA,IDR
2020-05-28,1208.31,NA,IDR
2020-05-29,1208.47,NA,IDR
2020-06-01,NA,145090000000.0,IDR
2020-06-02,1209.16,NA,IDR
2020-06-04,1209.54,NA,IDR
2020-06-08,1210.29,NA,IDR
2020-06-10,1210.67,NA,IDR
2020-06-12,1211.04,NA,IDR
2020-06-16,1211.76,NA,IDR
2020-06-19,1212.29,NA,IDR
2020-06-22,1212.82,NA,IDR
2020-06-23,1213.0,NA,IDR
2020-06-29,1214.06,NA,IDR
2020-07-01,1214.42,142610000000.0,IDR
2020-07-03,1214.75,NA,IDR
2020-07-06,1215.31,NA,IDR
2020-07-08,1215.67,NA,IDR
2020-07-09,1215.85,NA,IDR
2020-07-13,1216.58,NA,IDR
2020-07-15,1216.93,NA,IDR
2020-07-20,1217.85,NA,IDR
2020-07-21,1218.03,NA,IDR
2020-07-23,1218.39,NA,IDR
2020-07-27,1219.12,NA,IDR
2020-07-30,1219.66,NA,IDR
2020-08-01,NA,140250000000.0,IDR
2020-08-03,1220.35,NA,IDR
2020-08-07,1221.7,NA,IDR
2020-08-11,1222.44,NA,IDR
2020-08-13,1223.03,NA,IDR
2020-08-14,1223.21,NA,IDR
2020-08-18,1223.92,NA,IDR
2020-08-19,1224.1,NA,IDR
2020-08-24,1225.01,NA,IDR
2020-08-25,1225.2,NA,IDR
2020-08-26,1225.36,NA,IDR
2020-08-31,1226.22,NA,IDR
2020-09-01,NA,140570000000.0,IDR
2020-09-02,1226.59,NA,IDR
2020-09-07,1227.5,NA,IDR
2020-09-10,1228.01,NA,IDR
2020-09-11,1228.19,NA,IDR
2020-09-14,1228.95,NA,IDR
2020-09-17,1229.48,NA,IDR
2020-09-21,1230.18,NA,IDR
2020-09-23,1230.54,NA,IDR
2020-09-24,1230.71,NA,IDR
2020-09-28,1231.41,NA,IDR
2020-09-29,1231.68,NA,IDR
2020-10-01,NA,239810000000.0,IDR
2020-10-02,1232.09,NA,IDR
2020-10-05,1232.6,NA,IDR
2020-10-06,1232.79,NA,IDR
2020-10-09,1233.25,NA,IDR
2020-10-12,1233.78,NA,IDR
2020-10-13,1234.08,NA,IDR
2020-10-16,1234.57,NA,IDR
2020-10-19,1235.07,NA,IDR
2020-10-21,1235.38,NA,IDR
2020-10-22,1235.54,NA,IDR
2020-10-26,1236.2,NA,IDR
2020-11-01,NA,137130000000.0,IDR
2020-11-02,1237.32,NA,IDR
2020-11-03,1237.49,NA,IDR
2020-11-05,1237.81,NA,IDR
2020-11-09,1238.47,NA,IDR
2020-11-12,1238.93,NA,IDR
2020-11-16,1239.8,NA,IDR
2020-11-20,1240.48,NA,IDR
2020-11-23,1240.95,NA,IDR
2020-11-26,1241.42,NA,IDR
2020-11-27,1241.57,NA,IDR
2020-12-01,1242.18,35640000000.0,IDR
2020-12-02,1242.33,NA,IDR
2020-12-07,1243.07,NA,IDR
2020-12-08,1243.21,NA,IDR
2020-12-14,1244.82,NA,IDR
2020-12-16,1245.01,NA,IDR
2020-12-21,1245.56,NA,IDR
2020-12-23,1245.69,NA,IDR
