tanggal,NAV,AUM,currency
2016-08-22,999.89,NA,IDR
2016-08-29,998.13,NA,IDR
2016-09-05,1002.82,NA,IDR
2016-09-13,1000.15,NA,IDR
2016-09-19,998.71,NA,IDR
2016-09-23,1003.86,NA,IDR
2016-09-29,1003.37,NA,IDR
2016-10-06,1002.31,NA,IDR
2016-10-12,998.03,NA,IDR
2016-10-18,999.15,NA,IDR
2016-10-25,1000.32,NA,IDR
2016-10-31,994.4,NA,IDR
2016-11-07,989.09,NA,IDR
2016-11-14,969.56,NA,IDR
2016-11-21,960.94,NA,IDR
2016-11-25,946.77,NA,IDR
2016-12-02,953.34,NA,IDR
2016-12-08,973.39,NA,IDR
2016-12-14,970.13,NA,IDR
2016-12-21,966.18,NA,IDR
2016-12-27,965.28,NA,IDR
2017-01-03,965.35,NA,IDR
2017-01-09,975.48,NA,IDR
2017-01-16,983.75,NA,IDR
2017-01-23,988.15,NA,IDR
2017-01-27,986.4,NA,IDR
2017-02-03,984.96,NA,IDR
2017-02-09,988.7,NA,IDR
2017-02-16,990.7,NA,IDR
2017-02-22,988.52,NA,IDR
2017-02-28,990.42,NA,IDR
2017-03-06,994.71,NA,IDR
2017-03-13,996.63,NA,IDR
2017-03-20,1005.19,NA,IDR
2017-03-27,1012.25,NA,IDR
2017-04-03,1018.85,NA,IDR
2017-04-07,1017.0,NA,IDR
2017-04-13,1019.67,NA,IDR
2017-04-20,1021.56,NA,IDR
2017-04-26,1023.53,NA,IDR
2017-05-02,1024.75,NA,IDR
2017-05-09,1024.83,NA,IDR
2017-05-15,1023.96,NA,IDR
2017-05-22,1029.78,NA,IDR
2017-05-29,1031.08,NA,IDR
2017-06-05,1034.74,NA,IDR
2017-06-09,1036.5,NA,IDR
2017-06-16,1038.42,NA,IDR
2017-06-22,1039.72,NA,IDR
2017-07-03,1041.64,NA,IDR
2017-07-05,1040.09,NA,IDR
2017-07-11,1030.48,NA,IDR
2017-07-17,1036.24,NA,IDR
2017-07-24,1043.18,NA,IDR
2017-07-31,1041.97,NA,IDR
2017-08-07,1041.89,NA,IDR
2017-08-14,1045.07,NA,IDR
2017-08-18,1047.75,NA,IDR
2017-08-24,1050.37,NA,IDR
2017-08-31,1065.15,NA,IDR
2017-09-06,1071.55,NA,IDR
2017-09-12,1080.38,NA,IDR
2017-09-19,1078.25,NA,IDR
2017-09-25,1084.48,NA,IDR
2017-10-02,1085.3,NA,IDR
2017-10-09,1082.56,NA,IDR
2017-10-16,1086.88,NA,IDR
2017-10-20,1086.17,NA,IDR
2017-10-26,1079.93,NA,IDR
2017-11-02,1083.99,NA,IDR
2017-11-08,1088.12,NA,IDR
2017-11-14,1088.24,NA,IDR
2017-11-21,1091.85,NA,IDR
2017-11-27,1095.67,NA,IDR
2017-12-01,NA,34189999999.999996,IDR
2017-12-04,1100.17,NA,IDR
2017-12-11,1102.79,NA,IDR
2017-12-18,1105.77,NA,IDR
2017-12-22,1108.59,NA,IDR
2017-12-29,1113.05,NA,IDR
2018-01-01,NA,32659999999.999996,IDR
2018-01-04,1122.29,NA,IDR
2018-01-10,1121.58,NA,IDR
2018-01-17,1129.43,NA,IDR
2018-01-23,1125.15,NA,IDR
2018-01-29,1119.88,NA,IDR
2018-02-01,NA,32560000000.000004,IDR
2018-02-05,1118.3,NA,IDR
2018-02-12,1117.29,NA,IDR
2018-02-19,1113.89,NA,IDR
2018-02-26,1110.2,NA,IDR
2018-03-01,NA,31600000000.0,IDR
2018-03-02,1103.38,NA,IDR
2018-03-08,1103.65,NA,IDR
2018-03-15,1109.83,NA,IDR
2018-03-21,1110.33,NA,IDR
2018-03-27,1107.06,NA,IDR
2018-04-01,NA,32950000000.000004,IDR
2018-04-03,1118.15,NA,IDR
2018-04-09,1114.54,NA,IDR
