tanggal,NAV,AUM,currency
2017-12-01,NA,33409999.999999996,USD
2018-01-01,NA,49580000.0,USD
2018-01-30,1.17,NA,USD
2018-02-01,NA,67860000.0,USD
2018-02-05,1.12,NA,USD
2018-02-09,1.09,NA,USD
2018-02-14,1.11,NA,USD
2018-02-21,1.13,NA,USD
2018-02-26,1.14,NA,USD
2018-03-01,NA,69550000.0,USD
2018-03-02,1.12,NA,USD
2018-03-07,1.13,NA,USD
2018-03-13,1.15,NA,USD
2018-03-19,1.13,NA,USD
2018-03-23,1.09,NA,USD
2018-03-28,1.12,NA,USD
2018-04-01,NA,70660000.0,USD
2018-04-03,1.11,NA,USD
2018-04-09,1.11,NA,USD
2018-04-13,1.13,NA,USD
2018-04-18,1.15,NA,USD
2018-04-24,1.12,NA,USD
2018-04-30,1.13,NA,USD
2018-05-01,NA,64920000.0,USD
2018-05-04,1.14,NA,USD
2018-05-09,1.14,NA,USD
2018-05-15,1.15,NA,USD
2018-05-21,1.16,NA,USD
2018-05-25,1.16,NA,USD
2018-05-30,1.15,NA,USD
2018-06-01,NA,64879999.99999999,USD
2018-06-05,1.17,NA,USD
2018-06-20,1.18,NA,USD
2018-06-26,1.16,NA,USD
2018-07-01,NA,65800000.0,USD
2018-07-02,1.15,NA,USD
2018-07-06,1.16,NA,USD
2018-07-11,1.17,NA,USD
2018-07-17,1.18,NA,USD
2018-07-23,1.18,NA,USD
2018-07-27,1.19,NA,USD
2018-08-01,1.18,57470000.0,USD
2018-08-07,1.19,NA,USD
2018-08-13,1.18,NA,USD
2018-08-20,1.19,NA,USD
2018-08-23,1.19,NA,USD
2018-08-28,1.21,NA,USD
2018-09-01,NA,68410000.0,USD
2018-09-03,1.21,NA,USD
2018-09-07,1.19,NA,USD
2018-09-12,1.2,NA,USD
2018-09-18,1.2,NA,USD
2018-09-24,1.21,NA,USD
2018-09-28,1.21,NA,USD
2018-10-01,NA,80690000.0,USD
2018-10-03,1.21,NA,USD
2018-10-09,1.19,NA,USD
2018-10-15,1.15,NA,USD
2018-10-19,1.15,NA,USD
2018-10-24,1.1,NA,USD
2018-10-30,1.12,NA,USD
2018-11-01,NA,82820000.0,USD
2018-11-05,1.13,NA,USD
2018-11-09,1.15,NA,USD
2018-11-14,1.13,NA,USD
2018-11-21,1.11,NA,USD
2018-11-26,1.12,NA,USD
2018-11-30,1.15,NA,USD
2018-12-01,NA,80000000.0,USD
2018-12-05,1.13,NA,USD
2018-12-11,1.1,NA,USD
2018-12-17,1.08,NA,USD
2018-12-21,1.04,NA,USD
2018-12-26,1.05,NA,USD
2019-01-01,NA,81460000.0,USD
2019-01-02,1.06,NA,USD
2019-01-07,1.08,NA,USD
2019-01-11,1.1,NA,USD
2019-01-16,1.1,NA,USD
2019-01-21,1.12,NA,USD
2019-01-28,1.11,NA,USD
2019-02-01,1.14,74830000.0,USD
2019-02-06,1.15,NA,USD
2019-02-11,1.14,NA,USD
2019-02-18,1.16,NA,USD
2019-02-22,1.16,NA,USD
2019-02-27,1.17,NA,USD
2019-03-01,NA,62560000.0,USD
2019-03-04,1.17,NA,USD
2019-03-11,1.16,NA,USD
2019-03-15,1.18,NA,USD
2019-03-20,1.19,NA,USD
2019-03-25,1.18,NA,USD
2019-04-01,1.2,52030000.0,USD
2019-04-05,1.21,NA,USD
2019-04-10,1.21,NA,USD
2019-04-15,1.21,NA,USD
2019-04-22,1.21,NA,USD
2019-04-26,1.21,NA,USD
