tanggal,NAV,AUM,currency
2000-01-17,1764.97,NA,IDR
2000-02-07,1581.29,NA,IDR
2000-02-23,1430.86,NA,IDR
2000-03-13,1441.56,NA,IDR
2000-04-03,1407.39,NA,IDR
2000-04-20,1306.67,NA,IDR
2000-05-08,1406.4,NA,IDR
2000-05-29,1203.5,NA,IDR
2000-06-16,1278.71,NA,IDR
2000-07-04,1331.65,NA,IDR
2000-07-24,1342.37,NA,IDR
2000-08-10,1301.62,NA,IDR
2000-08-29,1261.06,NA,IDR
2000-09-18,1112.09,NA,IDR
2000-10-05,1157.56,NA,IDR
2000-10-24,1163.59,NA,IDR
2000-11-13,1197.86,NA,IDR
2000-11-30,1225.04,NA,IDR
2000-12-19,1183.0,NA,IDR
2001-01-08,1157.65,NA,IDR
2001-01-26,1174.88,NA,IDR
2001-02-13,1232.12,NA,IDR
2001-03-06,1255.95,NA,IDR
2001-03-23,1090.15,NA,IDR
2001-04-11,1087.27,NA,IDR
2001-04-30,1069.98,NA,IDR
2001-05-18,1116.67,NA,IDR
2001-06-06,1161.57,NA,IDR
2001-06-25,1233.08,NA,IDR
2001-07-13,1268.56,NA,IDR
2001-08-01,1244.92,NA,IDR
2001-08-20,1226.34,NA,IDR
2001-09-10,1256.86,NA,IDR
2001-09-26,1142.3,NA,IDR
2001-10-16,1112.0,NA,IDR
2001-11-05,1105.71,NA,IDR
2001-11-23,1141.21,NA,IDR
2002-01-08,1171.28,NA,IDR
2002-01-17,1298.64,NA,IDR
2002-04-24,1647.56,NA,IDR
2002-05-10,1650.21,NA,IDR
2002-06-03,1631.82,NA,IDR
2002-06-17,1684.09,NA,IDR
2002-07-05,1559.32,NA,IDR
2002-07-23,1515.09,NA,IDR
2002-08-12,1447.6,NA,IDR
2002-08-30,1435.25,NA,IDR
2002-09-17,1395.71,NA,IDR
2002-10-07,1325.25,NA,IDR
2002-10-25,1194.04,NA,IDR
2002-11-13,1239.15,NA,IDR
2002-12-02,1300.18,NA,IDR
2002-12-20,1410.99,NA,IDR
2003-01-08,1310.51,NA,IDR
2003-01-27,1346.97,NA,IDR
2003-02-14,1371.85,NA,IDR
