tanggal,NAV,AUM,currency
2007-09-25,NA,20.0,IDR
2007-09-26,NA,479.31,IDR
2007-10-03,1002.58,NA,IDR
2007-10-09,NA,481480.0,IDR
2007-10-18,1009.08,NA,IDR
2007-10-22,NA,492760.0,IDR
2007-10-29,1006.04,NA,IDR
2007-11-05,NA,449000.0,IDR
2007-11-12,989.23,NA,IDR
2007-11-19,NA,391950.0,IDR
2007-11-26,953.18,NA,IDR
2007-11-30,NA,355160.0,IDR
2007-12-07,987.96,NA,IDR
2007-12-13,NA,338680.0,IDR
2007-12-26,983.24,325360.0,IDR
2008-01-02,986.14,NA,IDR
2008-01-08,NA,323100.0,IDR
2008-01-15,995.39,NA,IDR
2008-01-21,NA,298260.0,IDR
2008-01-28,995.69,NA,IDR
2008-02-04,NA,250680.0,IDR
2008-02-11,997.33,NA,IDR
2008-02-15,NA,246480.0,IDR
2008-02-25,997.7,NA,IDR
2008-02-28,NA,246640.0,IDR
2008-03-10,996.84,NA,IDR
2008-03-12,NA,232010.0,IDR
2008-03-24,983.48,NA,IDR
2008-03-25,NA,228860.0,IDR
2008-04-02,958.17,NA,IDR
2008-04-07,NA,220870.0,IDR
2008-04-15,957.45,NA,IDR
2008-04-21,NA,222980.0,IDR
2008-04-28,937.54,NA,IDR
2008-05-05,NA,218750.0,IDR
2008-05-12,940.45,NA,IDR
2008-05-16,NA,222290.0,IDR
2008-05-26,940.89,NA,IDR
2008-05-29,NA,221080.0,IDR
2008-06-06,936.75,NA,IDR
2008-06-11,NA,216320.0,IDR
2008-06-19,937.03,NA,IDR
2008-06-24,NA,217890.0,IDR
2008-07-02,940.29,NA,IDR
2008-07-07,NA,219040.0,IDR
2008-07-15,958.7,NA,IDR
2008-07-21,NA,225220.0,IDR
2008-07-28,974.14,NA,IDR
2008-08-04,NA,228640.0,IDR
2008-08-11,974.18,NA,IDR
2008-08-15,NA,227130.0,IDR
2008-08-25,972.07,NA,IDR
2008-08-27,NA,222900.0,IDR
2008-09-05,974.42,NA,IDR
2008-09-09,NA,224590.0,IDR
2008-09-18,949.88,NA,IDR
2008-09-22,NA,220230.0,IDR
2008-10-06,950.69,220160.0,IDR
2008-10-14,906.87,NA,IDR
2008-10-20,NA,181280.0,IDR
2008-10-27,849.58,NA,IDR
2008-10-31,NA,165130.0,IDR
2008-11-10,919.73,NA,IDR
2008-11-13,NA,173080.0,IDR
2008-11-24,884.78,NA,IDR
2008-11-26,NA,170230.0,IDR
2008-12-04,942.3,NA,IDR
2008-12-09,NA,179110.0,IDR
2008-12-17,975.1,NA,IDR
2008-12-22,NA,185040.0,IDR
2008-12-30,988.52,NA,IDR
2009-01-05,NA,186760.0,IDR
2009-01-12,992.76,NA,IDR
2009-01-19,NA,189770.0,IDR
2009-01-27,1002.08,NA,IDR
2009-01-30,NA,192880.0,IDR
2009-02-09,1007.21,NA,IDR
2009-02-12,NA,186410.0,IDR
2009-02-20,981.0,NA,IDR
2009-02-25,NA,183752.0,IDR
2009-03-05,989.95,NA,IDR
2009-03-10,NA,184350.0,IDR
2009-03-18,1014.0,NA,IDR
2009-03-23,NA,191580.0,IDR
2009-03-31,1019.1,NA,IDR
2009-04-06,NA,199730.0,IDR
2009-04-13,1041.29,NA,IDR
2009-04-17,NA,204500.0,IDR
2009-04-27,1043.44,NA,IDR
2009-04-30,NA,218560.0,IDR
2009-05-11,1068.76,NA,IDR
2009-05-13,NA,227420.0,IDR
2009-05-22,1087.95,NA,IDR
2009-05-26,NA,227120.0,IDR
2009-06-04,1134.7,NA,IDR
2009-06-08,NA,266160.0,IDR
2009-06-17,1087.18,NA,IDR
2009-06-22,NA,209930.0,IDR
2009-06-30,1099.97,NA,IDR
2009-07-06,NA,211010.0,IDR
2009-07-13,1134.62,NA,IDR
2009-07-17,NA,230230.0,IDR
2009-07-27,1151.05,NA,IDR
2009-07-30,NA,218050.0,IDR
2009-08-10,1143.53,NA,IDR
2009-08-12,NA,220380.0,IDR
2009-08-21,1136.04,NA,IDR
2009-08-25,NA,222250.0,IDR
2009-09-03,1149.65,NA,IDR
2009-09-07,NA,229120.0,IDR
2009-09-16,1163.01,NA,IDR
2009-09-24,NA,254793.0,IDR
2009-09-29,1182.01,NA,IDR
2009-10-02,NA,264263.0,IDR
2009-10-12,1194.38,NA,IDR
2009-10-15,NA,259170.00000000003,IDR
2009-10-26,1194.24,NA,IDR
2009-10-28,NA,255490.0,IDR
2009-11-09,1187.45,NA,IDR
2009-11-10,NA,253100.0,IDR
2009-11-20,1191.17,NA,IDR
2009-11-23,NA,257120.0,IDR
2009-12-03,1201.71,NA,IDR
2009-12-07,NA,272540.0,IDR
2009-12-16,1217.48,NA,IDR
2009-12-21,NA,273750.0,IDR
2009-12-29,1215.03,NA,IDR
2010-01-04,NA,290650.0,IDR
2010-01-11,1247.54,NA,IDR
2010-01-14,NA,331520.0,IDR
2010-01-25,1246.22,NA,IDR
2010-01-27,NA,364900.0,IDR
2010-02-08,1244.62,NA,IDR
2010-02-09,NA,365560.0,IDR
2010-02-19,1246.04,NA,IDR
2010-02-22,NA,371530.0,IDR
2010-03-04,1262.61,NA,IDR
2010-03-08,NA,390100.0,IDR
2010-03-17,1289.0,NA,IDR
2010-03-22,NA,438170.0,IDR
2010-03-30,1305.8,NA,IDR
2010-04-05,NA,560000.0,IDR
2010-04-12,1324.37,NA,IDR
2010-04-14,NA,620000.0,IDR
2010-04-26,1347.54,NA,IDR
2010-04-27,NA,620000.0,IDR
2010-05-07,1299.1,NA,IDR
2010-05-10,NA,620000.0,IDR
2010-05-20,1345.65,NA,IDR
2010-05-24,NA,570000.0,IDR
2010-06-02,1327.54,NA,IDR
2010-06-07,NA,560000.0,IDR
2010-06-15,1341.07,NA,IDR
2010-06-18,NA,640000.0,IDR
2010-06-28,1377.82,NA,IDR
2010-07-01,NA,650000.0,IDR
2010-07-12,1379.13,NA,IDR
2010-07-14,NA,750000.0,IDR
2010-07-26,1389.93,NA,IDR
2010-07-27,NA,820000.0,IDR
2010-08-06,1432.85,NA,IDR
2010-08-09,NA,860000.0,IDR
2010-08-19,1419.29,NA,IDR
2010-08-23,NA,880000.0,IDR
2010-09-01,1419.67,NA,IDR
2010-09-06,NA,1000000.0,IDR
2010-09-15,1434.13,NA,IDR
2010-09-17,NA,1092991.0,IDR
2010-09-27,1455.16,NA,IDR
2010-09-30,NA,1143302.0,IDR
2010-10-11,1510.96,NA,IDR
2010-10-13,NA,1211154.0,IDR
2010-10-25,1502.87,NA,IDR
2010-10-26,NA,1316789.0,IDR
2010-11-05,1488.38,NA,IDR
2010-11-08,NA,1407717.0,IDR
2010-11-18,1451.66,NA,IDR
2010-11-22,NA,1311031.0,IDR
2010-12-01,1452.54,NA,IDR
2010-12-03,NA,1174778.0,IDR
2010-12-14,1459.0,NA,IDR
2010-12-16,NA,1144232.0,IDR
2010-12-27,1429.87,NA,IDR
2010-12-29,NA,1117269.0,IDR
2011-01-10,1443.45,NA,IDR
2011-01-11,NA,1064365.0,IDR
2011-01-24,1340.76,956319.0,IDR
2011-02-04,1385.76,NA,IDR
2011-02-07,NA,940000.0,IDR
2011-02-17,1376.11,NA,IDR
2011-02-21,NA,920000.0,IDR
2011-03-02,1386.94,NA,IDR
2011-03-04,NA,920000.0,IDR
2011-03-15,1429.59,NA,IDR
2011-03-17,NA,940000.0,IDR
2011-03-28,1462.39,NA,IDR
2011-03-30,NA,930000.0,IDR
2011-04-11,1508.4,NA,IDR
2011-04-12,NA,800000.0,IDR
2011-04-25,1513.84,760000.0,IDR
2011-05-06,1521.89,NA,IDR
2011-05-09,NA,810000.0,IDR
2011-05-19,1534.31,NA,IDR
2011-05-20,NA,820000.0,IDR
2011-06-01,1544.82,NA,IDR
2011-06-03,NA,770000.0,IDR
2011-06-14,1549.74,NA,IDR
2011-06-15,NA,730000.0,IDR
2011-06-27,1547.16,NA,IDR
2011-06-28,NA,806175.0,IDR
2011-07-11,1573.95,870000.0,IDR
2011-07-25,1577.95,960000.0,IDR
2011-08-05,1606.88,NA,IDR
2011-08-08,NA,980000.0,IDR
2011-08-18,1629.16,NA,IDR
2011-08-19,NA,790000.0,IDR
2011-09-05,1640.26,839741.0,IDR
2011-09-12,1691.84,NA,IDR
2011-09-14,NA,890000.0,IDR
2011-09-26,1639.84,NA,IDR
2011-09-27,NA,930000.0,IDR
2011-10-10,1715.72,1000000.0,IDR
2011-10-21,1742.7,NA,IDR
2011-10-24,NA,1122289.0,IDR
2011-11-03,1743.77,NA,IDR
2011-11-07,NA,1403705.0,IDR
2011-11-16,1749.08,NA,IDR
2011-11-18,NA,1693951.0,IDR
2011-11-29,1704.72,NA,IDR
2011-12-01,NA,1846240.0,IDR
2011-12-12,1759.1,NA,IDR
2011-12-13,NA,1942447.0,IDR
