tanggal,NAV,AUM,currency
2018-12-01,NA,13560000000.0,IDR
2018-12-03,1004.34,NA,IDR
2018-12-10,990.23,NA,IDR
2018-12-13,1001.29,NA,IDR
2018-12-17,984.73,NA,IDR
2018-12-26,986.63,NA,IDR
2019-01-01,NA,9290000000.0,IDR
2019-01-02,995.35,NA,IDR
2019-01-07,1011.99,NA,IDR
2019-01-09,1009.45,NA,IDR
2019-01-14,1019.44,NA,IDR
2019-01-18,1047.7,NA,IDR
2019-01-23,1038.3,NA,IDR
2019-01-28,1030.14,NA,IDR
2019-02-01,1055.14,22500000000.0,IDR
2019-02-06,1046.41,NA,IDR
2019-02-11,1037.35,NA,IDR
2019-02-15,1005.37,NA,IDR
2019-02-20,1025.69,NA,IDR
2019-02-25,1028.1,NA,IDR
2019-03-01,1015.41,27160000000.0,IDR
2019-03-06,1007.83,NA,IDR
2019-03-11,994.09,NA,IDR
2019-03-15,1013.16,NA,IDR
2019-03-20,1024.37,NA,IDR
2019-03-25,1010.18,NA,IDR
2019-03-29,1035.6,NA,IDR
2019-04-01,NA,33049999999.999996,IDR
2019-04-02,1035.97,NA,IDR
2019-04-08,1042.73,NA,IDR
2019-04-12,1036.52,NA,IDR
2019-04-16,1047.98,NA,IDR
2019-04-22,1044.3,NA,IDR
2019-04-25,1036.64,NA,IDR
2019-04-30,1046.64,NA,IDR
2019-05-01,NA,35720000000.0,IDR
2019-05-06,1008.01,NA,IDR
2019-05-09,989.67,NA,IDR
2019-05-14,970.74,NA,IDR
2019-05-20,940.71,NA,IDR
2019-05-23,968.88,NA,IDR
2019-05-28,971.15,NA,IDR
2019-06-01,NA,27250000000.0,IDR
2019-06-10,1036.86,NA,IDR
2019-06-11,1035.36,NA,IDR
2019-06-17,1022.05,NA,IDR
2019-06-20,1050.79,NA,IDR
2019-06-25,1045.17,NA,IDR
2019-07-01,1065.51,26380000000.0,IDR
2019-07-04,1061.28,NA,IDR
2019-07-08,1050.98,NA,IDR
2019-07-15,1072.77,NA,IDR
2019-07-18,1064.71,NA,IDR
2019-07-22,1067.69,NA,IDR
2019-07-29,1049.82,NA,IDR
2019-07-31,1057.05,NA,IDR
2019-08-01,NA,37480000000.0,IDR
2019-08-05,1015.91,NA,IDR
2019-08-12,1025.19,NA,IDR
2019-08-14,1028.81,NA,IDR
2019-08-19,1018.66,NA,IDR
2019-08-26,1009.66,NA,IDR
2019-08-28,1019.42,NA,IDR
2019-09-01,NA,37970000000.0,IDR
2019-09-02,1024.83,NA,IDR
2019-09-06,1021.24,NA,IDR
2019-09-11,1030.23,NA,IDR
2019-09-16,1017.71,NA,IDR
2019-09-20,1014.81,NA,IDR
2019-09-25,1001.91,NA,IDR
2019-09-30,1009.45,NA,IDR
2019-10-01,NA,35430000000.0,IDR
2019-10-04,980.54,NA,IDR
2019-10-09,973.51,NA,IDR
2019-10-14,988.97,NA,IDR
2019-10-18,1004.16,NA,IDR
2019-10-23,1020.69,NA,IDR
2019-10-28,1020.1,NA,IDR
2019-11-01,1009.6,39800000000.0,IDR
2019-11-06,1010.54,NA,IDR
2019-11-11,1001.08,NA,IDR
2019-11-15,995.16,NA,IDR
2019-11-19,1005.98,NA,IDR
2019-11-25,990.83,NA,IDR
2019-11-29,983.69,NA,IDR
2019-12-01,NA,43620000000.0,IDR
2019-12-03,999.74,NA,IDR
2019-12-09,1011.73,NA,IDR
2019-12-12,1000.4,NA,IDR
2019-12-17,1022.93,NA,IDR
