tanggal,NAV,AUM,currency
2012-10-03,1000.22,NA,IDR
2012-10-12,1000.33,NA,IDR
2012-10-22,1000.65,NA,IDR
2012-10-31,1008.32,NA,IDR
2012-11-09,1017.03,NA,IDR
2012-11-19,1025.94,NA,IDR
2012-11-27,1027.47,NA,IDR
2012-12-07,1029.12,NA,IDR
2012-12-17,1035.11,NA,IDR
2012-12-26,1035.9,NA,IDR
2013-01-03,1040.07,NA,IDR
2013-01-14,1028.04,NA,IDR
2013-01-22,1029.51,NA,IDR
2013-01-31,1026.36,NA,IDR
2013-02-11,1031.27,NA,IDR
2013-02-19,1034.33,NA,IDR
2013-02-28,1033.57,NA,IDR
2013-03-11,1035.68,NA,IDR
2013-03-18,1031.41,NA,IDR
2013-03-27,1018.75,NA,IDR
2013-04-08,1014.91,NA,IDR
2013-04-15,1029.15,NA,IDR
2013-04-24,1033.08,NA,IDR
2013-05-03,1027.69,NA,IDR
2013-05-13,1036.7,NA,IDR
2013-05-22,1024.8,NA,IDR
2013-05-31,1009.41,NA,IDR
2013-06-10,989.95,NA,IDR
2013-06-19,976.54,NA,IDR
2013-06-28,956.84,NA,IDR
2013-07-08,930.21,NA,IDR
2013-07-16,910.51,NA,IDR
2013-07-26,927.07,NA,IDR
2013-08-12,940.3,NA,IDR
2013-08-13,937.31,NA,IDR
2013-08-22,903.29,NA,IDR
2013-09-02,908.79,NA,IDR
2013-09-10,890.3,NA,IDR
2013-09-19,939.92,NA,IDR
2013-09-30,909.04,NA,IDR
2013-10-07,929.01,NA,IDR
2013-10-17,957.4,NA,IDR
2013-10-28,994.76,NA,IDR
2013-11-04,948.5,NA,IDR
2013-11-13,906.43,NA,IDR
2013-11-25,900.07,NA,IDR
2013-12-02,898.87,NA,IDR
2013-12-11,898.87,NA,IDR
2013-12-20,915.8,NA,IDR
2013-12-30,915.17,NA,IDR
2014-01-08,888.96,NA,IDR
2014-01-17,912.47,NA,IDR
2014-01-27,889.78,NA,IDR
2014-02-04,889.85,NA,IDR
2014-02-14,909.8,NA,IDR
2014-02-24,924.86,NA,IDR
2014-03-04,934.16,NA,IDR
2014-03-13,936.96,NA,IDR
2014-03-24,939.91,NA,IDR
2014-04-01,945.13,NA,IDR
2014-04-10,947.81,NA,IDR
2014-04-21,949.39,NA,IDR
2014-04-29,950.59,NA,IDR
2014-05-08,949.59,NA,IDR
2014-05-19,953.93,NA,IDR
2014-05-26,953.76,NA,IDR
2014-06-04,955.54,NA,IDR
2014-06-16,957.72,NA,IDR
2014-06-23,958.48,NA,IDR
2014-07-02,958.92,NA,IDR
2014-07-11,961.76,NA,IDR
2014-07-21,965.8,NA,IDR
2014-08-04,965.84,NA,IDR
2014-08-08,961.43,NA,IDR
2014-08-18,964.18,NA,IDR
2014-08-27,966.65,NA,IDR
2014-09-05,983.25,NA,IDR
2014-09-15,971.19,NA,IDR
2014-09-23,976.15,NA,IDR
2014-10-02,967.83,NA,IDR
2014-10-13,974.73,NA,IDR
2014-10-21,1000.36,NA,IDR
2014-10-30,993.44,NA,IDR
2014-11-10,1004.5,NA,IDR
2014-11-18,1011.77,NA,IDR
2014-11-27,1027.09,NA,IDR
2014-12-08,1020.4,NA,IDR
2014-12-15,986.96,NA,IDR
2014-12-29,1020.32,NA,IDR
2015-01-05,1019.12,NA,IDR
2015-01-12,1037.44,NA,IDR
2015-01-21,1073.09,NA,IDR
2015-01-30,1091.07,NA,IDR
2015-02-09,1091.77,NA,IDR
2015-02-16,1073.92,NA,IDR
2015-02-18,1101.17,NA,IDR
2015-02-24,1068.73,NA,IDR
2015-02-27,1079.2,NA,IDR
2015-03-03,1074.45,NA,IDR
2015-03-09,1054.87,NA,IDR
2015-03-11,1043.69,NA,IDR
2015-03-19,1077.87,NA,IDR
2015-03-26,1076.29,NA,IDR
2015-03-27,1075.56,NA,IDR
2015-04-02,1075.19,NA,IDR
2015-04-06,1077.33,NA,IDR
2015-04-10,1079.19,NA,IDR
2015-04-14,1076.29,NA,IDR
2015-04-17,1065.86,NA,IDR
2015-04-24,1065.43,NA,IDR
2015-04-27,1061.1,NA,IDR
2015-05-04,1057.72,NA,IDR
2015-05-11,1040.25,NA,IDR
2015-05-12,1037.61,NA,IDR
2015-05-18,1049.83,NA,IDR
2015-05-21,1047.43,NA,IDR
2015-05-25,1046.81,NA,IDR
2015-06-01,1045.13,NA,IDR
2015-06-09,1028.4,NA,IDR
2015-06-16,1029.21,NA,IDR
2015-06-18,1034.88,NA,IDR
2015-06-24,1058.41,NA,IDR
2015-06-29,1049.35,NA,IDR
2015-07-01,1055.91,NA,IDR
2015-07-06,1060.27,NA,IDR
2015-07-08,1048.54,NA,IDR
2015-07-22,1052.33,NA,IDR
2015-07-23,1053.49,NA,IDR
2015-07-27,1052.6,NA,IDR
2015-07-31,1043.3,NA,IDR
2015-08-03,1043.21,NA,IDR
2015-08-07,1046.66,NA,IDR
2015-08-12,1032.76,NA,IDR
2015-08-18,1037.66,NA,IDR
2015-08-24,1024.5,NA,IDR
2015-08-31,1036.03,NA,IDR
2015-09-07,1027.18,NA,IDR
2015-09-09,1024.41,NA,IDR
2015-09-14,1019.23,NA,IDR
2015-09-18,1026.73,NA,IDR
2015-09-21,1029.46,NA,IDR
2015-09-28,1008.67,NA,IDR
2015-09-29,999.99,NA,IDR
2015-10-06,1046.72,NA,IDR
2015-10-07,1052.39,NA,IDR
2015-10-15,1049.53,NA,IDR
2015-10-16,1050.41,NA,IDR
2015-10-21,1045.25,NA,IDR
2015-10-26,1053.54,NA,IDR
2015-10-29,1050.56,NA,IDR
2015-11-03,1046.7,NA,IDR
2015-11-05,1051.37,NA,IDR
2015-11-13,1058.35,NA,IDR
2015-11-20,1061.82,NA,IDR
2015-11-23,1061.16,NA,IDR
2015-11-27,1066.58,NA,IDR
2015-12-01,1069.62,NA,IDR
2015-12-07,1071.37,NA,IDR
2015-12-10,1071.41,NA,IDR
2015-12-14,1053.13,NA,IDR
2015-12-21,1066.55,NA,IDR
2015-12-28,1067.53,NA,IDR
2015-12-29,1066.48,NA,IDR
2016-01-04,1067.69,NA,IDR
2016-01-07,1067.84,NA,IDR
2016-01-11,1070.8,NA,IDR
2016-01-18,1083.87,NA,IDR
2016-01-19,1080.71,NA,IDR
2016-01-26,1092.96,NA,IDR
2016-02-03,1115.23,NA,IDR
2016-02-04,1116.16,NA,IDR
2016-02-10,1123.39,NA,IDR
2016-02-15,1126.95,NA,IDR
2016-02-18,1120.69,NA,IDR
2016-02-22,1113.42,NA,IDR
2016-02-25,1103.34,NA,IDR
2016-03-02,1116.97,NA,IDR
2016-03-04,1130.57,NA,IDR
2016-03-11,1139.75,NA,IDR
2016-03-14,1143.36,NA,IDR
2016-03-21,1145.82,NA,IDR
2016-03-28,1140.93,NA,IDR
2016-03-30,1147.15,NA,IDR
2016-04-04,1160.72,NA,IDR
2016-04-08,1169.06,NA,IDR
2016-04-11,1172.82,NA,IDR
2016-04-18,1187.1,NA,IDR
2016-04-25,1177.0,NA,IDR
2016-04-27,1179.57,NA,IDR
2016-05-02,1173.02,NA,IDR
2016-05-09,1170.97,NA,IDR
2016-05-10,1168.26,NA,IDR
2016-05-16,1173.35,NA,IDR
2016-05-17,1178.78,NA,IDR
2016-05-25,1163.42,NA,IDR
2016-06-01,1168.26,NA,IDR
2016-06-03,1171.65,NA,IDR
2016-06-09,1189.15,NA,IDR
2016-06-13,1187.02,NA,IDR
2016-06-16,1186.16,NA,IDR
2016-06-21,1184.39,NA,IDR
2016-06-24,1177.29,NA,IDR
2016-07-01,1207.58,NA,IDR
2016-07-11,1226.1,NA,IDR
2016-07-18,1225.39,NA,IDR
2016-07-19,1230.09,NA,IDR
2016-07-25,1225.24,NA,IDR
2016-07-28,1233.49,NA,IDR
2016-08-01,1239.86,NA,IDR
2016-08-08,1238.53,NA,IDR
2016-08-15,1241.59,NA,IDR
2016-08-16,1240.72,NA,IDR
2016-08-23,1229.92,NA,IDR
2016-08-25,1228.89,NA,IDR
2016-08-30,1227.04,NA,IDR
2016-09-05,1238.48,NA,IDR
2016-09-06,1240.55,NA,IDR
2016-09-13,1237.67,NA,IDR
2016-09-14,1233.78,NA,IDR
2016-09-21,1239.1,NA,IDR
2016-09-22,1244.45,NA,IDR
2016-09-29,1241.63,NA,IDR
2016-10-03,1241.05,NA,IDR
2016-10-06,1240.7,NA,IDR
2016-10-10,1237.29,NA,IDR
2016-10-14,1237.64,NA,IDR
2016-10-19,1232.13,NA,IDR
2016-10-21,1233.3,NA,IDR
2016-10-31,1219.09,NA,IDR
2016-11-07,1214.86,NA,IDR
2016-11-14,1177.33,NA,IDR
2016-11-16,1181.65,NA,IDR
2016-11-21,1177.64,NA,IDR
2016-11-25,1157.43,NA,IDR
2016-11-28,1160.09,NA,IDR
2016-12-05,1173.53,NA,IDR
2016-12-13,1199.21,NA,IDR
2016-12-14,1195.29,NA,IDR
2016-12-20,1188.42,NA,IDR
2016-12-23,1189.64,NA,IDR
2016-12-28,1189.51,NA,IDR
2017-01-03,1186.64,NA,IDR
2017-01-04,1192.75,NA,IDR
2017-01-10,1199.71,NA,IDR
2017-01-12,1205.31,NA,IDR
2017-01-19,1208.08,NA,IDR
2017-01-20,1207.89,NA,IDR
2017-01-26,1206.05,NA,IDR
2017-01-30,1204.31,NA,IDR
2017-02-03,1204.42,NA,IDR
2017-02-07,1208.57,NA,IDR
2017-02-10,1212.47,NA,IDR
2017-02-16,1210.84,NA,IDR
2017-02-20,1212.35,NA,IDR
2017-02-27,1214.11,NA,IDR
2017-03-06,1220.51,NA,IDR
2017-03-07,1222.24,NA,IDR
2017-03-13,1224.64,NA,IDR
2017-03-16,1239.02,NA,IDR
2017-03-20,1243.78,NA,IDR
2017-03-27,1249.69,NA,IDR
2017-04-03,1261.97,NA,IDR
2017-04-04,1262.63,NA,IDR
2017-04-11,1258.58,NA,IDR
2017-04-13,1261.92,NA,IDR
2017-04-20,1259.67,NA,IDR
2017-04-25,1261.26,NA,IDR
2017-04-26,1263.24,NA,IDR
2017-05-02,1265.01,NA,IDR
2017-05-04,1264.07,NA,IDR
2017-05-10,1255.67,NA,IDR
2017-05-12,1254.43,NA,IDR
2017-05-19,1267.91,NA,IDR
2017-05-22,1271.77,NA,IDR
2017-05-26,1274.02,NA,IDR
2017-05-29,1274.65,NA,IDR
2017-06-02,1274.88,NA,IDR
2017-06-07,1276.03,NA,IDR
2017-06-12,1279.05,NA,IDR
2017-06-16,1284.4,NA,IDR
2017-06-19,1287.9,NA,IDR
2017-07-03,1283.31,NA,IDR
2017-07-05,1284.41,NA,IDR
2017-07-10,1265.88,NA,IDR
2017-07-14,1279.83,NA,IDR
2017-07-17,1280.89,NA,IDR
2017-07-24,1289.66,NA,IDR
2017-07-25,1289.09,NA,IDR
2017-08-01,1288.48,NA,IDR
2017-08-02,1287.75,NA,IDR
2017-08-09,1295.29,NA,IDR
2017-08-11,1292.8,NA,IDR
2017-08-16,1293.71,NA,IDR
2017-08-21,1295.58,NA,IDR
2017-08-24,1300.15,NA,IDR
2017-08-29,1307.94,NA,IDR
2017-08-31,1316.81,NA,IDR
2017-09-07,1326.44,NA,IDR
2017-09-08,1333.95,NA,IDR
2017-09-15,1326.56,NA,IDR
2017-09-18,1330.06,NA,IDR
2017-09-25,1344.63,NA,IDR
2017-09-26,1337.94,NA,IDR
2017-10-02,1332.43,NA,IDR
2017-10-05,1329.49,NA,IDR
2017-10-09,1326.98,NA,IDR
2017-10-16,1327.32,NA,IDR
2017-10-23,1319.18,NA,IDR
2017-10-24,1317.99,NA,IDR
2017-10-30,1312.43,NA,IDR
2017-11-02,1321.34,NA,IDR
2017-11-06,1326.11,NA,IDR
2017-11-13,1327.24,NA,IDR
2017-11-14,1327.74,NA,IDR
2017-11-20,1331.18,NA,IDR
2017-11-21,1332.5,NA,IDR
2017-11-29,1341.89,NA,IDR
2017-11-30,1342.36,NA,IDR
2017-12-01,NA,54850000000.0,IDR
2017-12-06,1343.76,NA,IDR
2017-12-11,1343.36,NA,IDR
2017-12-14,1344.57,NA,IDR
2017-12-18,1345.88,NA,IDR
2017-12-21,1351.81,NA,IDR
2017-12-27,1353.76,NA,IDR
2017-12-29,1358.98,NA,IDR
2018-01-01,NA,71700000000.0,IDR
2018-01-05,1369.0,NA,IDR
2018-01-15,1380.01,NA,IDR
2018-01-22,1380.32,NA,IDR
2018-01-24,1375.9,NA,IDR
2018-01-29,1368.03,NA,IDR
2018-02-01,NA,65890000000.0,IDR
2018-02-02,1373.36,NA,IDR
2018-02-05,1368.25,NA,IDR
2018-02-12,1365.42,NA,IDR
2018-02-19,1360.07,NA,IDR
2018-02-21,1360.58,NA,IDR
2018-02-27,1356.58,NA,IDR
2018-03-01,NA,63860000000.0,IDR
2018-03-02,1349.68,NA,IDR
2018-03-06,1346.62,NA,IDR
2018-03-12,1339.6,NA,IDR
2018-03-13,1345.46,NA,IDR
2018-03-20,1352.98,NA,IDR
2018-03-21,1351.83,NA,IDR
2018-03-28,1352.09,NA,IDR
2018-04-01,NA,51570000000.0,IDR
2018-04-02,1361.86,NA,IDR
2018-04-05,1366.82,NA,IDR
2018-04-09,1363.82,NA,IDR
2018-04-12,1365.87,NA,IDR
2018-04-17,1363.33,NA,IDR
2018-04-20,1353.75,NA,IDR
2018-04-26,1332.0,NA,IDR
2018-04-27,1338.47,NA,IDR
2018-05-01,NA,49500000000.0,IDR
2018-05-07,1335.07,NA,IDR
2018-05-14,1330.14,NA,IDR
2018-05-15,1330.94,NA,IDR
2018-05-21,1302.13,NA,IDR
2018-05-24,1295.32,NA,IDR
2018-05-28,1323.47,NA,IDR
2018-06-01,NA,46360000000.0,IDR
2018-06-04,1339.04,NA,IDR
2018-06-20,1325.69,NA,IDR
2018-06-21,1305.58,NA,IDR
2018-06-26,1287.26,NA,IDR
2018-07-01,NA,45400000000.0,IDR
2018-07-02,1280.76,NA,IDR
2018-07-04,1281.71,NA,IDR
2018-07-09,1304.78,NA,IDR
2018-07-11,1306.26,NA,IDR
2018-07-18,1296.25,NA,IDR
2018-07-19,1287.04,NA,IDR
2018-07-26,1287.65,NA,IDR
2018-07-30,1288.94,NA,IDR
2018-08-01,NA,43970000000.0,IDR
2018-08-02,1290.66,NA,IDR
2018-08-06,1287.85,NA,IDR
2018-08-10,1298.13,NA,IDR
2018-08-15,1278.11,NA,IDR
2018-08-20,1285.53,NA,IDR
2018-08-24,1287.86,NA,IDR
2018-08-27,1288.78,NA,IDR
2018-09-01,NA,42530000000.0,IDR
2018-09-03,1262.74,NA,IDR
2018-09-10,1244.85,NA,IDR
2018-09-12,1240.83,NA,IDR
2018-09-17,1250.27,NA,IDR
2018-09-21,1272.19,NA,IDR
2018-09-24,1271.05,NA,IDR
2018-10-01,1288.76,41690000000.0,IDR
2018-10-09,1261.13,NA,IDR
2018-10-16,1245.38,NA,IDR
2018-10-19,1254.12,NA,IDR
2018-10-24,1260.17,NA,IDR
2018-10-29,1256.98,NA,IDR
2018-10-31,1261.17,NA,IDR
2018-11-01,NA,40420000000.0,IDR
2018-11-06,1282.47,NA,IDR
2018-11-08,1300.62,NA,IDR
2018-11-15,1294.44,NA,IDR
2018-11-23,1307.14,NA,IDR
2018-11-26,1308.33,NA,IDR
2018-11-30,1317.49,NA,IDR
2018-12-01,NA,235970000000.0,IDR
2018-12-04,1317.29,NA,IDR
2018-12-10,1298.94,NA,IDR
2018-12-13,1299.17,NA,IDR
2018-12-17,1295.38,NA,IDR
2018-12-26,1307.56,NA,IDR
2019-01-01,NA,233920000000.0,IDR
2019-01-02,1306.73,NA,IDR
2019-01-07,1311.11,NA,IDR
2019-01-10,1308.94,NA,IDR
2019-01-14,1306.66,NA,IDR
2019-01-21,1304.74,NA,IDR
2019-01-28,1307.0,NA,IDR
2019-01-29,1306.06,NA,IDR
2019-02-01,NA,235850000000.0,IDR
2019-02-06,1340.17,NA,IDR
2019-02-13,1328.92,NA,IDR
2019-02-18,1321.24,NA,IDR
2019-02-20,1328.21,NA,IDR
2019-02-25,1332.82,NA,IDR
2019-02-28,1337.6,NA,IDR
2019-03-01,NA,238820000000.0,IDR
2019-03-06,1333.11,NA,IDR
