tanggal,NAV,AUM,currency
2008-02-18,1000.0,NA,IDR
2008-02-29,1000.0,NA,IDR
2008-03-13,1000.0,NA,IDR
2008-03-25,1000.0,NA,IDR
2008-04-07,1000.0,NA,IDR
2008-04-21,1000.0,NA,IDR
2008-05-02,1000.0,NA,IDR
2008-05-15,1000.0,NA,IDR
2008-05-28,1000.0,NA,IDR
2008-06-09,1000.0,NA,IDR
2008-06-23,1000.0,NA,IDR
2008-07-07,1000.0,NA,IDR
2008-07-18,1000.0,NA,IDR
2008-07-31,1000.0,NA,IDR
2008-08-12,1000.0,NA,IDR
2008-08-25,1000.0,NA,IDR
2008-09-08,1000.0,NA,IDR
2008-09-19,1000.0,NA,IDR
2008-10-06,1000.0,NA,IDR
2008-10-14,1000.0,NA,IDR
2008-10-27,1000.0,NA,IDR
2008-11-10,1000.0,NA,IDR
2008-11-21,1000.0,NA,IDR
2008-12-04,1000.0,NA,IDR
2008-12-17,1000.0,NA,IDR
2008-12-30,1000.0,NA,IDR
2009-01-12,1000.0,NA,IDR
2009-01-27,1000.0,NA,IDR
2009-02-06,1000.0,NA,IDR
2009-02-18,1000.0,NA,IDR
2009-03-03,1000.0,NA,IDR
2009-03-16,1000.0,NA,IDR
2009-03-31,1000.0,NA,IDR
2009-04-13,1000.0,NA,IDR
2009-04-23,1000.0,NA,IDR
2009-05-06,1000.0,NA,IDR
2009-05-18,1000.0,NA,IDR
2009-06-01,1000.0,NA,IDR
2009-06-15,1000.0,NA,IDR
2009-06-25,1000.0,NA,IDR
2009-07-10,1000.0,NA,IDR
2009-07-21,1000.0,NA,IDR
2009-08-03,1000.0,NA,IDR
2009-08-20,1000.0,NA,IDR
2009-08-28,1000.0,NA,IDR
2009-09-09,1000.0,NA,IDR
2009-09-24,1000.0,NA,IDR
2009-10-05,1000.0,NA,IDR
2009-10-19,1000.0,NA,IDR
2009-10-30,1000.0,NA,IDR
2009-11-12,1000.0,NA,IDR
2009-11-25,1000.0,NA,IDR
2009-12-07,1000.0,NA,IDR
2009-12-21,1000.0,NA,IDR
2010-01-04,1000.0,NA,IDR
2010-01-14,1000.0,NA,IDR
2010-01-27,1000.0,NA,IDR
2010-02-09,1000.0,NA,IDR
2010-02-22,1000.0,NA,IDR
2010-03-08,1000.0,NA,IDR
2010-03-19,1000.0,NA,IDR
2010-04-01,1000.0,NA,IDR
2010-04-13,1000.0,NA,IDR
2010-04-26,1000.0,NA,IDR
2010-05-10,1000.0,NA,IDR
2010-05-21,1000.0,NA,IDR
2010-06-03,1000.0,NA,IDR
2010-06-16,1000.0,NA,IDR
2010-06-29,1000.0,NA,IDR
2010-07-12,1000.0,NA,IDR
2010-07-26,1000.0,NA,IDR
2010-08-06,1000.0,NA,IDR
2010-08-18,1000.0,NA,IDR
2010-08-31,1000.0,NA,IDR
2010-09-16,1000.0,NA,IDR
2010-09-27,1000.0,NA,IDR
2010-10-08,1000.0,NA,IDR
2010-10-21,1000.0,NA,IDR
2010-11-02,1000.0,NA,IDR
2010-11-15,1000.0,NA,IDR
2010-11-29,1000.0,NA,IDR
2010-12-13,1000.0,NA,IDR
2010-12-23,1000.0,NA,IDR
2011-01-05,1000.0,NA,IDR
2011-01-18,1000.0,NA,IDR
2011-01-31,1000.0,NA,IDR
2011-02-14,1000.0,NA,IDR
2011-02-25,1000.0,NA,IDR
2011-03-09,1000.0,NA,IDR
2011-03-22,1000.0,NA,IDR
2011-04-04,1000.0,NA,IDR
2011-04-18,1000.0,NA,IDR
2011-04-29,1000.0,NA,IDR
2011-05-12,1000.0,NA,IDR
2011-05-25,1000.0,NA,IDR
2011-06-06,1000.0,NA,IDR
2011-06-20,1000.0,NA,IDR
2011-07-04,1000.0,NA,IDR
2011-07-14,1000.0,NA,IDR
2011-07-27,1000.0,NA,IDR
2011-08-09,1000.0,NA,IDR
2011-08-22,1000.0,NA,IDR
2011-09-05,1000.0,NA,IDR
2011-09-16,1000.0,NA,IDR
2011-09-29,1000.0,NA,IDR
2011-10-11,1000.0,NA,IDR
2011-10-24,1000.0,NA,IDR
2011-11-07,1000.0,NA,IDR
2011-11-18,1000.0,NA,IDR
2011-12-01,1000.0,NA,IDR
2011-12-14,1000.0,NA,IDR
2011-12-27,1000.0,NA,IDR
2012-01-09,1000.0,NA,IDR
2012-01-24,1000.0,NA,IDR
2012-02-03,1000.0,NA,IDR
2012-02-15,1000.0,NA,IDR
2012-02-28,1000.0,NA,IDR
2012-03-12,1000.0,NA,IDR
2012-03-26,1000.0,NA,IDR
2012-04-09,1000.0,NA,IDR
2012-04-19,1000.0,NA,IDR
2012-05-01,1000.0,NA,IDR
2012-05-14,1000.0,NA,IDR
2012-05-28,1000.0,NA,IDR
2012-06-08,1000.0,NA,IDR
2012-06-21,1000.0,NA,IDR
2012-07-04,1000.0,NA,IDR
2012-07-17,1000.0,NA,IDR
2012-07-30,1000.0,NA,IDR
2012-08-13,1000.0,NA,IDR
2012-08-24,1000.0,NA,IDR
2012-09-05,1000.0,NA,IDR
2012-09-18,1000.0,NA,IDR
2012-10-01,1000.0,NA,IDR
2012-10-15,1000.0,NA,IDR
2012-10-29,1000.0,NA,IDR
2012-11-08,1000.0,NA,IDR
2012-11-21,1000.0,NA,IDR
2012-12-03,1000.0,NA,IDR
2012-12-17,1000.0,NA,IDR
2013-01-02,1001.38,NA,IDR
2013-01-10,1002.71,NA,IDR
2013-01-23,1004.05,NA,IDR
2013-02-05,1005.57,NA,IDR
2013-02-18,1007.1,NA,IDR
2013-03-04,1009.11,NA,IDR
2013-03-15,1010.59,NA,IDR
2013-03-28,1010.99,NA,IDR
2013-04-09,1012.83,NA,IDR
2013-04-22,1014.81,NA,IDR
2013-05-06,1017.14,NA,IDR
2013-05-17,1018.28,NA,IDR
2013-05-30,1019.54,NA,IDR
2013-06-12,1019.21,NA,IDR
2013-06-24,1019.83,NA,IDR
2013-07-08,1021.77,NA,IDR
2013-07-22,1024.71,NA,IDR
2013-08-01,1025.98,NA,IDR
2013-08-14,1027.17,NA,IDR
2013-08-27,1027.88,NA,IDR
2013-09-09,1029.59,NA,IDR
2013-09-23,1033.16,NA,IDR
2013-10-04,1034.52,NA,IDR
2013-10-17,1036.73,NA,IDR
2013-10-29,1039.45,NA,IDR
2013-11-11,1041.36,NA,IDR
2013-11-25,1042.21,NA,IDR
2013-12-06,1043.03,NA,IDR
2013-12-19,1046.0,NA,IDR
2014-01-02,1048.83,NA,IDR
2014-01-15,1050.39,NA,IDR
2014-01-27,1052.25,NA,IDR
2014-02-10,1055.19,NA,IDR
2014-02-21,1059.01,NA,IDR
2014-03-05,1061.75,NA,IDR
2014-03-18,1064.1,NA,IDR
2014-04-01,1066.9,NA,IDR
2014-04-14,1070.21,NA,IDR
2014-04-25,1071.55,NA,IDR
2014-05-08,1073.56,NA,IDR
2014-05-20,1076.32,NA,IDR
2014-06-02,1077.84,NA,IDR
2014-06-16,1080.73,NA,IDR
2014-06-30,1083.72,NA,IDR
2014-07-10,1086.76,NA,IDR
2014-07-23,1089.02,NA,IDR
2014-08-05,1089.65,NA,IDR
2014-08-18,1093.16,NA,IDR
2014-09-01,1096.31,NA,IDR
2014-09-12,1098.63,NA,IDR
2014-09-24,1100.24,NA,IDR
2014-10-07,1101.95,NA,IDR
2014-10-20,1103.97,NA,IDR
2014-11-03,1107.93,NA,IDR
2014-11-14,1109.87,NA,IDR
2014-11-27,1112.35,NA,IDR
2014-12-10,1115.51,NA,IDR
2014-12-22,1117.2,NA,IDR
2015-01-05,1119.0,NA,IDR
2015-01-19,1122.26,NA,IDR
2015-01-29,1124.66,NA,IDR
2015-02-09,1127.41,NA,IDR
