tanggal,NAV,AUM,currency
2018-08-01,NA,15730000000.0,IDR
2018-09-01,NA,10750000000.0,IDR
2018-09-10,1003.24,NA,IDR
2018-09-14,1004.05,NA,IDR
2018-09-19,1004.35,NA,IDR
2018-09-24,1003.27,NA,IDR
2018-10-01,1006.11,10810000000.0,IDR
2018-10-03,1007.4,NA,IDR
2018-10-08,1008.03,NA,IDR
2018-10-15,1009.18,NA,IDR
2018-10-18,1009.73,NA,IDR
2018-10-23,1010.37,NA,IDR
2018-10-29,1011.08,NA,IDR
2018-11-01,1011.25,700000000.0,IDR
2018-11-06,1014.88,NA,IDR
2018-11-12,1009.23,NA,IDR
2018-11-16,1019.34,NA,IDR
2018-11-21,1018.4,NA,IDR
2018-11-26,1017.12,NA,IDR
2018-11-30,1015.9,NA,IDR
2018-12-01,NA,50320000000.0,IDR
2018-12-05,1009.69,NA,IDR
2018-12-10,1007.7,NA,IDR
2018-12-14,1006.95,NA,IDR
2018-12-19,1002.43,NA,IDR
2018-12-26,996.66,NA,IDR
2019-01-01,NA,50400000000.0,IDR
2019-01-02,996.58,NA,IDR
2019-01-07,997.43,NA,IDR
2019-01-14,998.61,NA,IDR
2019-01-17,999.11,NA,IDR
2019-01-22,999.97,NA,IDR
2019-01-28,1000.95,NA,IDR
2019-01-31,1001.42,NA,IDR
2019-02-01,NA,1050000000000.0,IDR
2019-02-06,1002.35,NA,IDR
2019-02-11,1003.14,NA,IDR
2019-02-15,1002.39,NA,IDR
2019-02-19,1003.14,NA,IDR
2019-02-25,1004.28,NA,IDR
2019-03-01,1004.87,1060000000000.0,IDR
2019-03-06,1005.81,NA,IDR
2019-03-11,1006.63,NA,IDR
2019-03-15,1007.22,NA,IDR
2019-03-20,1008.04,NA,IDR
2019-03-25,1008.84,NA,IDR
2019-04-01,1009.92,1060000000000.0,IDR
2019-04-04,1010.35,NA,IDR
2019-04-08,1011.03,NA,IDR
2019-04-15,1012.08,NA,IDR
2019-04-18,1012.6,NA,IDR
2019-04-23,1013.44,NA,IDR
2019-04-29,1014.38,NA,IDR
2019-05-01,NA,50580000000.0,IDR
2019-05-02,1014.84,NA,IDR
2019-05-07,1015.62,NA,IDR
2019-05-13,1016.44,NA,IDR
2019-05-17,1016.23,NA,IDR
2019-05-21,1016.6,NA,IDR
2019-05-27,1016.31,NA,IDR
2019-05-31,1016.93,NA,IDR
2019-06-01,NA,550000000000.0,IDR
2019-06-10,1017.34,NA,IDR
2019-06-14,1017.96,NA,IDR
2019-06-19,1018.73,NA,IDR
2019-06-24,1019.5,NA,IDR
2019-07-01,1009.44,550000000000.0,IDR
2019-07-04,1010.29,NA,IDR
2019-07-08,1010.71,NA,IDR
2019-07-15,1013.0,NA,IDR
2019-07-18,1013.56,NA,IDR
2019-07-23,1014.4,NA,IDR
2019-07-29,1014.81,NA,IDR
2019-08-01,1015.03,560000000000.0,IDR
2019-08-06,1015.38,NA,IDR
2019-08-12,1016.68,NA,IDR
2019-08-16,1017.16,NA,IDR
2019-08-21,1018.41,NA,IDR
2019-08-26,1019.19,NA,IDR
2019-08-30,1022.69,NA,IDR
2019-09-01,NA,520000000000.0,IDR
2019-09-04,1023.45,NA,IDR
2019-09-09,1023.99,NA,IDR
2019-09-13,1024.71,NA,IDR
2019-09-18,1025.62,NA,IDR
2019-09-23,1026.42,NA,IDR
2019-09-30,1028.28,NA,IDR
2019-10-01,NA,520000000000.0,IDR
2019-10-03,1028.9,NA,IDR
2019-10-07,1029.65,NA,IDR
2019-10-14,1030.98,NA,IDR
2019-10-17,1031.47,NA,IDR
2019-10-22,1032.56,NA,IDR
