tanggal,NAV,AUM,currency
2015-02-27,NA,127251.0,IDR
2015-03-31,NA,128539.99999999999,IDR
2015-04-30,NA,128800.00000000001,IDR
2015-05-29,NA,135560.0,IDR
2015-06-30,NA,131330.0,IDR
2015-10-30,NA,39500.0,IDR
2015-11-30,NA,29680.0,IDR
2015-12-30,NA,31160.0,IDR
2017-11-01,NA,85890000000.0,IDR
2017-12-01,NA,86840000000.0,IDR
2018-01-01,NA,90860000000.0,IDR
2018-02-01,NA,198820000000.0,IDR
2018-03-01,NA,196340000000.0,IDR
2018-04-01,NA,212500000000.0,IDR
2018-05-01,NA,183440000000.0,IDR
2018-05-31,NA,183440.0,IDR
2018-06-01,NA,186220000000.0,IDR
2018-07-01,NA,170420000000.0,IDR
2018-07-31,NA,170420.0,IDR
2018-08-31,NA,215290.0,IDR
2018-10-01,NA,352870000000.0,IDR
2018-11-01,NA,403110000000.0,IDR
2018-12-01,NA,204330000000.0,IDR
2019-01-01,NA,331900000000.0,IDR
2019-02-01,NA,129169999999.99998,IDR
2019-03-01,NA,172600000000.0,IDR
2019-04-01,NA,291830000000.0,IDR
2019-05-01,NA,113430000000.0,IDR
2019-06-01,NA,113870000000.0,IDR
2019-07-01,NA,171430000000.0,IDR
2019-08-01,NA,268970000000.00003,IDR
2019-09-01,NA,353480000000.0,IDR
2019-10-01,NA,342850000000.0,IDR
2019-11-01,NA,230640000000.0,IDR
2019-12-01,NA,165820000000.0,IDR
2020-01-01,NA,189860000000.0,IDR
2020-02-01,NA,245300000000.0,IDR
2020-03-01,NA,229620000000.0,IDR
2020-03-19,1000.4,NA,IDR
2020-03-23,1000.84,NA,IDR
2020-03-26,1001.23,NA,IDR
2020-03-30,1001.75,NA,IDR
2020-04-01,NA,226940000000.0,IDR
2020-04-02,1002.13,NA,IDR
2020-04-06,1002.64,NA,IDR
2020-04-13,1003.54,NA,IDR
2020-04-17,1003.92,NA,IDR
2020-04-21,1004.45,NA,IDR
2020-04-24,1004.84,NA,IDR
2020-04-28,1005.34,NA,IDR
2020-05-01,NA,214940000000.0,IDR
2020-05-04,1006.1,NA,IDR
2020-05-05,1006.22,NA,IDR
2020-05-11,1006.99,NA,IDR
2020-05-13,1007.26,NA,IDR
2020-05-18,1007.87,NA,IDR
2020-05-20,1008.11,NA,IDR
2020-05-26,1008.9,NA,IDR
2020-05-27,1009.01,NA,IDR
2020-06-01,NA,185300000000.0,IDR
2020-06-02,1009.75,NA,IDR
