tanggal,NAV,AUM,currency
2007-07-27,NA,26090.0,IDR
2007-07-30,1004.44,NA,IDR
2007-08-09,NA,26040.0,IDR
2007-08-13,960.37,NA,IDR
2007-08-22,NA,23080.0,IDR
2007-08-24,890.08,NA,IDR
2007-09-04,NA,26980.0,IDR
2007-09-06,950.35,NA,IDR
2007-09-17,NA,27800.0,IDR
2007-09-19,1019.46,NA,IDR
2007-10-01,NA,30380.0,IDR
2007-10-02,1091.23,NA,IDR
2007-10-18,1149.67,39700.0,IDR
2007-10-26,NA,43500.0,IDR
2007-10-29,1169.89,NA,IDR
2007-11-08,NA,45720.0,IDR
2007-11-12,1183.55,NA,IDR
2007-11-21,NA,50090.0,IDR
2007-11-23,1115.65,NA,IDR
2007-12-04,NA,66130.0,IDR
2007-12-07,1264.36,NA,IDR
2007-12-17,NA,66040.0,IDR
2007-12-26,1236.99,NA,IDR
2008-01-02,1242.5,70040.0,IDR
2008-01-14,NA,70680.0,IDR
2008-01-15,1222.9,NA,IDR
2008-01-25,NA,73250.0,IDR
2008-01-28,1147.06,NA,IDR
2008-02-08,NA,73400.0,IDR
2008-02-11,1159.49,NA,IDR
2008-02-20,NA,76330.0,IDR
2008-02-25,1219.81,NA,IDR
2008-03-04,NA,71790.0,IDR
2008-03-10,1117.74,NA,IDR
2008-03-17,NA,60540.0,IDR
2008-03-24,999.51,NA,IDR
2008-03-31,NA,64000.0,IDR
2008-04-03,922.53,NA,IDR
2008-04-14,NA,61360.0,IDR
2008-04-16,987.77,NA,IDR
2008-04-25,NA,57150.0,IDR
2008-04-29,975.92,NA,IDR
2008-05-08,NA,60820.0,IDR
2008-05-12,1014.64,NA,IDR
2008-05-21,NA,63940.0,IDR
2008-05-26,1051.71,NA,IDR
2008-06-03,NA,62290.0,IDR
2008-06-09,1053.99,NA,IDR
2008-06-16,NA,62220.0,IDR
2008-06-20,1066.25,NA,IDR
2008-06-30,NA,62440.0,IDR
2008-07-03,1020.15,NA,IDR
2008-07-14,NA,58450.0,IDR
2008-07-16,954.73,NA,IDR
2008-07-25,NA,54604.4,IDR
