tanggal,NAV,AUM,currency
2017-12-01,NA,353230000000.0,IDR
2018-01-01,NA,355910000000.0,IDR
2018-02-01,NA,350930000000.0,IDR
2018-03-01,NA,350490000000.0,IDR
2018-04-01,NA,345800000000.0,IDR
2018-05-01,NA,341580000000.0,IDR
2018-06-01,NA,331730000000.0,IDR
2018-07-01,NA,333080000000.0,IDR
2018-08-01,NA,330950000000.0,IDR
2018-09-01,NA,328330000000.0,IDR
2018-10-01,NA,324540000000.0,IDR
2018-11-01,NA,329790000000.0,IDR
2018-12-01,NA,328800000000.0,IDR
2019-01-01,NA,329070000000.0,IDR
2019-02-01,NA,332490000000.0,IDR
2019-03-01,NA,334610000000.0,IDR
2019-04-01,NA,333140000000.0,IDR
2019-05-01,NA,331490000000.0,IDR
2019-06-01,NA,337700000000.0,IDR
2019-07-01,NA,339590000000.0,IDR
2019-08-01,NA,338660000000.0,IDR
2019-09-01,NA,339770000000.0,IDR
2019-10-01,NA,343270000000.0,IDR
2019-11-01,NA,343100000000.0,IDR
2019-12-01,NA,342490000000.0,IDR
2020-01-01,NA,346660000000.0,IDR
2020-02-01,NA,346300000000.0,IDR
2020-03-01,NA,335360000000.0,IDR
2020-04-01,NA,335900000000.0,IDR
2020-05-01,NA,221010000000.0,IDR
2020-05-26,971.02,NA,IDR
2020-05-28,976.96,NA,IDR
2020-06-01,NA,223460000000.0,IDR
2020-06-02,981.12,NA,IDR
2020-06-04,987.92,NA,IDR
2020-06-08,984.8,NA,IDR
2020-06-11,987.16,NA,IDR
2020-06-15,987.03,NA,IDR
2020-06-18,981.52,NA,IDR
2020-06-22,982.45,NA,IDR
2020-06-25,986.23,NA,IDR
2020-06-29,986.17,NA,IDR
2020-07-01,NA,227120000000.0,IDR
2020-07-02,986.5,NA,IDR
2020-07-06,987.75,NA,IDR
2020-07-09,991.73,NA,IDR
2020-07-13,994.72,NA,IDR
2020-07-16,991.46,NA,IDR
2020-07-20,992.29,NA,IDR
2020-07-23,998.46,NA,IDR
2020-07-27,1000.83,NA,IDR
2020-07-30,1003.21,NA,IDR
2020-08-01,NA,229150000000.0,IDR
2020-08-03,1003.9,NA,IDR
2020-08-06,1007.42,NA,IDR
2020-08-10,1009.62,NA,IDR
2020-08-13,1012.7,NA,IDR
2020-08-18,1010.61,NA,IDR
2020-08-24,1013.87,NA,IDR
2020-08-27,1012.52,NA,IDR
2020-08-31,1012.17,NA,IDR
2020-09-01,NA,228240000000.0,IDR
2020-09-03,1011.55,NA,IDR
2020-09-07,1011.93,NA,IDR
2020-09-10,1011.25,NA,IDR
2020-09-14,1011.85,NA,IDR
2020-09-17,1007.61,NA,IDR
2020-09-21,1008.51,NA,IDR
2020-09-25,1008.45,NA,IDR
2020-09-28,1008.94,NA,IDR
2020-10-01,NA,229910000000.0,IDR
2020-10-02,1008.19,NA,IDR
2020-10-05,1008.78,NA,IDR
2020-10-09,1009.36,NA,IDR
2020-10-12,1010.65,NA,IDR
2020-10-16,1010.81,NA,IDR
2020-10-19,1012.36,NA,IDR
2020-10-23,1014.86,NA,IDR
2020-10-26,1015.24,NA,IDR
2020-11-01,NA,233030000000.0,IDR
2020-11-02,1014.83,NA,IDR
2020-11-06,1022.39,NA,IDR
2020-11-09,1025.07,NA,IDR
2020-11-13,1023.33,NA,IDR
2020-11-16,1025.4,NA,IDR
2020-11-20,1024.09,NA,IDR
2020-11-23,1024.83,NA,IDR
2020-11-27,1028.34,NA,IDR
2020-11-30,1029.33,NA,IDR
2020-12-01,NA,234070000000.0,IDR
2020-12-04,1029.3,NA,IDR
2020-12-08,1029.95,NA,IDR
2020-12-11,1032.83,NA,IDR
