tanggal,NAV,AUM,currency
2020-06-18,1.0,NA,USD
2020-06-22,1.0,NA,USD
2020-06-25,1.02,NA,USD
2020-06-29,1.0,NA,USD
2020-07-01,1.01,11990000.0,USD
2020-07-06,1.07,NA,USD
2020-07-08,1.1,NA,USD
2020-07-13,1.11,NA,USD
2020-07-15,1.09,NA,USD
2020-07-20,1.09,NA,USD
2020-07-22,1.1,NA,USD
2020-07-27,1.1,NA,USD
2020-07-29,1.11,NA,USD
2020-08-01,NA,14670000.0,USD
2020-08-03,1.12,NA,USD
2020-08-05,1.14,NA,USD
2020-08-10,1.1,NA,USD
2020-08-12,1.1,NA,USD
2020-08-18,1.12,NA,USD
2020-08-19,1.11,NA,USD
2020-08-24,1.14,NA,USD
2020-08-26,1.15,NA,USD
2020-08-31,1.14,NA,USD
2020-09-01,NA,21070000.0,USD
2020-09-02,1.16,NA,USD
2020-09-07,1.12,NA,USD
2020-09-10,1.1,NA,USD
2020-09-14,1.12,NA,USD
2020-09-16,1.13,NA,USD
2020-09-21,1.12,NA,USD
2020-09-23,1.11,NA,USD
2020-09-28,1.1,NA,USD
2020-09-30,1.11,NA,USD
2020-10-01,NA,14200000.0,USD
2020-10-05,1.12,NA,USD
2020-10-07,1.14,NA,USD
2020-10-12,1.17,NA,USD
2020-10-13,1.17,NA,USD
2020-10-19,1.15,NA,USD
2020-10-20,1.15,NA,USD
2020-10-26,1.14,NA,USD
2020-10-27,1.15,NA,USD
2020-11-01,NA,17640000.0,USD
2020-11-02,1.16,NA,USD
2020-11-03,1.15,NA,USD
2020-11-09,1.21,NA,USD
2020-11-10,1.16,NA,USD
2020-11-16,1.17,NA,USD
2020-11-17,1.16,NA,USD
2020-11-23,1.17,NA,USD
2020-11-24,1.17,NA,USD
2020-11-30,1.14,NA,USD
2020-12-01,1.15,18940000.0,USD
2020-12-07,1.16,NA,USD
2020-12-08,1.17,NA,USD
2020-12-11,1.17,NA,USD
2020-12-15,1.16,NA,USD
2020-12-18,1.18,NA,USD
2020-12-22,1.17,NA,USD
2020-12-28,1.17,NA,USD
2020-12-29,1.18,NA,USD
2021-01-01,NA,8300000.000000001,USD
2021-01-04,1.23,NA,USD
2021-01-05,1.25,NA,USD
2021-01-08,1.27,NA,USD
2021-01-12,1.27,NA,USD
2021-01-15,1.27,NA,USD
2021-01-19,1.3,NA,USD
2021-01-22,1.35,NA,USD
2021-01-26,1.34,NA,USD
2021-01-29,1.29,NA,USD
2021-02-01,1.32,12870000.0,USD
2021-02-05,1.35,NA,USD
2021-02-08,1.35,NA,USD
2021-02-15,1.4,NA,USD
2021-02-19,1.39,NA,USD
2021-02-22,1.34,NA,USD
2021-02-26,1.27,NA,USD
2021-03-01,1.29,17360000.0,USD
2021-03-05,1.25,NA,USD
2021-03-08,1.2,NA,USD
2021-03-12,1.24,NA,USD
2021-03-15,1.22,NA,USD
2021-03-19,1.22,NA,USD
2021-03-22,1.21,NA,USD
2021-03-25,1.16,NA,USD
2021-03-29,1.17,NA,USD
2021-04-01,1.22,17960000.0,USD
2021-04-05,1.22,NA,USD
2021-04-08,1.22,NA,USD
2021-04-12,1.2,NA,USD
2021-04-15,1.23,NA,USD
2021-04-19,1.25,NA,USD
2021-04-22,1.24,NA,USD
2021-04-26,1.26,NA,USD
2021-04-29,1.27,NA,USD
2021-05-01,NA,18640000.0,USD
2021-05-03,1.24,NA,USD
2021-05-06,1.23,NA,USD
2021-05-10,1.2,NA,USD
2021-05-17,1.17,NA,USD
2021-05-20,1.19,NA,USD
2021-05-24,1.19,NA,USD
2021-05-27,1.22,NA,USD
2021-05-31,1.24,NA,USD
2021-06-01,NA,17100000.0,USD
2021-06-03,1.23,NA,USD
2021-06-07,1.22,NA,USD
2021-06-10,1.23,NA,USD
2021-06-14,1.23,NA,USD
2021-06-17,1.21,NA,USD
2021-06-21,1.22,NA,USD
2021-06-24,1.23,NA,USD
2021-06-28,1.26,NA,USD
2021-07-01,1.25,16320000.0,USD
2021-07-05,1.22,NA,USD
2021-07-08,1.18,NA,USD
2021-07-12,1.2,NA,USD
2021-07-14,1.22,NA,USD
2021-07-19,1.19,NA,USD
2021-07-21,1.2,NA,USD
2021-07-26,1.12,NA,USD
2021-07-28,1.09,NA,USD
2021-08-01,NA,15740000.0,USD
2021-08-02,1.13,NA,USD
2021-08-04,1.14,NA,USD
2021-08-09,1.12,NA,USD
2021-08-12,1.12,NA,USD
2021-08-16,1.09,NA,USD
2021-08-18,1.07,NA,USD
2021-08-23,1.04,NA,USD
2021-08-25,1.08,NA,USD
2021-08-30,1.09,NA,USD
2021-09-01,1.11,15520000.0,USD
2021-09-06,1.13,NA,USD
2021-09-08,1.13,NA,USD
2021-09-13,1.1,NA,USD
2021-09-15,1.08,NA,USD
2021-09-20,1.06,NA,USD
2021-09-22,1.05,NA,USD
2021-09-27,1.06,NA,USD
2021-09-29,1.05,NA,USD
2021-10-01,NA,16309999.999999998,USD
2021-10-04,1.02,NA,USD
2021-10-06,1.01,NA,USD
2021-10-11,1.06,NA,USD
2021-10-13,1.05,NA,USD
2021-10-18,1.07,NA,USD
2021-10-21,1.09,NA,USD
2021-10-25,1.1,NA,USD
2021-10-26,1.1,NA,USD
2021-11-01,1.08,16450000.0,USD
