tanggal,NAV,AUM,currency
2024-06-20,1002.14,NA,IDR
2024-06-21,1028.72,NA,IDR
2024-06-24,1023.06,NA,IDR
2024-06-25,1019.17,NA,IDR
2024-06-26,1015.16,NA,IDR
2024-06-27,1033.56,NA,IDR
2024-06-28,1052.29,16870000000.000002,IDR
2024-07-01,1055.05,40770000000.0,IDR
2024-07-02,1048.6,NA,IDR
2024-07-03,1052.86,NA,IDR
2024-07-04,1054.1,NA,IDR
2024-07-05,1065.25,NA,IDR
2024-07-08,1068.33,NA,IDR
2024-07-09,1078.4,NA,IDR
2024-07-10,1078.62,NA,IDR
2024-07-11,1081.21,NA,IDR
2024-07-12,1089.89,NA,IDR
2024-07-15,1082.21,NA,IDR
2024-07-16,1072.49,NA,IDR
2024-07-17,1083.85,NA,IDR
2024-07-18,1095.03,NA,IDR
2024-07-19,1093.07,NA,IDR
2024-07-22,1095.91,NA,IDR
2024-07-23,1091.57,NA,IDR
2024-07-24,1080.84,NA,IDR
2024-07-25,1082.8,NA,IDR
2024-07-26,1084.14,NA,IDR
2024-07-29,1078.09,NA,IDR
2024-07-30,1062.79,NA,IDR
2024-07-31,1067.51,NA,IDR
2024-08-01,1083.19,69820000000.0,IDR
2024-08-02,1078.95,NA,IDR
2024-08-05,1049.9,NA,IDR
2024-08-06,1058.41,NA,IDR
2024-08-07,1068.59,NA,IDR
2024-08-08,1074.62,NA,IDR
2024-08-09,1078.04,NA,IDR
2024-08-12,1084.27,NA,IDR
2024-08-13,1091.58,NA,IDR
2024-08-14,1100.11,NA,IDR
2024-08-15,1097.94,NA,IDR
2024-08-16,1108.58,NA,IDR
2024-08-19,1109.69,NA,IDR
2024-08-20,1125.6,NA,IDR
2024-08-21,1131.21,NA,IDR
2024-08-22,1116.99,NA,IDR
2024-08-23,1128.12,NA,IDR
2024-08-26,1138.19,NA,IDR
2024-08-27,1129.57,NA,IDR
2024-08-28,1136.41,NA,IDR
2024-08-29,1127.59,NA,IDR
2024-08-30,1131.34,NA,IDR
2024-09-01,NA,98950000000.0,IDR
2024-09-02,1139.15,NA,IDR
2024-09-03,1130.31,NA,IDR
2024-09-04,1131.15,NA,IDR
2024-09-05,1133.81,NA,IDR
2024-09-06,1142.66,NA,IDR
2024-09-09,1141.39,NA,IDR
2024-09-10,1143.81,NA,IDR
2024-09-11,1142.99,NA,IDR
2024-09-12,1143.49,NA,IDR
2024-09-13,1148.06,NA,IDR
2024-09-17,1154.28,NA,IDR
2024-09-18,1161.5,NA,IDR
2024-09-19,1171.98,NA,IDR
2024-09-20,1167.42,NA,IDR
2024-09-23,1181.32,NA,IDR
2024-09-24,1180.75,NA,IDR
2024-09-25,1168.24,NA,IDR
2024-09-26,1155.9,NA,IDR
2024-09-27,1144.14,NA,IDR
2024-09-30,1121.92,NA,IDR
2024-10-01,1137.85,121020000000.0,IDR
2024-10-02,1122.49,NA,IDR
