tanggal,NAV,AUM,currency
2016-04-11,1000.34,NA,IDR
2016-04-18,1001.18,NA,IDR
2016-04-25,1002.18,NA,IDR
2016-05-01,NA,11950000000.0,IDR
2016-05-02,1001.92,NA,IDR
2016-05-09,1002.97,NA,IDR
2016-05-16,1003.56,NA,IDR
2016-05-23,1004.05,NA,IDR
2016-05-30,1006.3,NA,IDR
2016-06-01,NA,12040000000.0,IDR
2016-06-03,1006.71,NA,IDR
2016-06-10,1008.05,NA,IDR
2016-06-16,1009.21,NA,IDR
2016-06-23,1010.15,NA,IDR
2016-06-30,1012.31,NA,IDR
2016-07-01,NA,12120000000.0,IDR
2016-07-11,1016.16,NA,IDR
2016-07-13,1015.8,NA,IDR
2016-07-19,1017.17,NA,IDR
2016-07-26,1018.3,NA,IDR
2016-08-01,NA,12180000000.0,IDR
2016-08-02,1020.05,NA,IDR
2016-08-08,1020.77,NA,IDR
2016-08-15,1022.16,NA,IDR
2016-08-22,1023.54,NA,IDR
2016-08-29,1024.55,NA,IDR
2016-09-01,NA,12200000000.0,IDR
2016-09-05,1025.69,NA,IDR
2016-09-13,1026.96,NA,IDR
2016-09-19,1027.56,NA,IDR
2016-09-23,1028.28,NA,IDR
2016-09-30,1028.48,NA,IDR
2016-10-01,NA,12260000000.0,IDR
2016-10-07,1029.53,NA,IDR
2016-10-13,1030.51,NA,IDR
2016-10-20,1031.4,NA,IDR
2016-10-26,1032.8,NA,IDR
2016-11-01,NA,12240000000.0,IDR
2016-11-02,1033.82,NA,IDR
2016-11-09,1035.15,NA,IDR
2016-11-15,1034.91,NA,IDR
2016-11-22,1035.13,NA,IDR
2016-11-28,1035.62,NA,IDR
2016-12-01,NA,11910000000.0,IDR
2016-12-05,1037.6,NA,IDR
2016-12-13,1039.55,NA,IDR
2016-12-19,1042.77,NA,IDR
2016-12-27,1047.57,NA,IDR
2017-01-01,NA,1900000000.0,IDR
2017-01-03,1051.4,NA,IDR
2017-01-09,1063.21,NA,IDR
2017-01-16,1051.98,NA,IDR
2017-01-20,1051.77,NA,IDR
2017-01-27,1051.9,NA,IDR
2017-02-01,NA,1910000000.0,IDR
2017-02-02,1052.43,NA,IDR
2017-02-09,1053.16,NA,IDR
2017-02-16,1053.88,NA,IDR
2017-02-22,1054.35,NA,IDR
2017-03-01,1054.43,5410000000.0,IDR
2017-03-07,1054.94,NA,IDR
2017-03-14,1055.72,NA,IDR
2017-03-21,1056.5,NA,IDR
2017-03-27,1057.03,NA,IDR
2017-04-01,NA,5430000000.0,IDR
2017-04-03,1057.81,NA,IDR
2017-04-10,1056.78,NA,IDR
2017-04-17,1059.42,NA,IDR
2017-04-25,1060.45,NA,IDR
2017-05-01,NA,7450000000.0,IDR
2017-05-02,1061.3,NA,IDR
2017-05-08,1061.95,NA,IDR
2017-05-12,1059.9,NA,IDR
2017-05-19,1062.01,NA,IDR
2017-05-26,1064.06,NA,IDR
2017-06-01,NA,7500000000.0,IDR
2017-06-02,1064.89,NA,IDR
2017-06-08,1065.63,NA,IDR
2017-06-14,1064.32,NA,IDR
2017-06-21,1067.23,NA,IDR
2017-07-01,NA,8570000000.0,IDR
2017-07-03,1069.05,NA,IDR
2017-07-04,1069.16,NA,IDR
2017-07-11,1069.87,NA,IDR
2017-07-17,1069.4,NA,IDR
2017-07-24,1070.35,NA,IDR
2017-07-31,1071.37,NA,IDR
2017-08-01,NA,8610000000.0,IDR
2017-08-07,1072.38,NA,IDR
2017-08-14,1073.35,NA,IDR
2017-08-21,1074.28,NA,IDR
2017-08-28,1075.67,NA,IDR
2017-09-01,NA,5590000000.0,IDR
2017-09-04,1076.6,NA,IDR
2017-09-08,1077.25,NA,IDR
2017-09-15,1078.58,NA,IDR
2017-09-22,1079.9,NA,IDR
2017-09-28,1079.97,NA,IDR
2017-10-01,NA,5870000000.0,IDR
2017-10-05,1081.56,NA,IDR
2017-10-11,1082.73,NA,IDR
2017-10-18,1084.06,NA,IDR
2017-10-24,1084.8,NA,IDR
2017-10-31,1085.75,NA,IDR
2017-11-01,NA,11620000000.0,IDR
2017-11-06,1085.03,NA,IDR
2017-11-13,1088.44,NA,IDR
2017-11-21,1089.36,NA,IDR
2017-11-27,1089.85,NA,IDR
2017-12-01,NA,11660000000.0,IDR
2017-12-04,1091.01,NA,IDR
2017-12-11,1091.85,NA,IDR
2017-12-18,1093.0,NA,IDR
2017-12-27,1094.46,NA,IDR
2017-12-29,1094.64,NA,IDR
2018-01-01,NA,11770000000.0,IDR
2018-01-05,1095.74,NA,IDR
2018-01-11,1101.61,NA,IDR
2018-01-18,1102.82,NA,IDR
2018-01-25,1104.65,NA,IDR
2018-01-31,1104.75,NA,IDR
2018-02-01,NA,9200000000.0,IDR
2018-02-07,1105.79,NA,IDR
2018-02-13,1107.04,NA,IDR
2018-02-20,1108.24,NA,IDR
2018-02-27,1109.44,NA,IDR
2018-03-01,NA,9220000000.0,IDR
2018-03-05,1110.63,NA,IDR
2018-03-12,1111.37,NA,IDR
2018-03-19,1111.45,NA,IDR
2018-03-26,1113.14,NA,IDR
2018-04-01,NA,10220000000.0,IDR
2018-04-02,1114.71,NA,IDR
2018-04-09,1115.91,NA,IDR
2018-04-16,1116.68,NA,IDR
2018-04-20,1117.3,NA,IDR
2018-04-27,1117.21,NA,IDR
2018-05-01,NA,10250000000.0,IDR
2018-05-04,1118.12,NA,IDR
2018-05-11,1118.55,NA,IDR
2018-05-17,1120.34,NA,IDR
2018-05-23,1120.69,NA,IDR
2018-05-30,1121.92,NA,IDR
2018-06-01,NA,10290000000.0,IDR
2018-06-06,1123.02,NA,IDR
2018-06-20,1123.63,NA,IDR
2018-06-25,1125.88,NA,IDR
2018-07-01,NA,10350000000.0,IDR
2018-07-02,1126.53,NA,IDR
2018-07-09,1127.49,NA,IDR
2018-07-16,1130.52,NA,IDR
2018-07-23,1130.37,NA,IDR
2018-07-30,1130.44,NA,IDR
2018-08-01,NA,10390000000.0,IDR
2018-08-06,1131.05,NA,IDR
2018-08-13,1132.61,NA,IDR
2018-08-20,1133.78,NA,IDR
2018-08-24,1132.7,NA,IDR
2018-08-30,1133.65,NA,IDR
2018-09-01,NA,10610000000.0,IDR
2018-09-06,1132.69,NA,IDR
2018-09-13,1133.78,NA,IDR
2018-09-19,1134.08,NA,IDR
2018-09-26,1135.63,NA,IDR
2018-10-01,NA,10810000000.0,IDR
2018-10-02,1136.87,NA,IDR
2018-10-09,1137.13,NA,IDR
2018-10-16,1138.81,NA,IDR
2018-10-22,1140.27,NA,IDR
2018-10-29,1141.73,NA,IDR
2018-11-01,NA,13270000000.0,IDR
2018-11-05,1143.71,NA,IDR
2018-11-12,1144.78,NA,IDR
2018-11-19,1146.21,NA,IDR
2018-11-26,1147.36,NA,IDR
2018-12-01,NA,11680000000.0,IDR
2018-12-03,1148.6,NA,IDR
2018-12-07,1148.75,NA,IDR
2018-12-14,1149.48,NA,IDR
2018-12-21,1150.88,NA,IDR
2018-12-27,1152.53,NA,IDR
2019-01-01,NA,10710000000.0,IDR
2019-01-03,1154.72,NA,IDR
2019-01-09,1155.79,NA,IDR
2019-01-16,1156.89,NA,IDR
2019-01-23,1158.56,NA,IDR
2019-01-29,1159.8,NA,IDR
2019-02-01,NA,14300000000.0,IDR
2019-02-06,1161.72,NA,IDR
2019-02-11,1162.2,NA,IDR
2019-02-18,1163.21,NA,IDR
2019-02-25,1164.7,NA,IDR
2019-03-01,NA,10800000000.0,IDR
2019-03-04,1166.05,NA,IDR
2019-03-11,1167.58,NA,IDR
2019-03-18,1168.58,NA,IDR
2019-03-25,1169.57,NA,IDR
2019-04-01,1170.54,10740000000.0,IDR
2019-04-05,1171.25,NA,IDR
2019-04-12,1172.34,NA,IDR
2019-04-18,1173.43,NA,IDR
2019-04-25,1174.59,NA,IDR
2019-05-01,NA,15260000000.0,IDR
2019-05-02,1173.81,NA,IDR
2019-05-08,1176.17,NA,IDR
2019-05-15,1177.06,NA,IDR
2019-05-21,1178.29,NA,IDR
2019-05-28,1178.79,NA,IDR
2019-06-01,NA,10860000000.0,IDR
2019-06-10,1181.26,NA,IDR
2019-06-17,1183.17,NA,IDR
2019-06-24,1184.66,NA,IDR
2019-07-01,1185.72,11660000000.0,IDR
2019-07-08,1185.62,NA,IDR
2019-07-15,1187.73,NA,IDR
2019-07-22,1189.77,NA,IDR
2019-07-26,1190.4,NA,IDR
2019-08-01,NA,11860000000.0,IDR
2019-08-02,1191.37,NA,IDR
2019-08-08,1192.48,NA,IDR
2019-08-15,1191.89,NA,IDR
2019-08-22,1193.84,NA,IDR
2019-08-28,1195.74,NA,IDR
2019-09-01,NA,11870000000.0,IDR
2019-09-04,1195.82,NA,IDR
2019-09-10,1198.52,NA,IDR
2019-09-17,1200.02,NA,IDR
2019-09-24,1201.39,NA,IDR
2019-09-30,1202.55,NA,IDR
2019-10-01,NA,11990000000.0,IDR
2019-10-07,1204.04,NA,IDR
2019-10-14,1205.81,NA,IDR
2019-10-21,1207.25,NA,IDR
2019-10-28,1208.48,NA,IDR
2019-11-01,NA,11940000000.0,IDR
2019-11-04,1210.19,NA,IDR
2019-11-11,1211.77,NA,IDR
2019-11-15,1212.35,NA,IDR
2019-11-22,1213.05,NA,IDR
2019-11-29,1214.31,NA,IDR
2019-12-01,NA,12070000000.0,IDR
2019-12-05,1215.42,NA,IDR
2019-12-12,1216.9,NA,IDR
2019-12-18,1217.94,NA,IDR
2019-12-26,1217.32,NA,IDR
2020-01-01,NA,11990000000.0,IDR
2020-01-02,1219.1,NA,IDR
2020-01-07,1220.01,NA,IDR
2020-01-14,1221.36,NA,IDR
2020-01-20,1222.03,NA,IDR
2020-01-27,1223.23,NA,IDR
2020-02-01,NA,11810000000.0,IDR
2020-02-03,1224.23,NA,IDR
2020-02-07,1226.47,NA,IDR
2020-02-10,1226.95,NA,IDR
2020-02-14,1227.74,NA,IDR
2020-02-17,1228.21,NA,IDR
2020-02-18,1228.43,NA,IDR
2020-02-24,1229.5,NA,IDR
2020-02-25,1229.67,NA,IDR
2020-03-01,NA,11650000000.0,IDR
2020-03-02,1229.28,NA,IDR
2020-03-04,1230.39,NA,IDR
2020-03-09,1231.05,NA,IDR
2020-03-11,1231.52,NA,IDR
2020-03-13,1231.71,NA,IDR
2020-03-16,1232.23,NA,IDR
2020-03-19,1232.4,NA,IDR
2020-03-20,1232.51,NA,IDR
2020-03-23,1232.8,NA,IDR
2020-03-26,1233.44,NA,IDR
2020-03-30,1232.55,NA,IDR
2020-04-01,NA,12310000000.0,IDR
2020-04-02,1232.72,NA,IDR
2020-04-03,1232.8,NA,IDR
2020-04-07,1235.63,NA,IDR
