tanggal,NAV,AUM,currency
2017-12-01,NA,113160000000.0,IDR
2018-01-01,NA,105640000000.0,IDR
2018-01-30,1355.21,NA,IDR
2018-02-01,NA,95990000000.0,IDR
2018-02-05,1346.53,NA,IDR
2018-02-09,1322.27,NA,IDR
2018-02-14,1343.08,NA,IDR
2018-02-21,1354.24,NA,IDR
2018-02-26,1339.98,NA,IDR
2018-03-01,NA,88140000000.0,IDR
2018-03-02,1334.79,NA,IDR
2018-03-07,1287.75,NA,IDR
2018-03-13,1293.96,NA,IDR
2018-03-19,1244.93,NA,IDR
2018-03-23,1233.38,NA,IDR
2018-03-28,1218.26,NA,IDR
2018-04-01,NA,84540000000.0,IDR
2018-04-03,1247.09,NA,IDR
2018-04-09,1270.77,NA,IDR
2018-04-13,1267.21,NA,IDR
2018-04-18,1272.96,NA,IDR
2018-04-24,1261.43,NA,IDR
2018-04-30,1225.94,NA,IDR
2018-05-01,NA,81860000000.0,IDR
2018-05-04,1194.94,NA,IDR
2018-05-09,1203.21,NA,IDR
2018-05-15,1189.6,NA,IDR
2018-05-21,1195.21,NA,IDR
2018-05-25,1229.13,NA,IDR
2018-05-30,1228.03,NA,IDR
2018-06-01,NA,78690000000.0,IDR
2018-06-05,1254.92,NA,IDR
2018-06-20,1222.57,NA,IDR
2018-06-26,1201.32,NA,IDR
2018-07-01,NA,83960000000.0,IDR
2018-07-02,1175.29,NA,IDR
2018-07-06,1171.35,NA,IDR
2018-07-11,1205.58,NA,IDR
2018-07-17,1206.4,NA,IDR
2018-07-23,1217.94,NA,IDR
2018-07-27,1236.7,NA,IDR
2018-08-01,1232.79,83010000000.0,IDR
2018-08-07,1248.51,NA,IDR
2018-08-13,1201.96,NA,IDR
2018-08-20,1211.69,NA,IDR
2018-08-23,1224.29,NA,IDR
2018-08-28,1235.68,NA,IDR
2018-09-01,NA,82110000000.0,IDR
2018-09-03,1219.67,NA,IDR
2018-09-07,1181.5,NA,IDR
2018-09-12,1178.6,NA,IDR
2018-09-18,1186.97,NA,IDR
2018-09-24,1194.25,NA,IDR
2018-09-28,1212.27,NA,IDR
2018-10-01,NA,78760000000.0,IDR
2018-10-03,1188.14,NA,IDR
2018-10-09,1185.8,NA,IDR
2018-10-15,1160.38,NA,IDR
2018-10-19,1189.13,NA,IDR
2018-10-24,1159.54,NA,IDR
2018-10-30,1171.81,NA,IDR
2018-11-01,NA,78790000000.0,IDR
2018-11-05,1183.0,NA,IDR
2018-11-09,1178.65,NA,IDR
