tanggal,NAV,AUM,currency
2016-08-16,2152.33,NA,IDR
2016-08-23,2133.79,NA,IDR
2016-08-29,2134.25,NA,IDR
2016-09-05,2153.49,NA,IDR
2016-09-13,2148.44,NA,IDR
2016-09-19,2149.32,NA,IDR
2016-09-23,2161.42,NA,IDR
2016-09-30,2152.82,NA,IDR
2016-10-06,2155.66,NA,IDR
2016-10-12,2146.42,NA,IDR
2016-10-19,2142.38,NA,IDR
2016-10-25,2148.66,NA,IDR
2016-10-31,2125.03,NA,IDR
2016-11-07,2121.83,NA,IDR
2016-11-14,2070.46,NA,IDR
2016-11-21,2069.83,NA,IDR
2016-11-28,2049.47,NA,IDR
2016-12-02,2063.49,NA,IDR
2016-12-08,2109.61,NA,IDR
2016-12-15,2078.15,NA,IDR
2016-12-21,2090.33,NA,IDR
2016-12-27,2089.97,NA,IDR
2017-01-03,2086.74,NA,IDR
2017-01-09,2101.82,NA,IDR
2017-01-16,2116.65,NA,IDR
2017-01-23,2121.18,NA,IDR
2017-01-30,2114.02,NA,IDR
2017-02-03,2114.23,NA,IDR
2017-02-10,2125.07,NA,IDR
2017-02-16,2124.32,NA,IDR
2017-02-22,2125.0,NA,IDR
2017-03-01,2130.13,NA,IDR
2017-03-07,2136.06,NA,IDR
2017-03-13,2138.02,NA,IDR
2017-03-20,2155.25,NA,IDR
2017-03-27,2162.01,NA,IDR
2017-04-03,2169.0,NA,IDR
2017-04-10,2163.7,NA,IDR
2017-04-17,2172.1,NA,IDR
2017-04-21,2171.41,NA,IDR
2017-04-27,2176.3,NA,IDR
2017-05-03,2178.1,NA,IDR
2017-05-10,2171.59,NA,IDR
2017-05-16,2179.26,NA,IDR
2017-05-22,2184.43,NA,IDR
2017-05-29,2186.7,NA,IDR
2017-06-05,2189.39,NA,IDR
2017-06-12,2194.01,NA,IDR
2017-06-19,2201.22,NA,IDR
2017-07-03,2200.45,NA,IDR
2017-07-06,2197.84,NA,IDR
2017-07-12,2194.52,NA,IDR
2017-07-18,2200.47,NA,IDR
2017-07-25,2205.36,NA,IDR
2017-07-31,2205.69,NA,IDR
2017-08-07,2210.7,NA,IDR
2017-08-14,2215.27,NA,IDR
2017-08-21,2218.43,NA,IDR
2017-08-25,2227.93,NA,IDR
2017-09-04,2239.41,NA,IDR
2017-09-07,2247.31,NA,IDR
2017-09-13,2253.12,NA,IDR
2017-09-20,2253.85,NA,IDR
2017-09-26,2259.84,NA,IDR
2017-10-02,2254.22,NA,IDR
2017-10-09,2250.4,NA,IDR
2017-10-16,2252.83,NA,IDR
2017-10-23,2247.3,NA,IDR
2017-10-30,2242.3,NA,IDR
2017-11-03,2252.44,NA,IDR
2017-11-09,2254.66,NA,IDR
2017-11-16,2257.85,NA,IDR
2017-11-22,2265.13,NA,IDR
2017-11-28,2267.98,NA,IDR
2017-12-05,2275.93,NA,IDR
2017-12-11,2277.65,NA,IDR
2017-12-18,2282.11,NA,IDR
2017-12-27,2289.92,NA,IDR
2018-01-02,2294.97,NA,IDR
2018-01-05,2303.71,NA,IDR
2018-01-12,2307.08,NA,IDR
2018-01-18,2310.56,NA,IDR
2018-01-24,2309.55,NA,IDR
2018-01-31,2307.37,NA,IDR
2018-02-06,2306.26,NA,IDR
2018-02-12,2307.99,NA,IDR
