tanggal,NAV,AUM,currency
2003-08-14,1027.7,NA,IDR
2003-09-01,1061.41,NA,IDR
2003-09-15,1128.56,NA,IDR
2003-10-01,1206.02,NA,IDR
2003-10-17,1269.97,NA,IDR
2003-11-03,1212.01,NA,IDR
2003-11-19,1177.64,NA,IDR
2003-12-05,1257.66,NA,IDR
2003-12-22,1319.71,NA,IDR
2004-01-06,1397.55,NA,IDR
2004-01-23,1569.79,NA,IDR
2004-02-09,1534.12,NA,IDR
2004-02-24,1540.88,NA,IDR
2004-03-10,1526.8,NA,IDR
2004-03-26,1435.97,NA,IDR
2004-04-12,1530.67,NA,IDR
2004-04-27,1643.3,NA,IDR
2004-05-13,1503.2,NA,IDR
2004-05-31,1489.63,NA,IDR
2004-06-15,1441.86,NA,IDR
2004-07-01,1494.99,NA,IDR
2004-07-19,1544.18,NA,IDR
2004-07-30,NA,24834.0,IDR
2004-08-02,1524.34,NA,IDR
2004-08-18,1529.94,NA,IDR
2004-08-31,NA,24830.0,IDR
2004-09-03,1603.87,NA,IDR
2004-09-21,1659.22,NA,IDR
2004-10-05,1753.89,NA,IDR
2004-10-21,1679.01,NA,IDR
2004-11-08,1823.3,NA,IDR
2004-11-22,1935.36,NA,IDR
2004-12-08,2027.73,NA,IDR
2004-12-27,2073.22,NA,IDR
2004-12-31,NA,126446.0,IDR
2005-01-10,2111.43,NA,IDR
2005-01-26,2150.42,NA,IDR
2005-01-31,NA,166253.0,IDR
2005-02-11,2166.59,NA,IDR
2005-02-24,NA,198430.0,IDR
2005-02-28,2253.91,NA,IDR
2005-03-04,NA,220420.0,IDR
2005-03-15,2379.0,NA,IDR
2005-03-21,NA,306140.0,IDR
2005-03-31,2286.95,NA,IDR
2005-04-04,NA,361000.0,IDR
2005-04-18,2247.29,NA,IDR
2005-04-19,NA,362810.0,IDR
2005-05-02,2206.16,NA,IDR
2005-05-04,NA,368830.0,IDR
2005-05-18,2238.67,NA,IDR
2005-05-19,NA,376770.0,IDR
2005-06-03,2357.19,NA,IDR
2005-06-06,NA,374990.0,IDR
2005-06-20,2484.55,398505.0,IDR
2005-07-04,NA,404360.0,IDR
2005-07-05,2463.33,NA,IDR
2005-07-20,NA,441760.0,IDR
2005-07-21,2560.81,NA,IDR
2005-08-04,NA,459913.0,IDR
2005-08-08,2595.6,NA,IDR
2005-08-19,NA,530000.0,IDR
2005-08-22,2420.72,NA,IDR
2005-09-05,NA,550000.0,IDR
2005-09-07,2423.25,NA,IDR
2005-09-19,NA,570000.0,IDR
2005-09-26,2391.2,NA,IDR
2005-10-04,NA,580000.0,IDR
2005-10-10,2526.58,NA,IDR
2005-10-20,NA,530000.0,IDR
2005-10-26,2452.57,NA,IDR
2005-11-09,NA,520000.0,IDR
2005-11-11,2375.93,NA,IDR
2005-11-21,NA,520000.0,IDR
2005-11-28,2475.95,NA,IDR
2005-12-05,NA,550000.0,IDR
2005-12-13,2716.08,NA,IDR
2005-12-20,NA,458090.0,IDR
2005-12-29,2666.22,NA,IDR
2006-01-04,NA,447630.0,IDR
2006-01-16,2868.6,NA,IDR
2006-01-19,NA,381100.0,IDR
2006-01-30,2872.03,NA,IDR
2006-02-06,NA,382470.0,IDR
2006-02-15,2946.33,NA,IDR
2006-02-20,NA,381550.0,IDR
2006-03-03,2979.81,NA,IDR
2006-03-06,NA,390000.0,IDR
2006-03-20,3107.55,NA,IDR
2006-03-22,NA,368250.0,IDR
2006-04-04,3092.75,NA,IDR
2006-04-06,NA,360000.0,IDR
2006-04-20,3440.63,NA,IDR
2006-04-21,NA,396420.0,IDR
2006-05-08,3590.83,425550.0,IDR
2006-05-22,NA,397070.0,IDR
2006-05-23,3190.9,NA,IDR
2006-06-06,NA,449150.0,IDR
2006-06-08,3032.5,NA,IDR
2006-06-21,NA,467200.0,IDR
2006-06-26,3147.09,NA,IDR
2006-07-07,NA,514633.0,IDR
2006-07-10,3286.7,NA,IDR
2006-07-24,NA,510000.0,IDR
2006-07-26,3268.86,NA,IDR
2006-08-07,NA,540000.0,IDR
2006-08-11,3461.86,NA,IDR
2006-08-22,NA,550000.0,IDR
