tanggal,NAV,AUM,currency
2009-02-04,1010.84,NA,IDR
2009-02-16,970.53,NA,IDR
2009-03-02,931.59,NA,IDR
2009-03-12,956.17,NA,IDR
2009-03-24,1025.42,NA,IDR
2009-04-06,1025.04,NA,IDR
2009-04-17,1035.44,NA,IDR
2009-04-29,1033.59,NA,IDR
2009-05-11,1057.46,NA,IDR
2009-05-22,1074.95,NA,IDR
2009-06-03,1118.39,NA,IDR
2009-06-15,1091.9,NA,IDR
2009-06-29,1089.33,NA,IDR
2009-07-09,1121.0,NA,IDR
2009-07-21,1129.48,NA,IDR
2009-08-03,1148.4,NA,IDR
2009-08-14,1118.25,NA,IDR
2009-08-26,1127.03,NA,IDR
2009-09-07,1125.32,NA,IDR
2009-09-24,1147.04,NA,IDR
2009-10-01,1160.63,NA,IDR
2009-10-13,1157.44,NA,IDR
2009-10-26,1156.82,NA,IDR
2009-11-06,1151.85,NA,IDR
2009-11-18,1159.68,NA,IDR
2009-11-30,1167.09,NA,IDR
2009-12-14,1181.7,NA,IDR
2009-12-28,1180.13,NA,IDR
2010-01-05,1186.96,NA,IDR
2010-01-18,1212.6,NA,IDR
2010-01-29,1205.26,NA,IDR
2010-02-10,1207.85,NA,IDR
2010-02-22,1210.51,NA,IDR
2010-03-08,1221.26,NA,IDR
2010-03-18,1229.49,NA,IDR
2010-03-30,1234.05,NA,IDR
2010-04-12,1243.62,NA,IDR
2010-04-23,1251.3,NA,IDR
2010-05-05,1245.33,NA,IDR
2010-05-17,1239.41,NA,IDR
2010-05-31,1239.28,NA,IDR
2010-06-10,1251.93,NA,IDR
2010-06-22,1291.77,NA,IDR
2010-07-05,1273.12,NA,IDR
2010-07-15,1285.59,NA,IDR
2010-07-27,1288.93,NA,IDR
2010-08-09,1310.97,NA,IDR
2010-08-20,1306.43,NA,IDR
2010-09-01,1299.48,NA,IDR
2010-09-15,1312.63,NA,IDR
2010-09-27,1329.73,NA,IDR
2010-10-07,1361.11,NA,IDR
2010-10-19,1379.65,NA,IDR
2010-11-01,1369.99,NA,IDR
2010-11-12,1344.41,NA,IDR
2010-11-24,1340.61,NA,IDR
2010-12-06,1347.24,NA,IDR
2010-12-20,1311.86,NA,IDR
2010-12-30,1332.71,NA,IDR
2011-01-11,1303.69,NA,IDR
2011-01-24,1257.26,NA,IDR
2011-02-04,1275.09,NA,IDR
2011-02-16,1272.0,NA,IDR
2011-02-28,1282.78,NA,IDR
2011-03-14,1312.8,NA,IDR
2011-03-24,1328.14,NA,IDR
2011-04-05,1354.81,NA,IDR
2011-04-18,1357.84,NA,IDR
2011-04-29,1373.84,NA,IDR
2011-05-11,1373.52,NA,IDR
2011-05-23,1391.41,NA,IDR
2011-06-06,1400.71,NA,IDR
2011-06-16,1396.56,NA,IDR
2011-06-28,1396.97,NA,IDR
2011-07-11,1424.85,NA,IDR
2011-07-22,1427.86,NA,IDR
2011-08-03,1459.89,NA,IDR
2011-08-15,1463.98,NA,IDR
2011-09-05,1475.78,NA,IDR
2011-09-08,1503.85,NA,IDR
2011-09-19,1471.23,NA,IDR
2011-10-03,1492.03,NA,IDR
2011-10-13,1533.71,NA,IDR
2011-10-25,1540.17,NA,IDR
2011-11-07,1549.29,NA,IDR
2011-11-18,1543.25,NA,IDR
2011-11-30,1511.74,NA,IDR
2011-12-12,1547.36,NA,IDR
2011-12-27,1567.82,NA,IDR
2012-01-05,1568.6,NA,IDR
2012-01-17,1577.16,NA,IDR
2012-01-30,1638.68,NA,IDR
2012-02-10,1682.62,NA,IDR
2012-02-22,1672.42,NA,IDR
2012-03-05,1627.89,NA,IDR
2012-03-19,1604.59,NA,IDR
2012-03-29,1603.07,NA,IDR
2012-04-10,1605.47,NA,IDR
2012-04-23,1611.43,NA,IDR
2012-05-04,1604.11,NA,IDR
2012-05-16,1566.92,NA,IDR
2012-05-28,1563.14,NA,IDR
2012-06-11,1573.79,NA,IDR
2012-06-21,1596.9,NA,IDR
