tanggal,NAV,AUM,currency
2013-11-25,1.0,NA,USD
2013-12-02,1.0,NA,USD
2013-12-10,1.0,NA,USD
2013-12-19,1.0,NA,USD
2013-12-27,1.0,NA,USD
2014-01-06,1.0,NA,USD
2014-01-13,1.0,NA,USD
2014-01-21,1.0,NA,USD
2014-01-30,1.0,NA,USD
2014-02-07,1.01,NA,USD
2014-02-17,1.01,NA,USD
2014-02-24,1.02,NA,USD
2014-03-04,1.03,NA,USD
2014-03-13,1.03,NA,USD
2014-03-21,1.03,NA,USD
2014-04-01,1.03,NA,USD
2014-04-07,1.03,NA,USD
2014-04-15,1.03,NA,USD
2014-04-23,1.03,NA,USD
2014-05-02,1.04,NA,USD
2014-05-12,1.05,NA,USD
2014-05-19,1.05,NA,USD
2014-05-28,1.05,NA,USD
2014-06-04,1.05,NA,USD
2014-06-13,1.05,NA,USD
2014-06-23,1.05,NA,USD
2014-06-30,1.05,NA,USD
2014-07-08,1.05,NA,USD
2014-07-16,1.05,NA,USD
2014-07-25,1.06,NA,USD
2014-08-04,1.06,NA,USD
2014-08-11,1.05,NA,USD
2014-08-19,1.06,NA,USD
2014-08-27,1.06,NA,USD
2014-09-05,1.06,NA,USD
2014-09-15,1.06,NA,USD
2014-09-22,1.06,NA,USD
2014-09-30,1.05,NA,USD
2014-10-08,1.05,NA,USD
2014-10-16,1.06,NA,USD
2014-10-27,1.06,NA,USD
2014-11-03,1.06,NA,USD
2014-11-11,1.06,NA,USD
2014-11-19,1.07,NA,USD
2014-11-27,1.07,NA,USD
2014-12-08,1.07,NA,USD
2014-12-15,1.06,NA,USD
2014-12-22,1.06,NA,USD
2015-01-02,1.06,NA,USD
2015-01-08,1.07,NA,USD
2015-01-19,1.07,NA,USD
2015-01-26,1.08,NA,USD
2015-02-02,1.08,NA,USD
2015-02-10,1.08,NA,USD
2015-02-11,1.08,NA,USD
2015-02-17,1.09,NA,USD
2015-02-20,1.09,NA,USD
2015-02-25,1.09,NA,USD
2015-03-02,1.1,NA,USD
2015-03-04,1.09,NA,USD
2015-03-09,1.09,NA,USD
2015-03-12,1.08,NA,USD
2015-03-16,1.08,NA,USD
2015-03-19,1.09,NA,USD
2015-03-25,1.09,NA,USD
2015-03-27,1.09,NA,USD
2015-04-02,1.09,NA,USD
2015-04-06,1.09,NA,USD
2015-04-10,1.09,NA,USD
2015-04-13,1.09,NA,USD
2015-04-20,1.09,NA,USD
2015-04-27,1.09,NA,USD
2015-05-04,1.09,NA,USD
2015-05-06,1.09,NA,USD
2015-05-11,1.09,NA,USD
2015-05-15,1.09,NA,USD
2015-05-18,1.09,NA,USD
2015-05-22,1.09,NA,USD
2015-05-26,1.09,NA,USD
2015-06-01,1.09,NA,USD
2015-06-03,1.09,NA,USD
2015-06-08,1.07,NA,USD
2015-06-10,1.07,NA,USD
2015-06-17,1.07,NA,USD
2015-06-25,1.08,NA,USD
2015-07-02,1.08,NA,USD
2015-07-03,1.08,NA,USD
2015-07-09,1.08,NA,USD
2015-07-13,1.08,NA,USD
2015-07-22,1.08,NA,USD
2015-07-24,1.08,NA,USD
2015-07-28,1.08,NA,USD
2015-08-03,1.08,NA,USD
2015-08-06,1.08,NA,USD
2015-08-10,1.08,NA,USD
2015-08-14,1.08,NA,USD
2015-08-18,1.08,NA,USD
2015-08-24,1.06,NA,USD
2015-08-31,1.07,NA,USD
2015-09-07,1.07,NA,USD
2015-09-08,1.07,NA,USD
2015-09-15,1.07,NA,USD
2015-09-17,1.07,NA,USD
2015-09-22,1.07,NA,USD
2015-09-25,1.07,NA,USD
2015-09-30,1.06,NA,USD
2015-10-05,1.07,NA,USD
2015-10-07,1.08,NA,USD
2015-10-12,1.08,NA,USD
2015-10-15,1.08,NA,USD
2015-10-20,1.08,NA,USD
2015-10-22,1.08,NA,USD
2015-10-29,1.08,NA,USD
2015-10-30,1.08,NA,USD
2015-11-06,1.08,NA,USD
2015-11-16,1.07,NA,USD
2015-11-23,1.07,NA,USD
2015-11-30,1.07,NA,USD
2015-12-01,1.07,NA,USD
2015-12-07,1.07,NA,USD
2015-12-10,1.07,NA,USD
2015-12-14,1.06,NA,USD
2015-12-18,1.07,NA,USD
2015-12-21,1.07,NA,USD
2015-12-28,1.07,NA,USD
2016-01-04,1.07,NA,USD
2016-01-05,1.07,NA,USD
2016-01-12,1.07,NA,USD
2016-01-20,1.06,NA,USD
2016-01-27,1.08,NA,USD
2016-01-29,1.08,NA,USD
2016-02-04,1.08,NA,USD
2016-02-09,1.08,NA,USD
2016-02-11,1.08,NA,USD
2016-02-15,1.08,NA,USD
2016-02-19,1.09,NA,USD
2016-02-23,1.09,NA,USD
2016-02-26,1.09,NA,USD
2016-03-02,1.1,NA,USD
2016-03-07,1.1,NA,USD
2016-03-11,1.1,NA,USD
2016-03-14,1.1,NA,USD
2016-03-21,1.11,NA,USD
2016-03-28,1.1,NA,USD
2016-04-04,1.11,NA,USD
2016-04-05,1.11,NA,USD
2016-04-11,1.11,NA,USD
2016-04-13,1.11,NA,USD
2016-04-18,1.12,NA,USD
2016-04-22,1.12,NA,USD
2016-04-26,1.12,NA,USD
2016-05-02,1.12,NA,USD
2016-05-03,1.12,NA,USD
2016-05-09,1.12,NA,USD
2016-05-11,1.12,NA,USD
2016-05-17,1.12,NA,USD
2016-05-18,1.12,NA,USD
2016-05-25,1.11,NA,USD
2016-05-26,1.11,NA,USD
2016-06-02,1.11,NA,USD
2016-06-03,1.11,NA,USD
2016-06-10,1.12,NA,USD
2016-06-13,1.11,NA,USD
2016-06-17,1.12,NA,USD
2016-06-20,1.12,NA,USD
2016-06-27,1.12,NA,USD
2016-06-28,1.13,NA,USD
2016-07-11,1.15,NA,USD
2016-07-14,1.14,NA,USD
2016-07-18,1.14,NA,USD
2016-07-25,1.14,NA,USD
2016-08-01,1.15,NA,USD
2016-08-09,1.15,NA,USD
2016-08-16,1.16,NA,USD
2016-08-19,1.17,NA,USD
2016-08-24,1.16,NA,USD
2016-08-25,1.16,NA,USD
2016-08-31,1.16,NA,USD
2016-09-05,1.16,NA,USD
2016-09-07,1.16,NA,USD
2016-09-13,1.15,NA,USD
2016-09-15,1.15,NA,USD
2016-09-20,1.15,NA,USD
2016-09-22,1.16,NA,USD
2016-09-28,1.16,NA,USD
2016-09-30,1.16,NA,USD
2016-10-06,1.16,NA,USD
2016-10-07,1.16,NA,USD
2016-10-17,1.15,NA,USD
2016-10-24,1.15,NA,USD
2016-10-31,1.15,NA,USD
2016-11-07,1.15,NA,USD
2016-11-09,1.15,NA,USD
2016-11-14,1.12,NA,USD
2016-11-17,1.12,NA,USD
2016-11-21,1.12,NA,USD
2016-11-28,1.12,NA,USD
2016-11-29,1.12,NA,USD
2016-12-05,1.12,NA,USD
2016-12-06,1.12,NA,USD
2016-12-13,1.12,NA,USD
2016-12-14,1.12,NA,USD
2016-12-21,1.12,NA,USD
2016-12-29,1.12,NA,USD
2017-01-05,1.13,NA,USD
2017-01-06,1.13,NA,USD
2017-01-13,1.13,NA,USD
2017-01-16,1.13,NA,USD
2017-01-20,1.13,NA,USD
2017-01-23,1.13,NA,USD
2017-01-27,1.13,NA,USD
2017-02-01,1.13,NA,USD
2017-02-06,1.14,NA,USD
2017-02-09,1.14,NA,USD
2017-02-13,1.14,NA,USD
2017-02-17,1.14,NA,USD
2017-02-20,1.14,NA,USD
2017-02-27,1.14,NA,USD
2017-03-06,1.14,NA,USD
2017-03-13,1.13,NA,USD
2017-03-15,1.13,NA,USD
2017-03-21,1.14,NA,USD
2017-03-23,1.14,NA,USD
2017-03-29,1.14,NA,USD
2017-03-31,1.14,NA,USD
2017-04-05,1.14,NA,USD
2017-04-10,1.14,NA,USD
2017-04-12,1.14,NA,USD
2017-04-17,1.14,NA,USD
2017-04-20,1.15,NA,USD
2017-04-25,1.15,NA,USD
2017-04-27,1.15,NA,USD
2017-05-04,1.15,NA,USD
2017-05-05,1.15,NA,USD
2017-05-12,1.15,NA,USD
2017-05-22,1.15,NA,USD
2017-05-29,1.15,NA,USD
2017-06-05,1.16,NA,USD
2017-06-06,1.16,NA,USD
2017-06-12,1.16,NA,USD
2017-06-15,1.16,NA,USD
2017-06-19,1.16,NA,USD
2017-07-03,1.15,NA,USD
2017-07-10,1.15,NA,USD
2017-07-11,1.15,NA,USD
2017-07-18,1.16,NA,USD
2017-07-26,1.16,NA,USD
2017-07-27,1.16,NA,USD
2017-08-02,1.16,NA,USD
2017-08-04,1.16,NA,USD
2017-08-10,1.16,NA,USD
2017-08-14,1.16,NA,USD
2017-08-18,1.16,NA,USD
2017-08-21,1.16,NA,USD
2017-08-25,1.17,NA,USD
2017-08-29,1.17,NA,USD
2017-09-04,1.17,NA,USD
2017-09-07,1.18,NA,USD
2017-09-11,1.18,NA,USD
2017-09-15,1.18,NA,USD
2017-09-18,1.18,NA,USD
2017-09-25,1.17,NA,USD
2017-10-02,1.17,NA,USD
2017-10-09,1.17,NA,USD
2017-10-10,1.17,NA,USD
2017-10-16,1.18,NA,USD
2017-10-18,1.18,NA,USD
2017-10-23,1.17,NA,USD
2017-10-27,1.17,NA,USD
2017-10-31,1.17,NA,USD
2017-11-06,1.17,NA,USD
2017-11-07,1.17,NA,USD
2017-11-13,1.17,NA,USD
2017-11-15,1.17,NA,USD
2017-11-21,1.17,NA,USD
2017-11-22,1.17,NA,USD
2017-11-29,1.17,NA,USD
2017-11-30,1.17,NA,USD
2017-12-01,NA,40080000.0,USD
2017-12-07,1.17,NA,USD
2017-12-08,1.17,NA,USD
2017-12-15,1.17,NA,USD
2017-12-18,1.17,NA,USD
2017-12-22,1.17,NA,USD
2017-12-27,1.17,NA,USD
2018-01-01,NA,106010000.0,USD
2018-01-02,1.17,NA,USD
2018-01-08,1.17,NA,USD
2018-01-10,1.17,NA,USD
2018-01-15,1.17,NA,USD
2018-01-19,1.17,NA,USD
2018-01-22,1.16,NA,USD
2018-01-29,1.16,NA,USD
2018-02-01,NA,49790000.0,USD
2018-02-05,1.15,NA,USD
2018-02-13,1.14,NA,USD
2018-02-20,1.14,NA,USD
2018-02-21,1.14,NA,USD
2018-02-28,1.14,NA,USD
2018-03-01,NA,45870000.0,USD
2018-03-02,1.14,NA,USD
2018-03-07,1.13,NA,USD
2018-03-12,1.13,NA,USD
2018-03-14,1.13,NA,USD
2018-03-19,1.14,NA,USD
2018-03-22,1.13,NA,USD
2018-03-27,1.13,NA,USD
2018-03-29,1.14,NA,USD
2018-04-01,NA,30120000.0,USD
2018-04-04,1.14,NA,USD
2018-04-06,1.14,NA,USD
2018-04-12,1.14,NA,USD
2018-04-13,1.14,NA,USD
2018-04-23,1.13,NA,USD
2018-04-30,1.13,NA,USD
2018-05-01,NA,44990000.0,USD
2018-05-07,1.12,NA,USD
2018-05-08,1.12,NA,USD
2018-05-14,1.12,NA,USD
2018-05-16,1.12,NA,USD
2018-05-21,1.12,NA,USD
2018-05-24,1.12,NA,USD
2018-05-28,1.13,NA,USD
2018-06-01,NA,40050000.0,USD
2018-06-04,1.12,NA,USD
2018-06-05,1.12,NA,USD
2018-06-20,1.12,NA,USD
2018-06-27,1.12,NA,USD
2018-07-01,NA,66890000.0,USD
2018-07-05,1.12,NA,USD
2018-07-12,1.13,NA,USD
2018-07-16,1.13,NA,USD
2018-07-20,1.13,NA,USD
2018-07-23,1.13,NA,USD
2018-07-27,1.13,NA,USD
2018-07-30,1.13,NA,USD
2018-08-01,NA,123470000.0,USD
2018-08-03,1.13,NA,USD
2018-08-08,1.13,NA,USD
2018-08-13,1.13,NA,USD
2018-08-16,1.13,NA,USD
2018-08-20,1.13,NA,USD
2018-08-27,1.13,NA,USD
2018-09-01,NA,125560000.0,USD
2018-09-03,1.13,NA,USD
2018-09-10,1.13,NA,USD
2018-09-17,1.13,NA,USD
2018-09-19,1.13,NA,USD
2018-09-25,1.13,NA,USD
2018-09-27,1.13,NA,USD
2018-10-01,NA,31610000.0,USD
2018-10-02,1.13,NA,USD
