tanggal,NAV,AUM,currency
2007-09-01,NA,7450000000.0,IDR
2007-09-19,1094.61,NA,IDR
2007-10-01,NA,111700000000.0,IDR
2007-10-02,1167.47,NA,IDR
2007-10-18,1329.01,NA,IDR
2007-10-29,1356.99,NA,IDR
2007-11-01,NA,350290000000.0,IDR
2007-11-12,1444.57,NA,IDR
2007-11-23,1354.31,NA,IDR
2007-12-01,NA,352960000000.0,IDR
2007-12-06,1464.07,NA,IDR
2007-12-19,1373.11,NA,IDR
2008-01-01,NA,312580000000.0,IDR
2008-01-02,1413.11,NA,IDR
2008-01-14,1469.08,NA,IDR
2008-01-28,1354.52,NA,IDR
2008-02-01,NA,312710000000.0,IDR
2008-02-11,1352.19,NA,IDR
2008-02-22,1418.12,NA,IDR
2008-03-01,NA,330780000000.0,IDR
2008-03-06,1382.74,NA,IDR
2008-03-19,1169.2,NA,IDR
2008-04-01,1194.8,314120000000.0,IDR
2008-04-14,1156.06,NA,IDR
2008-04-28,1150.76,NA,IDR
2008-05-01,NA,333030000000.0,IDR
2008-05-12,1199.31,NA,IDR
2008-05-23,1246.27,NA,IDR
2008-06-01,NA,324880000000.0,IDR
2008-06-05,1206.91,NA,IDR
2008-06-18,1224.28,NA,IDR
2008-07-01,1245.93,279630000000.0,IDR
2008-07-14,1139.55,NA,IDR
2008-07-28,1064.23,NA,IDR
2008-08-01,NA,255010000000.0,IDR
2008-08-11,963.74,NA,IDR
2008-08-22,968.45,NA,IDR
2008-09-01,NA,206720000000.0,IDR
2008-09-04,928.51,NA,IDR
2008-09-17,777.16,NA,IDR
2008-10-01,NA,141490000000.0,IDR
2008-10-06,705.98,NA,IDR
2008-10-14,685.8,NA,IDR
2008-10-27,522.59,NA,IDR
2008-11-01,NA,138680000000.0,IDR
2008-11-10,592.52,NA,IDR
2008-11-24,506.79,NA,IDR
2008-12-01,NA,142860000000.0,IDR
2008-12-05,524.08,NA,IDR
2008-12-18,590.94,NA,IDR
2009-01-01,NA,144580000000.0,IDR
2009-01-06,634.48,NA,IDR
2009-01-13,617.69,NA,IDR
2009-01-27,597.14,NA,IDR
2009-02-01,NA,144090000000.0,IDR
2009-02-09,604.52,NA,IDR
2009-02-23,592.83,NA,IDR
2009-03-01,NA,148380000000.0,IDR
2009-03-10,579.51,NA,IDR
2009-03-19,586.03,NA,IDR
2009-04-01,618.31,180780000000.0,IDR
2009-04-14,686.37,NA,IDR
2009-04-27,697.99,NA,IDR
2009-05-01,NA,206340000000.0,IDR
2009-05-11,858.06,NA,IDR
2009-05-25,861.54,NA,IDR
2009-06-01,NA,213610000000.0,IDR
2009-06-05,957.37,NA,IDR
2009-06-18,865.77,NA,IDR
2009-07-01,902.72,243460000000.0,IDR
2009-07-14,883.58,NA,IDR
2009-07-27,976.17,NA,IDR
2009-08-01,NA,242660000000.0,IDR
2009-08-10,1105.02,NA,IDR
2009-08-24,1101.31,NA,IDR
2009-09-01,NA,241880000000.0,IDR
2009-09-04,1050.63,NA,IDR
2009-09-17,1109.9,NA,IDR
2009-09-30,1112.85,NA,IDR
2009-10-01,NA,226720000000.0,IDR
2009-10-16,1135.21,NA,IDR
2009-10-26,1106.74,NA,IDR
2009-11-01,NA,229440000000.0,IDR
2009-11-09,1062.13,NA,IDR
2009-11-23,1108.75,NA,IDR
2009-12-01,NA,236050000000.0,IDR
2009-12-04,1121.85,NA,IDR
2009-12-17,1120.55,NA,IDR
2009-12-30,1121.44,NA,IDR
2010-01-01,NA,232260000000.0,IDR
2010-01-12,1200.06,NA,IDR
2010-01-25,1151.13,NA,IDR
2010-02-01,NA,223080000000.0,IDR
2010-02-08,1088.25,NA,IDR
2010-02-22,1124.4,NA,IDR
2010-03-01,NA,224140000000.0,IDR
2010-03-05,1128.29,NA,IDR
2010-03-18,1184.14,NA,IDR
2010-03-31,1202.55,NA,IDR
2010-04-01,NA,227760000000.0,IDR
2010-04-13,1249.81,NA,IDR
2010-04-26,1274.58,NA,IDR
2010-05-01,NA,204270000000.0,IDR
2010-05-10,1221.22,NA,IDR
2010-05-24,1081.94,NA,IDR
2010-06-01,NA,201990000000.0,IDR
2010-06-04,1184.36,NA,IDR
2010-06-17,1206.23,NA,IDR
2010-06-30,1195.75,NA,IDR
2010-07-01,NA,199350000000.0,IDR
2010-07-13,1196.9,NA,IDR
2010-07-26,1240.24,NA,IDR
2010-08-01,NA,185720000000.0,IDR
2010-08-09,1260.03,NA,IDR
2010-08-23,1260.16,NA,IDR
2010-09-01,NA,194660000000.0,IDR
