tanggal,NAV,AUM,currency
2004-10-04,NA,3885.47,IDR
2004-10-18,NA,3873.32,IDR
2004-11-01,NA,3928.88,IDR
2004-11-22,NA,4244.47,IDR
2004-12-01,NA,4502.12,IDR
2004-12-16,NA,4401.42,IDR
2005-01-03,NA,4614.02,IDR
2005-01-17,NA,4687.03,IDR
2005-01-31,NA,4801.74,IDR
2005-02-14,NA,4846.83,IDR
2005-03-01,NA,5020.75,IDR
2005-03-17,NA,5263.45,IDR
2005-04-01,NA,5111.14,IDR
2005-04-18,NA,4951.44,IDR
2005-05-02,NA,4828.29,IDR
2005-05-16,NA,4933.24,IDR
2005-05-31,NA,5159.81,IDR
2005-06-15,NA,5309.0,IDR
2005-06-30,NA,5385.15,IDR
2005-07-15,NA,5422.32,IDR
2005-08-01,NA,5698.78,IDR
2005-08-15,NA,5396.98,IDR
2005-08-30,NA,5068.16,IDR
2005-09-14,NA,5116.06,IDR
2005-09-29,NA,5032.79,IDR
2005-10-14,NA,5126.08,IDR
2005-10-31,NA,5017.9,IDR
2005-11-14,NA,4814.02,IDR
2005-11-28,NA,5143.35,IDR
2005-12-13,NA,5522.95,IDR
2005-12-28,NA,5455.64,IDR
2006-01-12,NA,5866.94,IDR
2006-01-27,NA,5736.93,IDR
2006-02-13,NA,5776.98,IDR
2006-02-27,NA,5720.94,IDR
2006-03-14,NA,5773.75,IDR
2006-03-29,NA,6187.45,IDR
2006-04-13,NA,6496.44,IDR
2006-04-28,NA,6860.3,IDR
2006-05-15,NA,6621.16,IDR
2006-05-29,NA,6274.18,IDR
2006-06-12,NA,6049.15,IDR
2006-06-27,NA,6174.83,IDR
2006-07-12,NA,6454.44,IDR
2006-07-27,NA,6422.8,IDR
2006-08-14,NA,6814.26,IDR
2006-08-28,NA,6840.68,IDR
2006-09-11,NA,6990.49,IDR
2006-09-26,NA,7233.59,IDR
2006-10-11,NA,7464.94,IDR
2006-10-30,NA,7592.3,IDR
2006-11-10,NA,7939.82,IDR
2006-11-27,NA,8206.07,IDR
2006-12-11,NA,8348.39,IDR
2006-12-26,NA,8497.18,IDR
2007-01-09,NA,8401.81,IDR
