tanggal,NAV,AUM,currency
2007-10-10,1.0,NA,USD
2007-10-11,NA,1856300.0,USD
2007-10-23,1.0,NA,USD
2007-10-24,NA,2277400.0,USD
2007-11-05,1.0,NA,USD
2007-11-06,NA,2623900.0,USD
2007-11-19,1.01,2562600.0,USD
2007-12-03,1.01,NA,USD
2007-12-04,NA,2477300.0,USD
2007-12-14,1.01,2459500.0,USD
2007-12-27,1.0,2438400.0,USD
2008-01-09,1.01,2480900.0,USD
2008-01-22,1.01,2448200.0,USD
2008-02-04,1.0,2431300.0,USD
2008-02-18,1.01,2433200.0,USD
2008-02-29,NA,2457500.0,USD
2008-03-03,1.01,NA,USD
2008-03-13,NA,2488700.0,USD
2008-03-14,1.01,NA,USD
2008-03-26,NA,2399700.0,USD
2008-03-27,1.02,NA,USD
2008-04-08,NA,2395700.0,USD
2008-04-09,1.02,NA,USD
2008-04-21,NA,2315400.0,USD
2008-04-22,1.02,NA,USD
2008-05-05,1.02,2339200.0,USD
2008-05-16,NA,2328200.0,USD
2008-05-19,1.02,NA,USD
2008-05-29,NA,4022100.0,USD
2008-06-02,1.02,NA,USD
2008-06-11,NA,3955000.0,USD
2008-06-13,1.02,NA,USD
2008-06-24,NA,3907800.0,USD
2008-06-26,1.03,NA,USD
2008-07-07,NA,3917700.0,USD
2008-07-09,1.02,NA,USD
2008-07-21,1.03,3943200.0,USD
2008-08-01,NA,5927200.0,USD
2008-08-04,1.03,NA,USD
2008-08-14,NA,4150800.0,USD
2008-08-19,1.02,NA,USD
2008-08-27,NA,4163400.0,USD
2008-08-29,1.02,NA,USD
2008-09-09,NA,4158700.0,USD
2008-09-11,1.03,NA,USD
2008-09-22,NA,4069800.0,USD
2008-09-24,1.01,NA,USD
2008-10-06,NA,3869100.0,USD
2008-10-07,0.97,NA,USD
2008-10-17,NA,3026600.0,USD
2008-10-20,0.78,NA,USD
2008-10-30,NA,2863200.0,USD
2008-11-03,0.8,NA,USD
2008-11-12,NA,3054000.0,USD
2008-11-17,0.75,NA,USD
2008-11-25,NA,2925300.0,USD
2008-11-28,0.78,NA,USD
2008-12-09,NA,3071600.0,USD
2008-12-11,0.83,NA,USD
2008-12-22,NA,3481800.0,USD
2008-12-24,0.91,NA,USD
2009-01-05,NA,2645500.0,USD
2009-01-06,0.92,NA,USD
2009-01-15,NA,2457500.0,USD
2009-01-19,0.86,NA,USD
2009-02-02,0.89,NA,USD
2009-02-16,0.9,NA,USD
2009-02-27,0.87,NA,USD
2009-03-12,0.86,NA,USD
2009-03-25,0.92,NA,USD
2009-04-07,0.93,NA,USD
2009-04-20,0.97,NA,USD
2009-05-04,1.0,NA,USD
2009-05-18,1.0,NA,USD
2009-05-29,1.03,NA,USD
2009-06-11,1.04,NA,USD
2009-06-24,1.01,NA,USD
2009-07-06,1.04,NA,USD
2009-07-21,1.05,NA,USD
2009-08-03,1.08,NA,USD
2009-08-14,1.08,NA,USD
2009-08-27,1.1,NA,USD
2009-08-31,NA,15160000.0,USD
2009-09-09,1.11,NA,USD
2009-09-24,1.14,NA,USD
2009-09-30,NA,19400000.0,USD
2009-10-05,1.14,NA,USD
2009-10-19,1.17,NA,USD
2009-11-02,1.12,28760000.0,USD
2009-11-06,NA,28760000.0,USD
2009-11-13,1.14,NA,USD
2009-11-19,NA,28760000.0,USD
2009-11-26,1.13,NA,USD
2009-12-09,1.15,NA,USD
2009-12-22,1.16,NA,USD
2009-12-30,NA,30710000.0,USD
2010-01-04,1.16,NA,USD
2010-01-18,1.15,NA,USD
2010-01-29,NA,35910000.0,USD
2010-02-01,1.16,NA,USD
2010-02-12,1.15,NA,USD
2010-02-25,1.17,36480000.0,USD
2010-03-10,1.18,NA,USD
2010-03-23,1.18,NA,USD
2010-03-31,NA,36110000.0,USD
2010-04-05,1.18,NA,USD
2010-04-19,1.19,NA,USD
2010-04-30,NA,41810000.0,USD
2010-05-03,1.19,NA,USD
2010-05-14,1.19,NA,USD
2010-05-27,1.18,NA,USD
2010-05-31,NA,43250000.0,USD
2010-06-08,1.26,NA,USD
2010-06-21,1.2,NA,USD
2010-06-30,NA,45320000.0,USD
2010-07-05,1.21,NA,USD
2010-07-19,1.23,NA,USD
2010-07-30,1.25,56020000.0,USD
2010-08-12,1.27,NA,USD
2010-08-25,1.29,NA,USD
2010-08-31,NA,101280000.0,USD
2010-09-07,1.29,NA,USD
2010-09-20,1.27,NA,USD
2010-09-30,NA,123020000.0,USD
2010-10-04,1.29,NA,USD
2010-10-18,1.3,NA,USD
2010-10-29,1.29,145130000.0,USD
2010-11-11,1.29,NA,USD
2010-11-24,1.28,NA,USD
2010-11-30,NA,140650000.0,USD
2010-12-08,1.27,NA,USD
2010-12-20,1.24,NA,USD
2010-12-30,NA,138080000.0,USD
2011-01-03,1.26,NA,USD
2011-01-17,1.25,NA,USD
2011-01-28,1.24,NA,USD
2011-01-31,NA,134770000.0,USD
2011-02-10,1.23,NA,USD
2011-02-23,1.23,NA,USD
2011-02-28,NA,129210000.00000001,USD
2011-03-08,1.24,NA,USD
2011-03-21,1.24,NA,USD
2011-03-31,NA,125670000.0,USD
2011-04-04,1.24,NA,USD
2011-04-18,1.24,NA,USD
2011-04-29,1.25,NA,USD
2011-05-12,1.26,NA,USD
2011-05-24,1.26,NA,USD
2011-05-31,NA,116660000.0,USD
2011-06-06,1.27,NA,USD
2011-06-20,1.27,NA,USD
2011-07-04,1.28,NA,USD
2011-07-15,1.28,NA,USD
2011-07-28,1.29,NA,USD
2011-08-10,1.3,NA,USD
2011-08-23,1.3,NA,USD
2011-08-31,NA,92240000.0,USD
2011-09-05,1.3,NA,USD
2011-09-19,1.3,NA,USD
2011-09-30,NA,66319999.99999999,USD
2011-10-03,1.25,NA,USD
2011-10-12,NA,1.25,USD
2011-10-14,1.26,NA,USD
2011-10-25,NA,1.27,USD
2011-10-27,1.28,NA,USD
2011-11-07,NA,1.29,USD
2011-11-09,1.29,NA,USD
2011-11-21,NA,1.29,USD
2011-11-22,1.28,NA,USD
2011-12-05,1.29,1.29,USD
2011-12-15,NA,1.29,USD
2011-12-19,1.29,NA,USD
2011-12-28,NA,1.29,USD
2012-01-02,1.29,NA,USD
2012-01-10,NA,1.29,USD
2012-01-13,1.29,NA,USD
2012-01-24,NA,1.3,USD
2012-01-26,1.3,NA,USD
2012-02-06,NA,1.31,USD
2012-02-08,1.31,NA,USD
2012-02-20,NA,1.32,USD
2012-02-21,1.32,NA,USD
2012-03-01,NA,60530000.0,USD
2012-03-05,1.33,NA,USD
2012-03-14,NA,1.33,USD
2012-03-19,1.32,NA,USD
2012-03-27,NA,1.32,USD
2012-04-02,1.32,NA,USD
2012-04-09,NA,1.32,USD
2012-04-13,1.33,NA,USD
2012-04-23,NA,1.32,USD
2012-04-25,1.32,NA,USD
2012-05-07,NA,1.32,USD
2012-05-08,1.32,NA,USD
2012-05-21,1.31,1.31,USD
2012-05-30,NA,1.3,USD
2012-06-04,1.3,NA,USD
2012-06-12,NA,1.31,USD
2012-06-18,1.32,NA,USD
2012-06-25,NA,1.32,USD
2012-06-29,1.32,NA,USD
2012-07-09,NA,1.32,USD
2012-07-12,1.32,NA,USD
2012-07-20,NA,1.34,USD
2012-07-25,1.34,NA,USD
2012-08-02,NA,1.34,USD
2012-08-07,1.35,NA,USD
2012-08-15,NA,1.35,USD
2012-08-23,1.35,NA,USD
2012-08-28,NA,1.35,USD
2012-09-03,1.35,NA,USD
2012-09-10,NA,1.35,USD
2012-09-17,1.36,NA,USD
2012-09-24,NA,1.36,USD
2012-09-28,1.36,NA,USD
2012-10-05,NA,1.37,USD
2012-10-11,1.37,NA,USD
2012-10-18,NA,1.37,USD
2012-10-24,1.37,NA,USD
2012-10-31,NA,46550000.0,USD
2012-11-06,1.37,NA,USD
2012-11-13,NA,1.37,USD
2012-11-19,1.37,NA,USD
2012-11-26,NA,1.37,USD
2012-12-03,1.38,NA,USD
2012-12-10,NA,1.38,USD
2012-12-17,1.38,NA,USD
2012-12-21,NA,1.38,USD
2012-12-28,1.38,NA,USD
2013-01-03,NA,1.38,USD
2013-01-10,1.38,NA,USD
2013-01-16,NA,1.37,USD
2013-01-23,1.37,NA,USD
2013-01-29,NA,1.37,USD
2013-02-05,1.36,NA,USD
2013-02-11,NA,1.36,USD
2013-02-18,1.36,NA,USD
2013-02-25,NA,1.36,USD
2013-03-04,1.36,NA,USD
2013-03-08,NA,1.36,USD
2013-03-18,1.36,NA,USD
2013-03-21,NA,1.36,USD
2013-03-28,1.36,NA,USD
2013-04-03,NA,1.36,USD
2013-04-10,1.37,NA,USD
2013-04-16,NA,1.37,USD
2013-04-23,1.37,NA,USD
2013-04-29,NA,1.38,USD
2013-05-06,1.38,NA,USD
2013-05-13,NA,1.38,USD
2013-05-20,1.38,NA,USD
2013-05-24,NA,1.37,USD
2013-06-03,1.36,NA,USD
2013-06-07,NA,1.36,USD
2013-06-14,1.35,NA,USD
2013-06-19,NA,1.34,USD
2013-06-27,1.31,NA,USD
2013-07-02,NA,1.33,USD
2013-07-10,1.32,NA,USD
2013-07-15,NA,1.32,USD
2013-07-23,1.34,NA,USD
2013-07-29,NA,1.34,USD
2013-08-12,1.34,1.34,USD
2013-08-19,1.33,NA,USD
2013-08-22,NA,1.31,USD
2013-09-02,1.3,NA,USD
2013-09-04,NA,1.3,USD
2013-09-13,1.31,NA,USD
2013-09-17,NA,1.31,USD
2013-09-26,1.33,NA,USD
2013-09-30,NA,36260000.0,USD
2013-10-09,1.34,NA,USD
2013-10-16,NA,1.34,USD
2013-10-22,1.36,NA,USD
2013-10-25,NA,1.36,USD
2013-11-04,1.35,NA,USD
2013-11-07,NA,1.35,USD
2013-11-18,1.35,NA,USD
2013-11-20,NA,1.35,USD
2013-12-02,1.35,NA,USD
2013-12-03,NA,1.34,USD
2013-12-13,1.35,NA,USD
2013-12-16,NA,1.35,USD
2013-12-27,1.35,NA,USD
2013-12-30,NA,34660000.0,USD
2014-01-08,1.35,NA,USD
2014-01-10,NA,1.35,USD
2014-01-21,1.36,NA,USD
2014-01-23,NA,1.36,USD
2014-02-03,1.35,NA,USD
2014-02-05,NA,1.36,USD
2014-02-17,1.37,NA,USD
2014-02-18,NA,1.37,USD
2014-03-03,1.38,1.38,USD
2014-03-13,1.38,NA,USD
2014-03-17,NA,1.38,USD
2014-03-26,1.38,NA,USD
2014-03-28,NA,33830000.0,USD
2014-04-08,1.38,NA,USD
2014-04-10,NA,1.38,USD
2014-04-21,1.38,NA,USD
2014-04-23,NA,1.38,USD
2014-05-05,1.39,NA,USD
2014-05-06,NA,1.39,USD
2014-05-19,1.39,1.39,USD
2014-05-30,1.39,NA,USD
2014-06-02,NA,1.39,USD
2014-06-12,1.39,NA,USD
2014-06-13,NA,1.39,USD
2014-06-25,1.39,NA,USD
2014-06-26,NA,1.39,USD
2014-07-08,1.39,NA,USD
2014-07-10,NA,1.39,USD
2014-07-21,1.39,1.39,USD
2014-08-04,1.39,1.39,USD
2014-08-18,1.39,1.39,USD
2014-08-29,1.4,32759999.999999996,USD
2014-09-11,1.4,1.4,USD
2014-09-24,1.39,1.39,USD
2014-10-06,NA,1.39,USD
2014-10-07,1.39,NA,USD
2014-10-20,1.39,1.39,USD
2014-11-03,1.4,1.4,USD
2014-11-14,NA,1.4,USD
2014-11-17,1.4,NA,USD
2014-11-27,NA,1.4,USD
2014-11-28,1.41,NA,USD
2014-12-10,NA,1.4,USD
2014-12-11,1.4,NA,USD
2014-12-22,NA,1.4,USD
2014-12-24,1.4,NA,USD
2015-01-05,NA,1.4,USD
2015-01-06,1.4,NA,USD
2015-01-19,1.4,1.4,USD
2015-01-27,NA,1.41,USD
2015-01-30,NA,35400000.0,USD
2015-02-02,1.41,NA,USD
2015-02-03,NA,1.41,USD
2015-02-10,1.41,NA,USD
2015-02-11,NA,1.41,USD
2015-02-12,NA,1.41,USD
2015-02-13,1.41,NA,USD
2015-02-17,1.42,NA,USD
2015-02-18,NA,1.42,USD
2015-02-25,1.42,1.42,USD
2015-02-26,1.42,NA,USD
2015-03-04,1.42,NA,USD
2015-03-05,NA,1.42,USD
2015-03-09,NA,1.42,USD
2015-03-11,1.41,NA,USD
2015-03-12,1.41,1.41,USD
2015-03-19,1.42,NA,USD
2015-03-20,NA,1.42,USD
2015-03-23,NA,1.42,USD
2015-03-24,1.42,NA,USD
2015-03-27,1.42,1.42,USD
2015-04-06,1.42,1.42,USD
2015-04-13,1.42,1.42,USD
2015-04-17,NA,1.42,USD
2015-04-20,1.42,1.42,USD
2015-04-27,1.42,1.42,USD
2015-04-30,NA,34180000.0,USD
2015-05-04,1.42,1.42,USD
2015-05-11,1.42,1.42,USD
2015-05-12,NA,1.42,USD
2015-05-15,1.42,NA,USD
2015-05-18,1.42,1.42,USD
2015-05-25,NA,1.42,USD
2015-05-26,1.42,NA,USD
2015-05-28,1.42,NA,USD
2015-06-01,NA,33409999.999999996,USD
2015-06-03,1.42,NA,USD
2015-06-08,NA,1.41,USD
2015-06-09,NA,1.41,USD
2015-06-10,1.41,NA,USD
2015-06-16,NA,1.4,USD
2015-06-17,1.41,NA,USD
2015-06-22,NA,1.41,USD
2015-06-23,1.41,1.41,USD
2015-06-25,1.41,NA,USD
2015-07-01,NA,38870000.0,USD
2015-07-02,1.41,NA,USD
2015-07-03,NA,1.41,USD
2015-07-06,1.41,NA,USD
2015-07-08,NA,1.41,USD
2015-07-09,1.41,NA,USD
2015-07-15,NA,1.41,USD
2015-07-22,1.41,1.41,USD
2015-07-23,NA,1.41,USD
2015-07-24,1.41,NA,USD
2015-07-28,NA,1.41,USD
2015-07-30,NA,1.41,USD
2015-08-03,1.41,NA,USD
2015-08-06,NA,1.41,USD
2015-08-10,1.41,1.41,USD
2015-08-14,1.41,1.41,USD
2015-08-18,1.41,NA,USD
2015-08-21,NA,1.4,USD
2015-08-24,1.4,1.4,USD
2015-08-27,1.4,NA,USD
2015-08-31,1.4,35260000.0,USD
2015-09-07,1.4,1.4,USD
2015-09-09,1.4,NA,USD
2015-09-14,NA,1.4,USD
2015-09-15,1.4,NA,USD
2015-09-18,NA,1.41,USD
2015-09-21,NA,1.41,USD
2015-09-22,1.41,NA,USD
2015-09-28,NA,1.4,USD
2015-09-30,1.39,NA,USD
2015-10-01,NA,36770000.0,USD
2015-10-05,1.4,1.4,USD
2015-10-07,1.41,NA,USD
2015-10-12,NA,1.41,USD
2015-10-13,NA,1.41,USD
2015-10-15,1.41,NA,USD
2015-10-19,1.42,1.42,USD
2015-10-22,1.42,NA,USD
2015-10-26,NA,1.42,USD
2015-10-27,NA,1.42,USD
2015-10-30,1.41,NA,USD
2015-11-02,1.41,NA,USD
2015-11-03,NA,1.41,USD
2015-11-06,1.41,NA,USD
2015-11-09,NA,1.41,USD
2015-11-10,NA,1.41,USD
2015-11-13,1.41,NA,USD
2015-11-16,1.41,NA,USD
2015-11-18,NA,1.41,USD
2015-11-23,1.41,1.41,USD
2015-11-25,NA,1.41,USD
2015-11-26,1.41,NA,USD
2015-11-30,1.41,NA,USD
2015-12-02,NA,1.41,USD
2015-12-04,NA,1.41,USD
2015-12-07,1.41,NA,USD
2015-12-10,1.41,1.41,USD
2015-12-14,1.4,NA,USD
2015-12-16,NA,1.4,USD
2015-12-17,NA,1.41,USD
2015-12-21,1.4,NA,USD
2015-12-22,1.4,NA,USD
2015-12-28,1.41,1.41,USD
2015-12-29,NA,1.41,USD
2016-01-04,1.41,1.41,USD
2016-01-05,1.41,NA,USD
2016-01-08,NA,1.41,USD
2016-01-11,NA,1.41,USD
2016-01-12,1.41,NA,USD
2016-01-18,1.41,1.41,USD
2016-01-20,1.41,NA,USD
2016-01-25,NA,1.41,USD
2016-01-27,1.42,NA,USD
2016-01-29,1.42,NA,USD
2016-02-01,NA,43820000.0,USD
2016-02-04,1.42,NA,USD
2016-02-09,NA,1.42,USD
2016-02-11,1.42,NA,USD
2016-02-15,NA,1.42,USD
2016-02-19,1.43,1.43,USD
2016-02-22,NA,1.43,USD
2016-02-24,1.43,NA,USD
2016-02-26,1.43,NA,USD
2016-02-29,NA,43820000.0,USD
2016-03-02,NA,1.43,USD
2016-03-07,1.43,1.43,USD
2016-03-08,1.43,NA,USD
2016-03-14,1.43,1.43,USD
2016-03-15,NA,1.43,USD
2016-03-21,1.43,NA,USD
2016-03-22,NA,1.43,USD
2016-03-28,1.43,1.43,USD
2016-03-29,NA,1.43,USD
2016-04-04,1.43,NA,USD
2016-04-06,NA,1.43,USD
2016-04-11,1.43,1.43,USD
2016-04-13,NA,1.43,USD
2016-04-18,1.44,NA,USD
2016-04-20,NA,1.44,USD
2016-04-25,NA,1.43,USD
2016-04-26,1.43,NA,USD
2016-04-28,NA,1.44,USD
2016-04-29,1.44,NA,USD
2016-05-03,1.44,NA,USD
2016-05-09,NA,1.44,USD
2016-05-11,1.44,NA,USD
2016-05-12,1.44,1.44,USD
2016-05-18,1.44,1.44,USD
2016-05-20,NA,1.43,USD
2016-05-25,1.43,NA,USD
2016-05-26,1.43,NA,USD
2016-05-27,NA,1.43,USD
2016-05-31,NA,41540000.0,USD
2016-06-02,1.43,NA,USD
2016-06-06,NA,1.44,USD
2016-06-07,1.44,NA,USD
2016-06-10,1.44,NA,USD
2016-06-13,NA,1.43,USD
2016-06-17,1.44,NA,USD
2016-06-20,1.44,1.44,USD
2016-06-27,1.44,1.44,USD
2016-07-11,1.45,1.45,USD
2016-07-18,1.45,1.45,USD
2016-07-22,NA,1.45,USD
2016-07-25,1.45,1.45,USD
2016-07-29,1.45,NA,USD
2016-08-01,1.46,41330000.0,USD
2016-08-03,NA,1.45,USD
2016-08-09,1.46,1.46,USD
2016-08-11,1.46,NA,USD
2016-08-16,1.46,1.46,USD
2016-08-24,1.46,1.46,USD
2016-08-29,NA,1.46,USD
2016-08-31,1.46,41330000.0,USD
2016-09-06,1.46,NA,USD
2016-09-07,1.46,1.46,USD
2016-09-13,NA,1.46,USD
2016-09-15,1.45,1.45,USD
2016-09-19,1.46,NA,USD
2016-09-22,1.46,1.46,USD
2016-09-26,NA,1.46,USD
2016-09-29,NA,1.46,USD
2016-09-30,1.46,NA,USD
2016-10-03,1.46,NA,USD
2016-10-06,NA,1.46,USD
2016-10-07,1.46,1.46,USD
2016-10-14,NA,1.45,USD
2016-10-17,1.45,NA,USD
2016-10-19,NA,1.45,USD
2016-10-24,1.46,1.46,USD
2016-10-28,1.45,NA,USD
2016-10-31,1.45,38750000.0,USD
2016-11-01,NA,39060000.0,USD
2016-11-07,1.45,1.45,USD
2016-11-10,1.45,NA,USD
2016-11-14,1.43,1.43,USD
2016-11-21,1.43,1.43,USD
2016-11-23,1.44,NA,USD
2016-11-28,NA,1.44,USD
2016-11-29,1.44,NA,USD
2016-12-05,NA,1.43,USD
2016-12-06,1.43,NA,USD
2016-12-13,NA,1.44,USD
2016-12-14,1.44,NA,USD
2016-12-19,1.43,1.43,USD
2016-12-21,1.43,NA,USD
2016-12-22,NA,1.43,USD
2016-12-27,NA,1.44,USD
2016-12-29,1.44,NA,USD
2017-01-03,1.44,1.44,USD
2017-01-04,NA,1.44,USD
2017-01-05,1.45,NA,USD
2017-01-11,NA,1.44,USD
2017-01-13,1.44,NA,USD
2017-01-17,NA,1.45,USD
2017-01-18,NA,1.45,USD
2017-01-20,1.44,NA,USD
2017-01-25,NA,1.44,USD
2017-01-26,1.44,NA,USD
2017-01-27,1.44,NA,USD
2017-01-30,NA,1.44,USD
2017-02-02,NA,1.44,USD
2017-02-06,1.45,NA,USD
2017-02-08,1.45,NA,USD
2017-02-09,NA,1.45,USD
2017-02-13,1.45,1.45,USD
2017-02-16,NA,1.45,USD
2017-02-20,1.45,NA,USD
2017-02-21,1.45,NA,USD
2017-02-24,NA,1.45,USD
2017-02-27,1.46,1.46,USD
2017-03-03,NA,1.45,USD
2017-03-06,1.45,NA,USD
2017-03-09,NA,1.44,USD
2017-03-10,NA,1.44,USD
2017-03-13,1.44,NA,USD
2017-03-20,1.45,1.45,USD
2017-03-21,1.45,NA,USD
2017-03-22,NA,1.45,USD
2017-03-27,NA,1.46,USD
2017-03-29,1.46,NA,USD
2017-04-03,1.46,1.46,USD
2017-04-04,NA,1.46,USD
2017-04-05,1.46,NA,USD
2017-04-10,NA,1.45,USD
2017-04-12,1.45,NA,USD
2017-04-17,1.46,1.46,USD
2017-04-20,1.46,NA,USD
2017-04-25,NA,1.46,USD
2017-04-27,1.46,NA,USD
2017-05-02,NA,1.46,USD
2017-05-05,1.46,NA,USD
2017-05-08,NA,1.46,USD
2017-05-10,1.46,NA,USD
2017-05-12,1.46,1.46,USD
2017-05-16,NA,1.46,USD
2017-05-22,1.47,NA,USD
2017-05-23,1.47,1.47,USD
2017-05-26,NA,1.47,USD
2017-05-29,1.47,NA,USD
2017-05-31,NA,48370000.0,USD
2017-06-05,1.47,NA,USD
2017-06-07,NA,1.47,USD
2017-06-12,1.47,NA,USD
2017-06-14,NA,1.47,USD
2017-06-19,1.48,NA,USD
2017-06-20,NA,1.48,USD
2017-06-22,NA,1.47,USD
2017-06-30,NA,45340000.0,USD
2017-07-03,1.47,1.47,USD
2017-07-06,NA,1.47,USD
2017-07-11,1.46,NA,USD
2017-07-14,1.47,1.47,USD
2017-07-17,NA,1.47,USD
2017-07-18,1.47,NA,USD
2017-07-21,NA,1.47,USD
2017-07-26,1.47,NA,USD
2017-07-27,1.47,NA,USD
2017-07-28,NA,1.47,USD
2017-08-02,1.48,NA,USD
2017-08-07,NA,1.48,USD
2017-08-09,1.48,NA,USD
2017-08-10,1.48,1.48,USD
2017-08-14,NA,1.48,USD
2017-08-18,1.48,NA,USD
2017-08-21,NA,1.48,USD
2017-08-22,1.48,NA,USD
2017-08-23,NA,1.48,USD
2017-08-25,1.48,NA,USD
2017-08-28,NA,1.49,USD
2017-09-04,1.49,1.49,USD
2017-09-05,NA,1.49,USD
2017-09-11,1.5,1.5,USD
2017-09-18,1.5,1.5,USD
2017-09-25,1.5,1.5,USD
2017-10-02,1.49,1.49,USD
2017-10-03,NA,1.49,USD
2017-10-09,1.49,NA,USD
2017-10-10,NA,1.49,USD
2017-10-13,1.5,1.5,USD
2017-10-16,1.5,NA,USD
2017-10-17,NA,1.5,USD
2017-10-23,1.49,NA,USD
2017-10-25,NA,1.49,USD
2017-10-26,1.49,1.49,USD
2017-10-31,1.49,NA,USD
2017-11-01,NA,42650000.0,USD
2017-11-07,1.49,NA,USD
2017-11-08,1.49,1.49,USD
2017-11-09,NA,1.49,USD
