tanggal,NAV,AUM,currency
2004-01-01,NA,47710000000.0,IDR
2004-02-01,NA,50400000000.0,IDR
2004-03-01,NA,48060000000.0,IDR
2004-04-01,NA,52610000000.0,IDR
2004-05-01,NA,49750000000.0,IDR
2004-06-01,NA,47830000000.0,IDR
2004-07-01,NA,58710000000.0,IDR
2004-08-01,NA,60870000000.0,IDR
2004-09-01,NA,50550000000.0,IDR
2004-10-01,NA,53880000000.0,IDR
2004-11-01,NA,57940000000.0,IDR
2004-12-01,NA,80220000000.0,IDR
2005-01-01,NA,109660000000.0,IDR
2005-02-01,NA,87360000000.0,IDR
2005-03-01,NA,75720000000.0,IDR
2005-04-01,NA,66349999999.99999,IDR
2005-05-01,NA,71230000000.0,IDR
2005-06-01,NA,66599999999.99999,IDR
2005-07-01,NA,64670000000.0,IDR
2005-08-01,NA,15540000000.0,IDR
2005-09-01,NA,15900000000.0,IDR
2005-10-01,NA,15610000000.0,IDR
2005-11-01,NA,15430000000.0,IDR
2005-12-01,NA,12130000000.0,IDR
2006-01-01,NA,12300000000.0,IDR
2006-02-01,NA,16540000000.0,IDR
2006-03-01,NA,24260000000.0,IDR
2006-04-01,NA,35490000000.0,IDR
2006-05-01,NA,23020000000.0,IDR
2006-06-01,NA,22580000000.0,IDR
2006-07-01,NA,23530000000.0,IDR
2006-08-01,NA,23970000000.0,IDR
2006-09-01,NA,25550000000.0,IDR
2006-10-01,NA,29270000000.0,IDR
2006-11-01,NA,30420000000.0,IDR
2006-12-01,NA,27570000000.0,IDR
2007-01-01,NA,33340000000.000004,IDR
2007-02-01,NA,36450000000.0,IDR
2007-03-01,NA,34189999999.999996,IDR
2007-04-01,NA,50020000000.0,IDR
2007-05-01,NA,69770000000.0,IDR
2007-06-01,NA,86390000000.0,IDR
2007-07-01,NA,94310000000.0,IDR
2007-08-01,NA,122450000000.0,IDR
2007-09-01,NA,131120000000.0,IDR
2007-10-01,NA,110910000000.0,IDR
2007-11-01,NA,125850000000.0,IDR
2007-12-01,NA,123090000000.0,IDR
2008-01-01,NA,121950000000.0,IDR
2008-02-01,NA,122270000000.0,IDR
2008-03-01,NA,113390000000.0,IDR
2008-04-01,NA,110000000000.0,IDR
2008-05-01,NA,113470000000.0,IDR
2008-06-01,NA,108670000000.0,IDR
2008-07-01,NA,115190000000.0,IDR
2008-08-01,NA,110060000000.0,IDR
2008-09-01,NA,92350000000.0,IDR
2008-10-01,NA,69550000000.0,IDR
2008-11-01,NA,51790000000.0,IDR
2008-12-01,NA,56170000000.0,IDR
2009-01-01,NA,56590000000.0,IDR
2009-02-01,NA,56440000000.0,IDR
2009-03-01,NA,59360000000.0,IDR
2009-04-01,NA,72920000000.0,IDR
2009-05-01,NA,82230000000.0,IDR
2009-06-01,NA,81750000000.0,IDR
2009-07-01,NA,86000000000.0,IDR
2009-08-01,NA,67790000000.00001,IDR
2009-09-01,NA,66370000000.00001,IDR
2009-10-01,NA,57190000000.0,IDR
2009-11-01,NA,53140000000.0,IDR
2009-12-01,NA,102760000000.0,IDR
2010-01-01,NA,104700000000.0,IDR
2010-02-01,NA,100650000000.0,IDR
2010-03-01,NA,105000000000.0,IDR
2010-04-01,NA,113010000000.0,IDR
2010-05-01,NA,100010000000.0,IDR
2010-06-01,NA,101080000000.0,IDR
2010-07-01,NA,106790000000.0,IDR
2010-08-01,NA,105680000000.0,IDR
2010-09-01,NA,122940000000.0,IDR
2010-10-01,NA,144340000000.0,IDR
2010-11-01,NA,136840000000.0,IDR
2010-12-01,NA,139450000000.0,IDR
2011-01-01,NA,134860000000.00002,IDR
2011-02-01,NA,142780000000.0,IDR
2011-03-01,NA,150040000000.0,IDR
2011-04-01,NA,146500000000.0,IDR
2011-05-01,NA,132580000000.00002,IDR
2011-06-01,NA,132270000000.00002,IDR
2011-07-01,NA,143460000000.0,IDR
2011-08-01,NA,163550000000.0,IDR
2011-09-01,NA,153590000000.0,IDR
2011-10-01,NA,172690000000.0,IDR
2011-11-01,NA,169450000000.0,IDR
2011-12-01,NA,173550000000.0,IDR
2012-01-01,NA,179120000000.0,IDR
2012-02-01,NA,180340000000.0,IDR
2012-03-01,NA,192720000000.0,IDR
2012-04-01,NA,330010000000.0,IDR
2012-05-01,NA,370560000000.0,IDR
2012-06-01,NA,392550000000.0,IDR
2012-07-01,NA,411210000000.0,IDR
2012-08-01,NA,397280000000.0,IDR
2012-09-01,NA,409920000000.0,IDR
2012-10-01,NA,381210000000.0,IDR
2012-11-01,NA,530000000000.0,IDR
2012-12-01,NA,570000000000.0,IDR
2013-01-01,NA,590000000000.0,IDR
2013-02-01,NA,550000000000.0,IDR
2013-03-01,NA,510000000000.0,IDR
2013-04-01,NA,530000000000.0,IDR
2013-05-01,NA,580000000000.0,IDR
2013-06-01,NA,660000000000.0,IDR
2013-07-01,NA,600000000000.0,IDR
2013-08-01,NA,590000000000.0,IDR
2013-09-01,NA,680000000000.0,IDR
2013-10-01,NA,700000000000.0,IDR
2013-11-01,NA,690000000000.0,IDR
2013-12-01,NA,700000000000.0,IDR
2014-01-01,NA,710000000000.0,IDR
2014-02-01,NA,740000000000.0,IDR
2014-03-01,NA,600000000000.0,IDR
2014-04-01,NA,590000000000.0,IDR
2014-05-01,NA,550000000000.0,IDR
2014-06-01,NA,560000000000.0,IDR
2014-07-01,NA,520000000000.0,IDR
2014-08-01,NA,530000000000.0,IDR
2014-09-01,NA,530000000000.0,IDR
2014-10-01,NA,510000000000.0,IDR
2014-11-01,NA,471600000000.0,IDR
2014-12-01,NA,570000000000.0,IDR
2015-01-01,NA,530000000000.0,IDR
2015-02-01,NA,481240000000.0,IDR
2015-03-01,NA,470480000000.0,IDR
2015-04-01,NA,445470000000.0,IDR
2015-05-01,NA,459280000000.0,IDR
2015-06-01,NA,439040000000.0,IDR
2015-07-01,NA,438690000000.0,IDR
2015-08-01,NA,397330000000.0,IDR
2015-09-01,NA,393900000000.0,IDR
2015-10-01,NA,340130000000.0,IDR
2015-11-01,NA,329610000000.0,IDR
2015-12-01,NA,334250000000.0,IDR
2016-01-01,NA,329260000000.0,IDR
2016-02-01,NA,434320000000.0,IDR
2016-03-01,NA,434530000000.0,IDR
2016-04-01,NA,438470000000.0,IDR
2016-05-01,NA,435700000000.0,IDR
2016-06-01,NA,453750000000.0,IDR
2016-07-01,NA,359300000000.0,IDR
2016-08-01,NA,317730000000.0,IDR
