tanggal,NAV,AUM,currency
2006-12-18,1002.26,NA,IDR
2007-01-01,NA,6600000000.0,IDR
2007-01-02,1010.83,NA,IDR
2007-01-15,987.78,NA,IDR
2007-01-25,998.71,NA,IDR
2007-02-01,NA,11240000000.0,IDR
2007-02-08,999.17,NA,IDR
2007-02-22,1028.31,NA,IDR
2007-03-01,NA,12920000000.0,IDR
2007-03-07,1016.07,NA,IDR
2007-03-21,1043.82,NA,IDR
2007-04-01,NA,16640000000.0,IDR
2007-04-03,1078.45,NA,IDR
2007-04-17,1121.56,NA,IDR
2007-04-30,1119.03,NA,IDR
2007-05-01,NA,18670000000.0,IDR
2007-05-14,1134.29,NA,IDR
2007-05-28,1146.25,NA,IDR
2007-06-01,NA,20020000000.0,IDR
2007-06-11,1144.29,NA,IDR
2007-06-25,1176.17,NA,IDR
2007-07-01,NA,22530000000.0,IDR
2007-07-09,1228.79,NA,IDR
2007-07-23,1285.94,NA,IDR
2007-08-01,NA,21260000000.0,IDR
2007-08-03,1229.08,NA,IDR
2007-08-20,1151.21,NA,IDR
2007-08-31,1200.47,NA,IDR
2007-09-01,NA,22820000000.0,IDR
2007-09-13,1214.92,NA,IDR
2007-09-27,1291.76,NA,IDR
2007-10-01,NA,23180000000.0,IDR
2007-10-10,1378.94,NA,IDR
2007-10-24,1375.34,NA,IDR
2007-11-01,NA,19880000000.0,IDR
2007-11-06,1452.76,NA,IDR
2007-11-20,1446.41,NA,IDR
2007-12-01,NA,24760000000.0,IDR
2007-12-04,1520.59,NA,IDR
2007-12-17,1446.7,NA,IDR
2008-01-01,NA,25690000000.0,IDR
2008-01-02,1474.78,NA,IDR
2008-01-14,1522.25,NA,IDR
2008-01-28,1400.96,NA,IDR
2008-02-01,NA,24750000000.0,IDR
2008-02-11,1409.65,NA,IDR
2008-02-25,1488.76,NA,IDR
2008-03-01,NA,18700000000.0,IDR
2008-03-10,1379.06,NA,IDR
2008-03-24,1273.32,NA,IDR
2008-04-01,NA,17980000000.0,IDR
2008-04-04,1218.27,NA,IDR
2008-04-17,1274.27,NA,IDR
2008-05-01,NA,19520000000.0,IDR
2008-05-02,1266.97,NA,IDR
2008-05-15,1332.37,NA,IDR
2008-05-28,1334.54,NA,IDR
2008-06-01,NA,18430000000.0,IDR
2008-06-11,1308.43,NA,IDR
2008-06-24,1327.18,NA,IDR
2008-07-01,NA,17680000000.0,IDR
2008-07-08,1259.26,NA,IDR
2008-07-21,1197.78,NA,IDR
2008-08-01,NA,16640000000.0,IDR
2008-08-04,1202.54,NA,IDR
2008-08-19,1121.21,NA,IDR
2008-09-01,1176.98,14030000000.0,IDR
2008-09-15,946.86,NA,IDR
2008-09-29,998.43,NA,IDR
2008-10-01,NA,10500000000.0,IDR
2008-10-13,852.3,NA,IDR
2008-10-24,742.6,NA,IDR
2008-11-01,NA,7510000000.0,IDR
2008-11-07,788.16,NA,IDR
2008-11-21,689.29,NA,IDR
2008-12-01,NA,8080000000.0,IDR
2008-12-04,726.83,NA,IDR
2008-12-18,817.3,NA,IDR
2009-01-01,NA,8189999999.999999,IDR
2009-01-05,847.01,NA,IDR
2009-01-14,829.9,NA,IDR
2009-01-27,807.66,NA,IDR
2009-02-01,NA,7970000000.0,IDR
2009-02-10,801.95,NA,IDR
2009-02-24,793.59,NA,IDR
2009-03-01,NA,8630000000.0,IDR
2009-03-10,792.06,NA,IDR
2009-03-23,848.59,NA,IDR
2009-04-01,NA,10340000000.0,IDR
2009-04-06,888.66,NA,IDR
2009-04-20,979.34,NA,IDR
2009-05-01,NA,11210000000.0,IDR
2009-05-04,1055.04,NA,IDR
2009-05-18,1076.12,NA,IDR
2009-06-01,1160.73,11240000000.0,IDR
2009-06-12,1178.79,NA,IDR
2009-06-26,1121.92,NA,IDR
2009-07-01,NA,12470000000.0,IDR
2009-07-09,1124.09,NA,IDR
2009-07-23,1151.37,NA,IDR
2009-08-01,NA,12340000000.0,IDR
2009-08-05,1224.36,NA,IDR
2009-08-19,1222.02,NA,IDR
2009-09-01,NA,12880000000.0,IDR
2009-09-02,1220.46,NA,IDR
2009-09-15,1281.68,NA,IDR
2009-09-29,1292.12,NA,IDR
2009-10-01,NA,12470000000.0,IDR
2009-10-12,1292.65,NA,IDR
2009-10-26,1308.3,NA,IDR
2009-11-01,NA,11600000000.0,IDR
2009-11-09,1271.55,NA,IDR
2009-11-23,1317.53,NA,IDR
2009-12-01,NA,12010000000.0,IDR
2009-12-07,1328.16,NA,IDR
2009-12-21,1312.56,NA,IDR
2010-01-01,NA,11130000000.0,IDR
2010-01-04,1348.47,NA,IDR
2010-01-15,1389.57,NA,IDR
2010-01-29,1353.46,NA,IDR
2010-02-01,NA,10990000000.0,IDR
2010-02-11,1308.76,NA,IDR
2010-02-25,1336.41,NA,IDR
2010-03-01,NA,11360000000.0,IDR
2010-03-11,1376.72,NA,IDR
2010-03-24,1418.16,NA,IDR
2010-04-01,NA,25910000000.0,IDR
2010-04-07,1472.56,NA,IDR
2010-04-20,1457.08,NA,IDR
2010-05-01,NA,13020000000.0,IDR
2010-05-04,1470.86,NA,IDR
2010-05-17,1410.39,NA,IDR
2010-05-31,1394.2,NA,IDR
2010-06-01,NA,13390000000.0,IDR
2010-06-14,1401.45,NA,IDR
2010-06-28,1439.0,NA,IDR
2010-07-01,NA,26220000000.0,IDR
2010-07-12,1437.55,NA,IDR
2010-07-26,1448.85,NA,IDR
2010-08-01,NA,26650000000.0,IDR
2010-08-09,1454.76,NA,IDR
2010-08-23,1484.1,NA,IDR
2010-09-01,NA,24120000000.0,IDR
2010-09-03,1504.64,NA,IDR
2010-09-17,1621.96,NA,IDR
2010-09-30,1655.71,NA,IDR
2010-10-01,NA,22360000000.0,IDR
2010-10-14,1758.12,NA,IDR
2010-10-27,1756.54,NA,IDR
2010-11-01,NA,25130000000.0,IDR
2010-11-10,1809.18,NA,IDR
2010-11-24,1804.05,NA,IDR
2010-12-01,NA,28190000000.0,IDR
2010-12-08,1867.46,NA,IDR
2010-12-21,1929.43,NA,IDR
2011-01-01,NA,33119999999.999996,IDR
2011-01-03,2009.7,NA,IDR
2011-01-17,1937.12,NA,IDR
2011-01-31,1881.96,NA,IDR
2011-02-01,NA,38500000000.0,IDR
2011-02-14,1888.66,NA,IDR
2011-02-28,1941.67,NA,IDR
2011-03-01,NA,41530000000.0,IDR
2011-03-14,1965.08,NA,IDR
2011-03-28,1971.74,NA,IDR
2011-04-01,NA,42610000000.0,IDR
2011-04-08,2038.42,NA,IDR
2011-04-25,2050.43,NA,IDR
2011-05-01,NA,43580000000.0,IDR
2011-05-05,2045.79,NA,IDR
2011-05-19,2089.57,NA,IDR
2011-06-01,NA,43420000000.0,IDR
2011-06-03,2094.85,NA,IDR
2011-06-15,2060.88,NA,IDR
2011-06-30,2080.41,NA,IDR
2011-07-01,NA,60400000000.0,IDR
2011-07-12,2119.01,NA,IDR
2011-07-26,2358.58,NA,IDR
2011-08-01,NA,57490000000.0,IDR
2011-08-08,2139.0,NA,IDR
2011-08-22,2150.87,NA,IDR
2011-09-01,NA,53720000000.0,IDR
2011-09-05,2150.84,NA,IDR
2011-09-19,2140.54,NA,IDR
2011-10-01,NA,56870000000.0,IDR
2011-10-03,1900.45,NA,IDR
2011-10-17,2088.1,NA,IDR
2011-10-31,2114.81,NA,IDR
2011-11-01,NA,59920000000.0,IDR
2011-11-11,2123.28,NA,IDR
2011-11-25,2103.25,NA,IDR
2011-12-01,NA,71250000000.0,IDR
2011-12-09,2294.37,NA,IDR
2011-12-22,2363.53,NA,IDR
2012-01-01,NA,84180000000.0,IDR
2012-01-05,2442.85,NA,IDR
2012-01-18,2511.87,NA,IDR
2012-02-01,2514.06,96350000000.0,IDR
2012-02-14,2520.82,NA,IDR
2012-02-28,2534.98,NA,IDR
2012-03-01,NA,110660000000.0,IDR
2012-03-13,2582.31,NA,IDR
2012-03-26,2642.87,NA,IDR
2012-04-01,NA,124210000000.0,IDR
2012-04-09,2759.95,NA,IDR
2012-04-23,2847.34,NA,IDR
2012-05-01,NA,124470000000.0,IDR
2012-05-07,2932.51,NA,IDR
2012-05-21,2809.53,NA,IDR
2012-06-01,NA,130190000000.0,IDR
2012-06-04,2536.16,NA,IDR
2012-06-18,2640.91,NA,IDR
2012-06-29,2719.38,NA,IDR
2012-07-01,NA,129090000000.0,IDR
2012-07-13,2758.36,NA,IDR
2012-07-26,2749.25,NA,IDR
2012-08-01,NA,123580000000.0,IDR
2012-08-09,2730.9,NA,IDR
2012-08-23,2711.9,NA,IDR
2012-09-01,NA,132770000000.00002,IDR
2012-09-05,2583.7,NA,IDR
2012-09-19,2736.7,NA,IDR
2012-10-01,NA,135520000000.00002,IDR
2012-10-02,2749.46,NA,IDR
2012-10-16,2731.92,NA,IDR
2012-10-29,2740.68,NA,IDR
2012-11-01,NA,136669999999.99998,IDR
2012-11-12,2702.34,NA,IDR
2012-11-26,2724.27,NA,IDR
2012-12-01,NA,127070000000.0,IDR
2012-12-10,2749.88,NA,IDR
2012-12-26,2689.86,NA,IDR
2013-01-01,NA,134770000000.00002,IDR
2013-01-07,2758.61,NA,IDR
2013-01-21,2790.73,NA,IDR
2013-02-01,2826.3,135930000000.0,IDR
2013-02-15,2950.2,NA,IDR
2013-03-01,3086.97,137650000000.0,IDR
2013-03-14,3124.7,NA,IDR
2013-03-28,3235.25,NA,IDR
2013-04-01,NA,143680000000.0,IDR
2013-04-10,3212.44,NA,IDR
2013-04-24,3289.38,NA,IDR
2013-05-01,NA,152840000000.0,IDR
2013-05-07,3321.45,NA,IDR
2013-05-21,3412.82,NA,IDR
2013-06-01,NA,141780000000.0,IDR
2013-06-04,3343.27,NA,IDR
2013-06-17,3200.47,NA,IDR
2013-07-01,3083.63,133060000000.0,IDR
2013-07-15,2859.1,NA,IDR
2013-07-29,2826.44,NA,IDR
2013-08-01,NA,120060000000.0,IDR
2013-08-12,2865.25,NA,IDR
2013-08-26,2534.78,NA,IDR
2013-09-01,NA,126610000000.0,IDR
2013-09-09,2531.33,NA,IDR
2013-09-20,2795.5,NA,IDR
2013-10-01,NA,133350000000.0,IDR
2013-10-04,2701.5,NA,IDR
2013-10-17,2762.99,NA,IDR
2013-10-31,2804.5,NA,IDR
2013-11-01,NA,123330000000.0,IDR
2013-11-13,2609.38,NA,IDR
2013-11-27,2571.33,NA,IDR
2013-12-01,NA,121730000000.0,IDR
2013-12-11,2592.6,NA,IDR
2013-12-24,2531.66,NA,IDR
2014-01-01,NA,126920000000.0,IDR
2014-01-07,2493.12,NA,IDR
2014-01-20,2658.5,NA,IDR
2014-02-01,NA,135520000000.00002,IDR
2014-02-03,2671.55,NA,IDR
2014-02-17,2843.21,NA,IDR
2014-03-01,NA,143970000000.0,IDR
2014-03-03,2852.57,NA,IDR
2014-03-17,3118.85,NA,IDR
2014-04-01,3122.06,146730000000.0,IDR
2014-04-14,3075.64,NA,IDR
2014-04-25,3128.2,NA,IDR
2014-05-01,NA,148200000000.0,IDR
2014-05-09,3145.2,NA,IDR
2014-05-22,3169.85,NA,IDR
2014-06-01,NA,158300000000.0,IDR
2014-06-05,3114.59,NA,IDR
2014-06-19,3061.06,NA,IDR
2014-07-01,NA,167220000000.0,IDR
2014-07-02,3069.36,NA,IDR
2014-07-16,3212.29,NA,IDR
2014-08-01,NA,170810000000.0,IDR
2014-08-04,3167.56,NA,IDR
2014-08-12,3212.71,NA,IDR
2014-08-25,3242.12,NA,IDR
2014-09-01,NA,201490000000.0,IDR
2014-09-08,3223.76,NA,IDR
2014-09-22,3194.37,NA,IDR
2014-10-01,NA,205080000000.0,IDR
2014-10-06,3072.38,NA,IDR
2014-10-20,3113.1,NA,IDR
2014-11-01,NA,204160000000.0,IDR
2014-11-03,3156.53,NA,IDR
2014-11-17,3160.97,NA,IDR
2014-11-28,3243.12,NA,IDR
2014-12-01,NA,201830000000.0,IDR
2014-12-12,3248.08,NA,IDR
2014-12-29,3320.88,NA,IDR
2015-01-01,NA,201080000000.0,IDR
2015-01-08,3377.35,NA,IDR
