tanggal,NAV,AUM,currency
2014-10-07,1016.02,NA,IDR
2014-10-15,1007.6,NA,IDR
2014-10-23,1040.14,NA,IDR
2014-10-30,1026.64,NA,IDR
2014-11-01,NA,164390000000.0,IDR
2014-11-07,1024.21,NA,IDR
2014-11-17,1043.74,NA,IDR
2014-11-24,1063.6,NA,IDR
2014-12-01,1078.64,201540000000.0,IDR
2014-12-08,1073.27,NA,IDR
2014-12-16,1046.48,NA,IDR
2014-12-23,1089.26,NA,IDR
2015-01-01,NA,226670000000.0,IDR
2015-01-02,1106.12,NA,IDR
2015-01-08,1121.7,NA,IDR
2015-01-16,1101.85,NA,IDR
2015-01-23,1139.24,NA,IDR
2015-02-01,NA,234130000000.0,IDR
2015-02-02,1128.55,NA,IDR
2015-02-09,1136.42,NA,IDR
2015-02-10,1129.91,NA,IDR
2015-02-16,1114.86,NA,IDR
2015-02-17,1113.71,NA,IDR
2015-02-23,1136.13,NA,IDR
2015-02-25,1139.48,NA,IDR
2015-03-01,NA,246020000000.0,IDR
2015-03-03,1141.41,NA,IDR
2015-03-04,1136.03,NA,IDR
2015-03-11,1117.49,NA,IDR
2015-03-12,1118.69,NA,IDR
2015-03-19,1129.98,NA,IDR
2015-03-26,1085.57,NA,IDR
2015-03-27,1092.03,NA,IDR
2015-04-01,NA,226920000000.0,IDR
2015-04-06,1112.07,NA,IDR
2015-04-13,1116.95,NA,IDR
2015-04-20,1098.24,NA,IDR
2015-04-27,1052.79,NA,IDR
2015-05-01,NA,214770000000.0,IDR
2015-05-04,1040.97,NA,IDR
2015-05-11,1049.82,NA,IDR
2015-05-12,1054.91,NA,IDR
2015-05-18,1063.96,NA,IDR
2015-05-19,1069.31,NA,IDR
2015-05-26,1070.67,NA,IDR
2015-05-27,1054.37,NA,IDR
2015-06-01,NA,190210000000.0,IDR
2015-06-03,1025.28,NA,IDR
2015-06-04,1018.64,NA,IDR
2015-06-10,972.45,NA,IDR
2015-06-12,973.43,NA,IDR
2015-06-17,971.14,NA,IDR
2015-06-19,980.51,NA,IDR
2015-06-25,972.41,NA,IDR
2015-06-29,961.95,NA,IDR
2015-07-01,NA,184770000000.0,IDR
2015-07-02,979.54,NA,IDR
2015-07-06,974.2,NA,IDR
2015-07-09,961.19,NA,IDR
2015-07-13,972.45,NA,IDR
2015-07-22,972.92,NA,IDR
2015-07-24,965.78,NA,IDR
2015-07-28,929.88,NA,IDR
2015-08-01,NA,163750000000.0,IDR
2015-08-04,935.95,NA,IDR
2015-08-05,949.24,NA,IDR
2015-08-10,928.98,NA,IDR
2015-08-12,878.27,NA,IDR
2015-08-18,883.1,NA,IDR
2015-08-20,870.71,NA,IDR
2015-08-24,805.97,NA,IDR
2015-08-28,846.89,NA,IDR
2015-08-31,860.68,NA,IDR
2015-09-01,NA,118850000000.0,IDR
2015-09-07,834.36,NA,IDR
2015-09-14,842.66,NA,IDR
2015-09-15,839.65,NA,IDR
2015-09-21,833.53,NA,IDR
2015-09-22,830.6,NA,IDR
2015-09-28,785.28,NA,IDR
2015-09-30,781.58,NA,IDR
2015-10-01,NA,118110000000.0,IDR
2015-10-06,791.63,NA,IDR
2015-10-07,796.9,NA,IDR
2015-10-13,799.28,NA,IDR
2015-10-15,801.35,NA,IDR
2015-10-21,825.53,NA,IDR
2015-10-22,821.66,NA,IDR
2015-10-29,802.0,NA,IDR
2015-10-30,799.03,NA,IDR
2015-11-01,NA,111430000000.0,IDR
2015-11-05,803.61,NA,IDR
2015-11-06,804.19,NA,IDR
2015-11-13,777.77,NA,IDR
2015-11-16,770.42,NA,IDR
2015-11-23,782.78,NA,IDR
2015-11-30,752.68,NA,IDR
2015-12-01,NA,109930000000.0,IDR
2015-12-07,761.06,NA,IDR
2015-12-14,725.95,NA,IDR
2015-12-21,733.33,NA,IDR
2015-12-22,734.54,NA,IDR
2015-12-28,740.2,NA,IDR
2015-12-30,742.23,NA,IDR
2016-01-01,NA,111920000000.0,IDR
2016-01-05,736.71,NA,IDR
2016-01-06,742.35,NA,IDR
2016-01-12,735.82,NA,IDR
2016-01-14,732.38,NA,IDR
2016-01-20,732.68,NA,IDR
2016-01-22,737.76,NA,IDR
2016-01-27,754.73,NA,IDR
2016-01-29,759.83,NA,IDR
2016-02-01,NA,115560000000.0,IDR
2016-02-04,768.67,NA,IDR
2016-02-09,781.02,NA,IDR
2016-02-11,789.4,NA,IDR
2016-02-15,791.39,NA,IDR
2016-02-19,783.96,NA,IDR
2016-02-22,785.97,NA,IDR
2016-02-26,784.2,NA,IDR
2016-02-29,785.74,NA,IDR
2016-03-01,NA,120340000000.0,IDR
2016-03-07,815.72,NA,IDR
2016-03-08,812.17,NA,IDR
2016-03-14,826.83,NA,IDR
2016-03-16,821.97,NA,IDR
2016-03-21,827.05,NA,IDR
2016-03-24,825.0,NA,IDR
2016-03-28,818.29,NA,IDR
2016-03-31,827.64,NA,IDR
2016-04-01,NA,122360000000.0,IDR
2016-04-04,826.45,NA,IDR
2016-04-08,837.3,NA,IDR
2016-04-11,832.46,NA,IDR
2016-04-18,846.27,NA,IDR
2016-04-25,857.25,NA,IDR
2016-04-26,851.49,NA,IDR
2016-05-01,NA,120220000000.0,IDR
2016-05-02,842.48,NA,IDR
2016-05-03,842.82,NA,IDR
2016-05-09,833.61,NA,IDR
2016-05-11,842.66,NA,IDR
2016-05-17,827.49,NA,IDR
2016-05-18,828.5,NA,IDR
2016-05-24,821.25,NA,IDR
2016-05-26,834.56,NA,IDR
2016-06-01,839.7,122440000000.0,IDR
2016-06-02,839.55,NA,IDR
2016-06-09,854.52,NA,IDR
2016-06-10,850.27,NA,IDR
2016-06-17,836.84,NA,IDR
2016-06-24,838.59,NA,IDR
2016-06-27,836.94,NA,IDR
2016-07-01,NA,129220000000.0,IDR
2016-07-12,879.62,NA,IDR
2016-07-18,908.68,NA,IDR
2016-07-25,901.5,NA,IDR
2016-08-01,925.12,128639999999.99998,IDR
2016-08-02,922.66,NA,IDR
2016-08-09,950.35,NA,IDR
2016-08-10,964.84,NA,IDR
2016-08-16,942.63,NA,IDR
2016-08-18,955.98,NA,IDR
2016-08-24,949.14,NA,IDR
2016-08-25,949.31,NA,IDR
2016-08-31,924.84,NA,IDR
2016-09-01,NA,124510000000.0,IDR
2016-09-02,915.84,NA,IDR
2016-09-07,916.51,NA,IDR
2016-09-13,886.13,NA,IDR
2016-09-15,892.32,NA,IDR
2016-09-19,897.63,NA,IDR
2016-09-22,905.22,NA,IDR
2016-09-26,900.55,NA,IDR
2016-09-30,914.78,NA,IDR
2016-10-01,NA,124600000000.0,IDR
