tanggal,NAV,AUM,currency
2016-08-22,1067.59,NA,IDR
2016-08-29,1068.5,NA,IDR
2016-09-02,1063.1,NA,IDR
2016-09-08,1067.28,NA,IDR
2016-09-15,1065.23,NA,IDR
2016-09-21,1068.12,NA,IDR
2016-09-27,1086.34,NA,IDR
2016-10-04,1095.29,NA,IDR
2016-10-10,1089.79,NA,IDR
2016-10-17,1079.3,NA,IDR
2016-10-24,1079.05,NA,IDR
2016-10-31,1074.99,NA,IDR
2016-11-04,1064.26,NA,IDR
2016-11-11,1050.22,NA,IDR
2016-11-17,1031.83,NA,IDR
2016-11-23,1026.95,NA,IDR
2016-11-30,1039.56,NA,IDR
2016-12-06,1044.91,NA,IDR
2016-12-13,1065.99,NA,IDR
2016-12-19,1047.1,NA,IDR
2016-12-27,1042.99,NA,IDR
2017-01-03,1038.4,NA,IDR
2017-01-09,1050.03,NA,IDR
2017-01-13,1047.45,NA,IDR
2017-01-19,1047.82,NA,IDR
2017-01-26,1056.05,NA,IDR
2017-02-01,1053.36,NA,IDR
2017-02-07,1056.99,NA,IDR
2017-02-14,1058.99,NA,IDR
2017-02-20,1056.09,NA,IDR
2017-02-27,1060.22,NA,IDR
2017-03-06,1059.9,NA,IDR
2017-03-13,1058.09,NA,IDR
2017-03-17,1064.38,NA,IDR
2017-03-24,1065.19,NA,IDR
2017-03-30,1070.78,NA,IDR
2017-04-05,1074.1,NA,IDR
2017-04-12,1076.7,NA,IDR
2017-04-18,1075.07,NA,IDR
2017-04-25,1075.28,NA,IDR
2017-05-02,1071.75,NA,IDR
2017-05-08,1072.9,NA,IDR
2017-05-15,1076.06,NA,IDR
2017-05-22,1097.59,NA,IDR
2017-05-26,1093.88,NA,IDR
2017-06-02,1095.67,NA,IDR
2017-06-08,1088.52,NA,IDR
2017-06-14,1099.63,NA,IDR
2017-06-20,1098.32,NA,IDR
2017-07-03,1101.21,NA,IDR
2017-07-10,1088.36,NA,IDR
2017-07-17,1087.57,NA,IDR
2017-07-24,1086.76,NA,IDR
2017-07-28,1100.0,NA,IDR
2017-08-04,1093.28,NA,IDR
2017-08-10,1095.52,NA,IDR
2017-08-16,1099.57,NA,IDR
2017-08-23,1101.36,NA,IDR
2017-08-29,1105.84,NA,IDR
2017-09-04,1095.77,NA,IDR
2017-09-11,1111.61,NA,IDR
2017-09-18,1093.25,NA,IDR
2017-09-25,1090.4,NA,IDR
2017-10-02,1079.01,NA,IDR
2017-10-06,1074.86,NA,IDR
2017-10-12,1075.81,NA,IDR
2017-10-19,1100.03,NA,IDR
2017-10-25,1113.17,NA,IDR
2017-10-31,1097.42,NA,IDR
2017-11-07,1104.59,NA,IDR
2017-11-13,1102.07,NA,IDR
2017-11-20,1103.42,NA,IDR
2017-11-27,1102.4,NA,IDR
2017-12-01,NA,45080000000.0,IDR
2017-12-04,1096.94,NA,IDR
2017-12-08,1085.72,NA,IDR
2017-12-15,1098.43,NA,IDR
2017-12-21,1110.25,NA,IDR
2017-12-27,1012.51,NA,IDR
2018-01-01,NA,46560000000.0,IDR
2018-01-03,1103.43,NA,IDR
2018-01-09,1134.81,NA,IDR
2018-01-15,1136.41,NA,IDR
2018-01-22,1142.29,NA,IDR
2018-01-29,1160.48,NA,IDR
2018-02-01,NA,46630000000.0,IDR
2018-02-05,1138.84,NA,IDR
2018-02-12,1145.89,NA,IDR
2018-02-19,1153.65,NA,IDR
2018-02-22,1145.72,NA,IDR
2018-03-01,1141.91,42150000000.0,IDR
2018-03-07,1127.88,NA,IDR
2018-03-13,1126.12,NA,IDR
2018-03-20,1106.32,NA,IDR
2018-03-26,1101.33,NA,IDR
2018-04-01,NA,41840000000.0,IDR
2018-04-02,1111.84,NA,IDR
2018-04-09,1118.95,NA,IDR
2018-04-16,1036.75,NA,IDR
2018-04-20,1116.85,NA,IDR
2018-04-27,1088.03,NA,IDR
2018-05-01,NA,41680000000.0,IDR
2018-05-03,1077.62,NA,IDR
2018-05-09,1067.69,NA,IDR
2018-05-15,1065.26,NA,IDR
2018-05-22,1072.14,NA,IDR
2018-05-28,1097.23,NA,IDR
2018-06-01,NA,40440000000.0,IDR
2018-06-04,1101.02,NA,IDR
2018-06-20,1093.93,NA,IDR
2018-06-22,1076.55,NA,IDR
2018-06-29,1059.54,NA,IDR
2018-07-01,NA,40980000000.0,IDR
2018-07-05,1060.33,NA,IDR
2018-07-11,1076.52,NA,IDR
2018-07-18,1083.16,NA,IDR
2018-07-24,1082.68,NA,IDR
2018-07-30,1086.29,NA,IDR
2018-08-01,NA,33549999999.999996,IDR
2018-08-06,1081.9,NA,IDR
2018-08-13,1055.53,NA,IDR
2018-08-20,1047.28,NA,IDR
2018-08-27,1044.62,NA,IDR
2018-08-31,1034.96,NA,IDR
2018-09-01,NA,32380000000.000004,IDR
2018-09-06,1002.23,NA,IDR
2018-09-13,999.89,NA,IDR
2018-09-19,996.1,NA,IDR
2018-09-25,992.87,NA,IDR
2018-10-01,NA,29640000000.0,IDR
2018-10-02,1002.35,NA,IDR
2018-10-08,975.36,NA,IDR
2018-10-15,955.24,NA,IDR
2018-10-22,948.95,NA,IDR
2018-10-29,916.8,NA,IDR
2018-11-01,NA,0.0,IDR
2018-11-02,921.61,NA,IDR
2018-11-09,917.95,NA,IDR
2018-11-15,911.15,NA,IDR
2018-11-21,899.36,NA,IDR
2018-11-28,997.65,NA,IDR
2018-12-01,NA,500000000.0,IDR
2018-12-27,986.22,NA,IDR
2019-01-01,NA,499870000.0,IDR
2019-01-02,986.3,NA,IDR
2019-01-07,986.23,NA,IDR
2019-01-11,986.19,NA,IDR
2019-01-17,986.12,NA,IDR
2019-01-24,986.04,NA,IDR
2019-01-30,985.98,NA,IDR
2019-02-01,NA,500000000.0,IDR
2019-02-06,986.77,NA,IDR
2019-02-12,986.69,NA,IDR
2019-02-18,986.63,NA,IDR
2019-02-25,986.55,NA,IDR
2019-03-01,NA,499840000.0,IDR
2019-03-04,987.25,NA,IDR
2019-03-11,974.28,NA,IDR
2019-03-15,988.88,NA,IDR
2019-03-22,996.53,NA,IDR
2019-03-28,985.7,NA,IDR
2019-04-01,NA,510000000.0,IDR
2019-04-04,986.27,NA,IDR
2019-04-10,979.67,NA,IDR
2019-04-16,981.69,NA,IDR
2019-04-22,978.26,NA,IDR
2019-04-29,990.71,NA,IDR
2019-05-01,NA,510000000.0,IDR
2019-05-06,995.62,NA,IDR
2019-05-13,1005.37,NA,IDR
2019-05-20,1007.3,NA,IDR
2019-05-24,1013.28,NA,IDR
2019-05-31,1024.19,NA,IDR
2019-06-01,NA,530000000.0,IDR
2019-06-10,1032.31,NA,IDR
2019-06-12,1031.95,NA,IDR
2019-06-18,1030.21,NA,IDR
2019-06-25,1031.62,NA,IDR
2019-07-01,1041.28,1030000000.0,IDR
2019-07-08,1048.61,NA,IDR
2019-07-15,1051.95,NA,IDR
2019-07-22,1052.21,NA,IDR
2019-07-26,1047.78,NA,IDR
2019-08-01,NA,1030000000.0,IDR
2019-08-02,1050.82,NA,IDR
2019-08-08,1054.52,NA,IDR
2019-08-14,1056.05,NA,IDR
2019-08-21,1054.82,NA,IDR
2019-08-27,1049.37,NA,IDR
2019-09-01,NA,10950000000.0,IDR
2019-09-02,1055.16,NA,IDR
2019-09-09,1054.07,NA,IDR
2019-09-16,1049.75,NA,IDR
2019-09-23,1052.63,NA,IDR
2019-09-30,1001.94,NA,IDR
2019-10-01,NA,10770000000.0,IDR
2019-10-04,984.56,NA,IDR
2019-10-10,985.79,NA,IDR
2019-10-17,986.38,NA,IDR
2019-10-23,989.97,NA,IDR
2019-10-29,986.93,NA,IDR
2019-11-01,NA,10270000000.0,IDR
2019-11-05,987.02,NA,IDR
2019-11-11,971.76,NA,IDR
2019-11-18,962.83,NA,IDR
2019-11-25,957.26,NA,IDR
2019-12-01,NA,10450000000.0,IDR
2019-12-02,950.44,NA,IDR
2019-12-06,950.76,NA,IDR
2019-12-13,956.86,NA,IDR
2019-12-19,952.43,NA,IDR
2019-12-26,956.74,NA,IDR
2020-01-01,NA,10150000000.0,IDR
2020-01-02,966.29,NA,IDR
2020-01-07,963.99,NA,IDR
2020-01-13,954.82,NA,IDR
2020-01-20,946.89,NA,IDR
2020-01-27,931.77,NA,IDR
2020-02-01,NA,9690000000.0,IDR
2020-02-03,925.91,NA,IDR
2020-02-10,926.63,NA,IDR
2020-02-11,928.48,NA,IDR
2020-02-14,923.28,NA,IDR
2020-02-17,924.07,NA,IDR
2020-02-19,932.94,NA,IDR
2020-02-20,935.65,NA,IDR
2020-02-24,920.05,NA,IDR
2020-02-26,913.08,NA,IDR
2020-02-27,897.2,NA,IDR
2020-03-01,NA,9020000000.0,IDR
2020-03-02,886.96,NA,IDR
2020-03-04,911.92,NA,IDR
2020-03-05,909.97,NA,IDR
2020-03-09,880.41,NA,IDR
2020-03-10,898.04,NA,IDR
2020-03-12,857.44,NA,IDR
2020-03-16,831.53,NA,IDR
2020-03-17,812.08,NA,IDR
2020-03-20,765.22,NA,IDR
2020-03-23,743.7,NA,IDR
2020-03-24,750.1,NA,IDR
2020-03-27,811.35,NA,IDR
2020-03-30,802.37,NA,IDR
2020-03-31,825.69,NA,IDR
2020-04-01,NA,9270000000.0,IDR
2020-04-06,862.16,NA,IDR
2020-04-08,851.85,NA,IDR
2020-04-13,851.7,NA,IDR
2020-04-15,857.12,NA,IDR
2020-04-17,860.5,NA,IDR
2020-04-20,852.41,NA,IDR
2020-04-23,854.25,NA,IDR
2020-04-24,847.91,NA,IDR
