tanggal,NAV,AUM,currency
2019-06-01,NA,147380000000.0,IDR
2019-06-27,1005.84,NA,IDR
2019-07-01,1017.17,170660000000.0,IDR
2019-07-05,1028.07,NA,IDR
2019-07-10,1029.66,NA,IDR
2019-07-15,1028.21,NA,IDR
2019-07-18,1043.5,NA,IDR
2019-07-22,1040.51,NA,IDR
2019-07-26,1035.65,NA,IDR
2019-07-31,1033.07,NA,IDR
2019-08-01,NA,172150000000.0,IDR
2019-08-05,1015.64,NA,IDR
2019-08-08,1041.82,NA,IDR
2019-08-12,1045.83,NA,IDR
2019-08-16,1052.66,NA,IDR
2019-08-21,1056.19,NA,IDR
2019-08-26,1040.09,NA,IDR
2019-08-29,1037.33,NA,IDR
2019-09-01,NA,172950000000.0,IDR
2019-09-02,1057.22,NA,IDR
2019-09-06,1054.92,NA,IDR
2019-09-11,1061.25,NA,IDR
2019-09-16,1055.45,NA,IDR
2019-09-19,1069.48,NA,IDR
2019-09-23,1067.64,NA,IDR
2019-09-27,1050.82,NA,IDR
2019-10-01,NA,166850000000.0,IDR
2019-10-02,1035.01,NA,IDR
2019-10-07,1025.75,NA,IDR
2019-10-10,1036.44,NA,IDR
2019-10-14,1046.73,NA,IDR
2019-10-18,1041.13,NA,IDR
2019-10-23,1043.7,NA,IDR
2019-10-28,1035.72,NA,IDR
2019-10-31,1009.97,NA,IDR
2019-11-01,NA,157740000000.0,IDR
2019-11-04,1009.22,NA,IDR
2019-11-08,998.26,NA,IDR
2019-11-13,990.43,NA,IDR
2019-11-18,979.56,NA,IDR
2019-11-21,968.33,NA,IDR
2019-11-25,969.95,NA,IDR
2019-11-29,954.85,NA,IDR
2019-12-01,NA,160020000000.0,IDR
2019-12-04,970.32,NA,IDR
2019-12-09,972.17,NA,IDR
2019-12-12,966.59,NA,IDR
2019-12-16,970.3,NA,IDR
2019-12-20,966.36,NA,IDR
2019-12-26,971.75,NA,IDR
2019-12-30,968.66,NA,IDR
2020-01-01,NA,154050000000.0,IDR
2020-01-02,974.46,NA,IDR
2020-01-06,965.67,NA,IDR
2020-01-10,957.76,NA,IDR
2020-01-15,949.6,NA,IDR
2020-01-20,938.39,NA,IDR
2020-01-23,935.35,NA,IDR
2020-01-27,934.75,NA,IDR
2020-01-31,932.51,NA,IDR
2020-02-01,NA,144900000000.0,IDR
2020-02-05,923.58,NA,IDR
2020-02-10,929.31,NA,IDR
2020-02-11,927.81,NA,IDR
2020-02-13,925.55,NA,IDR
2020-02-17,923.8,NA,IDR
2020-02-19,938.58,NA,IDR
2020-02-21,935.26,NA,IDR
2020-02-24,925.96,NA,IDR
2020-02-26,913.32,NA,IDR
2020-03-01,NA,136440000000.0,IDR
2020-03-02,878.38,NA,IDR
2020-03-05,904.31,NA,IDR
2020-03-09,878.26,NA,IDR
2020-03-12,858.24,NA,IDR
2020-03-13,846.54,NA,IDR
2020-03-16,820.81,NA,IDR
2020-03-18,767.08,NA,IDR
2020-03-20,736.11,NA,IDR
2020-03-23,712.37,NA,IDR
2020-03-24,722.64,NA,IDR
2020-03-26,760.13,NA,IDR
2020-03-27,815.91,NA,IDR
2020-03-30,808.77,NA,IDR
2020-03-31,825.89,NA,IDR
2020-04-01,NA,136729999999.99998,IDR
2020-04-03,882.58,NA,IDR
2020-04-06,868.45,NA,IDR
2020-04-08,825.32,NA,IDR
2020-04-13,817.3,NA,IDR
2020-04-15,820.25,NA,IDR
2020-04-16,814.09,NA,IDR
2020-04-20,828.27,NA,IDR
2020-04-23,821.79,NA,IDR
2020-04-24,819.76,NA,IDR
2020-04-27,809.58,NA,IDR
2020-04-29,823.4,NA,IDR
2020-04-30,827.63,NA,IDR
2020-05-01,NA,127380000000.0,IDR
2020-05-04,809.68,NA,IDR
2020-05-08,785.56,NA,IDR
2020-05-11,785.93,NA,IDR
2020-05-15,784.81,NA,IDR
2020-05-19,788.14,NA,IDR
2020-05-20,788.51,NA,IDR
2020-05-26,781.64,NA,IDR
2020-05-28,770.97,NA,IDR
2020-06-01,NA,131500000000.0,IDR
2020-06-02,780.67,NA,IDR
2020-06-03,785.45,NA,IDR
2020-06-05,794.29,NA,IDR
2020-06-08,811.44,NA,IDR
2020-06-10,796.98,NA,IDR
2020-06-15,795.5,NA,IDR
2020-06-18,802.45,NA,IDR
2020-06-22,803.82,NA,IDR
2020-06-25,796.86,NA,IDR
2020-06-26,798.44,NA,IDR
2020-06-29,797.57,NA,IDR
2020-07-01,791.87,135210000000.00002,IDR
2020-07-03,797.96,NA,IDR
2020-07-06,797.63,NA,IDR
2020-07-09,803.45,NA,IDR
2020-07-10,823.02,NA,IDR
2020-07-13,816.14,NA,IDR
2020-07-14,812.91,NA,IDR
2020-07-17,817.1,NA,IDR
2020-07-21,813.61,NA,IDR
2020-07-22,810.95,NA,IDR
2020-07-27,813.51,NA,IDR
2020-07-29,821.48,NA,IDR
2020-07-30,818.45,NA,IDR
2020-08-01,NA,132889999999.99998,IDR
2020-08-03,801.05,NA,IDR
2020-08-05,806.94,NA,IDR
2020-08-07,812.21,NA,IDR
2020-08-10,817.22,NA,IDR
2020-08-12,810.93,NA,IDR
2020-08-13,809.22,NA,IDR
2020-08-18,807.62,NA,IDR
2020-08-24,803.81,NA,IDR
2020-08-28,807.3,NA,IDR
2020-08-31,804.41,NA,IDR
2020-09-01,NA,134000000000.0,IDR
2020-09-02,824.48,NA,IDR
2020-09-04,814.31,NA,IDR
2020-09-07,816.59,NA,IDR
2020-09-08,815.92,NA,IDR
2020-09-10,790.92,NA,IDR
2020-09-14,811.54,NA,IDR
2020-09-15,810.45,NA,IDR
2020-09-18,806.29,NA,IDR
2020-09-21,803.02,NA,IDR
2020-09-23,794.67,NA,IDR
2020-09-28,804.14,NA,IDR
2020-09-30,811.1,NA,IDR
2020-10-01,812.14,140430000000.0,IDR
2020-10-05,818.77,NA,IDR
2020-10-08,808.7,NA,IDR
2020-10-09,814.2,NA,IDR
2020-10-12,816.97,NA,IDR
2020-10-14,837.51,NA,IDR
2020-10-15,834.91,NA,IDR
2020-10-19,852.23,NA,IDR
2020-10-22,846.9,NA,IDR
2020-10-23,854.03,NA,IDR
2020-10-26,850.77,NA,IDR
2020-11-01,NA,147370000000.0,IDR
2020-11-02,849.08,NA,IDR
2020-11-03,852.84,NA,IDR
2020-11-04,848.95,NA,IDR
2020-11-09,864.74,NA,IDR
2020-11-10,871.13,NA,IDR
2020-11-12,876.18,NA,IDR
2020-11-16,871.06,NA,IDR
2020-11-18,878.14,NA,IDR
2020-11-20,880.51,NA,IDR
2020-11-23,876.17,NA,IDR
2020-11-25,881.52,NA,IDR
2020-11-30,892.03,NA,IDR
2020-12-01,NA,158460000000.0,IDR
2020-12-03,917.0,NA,IDR
2020-12-07,939.72,NA,IDR
2020-12-10,947.79,NA,IDR
2020-12-11,951.28,NA,IDR
2020-12-14,975.38,NA,IDR
2020-12-16,980.19,NA,IDR
2020-12-18,974.05,NA,IDR
2020-12-21,986.83,NA,IDR
2020-12-28,974.6,NA,IDR
2020-12-29,970.21,NA,IDR
2021-01-01,NA,138310000000.0,IDR
2021-01-04,987.97,NA,IDR
2021-01-05,999.08,NA,IDR
2021-01-06,989.59,NA,IDR
2021-01-11,1003.69,NA,IDR
2021-01-13,994.79,NA,IDR
2021-01-14,984.63,NA,IDR
2021-01-18,975.7,NA,IDR
2021-01-20,1013.46,NA,IDR
2021-01-22,1016.7,NA,IDR
2021-01-25,1021.51,NA,IDR
2021-01-27,1023.93,NA,IDR
2021-01-28,1010.7,NA,IDR
2021-02-01,1036.18,0.0,IDR
2021-02-04,1057.5,NA,IDR
2021-02-08,1048.88,NA,IDR
2021-02-15,1063.0,NA,IDR
2021-02-16,1063.0,NA,IDR
2021-02-17,1063.0,NA,IDR
2021-02-19,1063.0,NA,IDR
2021-02-22,1063.0,NA,IDR
2021-02-23,1063.0,NA,IDR
2021-02-25,1063.0,NA,IDR
2021-03-01,1063.0,0.0,IDR
2021-03-02,1063.0,NA,IDR
2021-03-05,1063.0,NA,IDR
2021-03-08,1063.0,NA,IDR
2021-03-10,1063.0,NA,IDR
2021-03-15,1063.0,NA,IDR
2021-03-17,1063.0,NA,IDR
2021-03-18,1063.0,NA,IDR
2021-03-22,1063.0,NA,IDR
2021-03-25,1063.0,NA,IDR
2021-03-26,1063.0,NA,IDR
2021-03-29,1063.0,NA,IDR
2021-03-31,1063.0,NA,IDR
2021-04-01,1063.0,60090000000.0,IDR
2021-04-05,1063.0,NA,IDR
2021-04-08,1063.0,NA,IDR
2021-04-09,1063.0,NA,IDR
2021-04-12,1063.0,NA,IDR
2021-04-13,1063.0,NA,IDR
2021-04-16,1063.0,NA,IDR
2021-04-20,1058.32,NA,IDR
2021-04-21,1057.79,NA,IDR
2021-04-26,1066.37,NA,IDR
2021-04-28,1057.66,NA,IDR
2021-04-29,1061.69,NA,IDR
2021-05-01,NA,63040000000.0,IDR
2021-05-03,1047.17,NA,IDR
2021-05-05,1042.29,NA,IDR
2021-05-07,1048.36,NA,IDR
2021-05-10,1054.06,NA,IDR
2021-05-17,1066.97,NA,IDR
2021-05-20,1061.21,NA,IDR
2021-05-24,1076.35,NA,IDR
2021-05-27,1100.62,NA,IDR
2021-05-28,1101.61,NA,IDR
2021-05-31,1107.62,NA,IDR
2021-06-01,NA,63280000000.0,IDR
2021-06-02,1106.65,NA,IDR
2021-06-04,1115.7,NA,IDR
2021-06-07,1106.58,NA,IDR
2021-06-08,1101.51,NA,IDR
2021-06-10,1124.67,NA,IDR
2021-06-11,1123.93,NA,IDR
2021-06-14,1120.35,NA,IDR
2021-06-15,1119.71,NA,IDR
2021-06-18,1099.28,NA,IDR
2021-06-21,1094.92,NA,IDR
2021-06-23,1124.29,NA,IDR
2021-06-28,1155.53,NA,IDR
2021-06-30,1111.85,NA,IDR
2021-07-01,1107.62,65010000000.00001,IDR
2021-07-05,1093.73,NA,IDR
2021-07-08,1074.82,NA,IDR
2021-07-09,1069.3,NA,IDR
2021-07-12,1080.35,NA,IDR
2021-07-14,1078.71,NA,IDR
2021-07-15,1085.14,NA,IDR
2021-07-19,1086.32,NA,IDR
2021-07-22,1093.01,NA,IDR
2021-07-23,1096.1,NA,IDR
2021-07-26,1106.89,NA,IDR
2021-07-30,1142.21,NA,IDR
2021-08-01,NA,63690000000.0,IDR
2021-08-03,1132.48,NA,IDR
2021-08-04,1134.98,NA,IDR
2021-08-06,1139.47,NA,IDR
2021-08-09,1133.97,NA,IDR
2021-08-10,1148.83,NA,IDR
2021-08-12,1138.03,NA,IDR
2021-08-16,1137.36,NA,IDR
2021-08-18,1136.55,NA,IDR
2021-08-20,1127.35,NA,IDR
2021-08-23,1124.22,NA,IDR
2021-08-25,1121.87,NA,IDR
2021-08-30,1123.98,NA,IDR
2021-09-01,NA,63420000000.0,IDR
2021-09-02,1106.96,NA,IDR
2021-09-06,1119.74,NA,IDR
2021-09-09,1115.05,NA,IDR
2021-09-10,1117.44,NA,IDR
2021-09-13,1119.25,NA,IDR
2021-09-15,1117.28,NA,IDR
2021-09-17,1109.32,NA,IDR
2021-09-20,1109.64,NA,IDR
2021-09-23,1107.3,NA,IDR
2021-09-24,1109.52,NA,IDR
2021-09-27,1099.46,NA,IDR
2021-09-28,1101.56,NA,IDR
2021-10-01,1119.23,550000000.0,IDR
2021-10-04,1133.75,NA,IDR
2021-10-05,1140.38,NA,IDR
2021-10-06,1135.29,NA,IDR
2021-10-11,1137.62,NA,IDR
2021-10-13,1150.08,NA,IDR
2021-10-14,1156.85,NA,IDR
2021-10-18,1159.65,NA,IDR
2021-10-21,1146.94,NA,IDR
2021-10-22,1153.43,NA,IDR
2021-10-25,1153.83,NA,IDR
2021-10-27,1156.3,NA,IDR
2021-10-28,1155.99,NA,IDR
2021-11-01,1155.03,120820000000.0,IDR
2021-11-04,1154.68,NA,IDR
2021-11-08,1155.38,NA,IDR
2021-11-12,1158.33,NA,IDR
2021-11-15,1156.07,NA,IDR
2021-11-17,1153.1,NA,IDR
2021-11-19,1152.51,NA,IDR
2021-11-22,1158.48,NA,IDR
2021-11-23,1155.32,NA,IDR
2021-11-25,1149.49,NA,IDR
2021-11-29,1148.68,NA,IDR
2021-11-30,1148.54,NA,IDR
2021-12-01,NA,120480000000.0,IDR
2021-12-03,1141.35,NA,IDR
2021-12-06,1144.14,NA,IDR
2021-12-08,1142.92,NA,IDR
2021-12-13,1145.08,NA,IDR
2021-12-15,1143.43,NA,IDR
2021-12-16,1164.55,NA,IDR
2021-12-20,1149.24,NA,IDR
2021-12-23,1144.79,NA,IDR
2021-12-24,1141.93,NA,IDR
2021-12-27,1136.48,NA,IDR
2021-12-29,1141.49,NA,IDR
2021-12-30,1145.24,NA,IDR
2022-01-01,NA,120740000000.0,IDR
2022-01-03,1160.06,NA,IDR
2022-01-06,1133.47,NA,IDR
2022-01-07,1133.53,NA,IDR
2022-01-10,1142.79,NA,IDR
2022-01-14,1133.27,NA,IDR
2022-01-18,1123.88,NA,IDR
2022-01-19,1113.07,NA,IDR
2022-01-24,1134.15,NA,IDR
2022-01-25,1147.77,NA,IDR
2022-01-27,1148.52,NA,IDR
2022-01-31,1147.74,NA,IDR
2022-02-01,NA,116780000000.0,IDR
2022-02-02,1148.99,NA,IDR
2022-02-04,1143.65,NA,IDR
2022-02-07,1143.91,NA,IDR
2022-02-08,1142.75,NA,IDR
2022-02-09,1150.75,NA,IDR
2022-02-10,1152.35,NA,IDR
2022-02-14,1126.17,NA,IDR
2022-02-15,1119.29,NA,IDR
2022-02-17,1106.89,NA,IDR
2022-02-21,1109.48,NA,IDR
2022-02-22,1112.16,NA,IDR
2022-02-24,1109.83,NA,IDR
2022-02-25,1110.06,NA,IDR
2022-03-01,1111.1,115530000000.0,IDR
2022-03-02,1100.65,NA,IDR
2022-03-04,1099.86,NA,IDR
2022-03-07,1094.73,NA,IDR
2022-03-08,1093.33,NA,IDR
2022-03-09,1092.84,NA,IDR
2022-03-10,1095.45,NA,IDR
2022-03-11,1098.96,NA,IDR
2022-03-14,1102.87,NA,IDR
2022-03-15,1099.64,NA,IDR
2022-03-16,1103.04,NA,IDR
2022-03-18,1096.82,NA,IDR
2022-03-21,1092.72,NA,IDR
2022-03-22,1089.91,NA,IDR
2022-03-23,1096.07,NA,IDR
2022-03-25,1094.26,NA,IDR
2022-03-28,1092.0,NA,IDR
2022-03-29,1099.83,NA,IDR
2022-03-30,1103.19,NA,IDR
2022-03-31,1098.26,NA,IDR
2022-04-01,1091.02,121560000000.0,IDR
2022-04-04,1093.16,NA,IDR
2022-04-05,1092.4,NA,IDR
2022-04-06,1085.18,NA,IDR
2022-04-07,1087.55,NA,IDR
2022-04-08,1087.22,NA,IDR
2022-04-11,1127.17,NA,IDR
2022-04-12,1109.22,NA,IDR
2022-04-13,1103.88,NA,IDR
2022-04-14,1109.6,NA,IDR
2022-04-18,1116.0,NA,IDR
2022-04-19,1120.59,NA,IDR
2022-04-21,1138.41,NA,IDR
2022-04-25,1162.93,NA,IDR
2022-04-28,1155.49,NA,IDR
2022-05-01,NA,10150000000.0,IDR
2022-05-09,1177.71,NA,IDR
2022-05-10,1177.39,NA,IDR
2022-05-11,1140.07,NA,IDR
2022-05-12,1140.2,NA,IDR
2022-05-13,1138.05,NA,IDR
2022-05-17,1135.86,NA,IDR
2022-05-18,1143.68,NA,IDR
2022-05-20,1144.57,NA,IDR
2022-05-23,1134.66,NA,IDR
2022-05-25,1121.99,NA,IDR
2022-05-27,1113.99,NA,IDR
2022-05-30,1132.03,NA,IDR
2022-05-31,1129.7,NA,IDR
2022-06-01,NA,9650000000.0,IDR
2022-06-02,1113.42,NA,IDR
2022-06-03,1116.58,NA,IDR
2022-06-06,1109.23,NA,IDR
2022-06-07,1103.55,NA,IDR
2022-06-09,1102.64,NA,IDR
2022-06-10,1097.6,NA,IDR
2022-06-13,1084.58,NA,IDR
2022-06-14,1076.44,NA,IDR
2022-06-15,1068.81,NA,IDR
2022-06-16,1070.75,NA,IDR
2022-06-20,1070.74,NA,IDR
2022-06-21,1074.21,NA,IDR
2022-06-23,1074.27,NA,IDR
2022-06-24,1081.58,NA,IDR
2022-06-27,1081.25,NA,IDR
2022-06-28,1079.88,NA,IDR
2022-06-29,1080.36,NA,IDR
2022-07-01,1065.91,9550000000.0,IDR
2022-07-04,1063.52,NA,IDR
2022-07-05,1066.67,NA,IDR
2022-07-06,1066.72,NA,IDR
2022-07-08,1071.48,NA,IDR
2022-07-11,1068.55,NA,IDR
2022-07-13,1072.36,NA,IDR
2022-07-14,1063.32,NA,IDR
2022-07-15,1054.14,NA,IDR
2022-07-18,1049.87,NA,IDR
2022-07-20,1053.24,NA,IDR
2022-07-22,1066.63,NA,IDR
2022-07-25,1054.79,NA,IDR
2022-07-26,1057.13,NA,IDR
2022-07-27,1061.47,NA,IDR
2022-07-28,1061.09,NA,IDR
2022-07-29,1063.3,NA,IDR
2022-08-01,1058.39,9410000000.0,IDR
2022-08-02,1052.18,NA,IDR
2022-08-04,1057.75,NA,IDR
2022-08-08,1062.65,NA,IDR
2022-08-09,1054.87,NA,IDR
2022-08-11,1053.69,NA,IDR
2022-08-12,1066.39,NA,IDR
2022-08-15,1070.03,NA,IDR
2022-08-16,1065.09,NA,IDR
2022-08-18,1061.37,NA,IDR
2022-08-19,1065.1,NA,IDR
2022-08-22,1058.75,NA,IDR
2022-08-23,1057.38,NA,IDR
2022-08-25,1057.89,NA,IDR
2022-08-26,1056.39,NA,IDR
2022-08-29,1054.86,NA,IDR
2022-08-30,1050.39,NA,IDR
2022-08-31,1047.3,NA,IDR
2022-09-01,NA,9290000000.0,IDR
2022-09-02,1043.68,NA,IDR
2022-09-05,1038.9,NA,IDR
2022-09-07,1039.9,NA,IDR
2022-09-09,1040.1,NA,IDR
2022-09-12,1039.72,NA,IDR
2022-09-14,1037.88,NA,IDR
2022-09-15,1038.46,NA,IDR
2022-09-16,1038.47,NA,IDR
2022-09-19,1044.96,NA,IDR
2022-09-21,1034.53,NA,IDR
2022-09-22,1033.63,NA,IDR
2022-09-23,1036.92,NA,IDR
2022-09-26,1047.67,NA,IDR
