tanggal,NAV,AUM,currency
2018-10-05,1000.67,NA,IDR
2018-10-10,1001.72,NA,IDR
2018-10-15,1002.66,NA,IDR
2018-10-22,1003.96,NA,IDR
2018-10-24,1004.32,NA,IDR
2018-10-29,1005.29,NA,IDR
2018-11-01,NA,26750000000.0,IDR
2018-11-05,1006.69,NA,IDR
2018-11-08,1007.31,NA,IDR
2018-11-12,1008.29,NA,IDR
2018-11-19,1009.5,NA,IDR
2018-11-22,1010.02,NA,IDR
2018-11-27,1010.93,NA,IDR
2018-12-01,NA,20980000000.0,IDR
2018-12-03,1012.03,NA,IDR
2018-12-06,1012.55,NA,IDR
2018-12-11,1013.48,NA,IDR
2018-12-17,1014.58,NA,IDR
2018-12-20,1015.11,NA,IDR
2018-12-26,1015.34,NA,IDR
2019-01-01,NA,19590000000.0,IDR
2019-01-02,1016.65,NA,IDR
2019-01-03,1016.88,NA,IDR
2019-01-08,1017.86,NA,IDR
2019-01-14,1019.2,NA,IDR
2019-01-18,1020.05,NA,IDR
2019-01-22,1020.95,NA,IDR
2019-01-28,1022.32,NA,IDR
2019-02-01,1023.12,34540000000.0,IDR
2019-02-06,1024.31,NA,IDR
2019-02-11,1025.46,NA,IDR
2019-02-15,1026.91,NA,IDR
2019-02-20,1028.01,NA,IDR
2019-02-25,1029.11,NA,IDR
2019-03-01,1030.22,43040000000.0,IDR
2019-03-06,1031.5,NA,IDR
2019-03-11,1032.55,NA,IDR
2019-03-18,1034.04,NA,IDR
2019-03-20,1034.5,NA,IDR
2019-03-25,1035.63,NA,IDR
2019-04-01,1037.13,72630000000.0,IDR
2019-04-04,1037.82,NA,IDR
2019-04-08,1038.67,NA,IDR
2019-04-15,1040.15,NA,IDR
2019-04-18,1040.8,NA,IDR
2019-04-23,1041.92,NA,IDR
2019-04-29,1043.18,NA,IDR
2019-05-01,NA,91910000000.0,IDR
2019-05-02,1043.84,NA,IDR
2019-05-07,1044.87,NA,IDR
2019-05-13,1046.19,NA,IDR
2019-05-16,1046.82,NA,IDR
2019-05-21,1047.9,NA,IDR
2019-05-27,1049.23,NA,IDR
2019-05-31,1050.2,NA,IDR
2019-06-01,NA,126640000000.0,IDR
2019-06-10,1052.28,NA,IDR
2019-06-14,1053.12,NA,IDR
2019-06-18,1053.96,NA,IDR
2019-06-24,1055.23,NA,IDR
2019-06-28,1056.08,NA,IDR
2019-07-01,NA,186100000000.0,IDR
2019-07-03,1057.12,NA,IDR
2019-07-08,1058.18,NA,IDR
2019-07-12,1059.03,NA,IDR
2019-07-17,1060.03,NA,IDR
2019-07-22,1061.08,NA,IDR
2019-07-26,1061.89,NA,IDR
2019-07-31,1062.9,NA,IDR
2019-08-01,NA,204760000000.0,IDR
2019-08-05,1063.94,NA,IDR
2019-08-12,1065.37,NA,IDR
2019-08-14,1065.76,NA,IDR
2019-08-19,1066.74,NA,IDR
2019-08-26,1068.25,NA,IDR
2019-08-29,1068.86,NA,IDR
2019-09-01,NA,207350000000.0,IDR
2019-09-02,1069.61,NA,IDR
2019-09-09,1071.02,NA,IDR
2019-09-12,1071.62,NA,IDR
2019-09-17,1072.6,NA,IDR
2019-09-23,1074.08,NA,IDR
2019-09-26,1074.79,NA,IDR
2019-10-01,1075.79,289030000000.0,IDR
2019-10-07,1077.0,NA,IDR
2019-10-10,1078.25,NA,IDR
2019-10-15,1079.25,NA,IDR
2019-10-21,1080.63,NA,IDR
2019-10-24,1081.3,NA,IDR
2019-10-29,1082.25,NA,IDR
2019-11-01,NA,359690000000.0,IDR
2019-11-04,1083.41,NA,IDR
2019-11-08,1084.3,NA,IDR
