tanggal,NAV,AUM,currency
2020-03-01,NA,10370000000.0,IDR
2020-04-01,NA,18660000000.0,IDR
2020-05-01,NA,20240000000.0,IDR
2020-06-01,NA,27960000000.0,IDR
2020-07-01,NA,43820000000.0,IDR
2020-08-01,NA,64569999999.99999,IDR
2020-09-01,NA,98480000000.0,IDR
2020-10-01,NA,113480000000.0,IDR
2020-11-01,NA,124220000000.0,IDR
2020-12-01,NA,133229999999.99998,IDR
2021-01-01,NA,300630000000.0,IDR
2021-02-01,NA,810000000000.0,IDR
2021-03-01,NA,1030000000000.0,IDR
2021-04-01,NA,1440000000000.0,IDR
2021-05-01,NA,1630000000000.0,IDR
2021-06-01,NA,1850000000000.0,IDR
2021-07-01,NA,2109999999999.9998,IDR
2021-08-01,NA,2680000000000.0,IDR
2021-09-01,NA,3620000000000.0,IDR
2021-10-01,NA,4840000000000.0,IDR
2021-11-01,NA,5860000000000.0,IDR
2021-12-01,NA,7610000000000.0,IDR
2022-01-01,NA,8750000000000.0,IDR
2022-02-01,NA,10200000000000.0,IDR
2022-02-07,1178.93,NA,IDR
2022-02-08,1179.17,NA,IDR
2022-02-10,1179.67,NA,IDR
2022-02-14,1180.44,NA,IDR
2022-02-15,1180.67,NA,IDR
2022-02-17,1181.14,NA,IDR
2022-02-21,1182.17,NA,IDR
2022-02-22,1182.4,NA,IDR
2022-02-24,1182.89,NA,IDR
2022-03-01,1184.14,11010000000000.0,IDR
2022-03-04,1184.74,NA,IDR
2022-03-07,1185.25,NA,IDR
2022-03-09,1185.95,NA,IDR
2022-03-14,1186.96,NA,IDR
2022-03-16,1187.45,NA,IDR
2022-03-18,1187.96,NA,IDR
2022-03-21,1188.5,NA,IDR
2022-03-23,1188.97,NA,IDR
2022-03-25,1189.43,NA,IDR
2022-03-28,1189.95,NA,IDR
2022-03-29,1190.08,NA,IDR
2022-04-01,1190.7,10890000000000.0,IDR
2022-04-04,1191.22,NA,IDR
2022-04-05,1191.44,NA,IDR
2022-04-07,1191.75,NA,IDR
2022-04-11,1192.14,NA,IDR
2022-04-12,1192.37,NA,IDR
2022-04-14,1192.72,NA,IDR
2022-04-18,1192.23,NA,IDR
2022-04-19,1192.69,NA,IDR
2022-04-21,1193.07,NA,IDR
2022-04-25,1193.53,NA,IDR
2022-04-28,1194.35,NA,IDR
2022-05-01,NA,12520000000000.0,IDR
2022-05-09,1196.52,NA,IDR
2022-05-11,1196.95,NA,IDR
2022-05-13,1197.54,NA,IDR
2022-05-17,1198.24,NA,IDR
2022-05-18,1198.54,NA,IDR
2022-05-20,1199.17,NA,IDR
2022-05-23,1199.63,NA,IDR
2022-05-25,1200.13,NA,IDR
2022-05-27,1200.46,NA,IDR
2022-05-30,1201.87,NA,IDR
2022-05-31,1202.14,NA,IDR
2022-06-01,NA,12870000000000.0,IDR
2022-06-03,1202.86,NA,IDR
2022-06-06,1203.77,NA,IDR
2022-06-07,1204.03,NA,IDR
2022-06-09,1204.41,NA,IDR
2022-06-13,1205.2,NA,IDR
2022-06-14,1205.46,NA,IDR
2022-06-16,1206.06,NA,IDR
2022-06-20,1206.87,NA,IDR
2022-06-21,1207.1,NA,IDR
2022-06-23,1207.81,NA,IDR
2022-06-27,1208.8,NA,IDR
2022-06-29,1209.42,NA,IDR
2022-07-01,NA,14160000000000.0,IDR
2022-07-04,1210.76,NA,IDR
2022-07-06,1211.18,NA,IDR
2022-07-08,1211.55,NA,IDR
2022-07-11,1212.08,NA,IDR
2022-07-13,1212.52,NA,IDR
2022-07-15,1212.96,NA,IDR
2022-07-18,1213.44,NA,IDR
2022-07-20,1213.94,NA,IDR
2022-07-22,1214.42,NA,IDR
2022-07-25,1214.95,NA,IDR
2022-07-26,1215.2,NA,IDR
2022-07-29,1215.93,NA,IDR
2022-08-01,1216.37,15790000000000.0,IDR
2022-08-02,1216.62,NA,IDR
2022-08-04,1217.09,NA,IDR
2022-08-08,1217.78,NA,IDR
2022-08-09,1218.03,NA,IDR
2022-08-11,1218.51,NA,IDR
2022-08-15,1219.18,NA,IDR
2022-08-16,1219.42,NA,IDR
2022-08-18,1219.86,NA,IDR
2022-08-22,1220.54,NA,IDR
2022-08-25,1221.29,NA,IDR
2022-08-29,1221.98,NA,IDR
2022-08-31,1222.4,NA,IDR
2022-09-01,NA,15520000000000.0,IDR
2022-09-05,1223.29,NA,IDR
2022-09-07,1223.71,NA,IDR
2022-09-09,1224.27,NA,IDR
2022-09-12,1224.71,NA,IDR
2022-09-14,1225.19,NA,IDR
2022-09-16,1225.64,NA,IDR
2022-09-19,1226.07,NA,IDR
2022-09-21,1226.57,NA,IDR
2022-09-23,1227.03,NA,IDR
2022-09-26,1227.43,NA,IDR
2022-09-27,1227.61,NA,IDR
2022-09-30,1228.21,NA,IDR
2022-10-01,NA,13950000000000.0,IDR
2022-10-03,1228.31,NA,IDR
2022-10-04,1228.59,NA,IDR
2022-10-06,1229.08,NA,IDR
2022-10-10,1229.73,NA,IDR
2022-10-11,1229.92,NA,IDR
2022-10-13,1230.39,NA,IDR
2022-10-17,1230.92,NA,IDR
2022-10-20,1230.96,NA,IDR
2022-10-24,1231.77,NA,IDR
2022-10-26,1232.15,NA,IDR
2022-10-31,1232.76,NA,IDR
2022-11-01,NA,14560000000000.0,IDR
2022-11-02,1233.33,NA,IDR
2022-11-04,1233.72,NA,IDR
2022-11-07,1234.21,NA,IDR
2022-11-09,1234.65,NA,IDR
2022-11-11,1235.13,NA,IDR
2022-11-14,1235.63,NA,IDR
2022-11-16,1236.08,NA,IDR
2022-11-18,1236.54,NA,IDR
2022-11-21,1237.01,NA,IDR
2022-11-22,1237.23,NA,IDR
2022-11-25,1237.93,NA,IDR
2022-11-28,1238.39,NA,IDR
2022-11-29,1238.62,NA,IDR
2022-12-01,1239.1,13790000000000.0,IDR
2022-12-05,1239.8,NA,IDR
2022-12-06,1240.02,NA,IDR
2022-12-08,1240.53,NA,IDR
2022-12-12,1241.23,NA,IDR
2022-12-13,1241.29,NA,IDR
2022-12-15,1241.56,NA,IDR
2022-12-19,1242.14,NA,IDR
2022-12-22,1242.08,NA,IDR
2022-12-26,1242.79,NA,IDR
2022-12-28,1243.04,NA,IDR
2023-01-01,NA,12870000000000.0,IDR
2023-01-02,1243.97,NA,IDR
2023-01-04,1244.37,NA,IDR
2023-01-06,1244.49,NA,IDR
2023-01-09,1244.98,NA,IDR
2023-01-11,1245.49,NA,IDR
