tanggal,NAV,AUM,currency
2011-05-01,NA,151140000000.0,IDR
2011-05-13,1006.13,NA,IDR
2011-05-23,993.78,NA,IDR
2011-06-01,NA,166090000000.0,IDR
2011-06-03,1003.45,NA,IDR
2011-06-13,994.11,NA,IDR
2011-06-23,1011.29,NA,IDR
2011-07-01,NA,236420000000.0,IDR
2011-07-04,1056.51,NA,IDR
2011-07-13,1073.72,NA,IDR
2011-07-25,1112.14,NA,IDR
2011-08-01,NA,272320000000.0,IDR
2011-08-03,1142.11,NA,IDR
2011-08-15,1114.33,NA,IDR
2011-08-23,1078.91,NA,IDR
2011-09-01,NA,257610000000.0,IDR
2011-09-05,1069.57,NA,IDR
2011-09-13,1069.64,NA,IDR
2011-09-23,932.61,NA,IDR
2011-10-01,NA,282100000000.0,IDR
2011-10-04,887.25,NA,IDR
2011-10-14,1018.31,NA,IDR
2011-10-24,1052.21,NA,IDR
2011-11-01,NA,273890000000.0,IDR
2011-11-03,1039.24,NA,IDR
2011-11-14,1077.82,NA,IDR
2011-11-24,1027.73,NA,IDR
2011-12-01,NA,276520000000.0,IDR
2011-12-05,1047.18,NA,IDR
2011-12-15,1022.83,NA,IDR
2011-12-27,1029.07,NA,IDR
2012-01-01,NA,273940000000.0,IDR
2012-01-04,1057.36,NA,IDR
2012-01-16,1055.54,NA,IDR
2012-01-25,1059.17,NA,IDR
2012-02-01,NA,269630000000.0,IDR
2012-02-06,1076.9,NA,IDR
2012-02-14,1087.93,NA,IDR
2012-02-24,1075.8,NA,IDR
2012-03-01,NA,275900000000.0,IDR
2012-03-06,1084.26,NA,IDR
2012-03-16,1109.99,NA,IDR
2012-03-26,1106.77,NA,IDR
2012-04-01,NA,295660000000.0,IDR
2012-04-09,1151.13,NA,IDR
2012-04-16,1170.57,NA,IDR
2012-04-26,1211.47,NA,IDR
2012-05-01,NA,255880000000.0,IDR
2012-05-07,1213.18,NA,IDR
2012-05-21,1152.26,NA,IDR
2012-05-28,1150.45,NA,IDR
2012-06-01,NA,245490000000.0,IDR
2012-06-06,1136.18,NA,IDR
2012-06-18,1144.3,NA,IDR
2012-06-27,1163.49,NA,IDR
2012-07-01,NA,164900000000.0,IDR
2012-07-09,1185.8,NA,IDR
2012-07-17,1240.93,NA,IDR
2012-07-30,1238.51,NA,IDR
2012-08-01,NA,169420000000.0,IDR
2012-08-07,1214.81,NA,IDR
2012-08-23,1214.59,NA,IDR
2012-08-27,1214.61,NA,IDR
2012-09-01,NA,179210000000.0,IDR
2012-09-07,1179.78,NA,IDR
2012-09-17,1195.73,NA,IDR
2012-09-27,1187.36,NA,IDR
2012-10-01,NA,179280000000.0,IDR
2012-10-08,1203.28,NA,IDR
2012-10-18,1254.66,NA,IDR
2012-10-29,1267.96,NA,IDR
2012-11-01,NA,233190000000.0,IDR
2012-11-07,1268.53,NA,IDR
2012-11-19,1253.5,NA,IDR
2012-11-28,1281.37,NA,IDR
2012-12-01,NA,227170000000.0,IDR
2012-12-10,1286.49,NA,IDR
2012-12-19,1276.54,NA,IDR
2012-12-31,1270.29,NA,IDR
2013-01-01,NA,228850000000.0,IDR
2013-01-08,1271.54,NA,IDR
2013-01-18,1301.35,NA,IDR
2013-01-29,1291.97,NA,IDR
2013-02-01,NA,288630000000.0,IDR
2013-02-08,1303.91,NA,IDR
2013-02-18,1323.08,NA,IDR
2013-03-01,1380.14,268410000000.00003,IDR
2013-03-11,1399.7,NA,IDR
2013-03-21,1378.54,NA,IDR
2013-04-01,1402.57,268670000000.00003,IDR
2013-04-11,1396.82,NA,IDR
2013-04-22,1412.64,NA,IDR
2013-05-01,1406.87,265060000000.0,IDR
2013-05-13,1405.91,NA,IDR
2013-05-22,1456.07,NA,IDR
2013-06-01,NA,263339999999.99997,IDR
2013-06-03,1403.48,NA,IDR
2013-06-11,1289.5,NA,IDR
2013-06-24,1242.56,NA,IDR
2013-07-01,NA,246490000000.0,IDR
2013-07-02,1325.61,NA,IDR
2013-07-12,1293.13,NA,IDR
2013-07-22,1301.29,NA,IDR
2013-08-01,NA,218320000000.0,IDR
2013-08-02,1270.18,NA,IDR
2013-08-12,1251.07,NA,IDR
2013-08-22,1122.9,NA,IDR
2013-09-01,NA,223770000000.0,IDR
2013-09-02,1082.37,NA,IDR
2013-09-12,1152.46,NA,IDR
2013-09-23,1210.78,NA,IDR
2013-10-01,NA,231520000000.0,IDR
2013-10-02,1169.87,NA,IDR
2013-10-16,1178.49,NA,IDR
2013-10-23,1205.32,NA,IDR
2013-11-01,NA,217480000000.0,IDR
2013-11-04,1170.59,NA,IDR
2013-11-12,1150.43,NA,IDR
2013-11-25,1143.38,NA,IDR
2013-12-01,NA,218900000000.0,IDR
2013-12-03,1140.35,NA,IDR
2013-12-13,1104.31,NA,IDR
2013-12-24,1120.57,NA,IDR
2014-01-01,NA,232890000000.0,IDR
2014-01-03,1139.0,NA,IDR
2014-01-13,1188.6,NA,IDR
2014-01-23,1209.17,NA,IDR
2014-02-01,NA,238150000000.0,IDR
2014-02-03,1178.54,NA,IDR
2014-02-13,1217.19,NA,IDR
2014-02-24,1278.06,NA,IDR
2014-03-01,NA,245620000000.0,IDR
2014-03-06,1293.04,NA,IDR
2014-03-17,1364.47,NA,IDR
2014-03-26,1307.23,NA,IDR
2014-04-01,NA,248170000000.0,IDR
2014-04-07,1373.1,NA,IDR
2014-04-16,1347.96,NA,IDR
2014-04-28,1329.31,NA,IDR
2014-05-01,NA,245490000000.0,IDR
2014-05-06,1341.19,NA,IDR
2014-05-16,1397.99,NA,IDR
2014-05-28,1373.67,NA,IDR
2014-06-01,NA,240910000000.0,IDR
2014-06-06,1344.04,NA,IDR
2014-06-16,1332.63,NA,IDR
2014-06-27,1314.22,NA,IDR
2014-07-01,NA,159360000000.0,IDR
2014-07-07,1374.72,NA,IDR
2014-07-17,1414.75,NA,IDR
2014-08-01,NA,160870000000.0,IDR
2014-08-04,1409.93,NA,IDR
2014-08-07,1397.05,NA,IDR
2014-08-18,1435.65,NA,IDR
2014-08-27,1430.99,NA,IDR
2014-09-01,NA,161450000000.0,IDR
2014-09-08,1460.55,NA,IDR
2014-09-17,1438.67,NA,IDR
