tanggal,NAV,AUM,currency
2008-06-01,NA,101510000000.0,IDR
2008-06-04,1031.18,NA,IDR
2008-06-17,1064.21,NA,IDR
2008-06-30,1076.41,NA,IDR
2008-07-01,NA,117450000000.0,IDR
2008-07-11,1047.81,NA,IDR
2008-07-24,1055.16,NA,IDR
2008-08-01,NA,122900000000.0,IDR
2008-08-05,1014.32,NA,IDR
2008-08-19,968.32,NA,IDR
2008-09-01,1030.58,104580000000.0,IDR
2008-09-12,852.2,NA,IDR
2008-09-24,902.01,NA,IDR
2008-10-01,NA,68980000000.0,IDR
2008-10-07,768.83,NA,IDR
2008-10-20,672.48,NA,IDR
2008-11-01,NA,68410000000.0,IDR
2008-11-03,651.18,NA,IDR
2008-11-13,597.2,NA,IDR
2008-11-26,574.7,NA,IDR
2008-12-01,NA,74120000000.0,IDR
2008-12-09,624.47,NA,IDR
2008-12-22,664.3,NA,IDR
2009-01-01,NA,72610000000.0,IDR
2009-01-05,722.34,NA,IDR
2009-01-15,663.6,NA,IDR
2009-01-27,664.99,NA,IDR
2009-02-01,NA,71930000000.0,IDR
2009-02-09,686.92,NA,IDR
2009-02-23,679.72,NA,IDR
2009-03-01,NA,79760000000.0,IDR
2009-03-05,658.13,NA,IDR
2009-03-18,677.3,NA,IDR
2009-03-30,724.45,NA,IDR
2009-04-01,NA,125340000000.0,IDR
2009-04-13,834.25,NA,IDR
2009-04-24,884.9,NA,IDR
2009-05-01,NA,149180000000.0,IDR
2009-05-07,1122.53,NA,IDR
2009-05-19,1238.59,NA,IDR
2009-06-01,1337.91,154790000000.0,IDR
2009-06-15,1372.37,NA,IDR
2009-06-26,1346.35,NA,IDR
2009-07-01,NA,182340000000.0,IDR
2009-07-09,1356.08,NA,IDR
2009-07-21,1411.41,NA,IDR
2009-08-01,NA,200230000000.0,IDR
2009-08-03,1589.92,NA,IDR
2009-08-18,1608.88,NA,IDR
2009-08-27,1626.59,NA,IDR
2009-09-01,NA,228090000000.0,IDR
2009-09-09,1642.22,NA,IDR
2009-09-24,1680.05,NA,IDR
2009-10-01,NA,241540000000.0,IDR
2009-10-05,1702.59,NA,IDR
2009-10-16,1739.06,NA,IDR
2009-10-29,1606.11,NA,IDR
2009-11-01,NA,248030000000.0,IDR
2009-11-10,1626.42,NA,IDR
2009-11-23,1698.28,NA,IDR
2009-12-01,NA,261260000000.0,IDR
2009-12-07,1678.44,NA,IDR
2009-12-17,1682.64,NA,IDR
2009-12-30,1702.98,NA,IDR
2010-01-01,NA,301880000000.0,IDR
2010-01-11,1797.38,NA,IDR
2010-01-25,1799.28,NA,IDR
2010-02-01,NA,335640000000.0,IDR
2010-02-05,1756.92,NA,IDR
2010-02-18,1780.09,NA,IDR
2010-03-01,NA,363380000000.0,IDR
2010-03-02,1810.5,NA,IDR
2010-03-15,1872.83,NA,IDR
2010-03-29,1931.05,NA,IDR
2010-04-01,NA,428430000000.0,IDR
2010-04-09,1959.89,NA,IDR
2010-04-21,1977.27,NA,IDR
2010-05-01,NA,370910000000.0,IDR
2010-05-04,1972.32,NA,IDR
2010-05-17,1835.17,NA,IDR
2010-05-31,1751.27,NA,IDR
2010-06-01,NA,374690000000.0,IDR
2010-06-10,1736.89,NA,IDR
2010-06-23,1855.78,NA,IDR
2010-07-01,NA,381860000000.0,IDR
2010-07-05,1823.78,NA,IDR
2010-07-19,1875.74,NA,IDR
2010-07-30,1931.16,NA,IDR
2010-08-01,NA,358960000000.0,IDR
2010-08-11,1930.63,NA,IDR
2010-08-24,1980.24,NA,IDR
2010-09-01,NA,342990000000.0,IDR
2010-09-06,2036.3,NA,IDR
2010-09-20,2133.68,NA,IDR
2010-09-30,2171.29,NA,IDR
2010-10-01,NA,326360000000.0,IDR
2010-10-13,2237.27,NA,IDR
2010-10-25,2257.9,NA,IDR
2010-11-01,NA,318110000000.0,IDR
2010-11-08,2334.48,NA,IDR
2010-11-19,2294.45,NA,IDR
2010-12-01,NA,366150000000.0,IDR
2010-12-02,2284.83,NA,IDR
2010-12-14,2346.27,NA,IDR
2010-12-27,2317.26,NA,IDR
2011-01-01,NA,359360000000.0,IDR
2011-01-10,2254.82,NA,IDR
2011-01-21,2138.16,NA,IDR
2011-02-01,NA,370000000000.0,IDR
2011-02-02,2206.34,NA,IDR
2011-02-16,2154.41,NA,IDR
2011-02-28,2186.52,NA,IDR
2011-03-01,NA,401660000000.0,IDR
2011-03-14,2252.95,NA,IDR
2011-03-24,2339.68,NA,IDR
2011-04-01,NA,393250000000.0,IDR
2011-04-05,2407.87,NA,IDR
2011-04-18,2439.09,NA,IDR
2011-05-01,NA,431120000000.0,IDR
2011-05-02,2542.12,NA,IDR
2011-05-13,2586.14,NA,IDR
2011-05-25,2517.84,NA,IDR
2011-06-01,NA,467360000000.0,IDR
2011-06-07,2570.05,NA,IDR
2011-06-20,2476.86,NA,IDR
2011-07-01,NA,500000000000.0,IDR
2011-07-04,2617.84,NA,IDR
2011-07-14,2700.06,NA,IDR
2011-07-27,2884.85,NA,IDR
2011-08-01,NA,580000000000.0,IDR
2011-08-08,2632.57,NA,IDR
2011-08-22,2630.19,NA,IDR
2011-09-01,NA,570000000000.0,IDR
2011-09-05,2658.29,NA,IDR
2011-09-15,2568.8,NA,IDR
2011-09-27,2337.25,NA,IDR
2011-10-01,NA,590000000000.0,IDR
2011-10-10,2302.63,NA,IDR
2011-10-24,2533.22,NA,IDR
2011-11-01,NA,600000000000.0,IDR
2011-11-04,2565.8,NA,IDR
2011-11-16,2576.42,NA,IDR
2011-11-29,2466.25,NA,IDR
2011-12-01,NA,610000000000.0,IDR
2011-12-12,2535.66,NA,IDR
2011-12-23,2543.0,NA,IDR
2012-01-01,NA,481260000000.0,IDR
2012-01-05,2641.36,NA,IDR
2012-01-17,2686.85,NA,IDR
2012-01-30,2636.86,NA,IDR
2012-02-01,NA,560000000000.0,IDR
2012-02-13,2708.7,NA,IDR
2012-02-24,2689.45,NA,IDR
2012-03-01,NA,560000000000.0,IDR
2012-03-07,2721.74,NA,IDR
2012-03-20,2786.66,NA,IDR
2012-04-01,NA,620000000000.0,IDR
2012-04-02,2886.37,NA,IDR
2012-04-16,2897.39,NA,IDR
2012-04-26,2971.97,NA,IDR
2012-05-01,NA,590000000000.0,IDR
2012-05-09,2909.22,NA,IDR
2012-05-21,2758.74,NA,IDR
2012-06-01,NA,630000000000.0,IDR
2012-06-04,2529.8,NA,IDR
2012-06-15,2663.99,NA,IDR
2012-06-28,2694.19,NA,IDR
2012-07-01,NA,660000000000.0,IDR
2012-07-10,2774.36,NA,IDR
2012-07-23,2790.61,NA,IDR
2012-08-01,NA,610000000000.0,IDR
2012-08-06,2830.79,NA,IDR
2012-08-16,2833.9,NA,IDR
2012-08-29,2743.28,NA,IDR
2012-09-01,NA,640000000000.0,IDR
2012-09-10,2743.53,NA,IDR
2012-09-24,2778.8,NA,IDR
2012-10-01,NA,590000000000.0,IDR
2012-10-05,2830.17,NA,IDR
2012-10-18,2874.04,NA,IDR
2012-10-30,2888.71,NA,IDR
2012-11-01,NA,610000000000.0,IDR
2012-11-12,2916.35,NA,IDR
2012-11-26,2996.2,NA,IDR
2012-12-01,NA,640000000000.0,IDR
2012-12-07,3014.11,NA,IDR
2012-12-19,2997.4,NA,IDR
2013-01-01,NA,610000000000.0,IDR
2013-01-02,3013.22,NA,IDR
2013-01-14,3052.17,NA,IDR
2013-01-28,3085.57,NA,IDR
2013-02-01,NA,600000000000.0,IDR
2013-02-07,3139.98,NA,IDR
2013-02-20,3208.05,NA,IDR
2013-03-01,NA,550000000000.0,IDR
2013-03-04,3311.33,NA,IDR
2013-03-18,3338.33,NA,IDR
2013-04-01,3439.63,530000000000.0,IDR
2013-04-11,3373.07,NA,IDR
2013-04-23,3385.6,NA,IDR
2013-05-01,NA,580000000000.0,IDR
2013-05-06,3337.8,NA,IDR
2013-05-20,3506.78,NA,IDR
2013-05-30,3531.34,NA,IDR
2013-06-01,NA,580000000000.0,IDR
