tanggal,NAV,AUM,currency
2016-12-27,1000.51,NA,IDR
2017-01-03,1001.54,NA,IDR
2017-01-09,1002.45,NA,IDR
2017-01-13,1003.06,NA,IDR
2017-01-19,1003.97,NA,IDR
2017-01-26,1005.0,NA,IDR
2017-02-01,1005.79,NA,IDR
2017-02-07,1006.61,NA,IDR
2017-02-13,1007.37,NA,IDR
2017-02-20,1008.31,NA,IDR
2017-02-27,1009.24,NA,IDR
2017-03-03,1009.79,NA,IDR
2017-03-09,1010.58,NA,IDR
2017-03-15,1011.38,NA,IDR
2017-03-21,1012.21,NA,IDR
2017-03-27,1013.07,NA,IDR
2017-04-03,1013.8,NA,IDR
2017-04-10,1014.9,NA,IDR
2017-04-17,1015.91,NA,IDR
2017-04-20,1016.34,NA,IDR
2017-04-27,1017.32,NA,IDR
2017-05-03,1018.17,NA,IDR
2017-05-09,1018.72,NA,IDR
2017-05-15,1019.6,NA,IDR
2017-05-22,1020.6,NA,IDR
2017-05-29,1021.59,NA,IDR
2017-06-02,1022.08,NA,IDR
2017-06-08,1022.95,NA,IDR
2017-06-14,1023.79,NA,IDR
2017-06-20,1024.68,NA,IDR
2017-07-03,1026.6,NA,IDR
2017-07-10,1027.64,NA,IDR
2017-07-14,1028.23,NA,IDR
2017-07-20,1029.12,NA,IDR
2017-07-27,1030.14,NA,IDR
2017-08-02,1030.83,NA,IDR
2017-08-08,1031.72,NA,IDR
2017-08-14,1032.62,NA,IDR
2017-08-21,1033.6,NA,IDR
2017-08-28,1034.62,NA,IDR
2017-09-04,1035.47,NA,IDR
2017-09-07,1035.9,NA,IDR
2017-09-13,1036.69,NA,IDR
2017-09-19,1037.56,NA,IDR
2017-09-25,1038.41,NA,IDR
2017-10-02,1039.42,NA,IDR
2017-10-09,1040.34,NA,IDR
2017-10-13,1040.67,NA,IDR
2017-10-19,1041.45,NA,IDR
2017-10-26,1042.42,NA,IDR
2017-11-01,1043.18,NA,IDR
2017-11-07,1044.0,NA,IDR
2017-11-13,1044.65,NA,IDR
2017-11-20,1045.52,NA,IDR
2017-11-27,1046.51,NA,IDR
2017-12-01,NA,246260000000.0,IDR
2017-12-04,1047.51,NA,IDR
2017-12-07,1047.94,NA,IDR
2017-12-13,1048.52,NA,IDR
2017-12-19,1048.14,NA,IDR
2017-12-27,1050.28,NA,IDR
2018-01-01,NA,240230000000.0,IDR
2018-01-02,1051.03,NA,IDR
2018-01-08,1051.91,NA,IDR
2018-01-12,1052.44,NA,IDR
2018-01-19,1053.47,NA,IDR
2018-01-25,1054.34,NA,IDR
2018-01-31,1055.06,NA,IDR
2018-02-01,NA,260810000000.0,IDR
2018-02-06,1055.88,NA,IDR
2018-02-12,1056.55,NA,IDR
2018-02-19,1057.52,NA,IDR
2018-02-26,1058.47,NA,IDR
2018-03-01,NA,270029999999.99997,IDR
2018-03-02,1059.21,NA,IDR
2018-03-08,1060.03,NA,IDR
2018-03-14,1060.84,NA,IDR
2018-03-20,1061.67,NA,IDR
2018-03-26,1062.48,NA,IDR
2018-04-01,NA,272110000000.0,IDR
2018-04-02,1063.32,NA,IDR
2018-04-09,1064.24,NA,IDR
2018-04-13,1064.55,NA,IDR
2018-04-20,1065.45,NA,IDR
2018-04-26,1066.43,NA,IDR
2018-05-01,NA,291240000000.0,IDR
2018-05-02,1067.22,NA,IDR
2018-05-08,1068.0,NA,IDR
2018-05-14,1068.69,NA,IDR
2018-05-21,1069.54,NA,IDR
2018-05-28,1070.2,NA,IDR
2018-06-01,NA,248000000000.0,IDR
2018-06-04,1070.88,NA,IDR
2018-06-07,1071.02,NA,IDR
2018-06-20,1072.47,NA,IDR
2018-06-25,1073.28,NA,IDR
2018-07-01,NA,172470000000.0,IDR
2018-07-02,1073.99,NA,IDR
2018-07-09,1074.9,NA,IDR
2018-07-13,1075.58,NA,IDR
2018-07-20,1076.49,NA,IDR
2018-07-26,1076.87,NA,IDR
2018-08-01,1077.32,167410000000.0,IDR
2018-08-07,1078.16,NA,IDR
2018-08-13,1078.7,NA,IDR
2018-08-20,1079.65,NA,IDR
2018-08-27,1080.58,NA,IDR
2018-08-31,1080.81,NA,IDR
2018-09-01,NA,274940000000.0,IDR
2018-09-06,1081.02,NA,IDR
2018-09-12,1084.15,NA,IDR
2018-09-18,1084.75,NA,IDR
2018-09-24,1085.4,NA,IDR
2018-10-01,1085.79,245090000000.0,IDR
2018-10-08,1086.96,NA,IDR
2018-10-12,1087.45,NA,IDR
2018-10-19,1088.22,NA,IDR
2018-10-25,1088.92,NA,IDR
2018-10-31,1089.48,NA,IDR
2018-11-01,NA,189480000000.0,IDR
2018-11-06,1090.51,NA,IDR
2018-11-12,1091.52,NA,IDR
2018-11-19,1092.46,NA,IDR
2018-11-26,1093.89,NA,IDR
2018-11-30,1094.56,NA,IDR
2018-12-01,NA,194140000000.0,IDR
2018-12-06,1095.42,NA,IDR
2018-12-12,1095.91,NA,IDR
2018-12-18,1096.7,NA,IDR
2018-12-26,1097.78,NA,IDR
2019-01-01,NA,224850000000.0,IDR
2019-01-02,1098.84,NA,IDR
2019-01-07,1099.64,NA,IDR
2019-01-14,1100.78,NA,IDR
2019-01-18,1101.42,NA,IDR
2019-01-24,1102.38,NA,IDR
2019-01-30,1103.28,NA,IDR
2019-02-01,NA,168540000000.0,IDR
2019-02-06,1104.33,NA,IDR
2019-02-11,1105.11,NA,IDR
2019-02-18,1106.32,NA,IDR
2019-02-25,1107.44,NA,IDR
2019-03-01,1108.3,170520000000.0,IDR
2019-03-08,1109.41,NA,IDR
2019-03-13,1110.21,NA,IDR
2019-03-19,1111.21,NA,IDR
2019-03-25,1112.2,NA,IDR
2019-04-01,1113.28,169090000000.0,IDR
2019-04-08,1114.43,NA,IDR
2019-04-15,1115.59,NA,IDR
2019-04-22,1116.75,NA,IDR
2019-04-25,1117.25,NA,IDR
2019-05-01,NA,183910000000.0,IDR
2019-05-02,1118.42,NA,IDR
2019-05-07,1119.19,NA,IDR
2019-05-13,1120.21,NA,IDR
2019-05-20,1121.39,NA,IDR
2019-05-27,1122.59,NA,IDR
2019-05-31,1123.07,NA,IDR
2019-06-01,NA,183200000000.0,IDR
2019-06-10,1124.76,NA,IDR
2019-06-12,1125.09,NA,IDR
2019-06-18,1126.11,NA,IDR
2019-06-24,1127.14,NA,IDR
2019-07-01,1128.29,177740000000.0,IDR
2019-07-08,1129.58,NA,IDR
2019-07-15,1130.8,NA,IDR
2019-07-19,1131.49,NA,IDR
2019-07-25,1132.47,NA,IDR
2019-07-31,1133.52,NA,IDR
2019-08-01,NA,218960000000.0,IDR
2019-08-06,1134.57,NA,IDR
2019-08-12,1135.63,NA,IDR
2019-08-19,1136.87,NA,IDR
2019-08-26,1138.13,NA,IDR
2019-08-30,1138.8,NA,IDR
2019-09-01,NA,164270000000.0,IDR
2019-09-05,1139.72,NA,IDR
2019-09-11,1140.86,NA,IDR
2019-09-17,1141.97,NA,IDR
2019-09-23,1143.04,NA,IDR
2019-09-30,1144.33,NA,IDR
2019-10-01,NA,239910000000.0,IDR
2019-10-07,1145.47,NA,IDR
2019-10-14,1146.75,NA,IDR
2019-10-18,1147.49,NA,IDR
2019-10-24,1148.6,NA,IDR
2019-10-30,1149.69,NA,IDR
2019-11-01,NA,290040000000.0,IDR
2019-11-05,1150.65,NA,IDR
2019-11-11,1151.69,NA,IDR
2019-11-18,1152.9,NA,IDR
2019-11-25,1154.11,NA,IDR
2019-11-29,1154.82,NA,IDR
