[2025-04-08 21:14:03] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:14:03] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 3M.
[2025-04-08 21:14:08] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Beralih ke mode AUM...
[2025-04-08 21:14:11] [DEBUG] Default | Periode 3M | Kursor -510 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:11] [DEBUG] Default | Periode 1M | Kursor -510 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:11] [DEBUG] Default | Periode 3M | Kursor -490 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:11] [DEBUG] Default | Periode 1M | Kursor -490 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:11] [DEBUG] Default | Periode 1M | Kursor -470 | Tanggal: 28 Feb 25 | Data: $1.10
[2025-04-08 21:14:11] [DEBUG] Default | Periode 3M | Kursor -470 | Tanggal: 30 Des 24 | Data: $1.17
[2025-04-08 21:14:12] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:14:12] [DEBUG] Default | Periode 1M | Kursor -450 | Tanggal: 3 Mar 25 | Data: $1.07
[2025-04-08 21:14:12] [DEBUG] Default | Periode 3M | Kursor -450 | Tanggal: 2 Jan 25 | Data: $1.17
[2025-04-08 21:14:12] [DEBUG] Default | Periode 3M | Kursor -430 | Tanggal: 2 Jan 25 | Data: $1.17
[2025-04-08 21:14:12] [DEBUG] Default | Periode 1M | Kursor -430 | Tanggal: 3 Mar 25 | Data: $1.07
[2025-04-08 21:14:13] [DEBUG] Default | Periode 3M | Kursor -410 | Tanggal: 6 Jan 25 | Data: $1.21
[2025-04-08 21:14:13] [DEBUG] Default | Periode 1M | Kursor -410 | Tanggal: 3 Mar 25 | Data: $1.07
