[2025-04-09 19:58:48] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-09 19:58:48] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-04-09 19:58:48] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-09 19:58:48] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-09 19:58:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-09 19:58:50] [INFO] Beralih ke mode AUM...
[2025-04-09 19:58:51] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-09 19:58:51] [INFO] Berhasil memilih periode 1M.
[2025-04-09 19:58:53] [DEBUG] Default | Periode 1M | Kursor -510 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:58:54] [INFO] Berhasil memilih periode 1M.
[2025-04-09 19:58:54] [DEBUG] Default | Periode 1M | Kursor -490 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:58:54] [DEBUG] Default | Periode 1M | Kursor -470 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-09 19:58:54] [DEBUG] Default | Periode 1M | Kursor -450 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-09 19:58:55] [DEBUG] Default | Periode 1M | Kursor -430 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-09 19:58:55] [DEBUG] Default | Periode 1M | Kursor -410 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-09 19:58:55] [DEBUG] Default | Periode 1M | Kursor -390 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-09 19:58:56] [DEBUG] Default | Periode 1M | Kursor -370 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-09 19:58:56] [DEBUG] AUM | Periode 1M | Kursor -510 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:56] [DEBUG] Default | Periode 1M | Kursor -350 | Tanggal: 12 Mar 25 | Data: $1.03
[2025-04-09 19:58:56] [DEBUG] AUM | Periode 1M | Kursor -490 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:57] [DEBUG] Default | Periode 1M | Kursor -330 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-09 19:58:57] [DEBUG] AUM | Periode 1M | Kursor -470 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:57] [DEBUG] Default | Periode 1M | Kursor -310 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-09 19:58:57] [DEBUG] AUM | Periode 1M | Kursor -450 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:57] [DEBUG] Default | Periode 1M | Kursor -290 | Tanggal: 14 Mar 25 | Data: $1.04
[2025-04-09 19:58:57] [DEBUG] AUM | Periode 1M | Kursor -430 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:58] [DEBUG] Default | Periode 1M | Kursor -270 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-09 19:58:58] [DEBUG] AUM | Periode 1M | Kursor -410 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:58] [DEBUG] Default | Periode 1M | Kursor -250 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-09 19:58:58] [DEBUG] AUM | Periode 1M | Kursor -390 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:59] [DEBUG] Default | Periode 1M | Kursor -230 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-09 19:58:59] [DEBUG] AUM | Periode 1M | Kursor -370 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:59] [DEBUG] Default | Periode 1M | Kursor -210 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-09 19:58:59] [DEBUG] AUM | Periode 1M | Kursor -350 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:58:59] [DEBUG] Default | Periode 1M | Kursor -190 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-09 19:58:59] [DEBUG] AUM | Periode 1M | Kursor -330 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:00] [DEBUG] Default | Periode 1M | Kursor -170 | Tanggal: 18 Mar 25 | Data: $1.03
[2025-04-09 19:59:00] [DEBUG] AUM | Periode 1M | Kursor -310 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:00] [DEBUG] Default | Periode 1M | Kursor -150 | Tanggal: 19 Mar 25 | Data: $1.04
[2025-04-09 19:59:00] [DEBUG] AUM | Periode 1M | Kursor -290 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:01] [DEBUG] Default | Periode 1M | Kursor -130 | Tanggal: 19 Mar 25 | Data: $1.04
[2025-04-09 19:59:01] [DEBUG] AUM | Periode 1M | Kursor -270 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:01] [DEBUG] Default | Periode 1M | Kursor -110 | Tanggal: 20 Mar 25 | Data: $1.04
[2025-04-09 19:59:01] [DEBUG] AUM | Periode 1M | Kursor -250 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:01] [DEBUG] Default | Periode 1M | Kursor -90 | Tanggal: 21 Mar 25 | Data: $1.04
[2025-04-09 19:59:01] [DEBUG] AUM | Periode 1M | Kursor -230 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:02] [DEBUG] Default | Periode 1M | Kursor -70 | Tanggal: 21 Mar 25 | Data: $1.04
