[2025-04-09 20:02:09] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-09 20:02:09] [INFO] Mulai scraping untuk ABF Indonesia Bond Index Fund (Total 2 periode)
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Beralih ke mode AUM...
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 1M.
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 3M.
[2025-04-09 20:02:15] [DEBUG] Default | Periode 1M | Kursor -510 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:15] [DEBUG] Default | Periode 3M | Kursor -510 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:16] [DEBUG] Default | Periode 1M | Kursor -490 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:16] [DEBUG] Default | Periode 3M | Kursor -490 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:16] [INFO] Berhasil memilih periode 1M.
[2025-04-09 20:02:16] [DEBUG] Default | Periode 1M | Kursor -470 | Tanggal: 10 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:16] [DEBUG] Default | Periode 3M | Kursor -470 | Tanggal: 10 Jan 25 | Data: Rp53.74K
[2025-04-09 20:02:16] [DEBUG] Default | Periode 1M | Kursor -450 | Tanggal: 10 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:17] [DEBUG] Default | Periode 3M | Kursor -450 | Tanggal: 13 Jan 25 | Data: Rp53.58K
[2025-04-09 20:02:17] [DEBUG] Default | Periode 1M | Kursor -430 | Tanggal: 10 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:17] [DEBUG] Default | Periode 3M | Kursor -430 | Tanggal: 14 Jan 25 | Data: Rp53.51K
[2025-04-09 20:02:17] [DEBUG] Default | Periode 1M | Kursor -410 | Tanggal: 10 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:17] [DEBUG] Default | Periode 3M | Kursor -410 | Tanggal: 16 Jan 25 | Data: Rp53.65K
[2025-04-09 20:02:18] [DEBUG] Default | Periode 1M | Kursor -390 | Tanggal: 11 Mar 25 | Data: Rp54.97K
[2025-04-09 20:02:18] [DEBUG] Default | Periode 3M | Kursor -390 | Tanggal: 20 Jan 25 | Data: Rp53.83K
[2025-04-09 20:02:18] [DEBUG] Default | Periode 1M | Kursor -370 | Tanggal: 11 Mar 25 | Data: Rp54.97K
[2025-04-09 20:02:18] [DEBUG] Default | Periode 3M | Kursor -370 | Tanggal: 20 Jan 25 | Data: Rp53.83K
[2025-04-09 20:02:18] [DEBUG] AUM | Periode 1M | Kursor -510 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:18] [DEBUG] Default | Periode 1M | Kursor -350 | Tanggal: 12 Mar 25 | Data: Rp54.97K
[2025-04-09 20:02:18] [DEBUG] Default | Periode 3M | Kursor -350 | Tanggal: 21 Jan 25 | Data: Rp53.93K
[2025-04-09 20:02:19] [DEBUG] AUM | Periode 1M | Kursor -490 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:19] [DEBUG] Default | Periode 1M | Kursor -330 | Tanggal: 13 Mar 25 | Data: Rp54,962.00
[2025-04-09 20:02:19] [DEBUG] Default | Periode 3M | Kursor -330 | Tanggal: 23 Jan 25 | Data: Rp54.01K
[2025-04-09 20:02:19] [DEBUG] AUM | Periode 1M | Kursor -470 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:19] [DEBUG] Default | Periode 1M | Kursor -310 | Tanggal: 13 Mar 25 | Data: Rp54,962.00
[2025-04-09 20:02:19] [DEBUG] Default | Periode 3M | Kursor -310 | Tanggal: 30 Jan 25 | Data: Rp54.25K
[2025-04-09 20:02:19] [DEBUG] AUM | Periode 1M | Kursor -450 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:19] [DEBUG] Default | Periode 1M | Kursor -290 | Tanggal: 14 Mar 25 | Data: Rp54.94K
[2025-04-09 20:02:20] [DEBUG] Default | Periode 3M | Kursor -290 | Tanggal: 30 Jan 25 | Data: Rp54.25K
[2025-04-09 20:02:20] [DEBUG] AUM | Periode 1M | Kursor -430 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:20] [DEBUG] Default | Periode 1M | Kursor -270 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:20] [DEBUG] Default | Periode 3M | Kursor -270 | Tanggal: 30 Jan 25 | Data: Rp54.25K
[2025-04-09 20:02:20] [DEBUG] AUM | Periode 1M | Kursor -410 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:20] [DEBUG] Default | Periode 1M | Kursor -250 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:20] [DEBUG] Default | Periode 3M | Kursor -250 | Tanggal: 30 Jan 25 | Data: Rp54.25K
[2025-04-09 20:02:21] [DEBUG] AUM | Periode 1M | Kursor -390 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:21] [DEBUG] Default | Periode 1M | Kursor -230 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:21] [DEBUG] Default | Periode 3M | Kursor -230 | Tanggal: 3 Feb 25 | Data: Rp54.17K
[2025-04-09 20:02:21] [DEBUG] Default | Periode 1M | Kursor -210 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:21] [DEBUG] AUM | Periode 1M | Kursor -370 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:21] [DEBUG] Default | Periode 3M | Kursor -210 | Tanggal: 3 Feb 25 | Data: Rp54.17K
[2025-04-09 20:02:21] [DEBUG] Default | Periode 1M | Kursor -190 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:21] [DEBUG] AUM | Periode 1M | Kursor -350 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:22] [DEBUG] Default | Periode 3M | Kursor -190 | Tanggal: 5 Feb 25 | Data: Rp54.50K
[2025-04-09 20:02:22] [DEBUG] Default | Periode 1M | Kursor -170 | Tanggal: 18 Mar 25 | Data: Rp54,901.00
[2025-04-09 20:02:22] [DEBUG] AUM | Periode 1M | Kursor -330 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:22] [DEBUG] Default | Periode 3M | Kursor -170 | Tanggal: 7 Feb 25 | Data: Rp54,699.00
[2025-04-09 20:02:22] [DEBUG] Default | Periode 1M | Kursor -150 | Tanggal: 19 Mar 25 | Data: Rp54.84K
[2025-04-09 20:02:22] [DEBUG] AUM | Periode 1M | Kursor -310 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:22] [DEBUG] Default | Periode 3M | Kursor -150 | Tanggal: 10 Feb 25 | Data: Rp54.78K
[2025-04-09 20:02:23] [DEBUG] Default | Periode 1M | Kursor -130 | Tanggal: 19 Mar 25 | Data: Rp54.84K
[2025-04-09 20:02:23] [DEBUG] AUM | Periode 1M | Kursor -290 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:23] [DEBUG] Default | Periode 3M | Kursor -130 | Tanggal: 11 Feb 25 | Data: Rp54.80K
[2025-04-09 20:02:23] [DEBUG] Default | Periode 1M | Kursor -110 | Tanggal: 20 Mar 25 | Data: Rp54.77K
