tanggal,data
2007-12-26,13690.0
2008-01-08,13780.0
2008-01-21,13885.3
2008-02-04,13864.7
2008-02-15,13860.0
2008-02-28,13790.0
2008-03-12,13650.0
2008-03-25,13420.0
2008-04-07,12550.0
2008-04-21,12760.0
2008-05-02,12480.0
2008-05-15,12620.0
2008-05-28,12620.0
2008-06-10,12340.0
2008-06-23,12480.0
2008-07-07,12550.0
2008-07-18,12956.7
2008-07-31,13320.0
2008-08-12,13421.9
2008-08-25,13330.0
2008-09-08,13290.0
2008-09-22,13123.5
2008-10-06,12640.0
2008-10-15,12330.0
2008-10-28,10050.0
2008-11-10,11910.0
2008-11-24,10990.0
2008-12-09,13210.0
2008-12-18,14000.0
2009-01-05,14110.0
2009-01-13,13820.0
2009-01-27,13960.0
2009-02-09,13910.0
2009-02-20,13010.0
2009-03-05,13100.0
2009-03-18,13610.0
2009-03-31,13990.0
2009-04-13,14370.0
2009-04-27,14450.0
2009-05-08,14730.0
2009-05-22,14980.0
2009-06-05,15680.0
2009-06-19,14970.0
2009-06-29,15240.0
2009-07-13,15680.0
2009-07-24,15860.0
2009-08-06,15950.0
2009-08-18,15643.9
2009-08-31,15880.0
2009-09-14,15950.0
2009-09-28,16270.0
2009-10-09,16490.0
2009-10-21,16590.0
2009-11-03,16470.0
2009-11-16,16500.0
2009-11-30,16600.0
2009-12-14,16850.0
2009-12-28,16830.0
2010-01-06,17130.0
2010-01-19,17360.0
2010-02-01,17257.7
2010-02-15,17320.0
2010-03-01,17410.0
2010-03-11,17640.0
2010-03-24,17920.0
2010-04-06,18030.7
2010-04-19,18304.5
2010-05-03,18540.0
2010-05-14,18380.0
2010-05-27,18180.0
2010-06-09,18410.0
2010-06-21,19030.0
2010-07-05,18886.6
2010-07-19,19120.0
2010-07-30,19330.0
2010-08-12,19590.0
2010-08-24,19650.0
2010-09-06,19530.0
2010-09-20,19870.0
2010-10-04,20400.0
2010-10-15,20950.0
2010-10-27,20790.0
2010-11-09,20738.4
2010-11-22,20630.0
2010-12-06,20470.0
2010-12-20,19930.0
2010-12-30,20230.0
2011-01-12,19920.0
2011-01-25,19210.0
2011-02-07,19500.0
2011-02-21,19470.0
2011-03-04,19870.0
2011-03-17,20030.0
2011-03-30,20380.0
2011-04-12,20920.0
2011-04-25,20920.0
2011-05-09,21040.0
2011-05-20,21290.0
2011-06-03,21420.0
2011-06-15,21460.0
2011-06-27,21430.0
2011-07-11,21841.5
2011-07-25,21930.0
2011-08-05,22460.0
2011-08-18,22640.3
2011-09-05,22770.0
2011-09-12,23420.0
2011-09-26,22570.0
2011-10-10,23500.9
2011-10-21,23940.0
2011-11-02,23910.0
2011-11-15,24080.0
