tanggal,data
2017-04-17,1002.77
2017-04-25,1004.16
2017-05-02,1004.98
2017-05-05,1005.34
2017-05-10,1006.02
2017-05-16,1007.27
2017-05-22,1009.05
2017-05-29,1010.26
2017-06-05,1011.25
2017-06-08,1011.76
2017-06-14,1012.74
2017-06-20,1013.72
2017-07-03,1016.29
2017-07-10,1017.47
2017-07-13,1017.9
2017-07-19,1018.91
2017-07-25,1019.99
2017-07-31,1020.89
2017-08-07,1022.11
2017-08-14,1023.39
2017-08-18,1024.09
2017-08-23,1025.03
2017-08-29,1026.17
2017-09-04,1027.03
2017-09-11,1028.32
2017-09-18,1029.62
2017-09-22,1030.36
2017-09-27,1031.3
2017-10-03,1032.43
2017-10-09,1033.57
2017-10-16,1034.83
2017-10-23,1036.14
2017-10-26,1036.69
2017-11-01,1037.56
2017-11-07,1038.58
2017-11-13,1039.62
2017-11-20,1040.84
2017-11-27,1042.03
2017-11-30,1042.58
2017-12-06,1043.68
2017-12-12,1044.74
2017-12-18,1045.91
2017-12-27,1047.37
2017-12-29,1047.72
2018-01-04,1048.63
2018-01-10,1049.69
2018-01-16,1050.75
2018-01-22,1051.8
2018-01-29,1052.97
2018-02-02,1053.48
2018-02-08,1055.22
2018-02-14,1056.9
2018-02-20,1057.72
2018-02-26,1058.59
2018-03-05,1059.56
2018-03-09,1060.07
2018-03-15,1060.89
2018-03-21,1061.69
2018-03-27,1062.6
2018-04-02,1063.43
2018-04-09,1064.38
2018-04-13,1064.94
2018-04-19,1065.8
2018-04-25,1066.65
2018-05-02,1067.75
2018-05-07,1068.47
2018-05-14,1069.49
2018-05-18,1070.06
2018-05-24,1070.94
2018-05-30,1071.81
2018-06-05,1072.68
2018-06-20,1074.77
2018-06-22,1075.07
2018-06-28,1075.95
2018-07-04,1076.83
2018-07-10,1077.67
2018-07-16,1078.42
2018-07-23,1079.49
2018-07-27,1080.11
2018-08-02,1081.08
2018-08-08,1082.05
2018-08-14,1083.02
2018-08-20,1084.01
2018-08-27,1085.17
2018-08-31,1085.83
2018-09-06,1086.81
2018-09-12,1087.87
2018-09-18,1089.3
2018-09-24,1090.36
2018-10-01,1091.6
2018-10-05,1092.3
2018-10-11,1093.36
2018-10-17,1094.46
2018-10-23,1095.57
2018-10-29,1096.71
2018-11-05,1098.05
2018-11-09,1098.81
2018-11-15,1099.95
2018-11-21,1101.09
2018-11-27,1102.21
2018-12-03,1103.13
2018-12-10,1104.42
2018-12-14,1105.27
2018-12-20,1106.53
2018-12-26,1107.8
2019-01-02,1109.25
2019-01-07,1110.3
2019-01-14,1111.77
2019-01-18,1112.59
2019-01-24,1113.85
2019-01-30,1115.05
2019-02-06,1116.45
2019-02-11,1117.47
2019-02-18,1118.85
2019-02-22,1119.64
2019-02-28,1120.86
2019-03-06,1122.05
2019-03-12,1123.24
2019-03-18,1124.44
2019-03-25,1125.85
2019-03-29,1126.65
2019-04-04,1127.78
2019-04-10,1128.97
2019-04-16,1130.17
2019-04-22,1131.34
2019-04-29,1132.7
2019-05-03,1133.47
2019-05-09,1134.63
2019-05-15,1135.8
2019-05-21,1137.01
2019-05-27,1137.79
2019-06-10,1140.5
2019-06-13,1141.07
2019-06-19,1142.24
2019-06-25,1143.4
2019-07-01,1144.55
2019-07-08,1145.92
2019-07-12,1146.73
2019-07-18,1147.91
2019-07-24,1149.1
2019-07-29,1150.09
2019-08-05,1151.43
2019-08-12,1152.79
2019-08-16,1153.62
2019-08-22,1154.79
2019-08-28,1155.97
2019-09-02,1156.98
2019-09-09,1158.36
2019-09-16,1159.77
2019-09-20,1160.55
2019-09-26,1161.71
2019-10-02,1162.88
2019-10-07,1163.85
2019-10-14,1165.26
2019-10-21,1166.62
2019-10-25,1167.4
2019-10-31,1168.51
2019-11-06,1169.67
2019-11-11,1170.68
2019-11-18,1172.0
