tanggal,data
2014-05-28,1006.24
2014-06-04,1007.75
2014-06-12,1009.48
2014-06-20,1009.71
2014-06-30,1003.23
2014-07-07,1009.19
2014-07-14,1009.26
2014-07-22,1014.8
2014-08-04,1013.31
2014-08-07,1008.61
2014-08-15,1008.39
2014-08-25,1010.78
2014-09-01,1016.42
2014-09-08,1027.43
2014-09-16,1015.09
2014-09-24,1020.53
2014-10-02,1008.31
2014-10-10,1011.32
2014-10-20,1025.08
2014-10-27,1034.74
2014-11-03,1037.15
2014-11-11,1038.66
2014-11-19,1047.13
2014-11-27,1058.27
2014-12-05,1053.79
2014-12-15,1029.64
2014-12-22,1046.35
2014-12-29,1054.11
2015-01-06,1053.06
2015-01-14,1072.24
2015-01-22,1102.37
2015-01-30,1111.82
2015-02-09,1113.56
2015-02-16,1098.08
2015-02-23,1115.71
2015-03-03,1123.22
2015-03-11,1084.21
2015-03-19,1103.02
2015-03-27,1106.06
2015-04-06,1107.29
2015-04-13,1111.39
2015-04-20,1097.37
2015-04-28,1083.45
2015-05-06,1070.28
2015-05-15,1072.4
2015-05-22,1069.34
2015-06-01,1065.11
2015-06-08,1035.7
2015-06-15,1038.05
2015-06-23,1060.43
2015-07-01,1068.31
2015-07-09,1059.83
2015-07-22,1066.62
2015-07-27,1067.47
2015-08-03,1047.83
2015-08-10,1052.67
2015-08-18,1040.65
2015-08-26,1026.84
2015-09-03,1034.37
2015-09-11,1017.05
2015-09-21,1026.98
2015-09-28,1002.09
2015-10-05,1029.02
2015-10-13,1061.77
2015-10-21,1040.9
2015-10-29,1046.42
2015-11-06,1048.73
2015-11-16,1052.2
2015-11-23,1054.16
2015-11-30,1058.58
2015-12-08,1061.9
2015-12-16,1042.2
2015-12-28,1053.19
2016-01-04,1052.45
2016-01-11,1052.22
2016-01-18,1065.74
2016-01-25,1075.43
2016-02-02,1096.83
2016-02-10,1101.48
2016-02-18,1101.48
2016-02-26,1087.85
2016-03-07,1120.46
2016-03-14,1125.17
2016-03-21,1129.93
2016-03-29,1123.14
2016-04-06,1143.82
2016-04-14,1163.79
2016-04-22,1163.77
2016-05-02,1150.9
2016-05-09,1149.27
2016-05-16,1153.05
2016-05-23,1142.49
2016-05-31,1148.06
2016-06-08,1163.56
2016-06-16,1165.34
2016-06-24,1157.41
2016-07-11,1203.15
2016-07-18,1204.53
2016-07-26,1207.4
2016-08-03,1223.45
2016-08-11,1226.64
2016-08-19,1228.05
2016-08-29,1214.95
2016-09-05,1226.26
2016-09-13,1224.9
2016-09-20,1225.44
2016-09-28,1232.68
2016-10-06,1228.46
2016-10-14,1227.3
2016-10-24,1225.39
2016-10-31,1212.71
2016-11-07,1209.61
2016-11-15,1171.5
2016-11-23,1168.29
2016-12-01,1168.28
2016-12-09,1193.24
2016-12-19,1179.6
2016-12-27,1184.22
2017-01-03,1183.03
2017-01-10,1194.62
2017-01-18,1204.3
2017-01-26,1204.66
2017-02-03,1202.77
2017-02-13,1209.81
2017-02-20,1210.79
2017-02-27,1212.26
2017-03-07,1218.63
2017-03-15,1225.14
2017-03-23,1242.23
2017-03-31,1251.52
2017-04-10,1249.0
2017-04-17,1254.87
2017-04-25,1256.74
2017-05-02,1260.05
2017-05-10,1253.61
2017-05-18,1258.77
2017-05-26,1269.09
2017-06-05,1272.29
2017-06-12,1275.46
2017-06-19,1282.95
2017-07-03,1282.57
2017-07-05,1281.7
2017-07-13,1273.86
2017-07-21,1281.15
2017-07-31,1281.17
2017-08-07,1284.09
2017-08-14,1287.52
2017-08-22,1291.55
2017-08-30,1305.94
2017-09-07,1321.41
2017-09-15,1321.33
2017-09-25,1339.96
2017-10-02,1328.16
2017-10-09,1323.08
2017-10-17,1323.4
2017-10-25,1308.52
2017-11-02,1317.28
2017-11-10,1327.73
2017-11-20,1331.41
2017-11-27,1337.19
2017-12-04,1341.47
2017-12-12,1345.97
2017-12-20,1350.37
2017-12-28,1359.67
2018-01-05,1378.23
2018-01-15,1382.31
2018-01-22,1383.54
2018-01-29,1371.24
2018-02-06,1367.41
2018-02-14,1365.56
2018-02-22,1355.38
2018-03-02,1351.2
2018-03-12,1339.21
2018-03-19,1352.18
2018-03-26,1345.42
2018-04-03,1361.52
2018-04-11,1366.44
2018-04-19,1358.52
2018-04-27,1334.01
2018-05-07,1330.91
2018-05-14,1323.06
2018-05-21,1300.7
2018-05-30,1319.59
2018-06-06,1322.65
2018-06-20,1320.72
2018-06-22,1299.63
2018-07-02,1281.75
2018-07-09,1303.23
2018-07-16,1302.78
2018-07-24,1286.21
2018-08-01,1294.51
2018-08-09,1304.77
2018-08-20,1294.1
2018-08-27,1295.27
2018-09-03,1278.42
2018-09-10,1260.41
2018-09-18,1267.84
2018-09-26,1278.86
2018-10-04,1277.23
2018-10-11,1267.38
2018-10-19,1264.95
2018-10-29,1270.04
2018-11-05,1285.33
2018-11-12,1293.28
2018-11-21,1299.8
2018-11-28,1306.0
2018-12-06,1304.03
2018-12-14,1300.72
2018-12-26,1311.48
2019-01-02,1310.63
2019-01-07,1315.98
2019-01-15,1310.56
2019-01-23,1311.06
2019-01-31,1319.42
2019-02-08,1334.31
2019-02-18,1327.25
2019-02-25,1336.61
2019-03-04,1341.9
2019-03-12,1342.88
2019-03-20,1356.27
