tanggal,data
2018-01-30,1121.74
2018-02-05,1123.47
2018-02-09,1123.07
2018-02-14,1123.08
2018-02-21,1122.67
2018-02-26,1121.13
2018-03-02,1118.0
2018-03-07,1116.3
2018-03-13,1116.96
2018-03-19,1121.34
2018-03-23,1133.17
2018-03-28,1122.16
2018-04-03,1126.47
2018-04-09,1127.68
2018-04-13,1128.63
2018-04-18,1127.05
2018-04-23,1123.27
2018-04-30,1119.06
2018-05-04,1119.18
2018-05-09,1111.4
2018-05-14,1114.45
2018-05-21,1109.67
2018-05-25,1108.53
2018-05-30,1115.73
2018-06-04,1122.19
2018-06-20,1119.74
2018-06-25,1113.51
2018-07-02,1105.87
2018-07-06,1112.13
2018-07-11,1119.38
2018-07-16,1119.34
2018-07-23,1116.54
2018-07-27,1117.35
2018-08-01,1118.21
2018-08-06,1119.56
2018-08-13,1124.03
2018-08-20,1124.25
2018-08-23,1123.97
2018-08-27,1124.88
2018-09-03,1124.71
2018-09-07,1111.56
2018-09-12,1112.38
2018-09-17,1113.15
2018-09-24,1118.94
2018-09-28,1122.81
2018-10-03,1123.46
2018-10-08,1120.09
2018-10-15,1115.65
2018-10-19,1117.8
2018-10-24,1122.17
2018-10-29,1123.75
2018-11-05,1134.17
2018-11-09,1139.3
2018-11-14,1138.83
2018-11-19,1140.78
2018-11-26,1144.55
2018-11-30,1147.77
2018-12-05,1147.32
2018-12-10,1144.54
2018-12-17,1147.07
2018-12-20,1151.0
2018-12-26,1152.97
2019-01-02,1153.56
2019-01-07,1156.57
2019-01-10,1156.03
2019-01-16,1155.69
2019-01-21,1157.77
2019-01-28,1159.69
2019-01-31,1162.87
2019-02-06,1170.14
2019-02-11,1169.42
2019-02-18,1168.72
2019-02-21,1169.97
2019-02-27,1177.89
2019-03-04,1180.06
2019-03-11,1181.35
2019-03-14,1185.82
2019-03-20,1189.31
2019-03-25,1191.21
2019-04-01,1193.77
2019-04-04,1194.18
2019-04-10,1192.83
2019-04-15,1195.54
2019-04-22,1198.66
2019-04-25,1197.47
2019-04-30,1196.42
2019-05-06,1194.23
2019-05-13,1196.07
2019-05-16,1195.79
2019-05-21,1194.99
2019-05-27,1199.51
2019-06-10,1204.86
2019-06-11,1205.62
2019-06-17,1210.0
2019-06-24,1215.84
2019-06-27,1218.14
2019-07-02,1220.35
2019-07-08,1225.12
2019-07-15,1234.52
2019-07-18,1236.47
2019-07-23,1234.96
2019-07-29,1233.59
2019-08-05,1227.15
2019-08-08,1233.35
2019-08-13,1234.17
2019-08-19,1237.75
