tanggal,data
2000-01-17,1764.97
2000-02-07,1581.29
2000-02-23,1430.86
2000-03-13,1441.56
2000-04-03,1407.39
2000-04-19,1305.0
2000-05-08,1406.4
2000-05-29,1203.5
2000-06-16,1278.71
2000-07-03,1312.18
2000-07-24,1342.37
2000-08-10,1301.62
2000-08-29,1261.06
2000-09-18,1112.09
2000-10-05,1157.56
2000-10-24,1163.59
2000-11-13,1197.86
2000-11-30,1225.04
2000-12-19,1183.0
2001-01-08,1157.65
2001-01-25,1175.32
2001-02-13,1232.12
2001-03-06,1255.95
2001-03-23,1090.15
2001-04-10,1089.08
2001-04-30,1069.98
2001-05-18,1116.67
2001-06-06,1161.57
2001-06-25,1233.08
2001-07-13,1268.56
2001-08-01,1244.92
2001-08-20,1226.34
2001-09-07,1256.15
2001-09-26,1142.3
2001-10-16,1112.0
2001-11-02,1123.78
2001-11-21,1142.77
2002-01-08,1171.28
2002-01-17,1298.64
2002-02-04,1369.28
2002-04-24,1647.56
2002-05-10,1650.21
2002-06-03,1631.82
2002-06-17,1684.09
2002-07-04,1544.11
2002-07-23,1515.09
2002-08-12,1447.6
2002-08-29,1421.06
2002-09-17,1395.71
2002-10-07,1325.25
2002-10-24,1189.54
2002-11-12,1244.33
2002-12-02,1300.18
2002-12-20,1410.99
2003-01-07,1330.19
2003-01-27,1346.97
2003-02-14,1371.85
2003-03-06,1348.87
2003-03-24,1351.14
2003-04-11,1484.32
2003-04-30,1527.86
2003-05-19,1552.83
2003-06-06,1719.23
2003-06-25,1716.03
2003-07-14,1814.85
2003-08-01,1699.72
2003-08-20,1718.86
2003-09-08,1901.57
2003-09-29,1911.49
2003-10-15,2109.73
2003-11-03,1981.53
2003-12-01,2058.39
2003-12-11,2173.1
2003-12-29,2323.24
2004-01-19,2610.83
2004-02-05,2528.68
2004-02-24,2693.01
2004-03-15,2529.89
2004-04-01,2551.68
2004-04-20,2805.09
2004-05-10,2465.59
2004-05-27,2539.06
2004-06-15,2489.64
2004-07-06,2726.88
2004-07-22,2728.53
2004-08-10,2669.15
2004-08-30,2702.52
2004-09-17,2955.61
2004-10-05,3125.91
2004-10-25,3083.68
2004-11-12,3410.58
2004-11-30,3593.27
2004-12-20,3636.02
2005-01-07,3900.64
2005-01-26,3946.26
2005-02-14,4001.97
2005-03-04,4171.74
2005-03-23,4293.72
2005-04-11,4166.34
2005-04-29,3909.48
2005-05-18,3967.68
2005-06-06,4188.34
2005-06-27,4310.49
2005-07-13,4400.57
2005-08-01,4610.6
2005-08-22,4237.95
2005-09-07,4173.84
2005-09-26,4079.83
2005-10-17,4300.46
2005-11-09,4177.77
2005-11-21,4223.71
2005-12-12,4671.74
2005-12-29,4592.39
2006-01-17,4854.61
2006-02-06,5046.28
2006-02-23,5042.69
2006-03-14,5139.08
2006-04-03,5502.26
2006-04-20,6103.28
2006-05-09,6519.71
2006-05-29,5749.11
2006-06-15,5345.09
2006-07-04,5868.73
2006-07-24,5771.38
2006-08-11,6247.69
2006-08-29,6352.53
2006-09-18,6409.55
2006-10-06,6725.42
2006-10-30,6970.1
2006-11-13,7184.76
2006-12-01,7590.76
2006-12-20,7681.47
2007-01-08,7871.66
2007-01-26,7574.37
2007-02-14,7495.79
2007-03-05,7232.01
2007-03-23,7757.97
2007-04-11,8343.86
2007-04-30,8650.46
2007-05-21,9221.79
2007-06-06,9417.26
2007-06-25,9640.59
2007-07-16,10440.0
2007-08-02,10530.0
2007-08-20,9461.5
2007-09-10,10270.0
2007-09-27,11070.0
2007-10-18,12300.0
