tanggal,data
2007-10-03,1002.58
2007-10-18,1009.08
2007-10-29,1006.04
2007-11-12,989.23
2007-11-26,953.18
2007-12-07,987.96
2007-12-26,983.24
2008-01-02,986.14
2008-01-15,995.39
2008-01-28,995.69
2008-02-11,997.33
2008-02-25,997.7
2008-03-10,996.84
2008-03-24,983.48
2008-04-02,958.17
2008-04-15,957.45
2008-04-28,937.54
2008-05-12,940.45
2008-05-26,940.89
2008-06-06,936.75
2008-06-19,937.03
2008-07-02,940.29
2008-07-15,958.7
2008-07-28,974.14
2008-08-11,974.18
2008-08-22,971.21
2008-09-04,977.25
2008-09-17,947.98
2008-10-06,950.69
2008-10-13,901.11
2008-10-27,849.58
2008-11-10,919.73
2008-11-21,890.38
2008-12-04,942.3
2008-12-17,975.1
2008-12-30,988.52
2009-01-12,992.76
2009-01-27,1002.08
2009-02-09,1007.21
2009-02-20,981.0
2009-03-05,989.95
2009-03-18,1014.0
2009-03-31,1019.1
2009-04-13,1041.29
2009-04-27,1043.44
2009-05-11,1068.76
2009-05-22,1087.95
2009-06-04,1134.7
2009-06-17,1087.18
2009-06-30,1099.97
2009-07-13,1134.62
2009-07-27,1151.05
2009-08-07,1142.09
2009-08-20,1133.38
2009-09-02,1149.12
2009-09-15,1157.34
2009-09-28,1179.99
2009-10-12,1194.38
2009-10-26,1194.24
2009-11-06,1187.22
2009-11-19,1191.54
2009-12-02,1200.33
2009-12-15,1217.71
2009-12-28,1215.32
2010-01-11,1247.54
2010-01-25,1246.22
2010-02-05,1246.51
2010-02-18,1247.89
2010-03-03,1262.41
2010-03-17,1289.0
2010-03-29,1300.45
2010-04-12,1324.37
2010-04-26,1347.54
2010-05-07,1299.1
2010-05-20,1345.65
2010-06-02,1327.54
2010-06-15,1341.07
2010-06-28,1377.82
2010-07-12,1379.13
2010-07-26,1389.93
2010-08-05,1424.67
2010-08-18,1412.82
2010-08-31,1415.65
2010-09-15,1434.13
2010-09-27,1455.16
2010-10-11,1510.96
2010-10-22,1504.16
2010-11-04,1492.46
2010-11-18,1451.66
2010-11-30,1455.86
2010-12-13,1465.47
2010-12-27,1429.87
2011-01-10,1443.45
2011-01-21,1327.13
2011-02-04,1385.76
2011-02-16,1372.3
2011-03-01,1395.74
2011-03-14,1431.36
2011-03-28,1462.39
2011-04-11,1508.4
2011-04-25,1513.84
2011-05-05,1521.1
2011-05-18,1529.59
2011-05-31,1540.56
2011-06-13,1550.24
2011-06-27,1547.16
2011-07-11,1573.95
2011-07-21,1576.34
2011-08-03,1609.88
2011-08-16,1623.48
2011-09-05,1640.26
2011-09-12,1691.84
2011-09-26,1639.84
2011-10-07,1687.68
2011-10-20,1746.44
2011-11-02,1739.32
2011-11-15,1751.75
2011-11-28,1701.99
2011-12-12,1759.1
2011-12-27,1778.69
2012-01-06,1777.13
2012-01-19,1819.01
2012-02-01,1858.75
2012-02-14,1889.63
2012-02-27,1825.01
2012-03-12,1809.85
2012-03-26,1809.66
2012-04-09,1810.7
2012-04-19,1814.31
2012-05-02,1806.9
2012-05-15,1763.12
2012-05-28,1747.64
2012-06-11,1763.46
2012-06-25,1792.64
2012-07-06,1818.02
2012-07-18,1851.93
2012-07-31,1870.56
2012-08-13,1849.26
2012-08-27,1830.34
2012-09-10,1851.54
2012-09-21,1855.73
2012-10-04,1866.59
2012-10-17,1879.37
2012-10-30,1886.06
2012-11-12,1918.34
2012-11-26,1936.15
2012-12-10,1935.87
2012-12-21,1951.05
2013-01-03,1958.38
2013-01-16,1932.63
2013-01-29,1942.2
2013-02-11,1938.64
2013-02-25,1950.56
2013-03-11,1953.24
2013-03-22,1942.61
2013-04-04,1923.19
2013-04-17,1937.58
2013-04-30,1942.68
2013-05-13,1948.73
2013-05-27,1906.91
2013-06-10,1852.3
2013-06-21,1778.47
2013-07-04,1741.79
2013-07-16,1646.23
2013-07-29,1677.64
2013-08-12,1716.34
2013-08-26,1607.68
2013-09-06,1576.57
2013-09-19,1698.09
2013-10-02,1665.82
2013-10-16,1708.62
2013-10-28,1811.58
2013-11-11,1665.76
2013-11-25,1616.65
2013-12-06,1603.85
2013-12-19,1641.36
2014-01-02,1649.65
2014-01-15,1639.6
2014-01-27,1585.59
2014-02-10,1584.79
2014-02-24,1660.01
2014-03-07,1706.89
2014-03-20,1717.57
2014-04-02,1744.03
2014-04-15,1748.5
2014-04-28,1746.65
2014-05-12,1735.95
2014-05-26,1738.29
2014-06-06,1740.69
2014-06-19,1742.91
2014-07-02,1735.41
2014-07-14,1738.24
2014-08-04,1752.49
2014-08-11,1736.89
2014-08-22,1738.07
2014-09-04,1772.88
2014-09-17,1758.34
2014-09-30,1742.51
2014-10-13,1745.19
2014-10-27,1796.17
2014-11-10,1801.94
2014-11-21,1825.73
2014-12-04,1830.79
2014-12-17,1765.11
2014-12-30,1827.72
2015-01-12,1851.95
2015-01-26,1930.5
2015-02-09,1949.52
2015-02-20,1947.64
2015-03-05,1938.65
2015-03-18,1928.42
2015-03-31,1932.0
2015-04-13,1949.2
2015-04-27,1910.88
2015-05-11,1846.18
2015-05-22,1868.14
2015-06-04,1841.61
2015-06-17,1810.5
2015-06-30,1853.95
2015-07-13,1861.82
2015-07-27,1861.64
2015-08-07,1830.4
2015-08-20,1807.08
2015-09-02,1798.51
2015-09-15,1752.37
2015-09-28,1733.67
2015-10-12,1848.69
2015-10-26,1838.03
2015-11-06,1840.3
2015-11-19,1855.8
2015-12-02,1877.02
2015-12-15,1816.56
2015-12-28,1847.54
2016-01-11,1846.54
2016-01-25,1893.26
2016-02-05,1931.72
2016-02-18,1935.38
2016-03-02,1922.68
2016-03-15,1966.78
2016-03-28,1971.2
2016-04-11,2004.99
2016-04-25,2014.34
2016-05-09,2004.41
2016-05-19,2005.58
2016-06-01,2004.33
2016-06-14,2024.32
2016-06-27,2021.74
2016-07-11,2079.17
2016-07-22,2088.44
2016-08-04,2111.59
2016-08-18,2122.04
2016-08-30,2093.96
2016-09-13,2113.78
2016-09-26,2128.23
2016-10-10,2111.24
2016-10-21,2099.7
2016-11-03,2071.75
2016-11-16,2003.47
2016-11-29,1991.78
2016-12-13,2042.81
2016-12-27,2028.8
2017-01-09,2039.42
2017-01-20,2053.38
2017-02-02,2040.5
2017-02-16,2054.22
2017-02-28,2061.98
2017-03-13,2080.94
2017-03-27,2123.32
2017-04-10,2131.43
2017-04-21,2137.83
2017-05-04,2147.01
2017-05-17,2147.76
2017-05-30,2168.59
2017-06-12,2175.72
2017-07-03,2184.45
2017-07-07,2155.3
2017-07-20,2185.85
2017-08-02,2192.54
2017-08-15,2200.74
2017-08-28,2218.9
2017-09-11,2263.57
2017-09-25,2271.41
2017-10-06,2248.47
2017-10-19,2245.02
2017-11-01,2235.14
2017-11-14,2250.29
2017-11-27,2264.51
2017-12-11,2275.35
2017-12-27,2290.83
2018-01-05,2321.94
2018-01-18,2327.84
2018-01-31,2313.02
2018-02-13,2304.19
2018-02-26,2295.8
2018-03-12,2260.78
2018-03-26,2272.05
2018-04-06,2307.36
2018-04-19,2299.68
2018-05-02,2266.51
2018-05-15,2245.34
2018-05-28,2237.33
2018-06-20,2241.1
2018-06-25,2195.86
2018-07-05,2173.96
2018-07-18,2194.29
2018-07-31,2186.25
2018-08-13,2181.11
2018-08-27,2186.97
2018-09-10,2113.46
2018-09-21,2152.55
2018-10-04,2144.38
2018-10-17,2116.03
2018-10-30,2122.63
2018-11-12,2176.62
2018-11-26,2206.53
2018-12-10,2190.54
2018-12-21,2215.17
2019-01-03,2208.14
2019-01-16,2207.04
2019-01-29,2209.83
2019-02-11,2241.97
2019-02-25,2252.32
2019-03-11,2255.08
2019-03-22,2299.15
2019-04-04,2300.34
2019-04-18,2308.25
2019-04-30,2279.78
2019-05-13,2255.04
2019-05-27,2278.72
2019-06-10,2302.48
2019-06-21,2359.0
2019-07-03,2391.28
2019-07-16,2427.5
2019-07-29,2410.45
2019-08-12,2394.98
2019-08-26,2405.7
2019-09-06,2401.17
2019-09-19,2418.97
2019-10-02,2417.95
2019-10-15,2430.43
2019-10-28,2457.45
2019-11-11,2476.07
2019-11-25,2467.75
2019-12-06,2464.44
2019-12-19,2446.89
2020-01-02,2480.0
2020-01-14,2499.87
2020-01-27,2528.95
2020-02-03,2520.93
2020-02-05,2530.83
2020-02-10,2539.86
2020-02-13,2554.11
2020-02-17,2554.76
2020-02-20,2562.81
2020-02-24,2557.55
2020-02-28,2513.1
2020-03-03,2518.37
2020-03-06,2548.14
2020-03-10,2514.31
2020-03-16,2471.81
2020-03-18,2443.53
2020-03-19,2389.57
2020-03-23,2366.73
2020-03-26,2379.98
2020-03-30,2401.86
2020-04-01,2396.26
2020-04-02,2385.95
2020-04-06,2381.3
2020-04-09,2390.3
2020-04-13,2394.48
2020-04-14,2397.75
2020-04-17,2418.29
2020-04-20,2435.61
2020-04-24,2430.69
2020-04-27,2415.01
2020-04-28,2411.39
2020-05-04,2417.26
2020-05-05,2409.62
2020-05-11,2407.99
2020-05-13,2426.46
2020-05-18,2453.32
2020-05-20,2473.71
2020-05-26,2488.79
2020-05-28,2491.66
2020-06-02,2514.38
2020-06-04,2524.9
2020-06-05,2519.66
2020-06-08,2508.59
2020-06-12,2510.73
2020-06-15,2510.59
2020-06-18,2521.17
2020-06-19,2520.12
2020-06-23,2524.18
2020-06-29,2527.27
2020-06-30,2531.73
2020-07-06,2531.66
2020-07-08,2540.8
2020-07-13,2549.36
2020-07-15,2550.86
2020-07-20,2554.35
2020-07-23,2581.74
2020-07-27,2579.48
2020-07-30,2589.16
2020-08-03,2587.72
2020-08-07,2597.75
2020-08-10,2599.1
2020-08-14,2606.42
2020-08-18,2613.73
2020-08-24,2621.52
2020-08-25,2625.4
2020-08-31,2617.41
2020-09-02,2613.9
2020-09-03,2612.93
2020-09-07,2617.39
2020-09-09,2617.15
2020-09-14,2615.15
2020-09-16,2616.7
2020-09-17,2615.56
2020-09-21,2619.57
2020-09-24,2613.99
2020-09-28,2614.08
2020-09-29,2611.86
2020-10-02,2609.96
2020-10-05,2611.75
2020-10-09,2612.28
2020-10-12,2615.26
2020-10-13,2617.51
2020-10-19,2636.8
2020-10-20,2640.46
2020-10-26,2646.05
2020-11-02,2647.24
2020-11-04,2646.01
2020-11-09,2679.4
2020-11-12,2669.79
2020-11-16,2682.89
2020-11-19,2694.75
2020-11-20,2692.15
2020-11-23,2694.06
2020-11-27,2704.74
2020-12-01,2709.34
2020-12-03,2707.05
2020-12-04,2709.04
2020-12-08,2710.74
2020-12-14,2719.82
2020-12-15,2719.58
2020-12-16,2729.38
2020-12-21,2725.71
2020-12-23,2725.59
2020-12-28,2738.9
2020-12-29,2744.03
2020-12-30,2736.62
2021-01-04,2736.54
2021-01-07,2723.98
2021-01-11,2707.09
2021-01-14,2705.3
2021-01-18,2705.63
2021-01-22,2699.79
2021-01-25,2700.3
2021-01-26,2702.39
2021-01-29,2710.95
