tanggal,data
2018-12-03,1004.34
2018-12-10,990.23
2018-12-13,1001.29
2018-12-17,984.73
2018-12-26,986.63
2019-01-02,995.35
2019-01-07,1011.99
2019-01-09,1009.45
2019-01-14,1019.44
2019-01-18,1047.7
2019-01-23,1038.3
2019-01-28,1030.14
2019-02-01,1055.14
2019-02-06,1046.41
2019-02-11,1037.35
2019-02-15,1005.37
2019-02-20,1025.69
2019-02-25,1028.1
2019-03-01,1015.41
2019-03-05,1004.89
2019-03-11,994.09
2019-03-15,1013.16
2019-03-19,1022.87
2019-03-25,1010.18
2019-03-29,1035.6
2019-04-02,1035.97
2019-04-08,1042.73
2019-04-11,1037.36
2019-04-16,1047.98
2019-04-22,1044.3
2019-04-25,1036.64
2019-04-30,1046.64
2019-05-06,1008.01
2019-05-09,989.67
2019-05-14,970.74
2019-05-20,940.71
2019-05-23,968.88
2019-05-27,990.99
2019-06-10,1036.86
2019-06-17,1022.05
2019-06-19,1053.15
2019-06-24,1040.8
2019-07-01,1065.51
2019-07-03,1062.43
2019-07-08,1050.98
2019-07-15,1072.77
2019-07-17,1067.53
2019-07-22,1067.69
2019-07-26,1050.3
2019-07-31,1057.05
2019-08-05,1015.91
2019-08-09,1029.77
2019-08-14,1028.81
2019-08-19,1018.66
2019-08-23,1014.93
2019-08-28,1019.42
2019-09-02,1024.83
2019-09-06,1021.24
2019-09-10,1023.58
2019-09-16,1017.71
2019-09-20,1014.81
2019-09-24,1003.76
2019-09-30,1009.45
2019-10-03,973.65
2019-10-08,977.14
2019-10-14,988.97
2019-10-17,998.53
2019-10-22,1011.72
2019-10-28,1020.1
2019-10-31,1015.05
2019-11-05,1027.84
2019-11-11,1001.08
2019-11-14,986.74
2019-11-19,1005.98
2019-11-25,990.83
2019-11-28,972.04
2019-12-02,1004.14
2019-12-09,1011.73
2019-12-12,1000.4
2019-12-16,1015.43
2019-12-23,1039.91
2019-12-26,1041.21
2019-12-30,1036.63
2020-01-06,1034.27
2020-01-08,1024.94
2020-01-13,1046.8
2020-01-20,1042.89
2020-01-22,1044.84
2020-01-27,1030.82
2020-01-31,990.39
2020-02-03,982.91
2020-02-05,1007.23
2020-02-10,1002.28
2020-02-13,988.74
2020-02-14,986.31
