tanggal,data
2008-05-26,1082.98
2008-06-06,1089.55
2008-06-18,1071.43
2008-06-30,1072.67
2008-07-14,1030.27
2008-07-25,1002.97
2008-08-07,955.45
2008-08-19,890.6
2008-09-01,957.83
2008-09-15,730.07
2008-09-26,762.1
2008-10-08,550.66
2008-10-21,547.17
2008-11-03,525.33
2008-11-17,476.24
2008-11-27,457.7
2008-12-10,501.28
2008-12-22,513.05
2009-01-05,556.31
2009-01-16,527.38
2009-01-29,512.31
2009-02-10,524.62
2009-02-23,524.08
2009-03-10,512.41
2009-03-20,516.64
2009-04-01,568.49
2009-04-14,653.29
2009-04-27,670.29
2009-05-11,863.72
2009-05-22,904.46
2009-06-03,973.31
2009-06-15,981.43
2009-06-29,974.15
2009-07-10,968.79
2009-07-23,1022.59
2009-08-04,1132.55
2009-08-18,1145.12
2009-08-31,1129.11
2009-09-10,1159.63
2009-09-24,1181.18
2009-10-05,1186.62
2009-10-19,1215.11
2009-10-30,1126.4
2009-11-12,1147.95
2009-11-24,1176.13
2009-12-07,1157.35
2009-12-21,1119.35
2010-01-04,1191.27
2010-01-14,1275.46
2010-01-26,1230.02
2010-02-08,1180.12
2010-02-22,1219.11
2010-03-04,1234.21
2010-03-17,1320.58
2010-03-29,1335.84
2010-04-12,1385.69
2010-04-23,1420.15
2010-05-06,1338.31
2010-05-18,1341.62
2010-06-01,1270.55
2010-06-14,1301.89
2010-06-25,1339.91
2010-07-07,1318.93
2010-07-20,1358.3
2010-08-02,1403.32
2010-08-16,1398.27
2010-08-26,1453.59
2010-09-15,1535.5
2010-09-20,1548.02
2010-10-04,1630.36
2010-10-15,1678.33
2010-10-28,1686.72
2010-11-09,1737.53
2010-11-22,1706.34
2010-12-06,1728.98
2010-12-16,1635.68
2010-12-29,1707.25
2011-01-10,1624.22
2011-01-24,1539.85
2011-02-04,1592.7
2011-02-17,1548.78
2011-03-01,1577.62
2011-03-14,1598.18
2011-03-28,1637.39
2011-04-08,1690.9
2011-04-20,1704.06
2011-05-03,1715.32
2011-05-16,1723.39
2011-05-30,1725.17
2011-06-09,1714.71
2011-06-22,1710.1
2011-07-04,1744.95
2011-07-18,1769.49
2011-07-29,1859.49
2011-08-11,1731.67
2011-08-23,1743.18
2011-09-05,1723.92
2011-09-19,1666.82
2011-09-30,1527.98
2011-10-12,1557.67
2011-10-25,1616.68
2011-11-07,1641.19
2011-11-21,1575.19
2011-12-01,1600.78
2011-12-14,1607.67
2011-12-27,1609.3
2012-01-09,1657.3
2012-01-20,1706.56
2012-02-01,1726.13
2012-02-14,1754.45
2012-02-27,1730.04
2012-03-12,1796.72
2012-03-22,1821.91
2012-04-04,1858.65
2012-04-16,1875.49
2012-04-30,1914.79
2012-05-11,1882.16
2012-05-24,1830.65
2012-06-05,1697.34
2012-06-18,1761.79
2012-07-02,1830.99
2012-07-13,1843.58
2012-07-25,1842.49
2012-08-07,1849.96
2012-08-23,1857.16
2012-09-03,1815.93
2012-09-13,1838.53
2012-09-26,1867.77
2012-10-08,1898.93
2012-10-22,1951.73
2012-11-02,1964.04
2012-11-19,1950.1
2012-11-27,1969.63
2012-12-10,1988.85
2012-12-26,1985.96
2013-01-04,2045.85
2013-01-16,2019.74
2013-01-29,2023.68
2013-02-11,2033.29
2013-02-25,2103.33
2013-03-07,2212.61
2013-03-19,2226.38
2013-04-01,2281.2
2013-04-15,2241.68
2013-04-26,2297.32
2013-05-08,2346.5
2013-05-21,2388.78
2013-06-03,2341.04
2013-06-17,2256.67
2013-06-27,2172.37
2013-07-10,2025.04
2013-07-22,2109.17
2013-08-12,2045.45
2013-08-16,2047.13
2013-08-29,1815.53
2013-09-10,1882.01
2013-09-23,1989.13
2013-10-07,1883.92
2013-10-18,1958.48
2013-10-30,1995.68
2013-11-12,1883.49
2013-11-25,1858.26
2013-12-09,1834.54
2013-12-19,1820.68
2014-01-02,1854.81
2014-01-13,1887.21
2014-01-27,1861.88
2014-02-07,1927.99
2014-02-20,1983.68
2014-03-04,2013.64
2014-03-17,2143.9
2014-04-01,2133.72
2014-04-11,2090.77
2014-04-23,2123.24
2014-05-06,2113.67
2014-05-19,2173.17
2014-05-30,2153.09
2014-06-12,2171.95
2014-06-24,2131.04
2014-07-07,2197.28
2014-07-21,2270.54
2014-08-04,2257.07
