tanggal,data
2020-02-03,1426.72
2020-02-05,1427.13
2020-02-10,1428.4
2020-02-13,1429.32
2020-02-17,1430.24
2020-02-20,1430.95
2020-02-24,1432.07
2020-02-28,1433.22
2020-03-03,1433.96
2020-03-06,1434.67
2020-03-10,1435.6
2020-03-16,1436.11
2020-03-18,1437.79
2020-03-23,1439.1
2020-03-26,1439.48
2020-03-30,1440.66
2020-04-02,1440.97
2020-04-06,1441.74
2020-04-09,1442.41
2020-04-13,1443.44
2020-04-17,1444.68
2020-04-20,1445.31
2020-04-24,1446.35
2020-04-28,1446.84
2020-05-04,1448.16
2020-05-05,1448.36
2020-05-11,1449.22
2020-05-13,1449.71
2020-05-18,1450.72
2020-05-20,1451.09
2020-05-26,1452.26
2020-05-28,1452.7
2020-06-02,1453.41
2020-06-04,1453.91
2020-06-08,1454.86
2020-06-12,1455.87
2020-06-15,1455.03
2020-06-19,1457.13
2020-06-23,1457.99
2020-06-29,1459.27
2020-06-30,1459.47
2020-07-06,1460.7
2020-07-08,1461.11
2020-07-13,1462.15
2020-07-15,1462.64
2020-07-20,1463.61
2020-07-23,1464.29
2020-07-27,1465.16
2020-07-30,1465.73
2020-08-03,1466.39
2020-08-07,1467.2
2020-08-10,1467.82
2020-08-14,1468.66
2020-08-18,1469.49
2020-08-24,1470.7
2020-08-25,1470.89
2020-08-31,1472.13
2020-09-02,1472.68
2020-09-07,1473.78
2020-09-09,1474.09
2020-09-14,1475.09
2020-09-17,1475.72
2020-09-21,1476.53
2020-09-24,1478.1
2020-09-28,1478.91
2020-10-02,1479.5
2020-10-05,1480.24
2020-10-09,1481.42
2020-10-13,1482.92
2020-10-19,1484.28
2020-10-20,1484.5
2020-10-26,1485.88
2020-11-02,1487.12
2020-11-04,1487.64
2020-11-09,1488.66
2020-11-12,1489.25
2020-11-16,1490.05
2020-11-19,1490.72
2020-11-23,1491.4
2020-11-27,1492.2
2020-12-01,1492.98
2020-12-04,1493.52
2020-12-08,1494.28
2020-12-14,1495.23
2020-12-15,1495.46
2020-12-21,1496.61
2020-12-23,1496.91
2020-12-28,1497.82
2020-12-30,1499.34
2021-01-04,1500.07
2021-01-07,1500.57
2021-01-11,1501.22
2021-01-14,1501.74
2021-01-18,1502.23
2021-01-22,1502.9
2021-01-26,1503.54
2021-01-29,1504.14
2021-02-02,1504.82
2021-02-08,1505.9
2021-02-10,1506.24
2021-02-15,1507.35
2021-02-17,1507.72
2021-02-22,1508.64
2021-02-24,1508.92
2021-03-01,1509.89
2021-03-04,1510.45
2021-03-08,1511.06
2021-03-12,1511.75
2021-03-15,1512.23
2021-03-19,1512.86
2021-03-23,1513.54
2021-03-26,1514.07
2021-03-30,1515.67
2021-04-05,1517.04
2021-04-07,1517.3
2021-04-12,1517.99
2021-04-14,1518.28
2021-04-19,1519.02
2021-04-22,1519.61
2021-04-26,1520.29
2021-04-29,1520.83
2021-05-03,1521.47
2021-05-06,1522.03
2021-05-10,1522.65
2021-05-17,1523.83
2021-05-18,1524.0
2021-05-21,1524.95
2021-05-25,1525.33
2021-05-31,1526.17
