tanggal,data
2018-09-10,1003.24
2018-09-14,1004.05
2018-09-19,1004.35
2018-09-24,1003.27
2018-10-01,1006.11
2018-10-03,1007.4
2018-10-08,1008.03
2018-10-15,1009.18
2018-10-18,1009.73
2018-10-22,1010.27
2018-10-29,1011.08
2018-11-01,1011.25
2018-11-06,1014.88
2018-11-12,1009.23
2018-11-15,1019.25
2018-11-21,1018.4
2018-11-26,1017.12
2018-11-30,1015.9
2018-12-04,1012.52
2018-12-10,1007.7
2018-12-14,1006.95
2018-12-19,1002.43
2018-12-26,996.66
2018-12-28,995.92
2019-01-02,996.58
2019-01-07,997.43
2019-01-14,998.61
2019-01-17,999.11
2019-01-21,999.79
2019-01-28,1000.95
2019-01-31,1001.42
2019-02-06,1002.35
2019-02-11,1003.14
2019-02-14,1002.28
2019-02-19,1003.14
2019-02-25,1004.28
2019-03-01,1004.87
2019-03-05,1005.76
2019-03-11,1006.63
2019-03-15,1007.22
2019-03-20,1008.04
2019-03-25,1008.84
2019-03-29,1009.42
2019-04-04,1010.35
2019-04-08,1011.03
2019-04-15,1012.08
2019-04-18,1012.6
2019-04-22,1013.26
2019-04-29,1014.38
2019-05-02,1014.84
2019-05-07,1015.62
2019-05-13,1016.44
2019-05-16,1016.17
2019-05-21,1016.6
2019-05-27,1016.31
2019-05-31,1016.93
2019-06-10,1017.34
2019-06-14,1017.96
2019-06-19,1018.73
2019-06-24,1019.5
2019-06-28,1009.15
2019-07-03,1010.17
2019-07-08,1010.71
2019-07-15,1013.0
2019-07-17,1013.31
2019-07-22,1014.22
2019-07-29,1014.81
2019-08-01,1015.03
2019-08-05,1015.25
2019-08-12,1016.68
2019-08-15,1016.94
2019-08-20,1018.2
2019-08-26,1019.19
2019-08-29,1021.18
2019-09-03,1023.22
2019-09-09,1023.99
2019-09-13,1024.71
2019-09-17,1025.39
2019-09-23,1026.42
2019-09-27,1027.35
2019-10-02,1028.67
2019-10-07,1029.65
2019-10-11,1030.48
2019-10-16,1031.32
2019-10-21,1032.21
2019-10-28,1033.66
2019-10-31,1034.52
2019-11-04,1035.25
2019-11-11,1036.57
2019-11-14,1036.85
2019-11-19,1037.44
2019-11-25,1038.26
2019-11-28,1038.64
2019-12-03,1039.37
2019-12-09,1043.04
2019-12-13,1043.73
2019-12-17,1044.28
2019-12-23,1044.97
2019-12-27,1045.61
2020-01-02,1076.99
2020-01-06,1077.43
2020-01-10,1077.9
2020-01-15,1078.52
2020-01-20,1079.13
2020-01-27,1081.03
2020-01-29,1081.81
2020-02-03,1083.4
2020-02-05,1084.17
2020-02-10,1086.05
2020-02-13,1087.18
2020-02-17,1088.74
2020-02-18,1089.13
2020-02-20,1089.95
2020-02-24,1090.37
2020-02-27,1090.74
2020-02-28,1090.81
2020-03-03,1091.27
2020-03-06,1091.54
2020-03-09,1091.64
2020-03-10,1092.26
2020-03-12,1093.48
2020-03-16,1094.26
2020-03-17,1094.5
2020-03-18,1094.13
2020-03-23,1093.84
2020-03-26,1094.6
2020-03-27,1095.17
2020-03-30,1095.49
2020-04-01,1095.52
2020-04-02,1094.65
2020-04-06,1095.0
2020-04-09,1095.32
2020-04-13,1096.09
2020-04-15,1096.61
2020-04-17,1096.25
2020-04-20,1096.63
2020-04-24,1096.84
2020-04-28,1097.04
2020-04-29,1097.12
2020-05-04,1097.33
2020-05-05,1097.43
2020-05-11,1098.26
2020-05-13,1098.71
2020-05-14,1098.53
2020-05-18,1098.85
2020-05-20,1099.38
2020-05-26,1100.29
2020-05-28,1100.46
2020-06-02,1101.19
2020-06-04,1101.72
2020-06-08,1101.96
2020-06-11,1102.22
2020-06-12,1102.5
2020-06-15,1102.95
2020-06-16,1103.08
2020-06-19,1103.49
2020-06-22,1104.09
2020-06-23,1104.28
2020-06-26,1104.72
2020-06-29,1105.29
2020-06-30,1105.44
2020-07-06,1105.74
2020-07-08,1105.97
2020-07-10,1106.22
2020-07-13,1106.56
2020-07-15,1106.8
2020-07-20,1107.37
2020-07-23,1107.97
2020-07-24,1108.05
2020-07-27,1108.37
2020-07-29,1108.54
2020-07-30,1108.76
2020-08-03,1109.06
2020-08-07,1109.61
2020-08-10,1110.01
2020-08-12,1110.36
2020-08-14,1110.55
2020-08-18,1111.03
2020-08-24,1111.69
2020-08-25,1111.79
2020-08-27,1111.83
2020-08-31,1112.47
2020-09-01,1112.65
2020-09-02,1112.68
2020-09-07,1113.49
2020-09-09,1113.66
2020-09-10,1113.72
2020-09-14,1114.2
2020-09-15,1114.25
2020-09-17,1114.54
2020-09-21,1114.74
2020-09-24,1115.04
2020-09-25,1115.17
2020-09-28,1115.45
2020-09-29,1115.55
2020-10-02,1115.68
2020-10-05,1116.05
2020-10-09,1118.79
2020-10-13,1119.56
2020-10-14,1119.67
2020-10-19,1120.39
2020-10-20,1120.53
2020-10-23,1121.53
2020-10-26,1122.02
2020-11-02,1122.95
2020-11-04,1123.37
2020-11-09,1124.0
2020-11-11,1124.28
2020-11-12,1124.38
2020-11-16,1124.89
2020-11-19,1125.29
2020-11-23,1125.77
2020-11-26,1126.06
2020-11-27,1126.2
2020-12-01,1126.62
2020-12-04,1127.07
2020-12-07,1127.46
2020-12-08,1127.76
2020-12-10,1127.85
2020-12-14,1128.19
2020-12-15,1128.55
2020-12-21,1129.43
2020-12-23,1129.72
2020-12-28,1130.21
2020-12-29,1130.26
2020-12-30,1131.37
2021-01-04,1131.79
2021-01-07,1132.19
2021-01-08,1132.31
2021-01-11,1132.65
2021-01-13,1132.94
2021-01-14,1133.03
2021-01-18,1133.28
2021-01-22,1133.76
2021-01-26,1134.15
2021-01-27,1134.27
2021-01-29,1134.5
2021-02-01,1134.74
2021-02-02,1134.86
2021-02-05,1135.19
2021-02-08,1135.46
2021-02-10,1135.72
2021-02-15,1136.2
2021-02-17,1136.43
2021-02-22,1137.1
2021-02-24,1137.34
2021-02-25,1137.45
2021-03-01,1138.11
2021-03-04,1138.52
2021-03-08,1138.99
2021-03-12,1139.49
2021-03-15,1139.82
2021-03-16,1139.96
2021-03-19,1140.64
2021-03-22,1140.88
2021-03-23,1141.13
2021-03-25,1141.41
2021-03-26,1141.56
2021-03-30,1142.08
2021-04-05,1142.92
2021-04-07,1143.28
2021-04-09,1143.63
2021-04-12,1143.96
2021-04-13,1144.06
2021-04-14,1144.13
2021-04-19,1144.83
2021-04-22,1145.09
2021-04-23,1145.16
2021-04-26,1145.55
2021-04-28,1145.69
2021-04-29,1145.78
2021-05-03,1146.31
2021-05-06,1147.44
2021-05-07,1147.58
2021-05-10,1147.95
2021-05-17,1148.88
2021-05-18,1149.04
2021-05-21,1149.58
2021-05-24,1149.96
2021-05-25,1150.1
2021-05-27,1150.24
2021-05-31,1150.69
2021-06-02,1150.94
2021-06-07,1151.36
2021-06-09,1151.52
2021-06-10,1151.53
2021-06-14,1152.18
