tanggal,data
2018-01-30,2569.2
2018-02-05,2583.56
2018-02-09,2570.68
2018-02-14,2565.4
2018-02-21,2561.15
2018-02-26,2555.68
2018-03-02,2541.93
2018-03-07,2525.54
2018-03-13,2533.01
2018-03-19,2539.56
2018-03-23,2521.43
2018-03-28,2533.17
2018-04-03,2566.06
2018-04-09,2572.42
2018-04-13,2582.59
2018-04-18,2569.95
2018-04-23,2542.96
2018-04-30,2520.39
2018-05-04,2501.6
2018-05-09,2445.87
2018-05-14,2474.48
2018-05-21,2404.53
2018-05-25,2446.16
2018-05-30,2483.69
2018-06-04,2520.09
2018-06-20,2482.07
2018-06-25,2417.66
2018-07-02,2377.39
2018-07-06,2394.08
2018-07-11,2433.11
2018-07-16,2427.53
2018-07-23,2399.41
2018-07-27,2411.47
2018-08-01,2429.11
2018-08-06,2424.22
2018-08-13,2409.44
2018-08-20,2399.37
2018-08-23,2408.99
2018-08-27,2415.52
2018-09-03,2360.99
2018-09-07,2311.11
2018-09-12,2296.53
2018-09-17,2310.96
2018-09-24,2357.18
2018-09-28,2385.3
2018-10-03,2377.39
2018-10-08,2336.12
2018-10-15,2291.72
2018-10-19,2319.65
2018-10-24,2324.53
2018-10-29,2324.62
2018-11-05,2378.78
2018-11-09,2407.62
2018-11-14,2397.58
2018-11-19,2408.57
2018-11-26,2430.61
2018-11-30,2441.22
2018-12-05,2435.54
2018-12-10,2411.06
2018-12-17,2416.54
2018-12-20,2432.2
2018-12-26,2442.97
2019-01-02,2442.72
2019-01-07,2462.21
2019-01-10,2462.3
2019-01-16,2455.72
2019-01-21,2452.48
2019-01-28,2458.92
2019-01-31,2472.97
2019-02-06,2520.72
2019-02-11,2488.27
2019-02-18,2473.28
2019-02-21,2495.81
2019-02-27,2508.89
2019-03-04,2510.21
2019-03-11,2502.28
2019-03-14,2521.73
2019-03-20,2546.41
2019-03-25,2553.97
2019-04-01,2564.4
2019-04-04,2564.51
2019-04-10,2555.84
2019-04-15,2555.41
2019-04-22,2564.08
2019-04-25,2551.85
2019-04-30,2540.39
2019-05-06,2510.18
2019-05-13,2484.88
2019-05-16,2475.1
2019-05-21,2468.0
2019-05-27,2504.64
2019-06-10,2533.75
2019-06-11,2543.84
2019-06-17,2550.26
2019-06-24,2595.35
2019-06-27,2610.08
2019-07-02,2622.35
2019-07-08,2633.59
2019-07-15,2650.95
2019-07-18,2650.77
2019-07-23,2637.83
2019-07-29,2630.36
2019-08-05,2577.74
2019-08-08,2614.52
2019-08-13,2596.83
2019-08-19,2619.17
2019-08-26,2618.05
2019-08-29,2601.2
2019-09-03,2601.98
2019-09-09,2615.35
2019-09-16,2608.03
2019-09-19,2617.4
2019-09-24,2604.94
2019-09-30,2602.7
2019-10-07,2598.08
2019-10-10,2597.35
2019-10-15,2617.77
2019-10-21,2629.04
2019-10-28,2648.8
2019-10-31,2644.93
2019-11-05,2652.34
2019-11-11,2654.63
2019-11-18,2646.38
2019-11-21,2640.58
2019-11-26,2638.27
2019-12-02,2624.27
2019-12-09,2633.27
2019-12-12,2614.72
2019-12-17,2600.11
2019-12-23,2635.58
2019-12-27,2642.74
2020-01-02,2654.28
2020-01-07,2650.92
2020-01-13,2678.95
2020-01-17,2680.13
2020-01-23,2712.02
2020-01-28,2707.7
2020-02-03,2706.44
2020-02-05,2716.77
2020-02-07,2734.25
2020-02-10,2732.33
2020-02-13,2741.17
2020-02-17,2744.53
2020-02-18,2745.46
2020-02-20,2749.99
2020-02-24,2744.4
2020-02-28,2690.54
2020-03-03,2690.04
2020-03-05,2754.09
2020-03-06,2741.85
2020-03-10,2688.33
2020-03-16,2630.59
2020-03-18,2599.45
2020-03-20,2540.91
2020-03-23,2520.51
2020-03-26,2538.59
2020-03-30,2563.01
2020-03-31,2564.33
2020-04-02,2540.58
2020-04-06,2544.35
2020-04-09,2558.43
2020-04-13,2564.42
2020-04-16,2572.93
2020-04-17,2580.74
2020-04-20,2596.33
2020-04-21,2601.53
2020-04-24,2596.13
2020-04-27,2584.41
2020-04-28,2582.58
2020-05-04,2586.19
2020-05-05,2578.73
2020-05-06,2570.9
2020-05-11,2574.1
2020-05-12,2585.74
2020-05-13,2594.33
2020-05-18,2617.68
2020-05-20,2642.1
2020-05-26,2653.9
2020-05-27,2666.19
2020-05-28,2657.24
2020-06-02,2675.61
2020-06-04,2691.95
2020-06-08,2673.48
2020-06-12,2677.25
2020-06-15,2677.37
2020-06-17,2686.97
2020-06-19,2687.81
2020-06-23,2692.14
2020-06-29,2695.34
2020-06-30,2699.58
2020-07-03,2695.46
2020-07-06,2696.86
2020-07-08,2706.47
2020-07-13,2715.87
2020-07-14,2713.87
2020-07-15,2717.31
2020-07-20,2721.48
2020-07-23,2758.04
2020-07-24,2754.84
2020-07-27,2752.64
2020-07-29,2761.87
2020-07-30,2766.18
2020-08-03,2765.05
2020-08-04,2765.04
2020-08-07,2771.61
2020-08-10,2773.93
2020-08-14,2780.15
2020-08-18,2787.7
2020-08-19,2790.64
2020-08-24,2791.51
2020-08-25,2794.22
2020-08-31,2770.97
2020-09-02,2760.33
2020-09-04,2758.32
2020-09-07,2761.94
2020-09-09,2761.77
2020-09-14,2756.91
2020-09-17,2758.01
2020-09-21,2762.42
2020-09-24,2756.95
2020-09-25,2757.85
2020-09-28,2759.96
2020-09-30,2754.21
2020-10-02,2758.62
2020-10-05,2761.69
2020-10-09,2759.76
2020-10-12,2758.44
2020-10-13,2761.43
2020-10-16,2780.09
2020-10-19,2788.78
2020-10-20,2793.93
2020-10-21,2800.99
2020-10-26,2800.08
2020-11-02,2805.44
2020-11-04,2803.81
2020-11-06,2847.06
2020-11-09,2861.94
2020-11-11,2848.92
2020-11-12,2846.05
2020-11-16,2863.53
2020-11-19,2881.92
2020-11-23,2878.33
2020-11-27,2888.86
2020-12-01,2893.99
2020-12-02,2893.03
2020-12-04,2893.18
2020-12-07,2896.55
2020-12-08,2896.35
2020-12-14,2916.74
2020-12-15,2921.65
2020-12-18,2956.58
2020-12-21,2940.47
2020-12-23,2941.56
2020-12-28,2951.34
2020-12-30,2952.19
2021-01-04,2958.9
2021-01-07,2935.97
2021-01-08,2917.34
2021-01-11,2906.09
2021-01-13,2899.68
2021-01-14,2897.38
2021-01-18,2895.15
2021-01-22,2882.53
2021-01-25,2882.97
2021-01-26,2884.21
2021-01-29,2896.04
2021-02-02,2919.72
2021-02-03,2925.15
2021-02-08,2913.94
2021-02-10,2904.98
2021-02-15,2905.97
2021-02-17,2884.29
2021-02-19,2853.33
2021-02-22,2836.72
2021-02-24,2853.01
2021-03-01,2823.87
