tanggal,data
2007-05-31,1034.5
2007-07-10,1046.61
2007-07-16,1048.29
2007-07-27,1051.93
2007-08-09,1054.86
2007-08-23,1058.5
2007-09-05,1061.88
2007-09-18,1065.28
2007-10-01,1068.68
2007-10-18,1073.13
2007-10-29,1076.03
2007-11-12,1079.79
2007-11-26,1083.57
2007-12-07,1086.56
2007-12-26,1091.64
2008-01-02,1093.52
2008-01-16,1097.3
2008-01-29,1100.82
2008-02-11,1104.33
2008-02-25,1108.15
2008-03-10,1111.97
2008-03-24,1115.81
2008-04-04,1118.84
2008-04-17,1122.41
2008-05-02,1126.27
2008-05-14,1129.98
2008-05-27,1133.81
2008-06-10,1137.95
2008-06-23,1141.8
2008-07-07,1146.58
2008-07-21,1151.43
2008-08-04,1156.1
2008-08-15,1159.42
2008-08-28,1163.35
2008-09-10,1167.29
2008-09-24,1171.57
2008-10-07,1175.74
2008-10-20,1170.11
2008-11-03,1165.59
2008-11-17,1171.91
2008-12-01,1177.49
2008-12-12,1181.8
2008-12-26,1187.25
2009-01-08,1193.76
2009-01-21,1198.8
2009-02-03,1206.03
2009-02-17,1210.37
2009-03-02,1217.0
2009-03-16,1223.6
2009-03-30,1230.14
2009-04-13,1231.0
2009-04-24,1235.09
2009-05-07,1239.93
2009-05-20,1244.8
2009-06-03,1265.97
2009-06-16,1272.68
2009-06-29,1277.24
2009-07-13,1281.46
2009-07-27,1284.46
2009-08-10,1288.9
2009-08-21,1292.4
2009-09-04,1298.47
2009-09-17,1303.53
2009-09-30,1308.5
2009-10-13,1309.35
2009-10-27,1313.74
2009-11-09,1317.99
2009-11-23,1322.27
2009-12-07,1325.5
2009-12-21,1330.04
2010-01-04,1333.46
2010-01-14,1339.46
2010-01-28,1342.32
2010-02-10,1345.86
2010-02-23,1352.28
2010-03-08,1357.4
2010-03-22,1361.1
2010-04-05,1367.47
2010-04-19,1379.12
2010-04-30,1386.56
2010-05-14,1390.29
2010-05-27,1389.44
2010-06-09,1393.06
2010-06-22,1406.05
2010-07-06,1405.81
2010-07-19,1416.28
2010-08-02,1418.26
2010-08-16,1424.78
2010-08-30,1426.09
2010-09-15,1430.4
2010-09-23,1428.9
2010-10-07,1435.8
2010-10-20,1437.85
2010-11-02,1444.08
2010-11-15,1449.86
2010-11-29,1449.69
2010-12-13,1458.73
2010-12-27,1458.71
2011-01-07,1454.07
2011-01-21,1456.54
2011-02-04,1460.78
2011-02-16,1465.56
2011-03-02,1472.9
2011-03-15,1476.69
2011-03-28,1480.51
2011-04-11,1485.79
2011-04-25,1491.13
2011-05-09,1499.19
2011-05-20,1504.72
2011-06-03,1509.55
2011-06-16,1512.69
2011-06-30,1519.34
2011-07-12,1522.94
2011-07-25,1527.24
2011-08-08,1532.84
2011-08-22,1535.93
2011-09-05,1540.83
2011-09-19,1541.68
2011-09-30,1544.06
2011-10-13,1551.51
2011-10-26,1555.55
2011-11-09,1559.55
2011-11-22,1568.91
2011-12-05,1574.15
2011-12-19,1578.25
2012-01-03,1582.73
2012-01-16,1590.9
2012-01-27,1600.75
2012-02-09,1608.05
2012-02-23,1609.79
2012-03-07,1612.46
2012-03-20,1610.1
2012-04-03,1619.62
2012-04-16,1626.97
2012-04-30,1632.74
2012-05-14,1632.32
2012-05-28,1627.87
2012-06-08,1633.01
2012-06-21,1643.76
2012-07-04,1649.36
2012-07-18,1661.81
2012-07-31,1662.97
2012-08-14,1662.59
2012-08-27,1654.47
2012-09-10,1660.76
2012-09-24,1668.29
2012-10-05,1672.61
2012-10-19,1679.36
2012-11-01,1682.35
2012-11-14,1691.26
2012-11-27,1693.57
2012-12-11,1699.67
2012-12-26,1704.03
2013-01-07,1707.21
2013-01-21,1709.64
2013-02-04,1713.98
2013-02-15,1713.49
2013-02-28,1719.08
2013-03-13,1720.93
2013-03-27,1721.2
2013-04-09,1721.14
2013-04-22,1732.33
2013-05-06,1734.18
2013-05-20,1738.4
2013-06-03,1736.55
2013-06-14,1728.52
2013-06-28,1731.08
2013-07-11,1730.96
2013-07-24,1737.84
2013-08-12,1747.04
2013-08-20,1742.06
2013-09-02,1741.28
2013-09-16,1740.84
2013-09-30,1746.19
2013-10-16,1762.65
2013-10-25,1771.07
2013-11-07,1771.61
2013-11-21,1770.86
2013-12-04,1772.86
2013-12-17,1776.42
2013-12-30,1780.15
2014-01-13,1783.33
2014-01-27,1783.42
2014-02-10,1787.04
2014-02-21,1809.88
2014-03-07,1814.1
2014-03-20,1817.06
2014-04-02,1828.77
2014-04-16,1832.46
2014-04-29,1835.2
2014-05-12,1836.77
2014-05-26,1840.0
2014-06-09,1847.78
2014-06-23,1848.36
2014-07-04,1848.23
2014-07-17,1853.39
2014-08-04,1857.05
2014-08-13,1854.56
2014-08-26,1861.33
2014-09-08,1881.0
2014-09-22,1875.36
2014-10-06,1867.99
2014-10-20,1887.21
2014-11-03,1895.21
2014-11-14,1899.81
2014-11-27,1908.75
2014-12-10,1905.33
2014-12-24,1913.76
2015-01-06,1917.33
2015-01-19,1935.27
2015-02-02,1967.38
2015-02-16,1956.71
2015-03-02,1981.39
2015-03-13,1959.18
2015-03-26,1973.03
2015-04-09,1981.76
2015-04-22,1975.6
2015-05-05,1963.69
2015-05-19,1966.66
2015-06-01,1967.5
2015-06-15,1957.25
2015-06-29,1977.18
2015-07-13,1988.71
2015-07-24,1992.66
2015-08-06,1986.7
2015-08-19,1984.06
2015-09-02,1980.96
2015-09-15,1970.29
2015-09-28,1961.08
2015-10-12,2005.87
2015-10-26,2000.03
2015-11-09,2003.97
2015-11-20,2013.83
2015-12-04,2020.78
2015-12-17,2017.12
2015-12-30,2022.63
2016-01-12,2029.77
2016-01-26,2055.28
2016-02-09,2068.37
2016-02-22,2067.77
2016-03-07,2085.93
2016-03-21,2094.84
2016-04-01,2110.14
2016-04-14,2121.64
2016-04-27,2129.43
2016-05-11,2128.05
2016-05-24,2124.58
2016-06-06,2139.67
2016-06-20,2156.04
2016-07-11,2191.09
2016-07-18,2191.14
2016-07-29,2208.31
2016-08-12,2221.58
2016-08-25,2214.01
2016-09-07,2227.18
2016-09-20,2226.3
2016-10-04,2231.41
2016-10-17,2230.83
2016-10-31,2225.62
2016-11-14,2209.97
2016-11-28,2184.91
2016-12-09,2234.76
2016-12-22,2227.87
2017-01-05,2237.83
2017-01-18,2247.49
2017-01-31,2248.74
2017-02-13,2262.83
2017-02-27,2269.85
2017-03-13,2277.0
2017-03-27,2295.09
2017-04-07,2296.65
2017-04-21,2305.51
2017-05-04,2313.23
2017-05-17,2314.41
2017-05-30,2321.22
2017-06-13,2329.67
2017-07-03,2335.77
2017-07-10,2326.85
2017-07-24,2345.35
2017-08-07,2350.46
2017-08-18,2357.85
2017-08-31,2376.29
2017-09-14,2386.34
2017-09-27,2396.53
2017-10-10,2393.46
2017-10-23,2391.57
2017-11-06,2399.91
2017-11-20,2409.24
2017-12-04,2421.33
2017-12-15,2425.26
2017-12-29,2435.33
2018-01-11,2444.11
2018-01-24,2447.32
2018-02-07,2445.35
2018-02-20,2443.95
2018-03-05,2440.5
2018-03-19,2442.06
2018-04-02,2452.46
2018-04-16,2459.1
2018-04-27,2438.3
2018-05-11,2424.27
2018-05-24,2410.09
2018-06-06,2434.61
2018-06-20,2435.96
2018-07-02,2412.71
2018-07-16,2437.57
2018-07-30,2429.43
2018-08-13,2436.71
2018-08-27,2439.95
2018-09-07,2402.85
2018-09-20,2420.24
2018-10-03,2427.24
2018-10-17,2419.51
2018-10-30,2430.47
2018-11-12,2447.64
2018-11-26,2460.84
2018-12-10,2458.24
2018-12-26,2479.11
2019-01-04,2480.5
2019-01-17,2479.84
2019-01-31,2496.1
2019-02-13,2505.87
2019-02-26,2516.07
2019-03-12,2526.77
2019-03-25,2545.68
2019-04-08,2551.12
2019-04-22,2557.54
2019-05-06,2541.04
2019-05-17,2538.87
2019-05-31,2545.83
2019-06-12,2559.06
2019-06-26,2590.14
2019-07-09,2606.85
2019-07-22,2622.11
2019-08-05,2596.11
2019-08-19,2621.92
2019-09-02,2623.8
2019-09-13,2637.55
2019-09-27,2634.88
2019-10-10,2641.58
2019-10-23,2660.74
2019-11-05,2675.35
2019-11-19,2678.81
2019-12-02,2678.7
2019-12-16,2679.06
2019-12-30,2696.99
2020-01-13,2717.65
2020-01-24,2739.51
2020-02-03,2734.5
2020-02-05,2740.01
2020-02-06,2743.51
2020-02-10,2744.77
2020-02-13,2753.54
2020-02-17,2754.2
2020-02-19,2758.97
2020-02-20,2760.75
2020-02-24,2759.57
2020-02-28,2736.55
2020-03-03,2741.46
2020-03-04,2766.87
2020-03-06,2756.73
2020-03-10,2737.79
2020-03-16,2711.52
2020-03-17,2698.09
2020-03-18,2690.38
2020-03-23,2640.48
2020-03-26,2643.16
2020-03-30,2660.95
2020-04-02,2648.23
2020-04-06,2641.39
2020-04-09,2646.45
2020-04-13,2648.93
2020-04-17,2667.38
2020-04-20,2677.99
2020-04-24,2677.61
2020-04-27,2671.94
2020-04-28,2669.55
2020-05-04,2671.02
2020-05-05,2670.85
2020-05-11,2672.25
2020-05-13,2682.2
2020-05-18,2697.89
2020-05-20,2704.81
2020-05-26,2709.25
2020-05-28,2716.45
2020-06-02,2724.97
2020-06-04,2733.72
2020-06-05,2730.44
2020-06-08,2727.0
2020-06-12,2728.69
2020-06-15,2729.79
2020-06-18,2735.79
2020-06-19,2735.15
2020-06-23,2740.07
2020-06-29,2744.23
2020-06-30,2747.13
2020-07-01,2746.1
2020-07-06,2749.22
2020-07-08,2754.2
2020-07-13,2765.04
2020-07-14,2763.29
2020-07-15,2766.29
2020-07-20,2769.33
2020-07-23,2786.98
2020-07-27,2788.33
2020-07-28,2792.56
2020-07-30,2788.91
2020-08-03,2789.2
2020-08-07,2796.51
2020-08-10,2799.08
2020-08-14,2806.46
2020-08-18,2811.96
2020-08-24,2817.92
2020-08-25,2821.61
2020-08-31,2810.18
2020-09-02,2807.78
2020-09-07,2806.51
2020-09-09,2805.37
2020-09-14,2806.3
2020-09-17,2807.93
2020-09-21,2809.4
2020-09-24,2810.25
2020-09-28,2810.95
2020-10-02,2804.05
2020-10-05,2805.81
2020-10-09,2806.23
2020-10-13,2815.43
2020-10-15,2822.67
2020-10-19,2829.62
2020-10-20,2831.62
2020-10-26,2836.93
2020-11-02,2839.87
2020-11-04,2839.42
2020-11-09,2862.69
2020-11-11,2855.0
2020-11-12,2854.25
2020-11-16,2863.97
2020-11-19,2875.57
2020-11-23,2876.34
2020-11-24,2877.98
2020-11-27,2883.74
2020-12-01,2887.0
2020-12-04,2887.32
2020-12-07,2889.98
2020-12-08,2889.28
