tanggal,data
2000-01-17,4575.74
2000-02-07,4088.58
2000-02-23,3764.36
2000-03-13,3760.21
2000-04-03,3609.03
2000-04-19,3257.54
2000-05-08,3358.85
2000-05-29,2751.21
2000-06-16,2882.63
2000-07-03,2956.51
2000-07-24,2984.95
2000-08-10,2901.97
2000-08-29,2874.96
2000-09-18,2585.38
2000-10-05,2640.79
2000-10-24,2641.92
2000-11-16,2639.86
2000-11-30,2698.61
2000-12-19,2601.15
2001-01-08,2545.57
2001-01-25,2581.49
2001-02-13,2608.24
2001-03-06,2649.02
2001-03-23,2382.84
2001-04-10,2394.08
2001-04-30,2379.27
2001-05-18,2501.69
2001-06-06,2645.91
2001-06-25,2865.81
2001-07-13,2919.52
2001-08-01,2929.39
2001-08-20,2920.81
2001-09-07,2948.95
2001-09-26,2717.89
2001-10-16,2620.11
2001-11-02,2697.41
2001-11-21,2733.2
2001-12-11,2654.22
2002-01-08,2783.69
2002-01-17,3004.62
2002-02-04,3178.7
2002-02-25,3215.19
2002-04-24,3875.41
2002-05-10,3892.66
2002-06-03,3804.4
2002-06-17,3915.03
2002-07-04,3581.24
2002-07-23,3531.54
2002-08-12,3334.85
2002-08-29,3283.58
2002-09-17,3219.86
2002-10-07,2975.78
2002-10-24,2615.42
2002-11-12,2758.46
2002-12-02,2900.56
2002-12-20,3190.15
2003-01-07,2969.41
2003-01-27,2987.95
2003-02-14,3028.7
2003-03-06,2981.22
2003-03-24,2978.81
2003-04-11,3331.97
2003-04-30,3401.01
2003-05-19,3469.0
2003-06-06,3836.47
2003-06-25,3788.35
2003-07-14,4039.68
2003-08-01,3798.04
2003-08-20,3872.47
2003-09-08,4349.89
2003-09-29,4455.03
2003-10-15,4763.96
2003-11-03,4543.52
2003-12-01,4684.14
2003-12-11,4791.32
2003-12-29,5055.04
2004-01-19,5676.59
2004-02-05,5499.39
2004-02-24,5815.0
2004-03-15,5503.73
2004-04-01,5594.45
2004-04-20,6220.87
2004-05-10,5596.31
2004-05-27,5811.43
2004-06-15,5684.1
2004-07-06,6168.6
2004-07-22,6236.33
2004-08-10,6091.15
2004-08-30,6147.47
2004-09-17,6689.17
2004-10-05,7042.04
2004-10-25,6978.54
2004-11-12,7708.56
2004-11-30,8107.36
2004-12-20,8184.03
2005-01-07,8715.2
2005-01-26,8874.17
2005-02-14,9034.22
2005-03-04,9418.41
2005-03-23,9747.31
2005-04-11,9499.0
2005-04-29,8959.18
2005-05-18,9115.7
2005-06-06,9688.98
2005-06-27,9895.83
2005-07-13,9962.64
2005-08-01,10510.0
2005-08-22,9610.22
2005-09-07,9469.79
2005-09-26,9281.68
2005-10-17,9809.84
2005-11-09,9528.06
2005-11-21,9564.67
2005-12-12,10730.0
2005-12-29,10680.0
2006-01-17,11372.1
2006-02-06,11810.0
2006-02-23,12140.0
2006-03-14,12510.0
2006-04-03,13340.0
2006-04-20,14500.0
2006-05-09,15890.0
2006-05-29,13640.0
2006-06-15,12210.0
2006-07-04,13780.0
2006-07-24,13630.0
2006-08-11,14430.0
2006-08-29,14500.0
2006-09-18,14499.7
2006-10-06,15120.0
2006-10-30,15150.0
2006-11-13,15290.0
2006-12-01,15639.5
2006-12-20,15940.0
2007-01-08,16500.0
2007-01-26,15740.0
2007-02-14,15640.0
2007-03-05,15030.0
2007-03-23,16210.0
2007-04-11,17250.0
2007-04-30,17630.0
2007-05-21,18330.0
2007-06-06,18570.0
2007-06-25,18920.0
2007-07-16,19940.0
2007-08-02,20100.0
2007-08-20,17560.0
2007-09-10,19230.2
2007-09-27,21090.0
2007-10-18,23260.0
2007-11-05,23330.0
2007-11-22,22560.0
2007-12-11,25130.0
2008-01-02,24080.0
2008-01-17,23130.0
2008-02-05,23580.0
2008-02-25,24100.0
2008-03-13,20864.8
2008-04-01,20090.0
2008-04-21,19870.0
2008-05-09,20341.7
2008-05-27,20600.0
2008-06-16,20840.0
2008-07-04,20370.0
2008-07-23,19360.0
2008-08-11,18390.0
2008-08-29,18470.0
2008-09-17,15330.0
2008-10-06,14750.0
2008-10-24,11178.2
2008-11-12,12460.0
2008-12-01,12165.6
2008-12-19,13560.0
2009-01-07,14220.0
2009-01-27,13200.0
2009-02-16,13280.0
2009-03-04,12850.0
2009-03-23,14000.0
2009-04-13,15770.0
2009-04-30,18500.0
2009-05-18,19700.0
2009-06-08,23990.0
2009-06-25,23610.0
2009-07-13,23370.0
2009-08-03,27610.0
2009-08-20,27322.5
2009-09-08,27710.0
2009-09-28,27840.0
2009-10-15,29390.0
2009-11-03,27090.0
2009-11-23,28803.7
2009-12-10,28820.0
2009-12-29,29080.0
2010-01-18,30370.0
2010-02-05,28880.0
2010-02-23,29670.0
2010-03-15,30340.0
2010-04-05,33210.0
2010-04-20,33210.0
2010-05-10,32180.0
2010-05-31,31700.0
2010-06-16,32380.000000000004
2010-07-05,32900.0
2010-07-23,35080.0
2010-08-11,34360.0
2010-08-30,34960.0
2010-09-17,37714.3
2010-10-06,39650.0
2010-10-25,39910.0
2010-11-15,39310.0
2010-12-01,38510.0
2010-12-20,37450.0
2011-01-10,36100.0
2011-01-26,36250.0
2011-02-14,35000.0
2011-03-07,36890.0
2011-03-24,37530.0
2011-04-11,38640.0
2011-05-02,39410.0
2011-05-19,39330.0
2011-06-07,39050.0
2011-06-27,38715.2
2011-07-14,40330.0
2011-08-02,41950.0
2011-08-22,38080.0
2011-09-08,39830.0
2011-09-27,34350.0
2011-10-17,37510.0
2011-11-03,37270.0
2011-11-22,37490.0
2011-12-12,37730.0
2011-12-30,37959.4
2012-01-17,38841.9
2012-02-06,38800.0
2012-02-24,38052.3
2012-03-14,39760.0
2012-04-02,40898.0
2012-04-20,40920.0
2012-05-09,40260.0
2012-05-28,37680.0
2012-06-15,36809.9
2012-07-04,39250.0
2012-07-23,39150.0
2012-08-10,39570.0
2012-08-29,38600.0
2012-09-17,39740.0
2012-10-08,40130.0
2012-10-24,40690.0
2012-11-12,40780.0
2012-12-03,41240.0
2012-12-20,40380.0
2013-01-07,41280.0
2013-01-28,41930.0
2013-02-14,43840.0
2013-03-05,45990.0
2013-03-25,45740.0
2013-04-11,47100.0
2013-04-30,49950.0
2013-05-20,52230.0
2013-06-07,48471.2
2013-06-25,44190.0
2013-07-15,46280.0
2013-08-01,46570.0
2013-08-20,42510.0
2013-09-09,41880.0
2013-09-27,44250.0
2013-10-16,44600.0
2013-11-04,43720.0
2013-11-22,42610.0
2013-12-11,42700.0
2013-12-30,42770.0
2014-01-17,44910.0
2014-02-05,44410.0
2014-02-24,47240.0
2014-03-14,50680.0
2014-04-02,50510.0
2014-04-21,49900.0
2014-05-09,50090.0
2014-05-28,50300.0
2014-06-16,48810.0
2014-07-07,50170.0
2014-07-23,52070.0
2014-08-11,51960.0
2014-09-01,52710.0
2014-09-18,52960.0
2014-10-06,50580.0
2014-10-27,51480.0
2014-11-13,51840.0
2014-12-01,53700.0
2014-12-22,53360.0
2015-01-08,54320.0
2015-01-27,54640.0
2015-02-16,54890.0
2015-03-05,55440.0
2015-03-24,54670.0
2015-04-13,54710.0
2015-04-30,50942.3
2015-05-19,52670.0
2015-06-08,50380.0
2015-06-26,49180.0
2015-07-14,49830.0
2015-08-03,48234.9
2015-08-21,43810.0
2015-09-08,43580.0
2015-09-28,41530.0
2015-10-16,45380.0
2015-11-04,47008.3
2015-11-23,46620.0
2015-12-11,45370.0
2015-12-30,47220.0
2016-01-18,46650.0
2016-02-05,50230.0
2016-02-24,48660.0
2016-03-14,50840.0
2016-04-04,50785.8
2016-04-20,51190.0
2016-05-09,50160.0
2016-05-30,50970.0
2016-06-15,50590.0
2016-07-11,53380.0
2016-07-25,54750.0
2016-08-11,56560.0
2016-08-29,55610.0
2016-09-19,55120.0
2016-10-06,55970.0
2016-10-25,55540.0
2016-11-14,51410.0
2016-12-01,51860.0
2016-12-20,50920.0
2017-01-09,52500.0
2017-01-26,52590.0
2017-02-14,53057.7
2017-03-06,52890.0
2017-03-23,54400.0
2017-04-11,54890.0
2017-05-02,55380.0
2017-05-19,57094.7
2017-06-06,55980.0
2017-07-03,57950.0
2017-07-14,56840.0
2017-08-02,56850.0
2017-08-21,57010.0
2017-09-08,57190.0
2017-09-27,57240.0
2017-10-16,57815.6
2017-11-03,58760.0
2017-11-22,59460.0
2017-12-11,59616.8
2017-12-29,62410.0
2018-01-17,63970.0
2018-02-05,65550.0
2018-02-26,65330.0
2018-03-14,63220.0
2018-04-02,61660.0
2018-04-23,62820.0
2018-05-11,59840.0
2018-05-28,61640.0
2018-06-20,59820.0
2018-07-05,58400.0
2018-07-24,60320.0
2018-08-13,59604.5
2018-08-30,60780.0
2018-09-18,58320.0
2018-10-08,57530.0
2018-10-25,57300.0
2018-11-13,58740.0
2018-12-03,61900.0
2018-12-20,61790.0
2019-01-08,62362.5
2019-01-28,63750.0
2019-02-15,62890.0
2019-03-05,63280.0
2019-03-25,62640.0
2019-04-12,63580.0
2019-05-02,63800.0
2019-05-20,59810.0
2019-06-10,64110.0
2019-06-26,63690.0
2019-07-15,64730.00000000001
2019-08-02,63978.3
2019-08-21,63170.0
2019-09-09,63180.0
2019-09-27,61680.0
2019-10-16,60940.0
2019-11-04,60670.0
2019-11-25,59870.0
2019-12-11,60660.0
2019-12-30,62110.0
2020-01-20,61940.0
2020-02-03,58310.0
2020-02-05,59480.0
2020-02-06,59630.1
2020-02-10,59360.0
2020-02-13,58480.0
2020-02-17,58570.0
2020-02-20,59420.0
2020-02-24,57780.0
2020-02-28,54760.0
2020-03-03,55340.0
2020-03-06,54860.0
2020-03-10,51570.0
2020-03-16,46038.1
2020-03-18,41878.3
2020-03-23,38180.0
2020-03-26,41800.0
2020-03-30,42620.0
2020-04-02,43740.0
2020-04-06,46220.0
2020-04-09,44530.0
2020-04-13,44400.0
2020-04-17,44330.0
2020-04-20,43900.0
2020-04-24,43190.0
2020-04-28,43750.0
2020-05-04,44610.0
2020-05-05,44860.0
2020-05-11,45457.5
2020-05-13,44510.0
2020-05-18,44440.0
2020-05-20,44590.0
2020-05-26,45220.0
2020-05-28,45920.0
2020-06-02,47690.0
2020-06-04,48370.0
2020-06-08,49910.0
2020-06-12,48010.0
2020-06-15,47510.0
2020-06-16,49200.0
2020-06-19,48730.0
2020-06-23,48350.0
2020-06-29,48480.0
2020-06-30,48460.0
2020-07-06,49270.0
2020-07-08,50140.0
2020-07-13,49720.0
2020-07-15,49900.0
2020-07-20,49640.0
2020-07-23,50920.0
2020-07-27,50850.0
2020-07-30,51250.0
2020-08-03,49770.0
2020-08-07,51195.7
2020-08-10,51200.0
2020-08-11,51520.0
2020-08-14,52140.0
2020-08-18,52730.0
2020-08-24,52560.0
2020-08-25,53320.0
2020-08-31,51990.0
2020-09-02,52880.0
2020-09-07,52120.0
2020-09-09,50860.0
2020-09-14,51012.9
2020-09-17,49240.0
2020-09-21,48884.4
2020-09-24,47310.0
2020-09-28,47980.0
2020-10-02,48090.4
2020-10-05,48470.0
2020-10-06,48940.0
2020-10-09,49320.0
2020-10-13,49950.0
2020-10-19,50300.0
2020-10-20,50030.0
2020-10-26,50220.0
2020-11-02,49710.0
2020-11-04,49260.1
2020-11-09,52340.0
2020-11-12,53660.0
2020-11-13,53820.0
2020-11-16,54240.0
2020-11-19,55250.0
2020-11-23,55970.9
2020-11-27,57270.0
2020-12-01,56450.0
2020-12-04,57180.0
2020-12-08,58040.0
2020-12-14,58500.0
2020-12-15,58470.0
2020-12-21,60530.0
2020-12-23,58550.0
2020-12-28,59640.0
2020-12-30,58270.0
2021-01-04,59860.0
2021-01-07,59940.0
2021-01-08,60810.0
2021-01-11,61828.5
2021-01-14,62224.6
2021-01-18,62180.0
2021-01-22,61500.0
2021-01-26,60220.0
2021-01-29,57235.3
2021-02-02,59150.0
2021-02-08,60400.0
2021-02-10,60070.0
2021-02-15,60320.0
2021-02-17,59460.0
2021-02-22,60050.0
2021-02-24,59871.7
2021-03-01,60660.0
2021-03-04,59340.0
2021-03-05,58890.0
2021-03-08,58840.0
2021-03-12,59690.0
2021-03-15,59250.0
2021-03-19,59930.0
2021-03-23,58870.0
2021-03-24,58210.0
2021-03-26,58970.0
2021-03-30,57690.0
2021-04-05,56910.0
2021-04-07,57757.9
2021-04-12,56540.0
2021-04-14,57943.9
2021-04-19,58110.0
2021-04-22,57480.0
2021-04-26,57440.0
2021-04-29,57930.0
2021-04-30,57770.0
2021-05-03,57230.0
2021-05-06,57410.0
2021-05-10,57640.0
2021-05-17,56185.3
2021-05-18,56430.0
2021-05-19,55630.0
2021-05-21,55530.0
2021-05-25,56120.0
2021-05-31,57300.0
2021-06-02,58290.2
2021-06-07,58100.0
2021-06-09,58400.0
2021-06-14,58030.0
2021-06-17,57282.5
2021-06-21,56030.0
2021-06-24,56020.0
2021-06-25,55920.0
2021-06-28,54690.0
2021-07-02,55370.0
2021-07-05,55250.0
2021-07-09,55530.0
2021-07-13,54840.0
2021-07-14,54590.0
2021-07-19,54940.0
2021-07-21,55060.0
2021-07-26,55800.0
