tanggal,NAV,AUM,currency
2023-12-01,NA,32500000.0,USD
2024-01-01,NA,25070000.0,USD
2024-02-01,NA,31750000.0,USD
2024-02-02,1.05,NA,USD
2024-02-12,1.08,NA,USD
2024-02-19,1.07,NA,USD
2024-02-28,1.08,NA,USD
2024-03-01,NA,63290000.0,USD
2024-03-07,1.11,NA,USD
2024-03-18,1.09,NA,USD
2024-03-25,1.1,NA,USD
2024-04-01,NA,71340000.0,USD
2024-04-02,1.08,NA,USD
2024-04-16,1.06,NA,USD
2024-04-19,1.01,NA,USD
2024-04-29,1.07,NA,USD
2024-05-01,NA,49170000.0,USD
2024-05-06,1.09,NA,USD
2024-05-14,1.08,NA,USD
2024-05-22,1.11,NA,USD
2024-05-31,1.09,49180000.0,USD
2024-06-10,1.12,NA,USD
2024-06-19,1.16,NA,USD
2024-06-25,1.14,NA,USD
2024-07-01,NA,101780000.0,USD
2024-07-04,1.17,NA,USD
2024-07-12,1.17,NA,USD
2024-07-22,1.14,NA,USD
2024-07-29,1.09,NA,USD
2024-08-01,NA,90010000.0,USD
2024-08-07,1.01,NA,USD
2024-08-15,1.13,NA,USD
2024-08-26,1.12,NA,USD
2024-09-01,NA,92210000.0,USD
2024-09-02,1.13,NA,USD
2024-09-09,1.06,NA,USD
2024-09-18,1.1,NA,USD
2024-09-26,1.15,NA,USD
2024-10-01,NA,76090000.0,USD
2024-10-07,1.13,NA,USD
2024-10-14,1.18,NA,USD
2024-10-22,1.15,NA,USD
2024-10-30,1.16,NA,USD
2024-11-01,NA,81080000.0,USD
2024-11-04,1.13,NA,USD
2024-11-07,1.19,NA,USD
2024-11-08,1.17,NA,USD
2024-11-11,1.17,NA,USD
2024-11-13,1.17,NA,USD
2024-11-15,1.14,NA,USD
2024-11-18,1.15,NA,USD
2024-11-19,1.16,NA,USD
2024-11-21,1.17,NA,USD
2024-11-25,1.17,NA,USD
2024-11-26,1.17,NA,USD
2024-11-28,1.15,NA,USD
2024-12-01,NA,95930000.0,USD
2024-12-02,1.18,NA,USD
2024-12-03,1.19,NA,USD
2024-12-04,1.22,NA,USD
2024-12-06,1.21,NA,USD
2024-12-09,1.2,NA,USD
2024-12-10,1.18,NA,USD
2024-12-12,1.19,NA,USD
2024-12-13,1.2,NA,USD
2024-12-16,1.22,NA,USD
2024-12-17,1.21,NA,USD
2024-12-19,1.17,NA,USD
2024-12-20,1.19,NA,USD
2024-12-23,1.2,NA,USD
2024-12-27,1.18,NA,USD
2024-12-30,1.17,NA,USD
2025-01-02,1.17,NA,USD
2025-01-03,1.19,NA,USD
2025-01-06,1.21,NA,USD
2025-01-07,1.17,NA,USD
2025-01-09,1.18,NA,USD
2025-01-13,1.16,NA,USD
2025-01-14,1.16,NA,USD
2025-01-15,1.19,NA,USD
2025-01-20,1.2,NA,USD
2025-01-22,1.24,NA,USD
2025-01-23,1.23,NA,USD
2025-01-24,1.22,NA,USD
2025-01-30,1.17,NA,USD
2025-01-31,1.18,NA,USD
2025-02-03,1.17,NA,USD
2025-02-04,1.18,NA,USD
