tanggal,data
2015-03-23,1001.44
2015-03-30,1005.22
2015-04-06,1003.91
2015-04-13,1009.05
2015-04-20,998.51
2015-04-28,989.5
2015-05-05,985.58
2015-05-13,969.27
2015-05-20,976.83
2015-05-27,972.36
2015-06-04,965.71
2015-06-11,942.07
2015-06-19,949.19
2015-06-26,962.88
2015-07-03,968.77
2015-07-13,968.15
2015-07-22,966.88
2015-07-27,967.85
2015-08-03,952.21
2015-08-10,956.05
2015-08-18,946.22
2015-08-24,933.06
2015-08-31,940.05
2015-09-08,926.99
2015-09-15,918.27
2015-09-22,929.18
2015-09-30,898.83
2015-10-07,961.01
2015-10-15,960.65
2015-10-22,951.79
2015-10-29,960.04
2015-11-06,963.22
2015-11-13,966.91
2015-11-20,970.27
2015-11-30,975.12
2015-12-07,978.29
2015-12-14,959.86
2015-12-21,968.83
2015-12-28,968.74
2016-01-04,968.38
2016-01-11,968.53
2016-01-19,980.24
2016-01-26,989.96
2016-02-02,1011.0
2016-02-10,1015.6
2016-02-17,1018.08
2016-02-24,1005.81
2016-03-03,1017.39
2016-03-10,1029.49
2016-03-18,1041.33
2016-03-28,1037.94
2016-04-01,1050.49
2016-04-11,1063.43
2016-04-18,1074.24
2016-04-25,1069.13
2016-05-02,1063.07
2016-05-09,1062.07
2016-05-16,1063.8
2016-05-23,1056.02
2016-05-30,1059.89
2016-06-07,1069.35
2016-06-14,1075.49
2016-06-21,1074.04
2016-06-29,1081.94
2016-07-11,1107.89
2016-07-14,1109.34
2016-07-21,1116.54
2016-07-28,1118.27
2016-08-05,1125.7
2016-08-12,1129.85
2016-08-19,1130.21
2016-08-29,1119.93
2016-09-05,1129.77
2016-09-13,1128.91
2016-09-19,1128.83
2016-09-26,1135.97
2016-10-03,1133.22
2016-10-10,1129.89
2016-10-18,1128.33
2016-10-25,1129.5
2016-11-01,1119.12
2016-11-09,1111.69
2016-11-16,1082.4
2016-11-23,1073.01
2016-12-01,1073.48
2016-12-08,1101.47
2016-12-16,1083.23
2016-12-23,1090.07
2016-12-30,1088.21
2017-01-09,1097.96
2017-01-16,1105.74
2017-01-23,1109.34
2017-01-30,1107.43
2017-02-06,1108.67
2017-02-13,1114.06
2017-02-20,1115.02
2017-02-27,1116.37
2017-03-07,1122.54
2017-03-14,1124.54
2017-03-21,1141.95
2017-03-29,1145.4
2017-04-05,1153.7
2017-04-13,1154.91
2017-04-20,1155.8
2017-04-27,1159.25
2017-05-05,1158.84
2017-05-12,1153.83
2017-05-22,1166.1
2017-05-29,1168.43
2017-06-05,1171.21
2017-06-12,1173.64
2017-06-19,1179.74
2017-07-03,1180.69
2017-07-10,1166.67
2017-07-18,1174.4
2017-07-25,1181.67
2017-08-01,1183.15
2017-08-09,1186.38
2017-08-16,1187.3
2017-08-23,1191.67
2017-08-31,1206.01
2017-09-07,1215.57
2017-09-15,1218.14
2017-09-22,1223.71
2017-09-29,1222.79
2017-10-09,1219.59
2017-10-16,1219.84
2017-10-23,1214.24
2017-10-30,1205.83
2017-11-06,1217.58
2017-11-13,1219.57
2017-11-20,1223.55
2017-11-27,1228.31
2017-12-05,1233.51
2017-12-12,1235.42
2017-12-20,1237.86
2017-12-27,1243.47
2018-01-03,1253.42
2018-01-11,1260.31
2018-01-18,1268.94
2018-01-25,1265.56
2018-02-02,1261.86
2018-02-09,1255.55
2018-02-19,1250.55
2018-02-26,1247.03
2018-03-05,1242.11
2018-03-12,1231.64
2018-03-19,1243.14
2018-03-26,1238.33
2018-04-02,1248.89
2018-04-09,1253.39
2018-04-17,1253.77
2018-04-24,1240.54
2018-05-02,1234.45
2018-05-09,1217.38
2018-05-16,1219.63
2018-05-23,1198.11
2018-05-31,1227.36
2018-06-07,1221.9
2018-06-20,1222.65
2018-06-22,1207.09
2018-06-29,1189.01
2018-07-09,1205.54
2018-07-16,1207.05
2018-07-23,1194.68
2018-07-30,1197.23
2018-08-06,1198.4
2018-08-13,1200.85
2018-08-20,1199.82
2018-08-27,1201.35
2018-09-04,1179.15
2018-09-12,1162.84
2018-09-19,1176.31
2018-09-26,1182.84
2018-10-03,1188.61
2018-10-11,1169.5
2018-10-18,1167.48
2018-10-25,1169.27
2018-11-02,1183.63
2018-11-09,1203.08
2018-11-19,1205.85
2018-11-26,1213.76
2018-12-03,1222.8
2018-12-10,1207.92
2018-12-17,1207.84
2018-12-26,1219.89
2019-01-02,1220.42
2019-01-07,1225.16
2019-01-15,1218.52
2019-01-22,1216.18
2019-01-29,1218.48
2019-02-06,1246.82
2019-02-13,1239.18
2019-02-21,1238.78
2019-02-28,1247.75
2019-03-08,1243.79
2019-03-15,1255.15
2019-03-22,1268.38
2019-03-29,1266.34
2019-04-08,1269.84
2019-04-15,1268.62
2019-04-22,1272.13
2019-04-29,1264.28
2019-05-06,1252.24
2019-05-13,1247.28
2019-05-20,1245.2
2019-05-27,1258.22
2019-06-10,1270.1
2019-06-11,1274.38
2019-06-19,1289.62
2019-06-26,1300.99
2019-07-03,1312.41
2019-07-11,1320.18
2019-07-18,1330.61
2019-07-25,1326.36
2019-08-02,1304.89
2019-08-09,1315.95
2019-08-19,1319.74
2019-08-26,1322.81
2019-09-02,1321.49
2019-09-09,1324.52
2019-09-16,1328.61
2019-09-23,1329.9
2019-09-30,1329.59
2019-10-07,1333.84
2019-10-15,1337.7
2019-10-22,1345.23
2019-10-29,1351.33
2019-11-06,1357.34
2019-11-13,1356.0
2019-11-21,1359.54
2019-11-28,1360.44
2019-12-05,1358.6
2019-12-13,1355.01
2019-12-20,1356.89
2019-12-27,1363.58
2020-01-06,1367.35
2020-01-13,1381.18
2020-01-20,1384.74
2020-01-27,1397.77
2020-02-03,1393.65
2020-02-05,1398.89
2020-02-10,1404.59
2020-02-13,1411.41
2020-02-17,1411.97
2020-02-20,1416.83
2020-02-24,1414.86
2020-02-28,1392.76
2020-03-03,1392.24
2020-03-06,1413.3
2020-03-10,1391.46
2020-03-16,1363.38
2020-03-18,1344.94
2020-03-23,1299.63
2020-03-26,1300.69
2020-03-30,1316.31
2020-04-01,1315.04
2020-04-02,1307.78
2020-04-06,1305.33
2020-04-09,1308.38
2020-04-13,1311.19
2020-04-16,1321.88
2020-04-17,1326.98
2020-04-20,1335.92
2020-04-24,1336.88
2020-04-28,1328.8
2020-05-04,1331.17
2020-05-05,1325.82
2020-05-08,1319.91
2020-05-11,1323.39
2020-05-13,1331.78
2020-05-18,1348.01
2020-05-20,1357.73
2020-05-26,1364.43
2020-05-28,1369.78
2020-06-02,1380.41
2020-06-04,1390.25
2020-06-08,1381.29
2020-06-12,1383.01
2020-06-15,1383.36
2020-06-19,1388.12
2020-06-22,1389.65
2020-06-23,1390.49
2020-06-29,1393.53
2020-06-30,1395.72
2020-07-06,1395.64
2020-07-08,1401.12
2020-07-13,1407.59
2020-07-14,1406.68
2020-07-15,1408.75
2020-07-20,1411.12
2020-07-21,1414.12
2020-07-23,1426.22
2020-07-27,1426.8
2020-07-28,1430.2
2020-07-30,1432.74
2020-08-03,1432.62
2020-08-05,1436.01
2020-08-07,1438.03
2020-08-10,1439.15
2020-08-12,1444.96
2020-08-14,1444.38
2020-08-18,1448.5
2020-08-24,1452.82
2020-08-25,1454.33
2020-08-27,1449.96
2020-08-31,1447.77
2020-09-02,1445.88
2020-09-03,1444.58
2020-09-07,1446.2
2020-09-09,1445.69
2020-09-11,1442.38
2020-09-14,1444.4
2020-09-17,1445.5
2020-09-18,1447.05
2020-09-21,1447.11
2020-09-24,1445.15
2020-09-25,1444.81
2020-09-28,1446.21
2020-10-02,1445.37
2020-10-05,1446.59
2020-10-09,1447.16
2020-10-12,1449.4
2020-10-13,1450.75
2020-10-19,1463.06
2020-10-20,1465.22
2020-10-26,1468.26
2020-11-02,1469.59
2020-11-04,1469.39
2020-11-09,1492.81
2020-11-12,1485.64
2020-11-16,1493.52
2020-11-19,1501.99
2020-11-23,1502.1
2020-11-24,1504.12
2020-11-27,1508.69
2020-12-01,1511.57
2020-12-04,1512.01
2020-12-08,1513.66
2020-12-14,1521.14
2020-12-15,1522.42
2020-12-16,1528.1
2020-12-21,1530.76
2020-12-23,1529.45
2020-12-28,1532.86
2020-12-30,1533.44
2021-01-04,1528.82
2021-01-07,1523.75
2021-01-11,1514.14
2021-01-14,1510.18
2021-01-18,1509.99
2021-01-22,1507.16
2021-01-26,1508.61
2021-01-29,1513.77
2021-02-02,1521.8
2021-02-05,1521.71
2021-02-08,1520.44
2021-02-10,1518.52
2021-02-15,1519.85
2021-02-17,1513.0
2021-02-22,1495.77
2021-02-24,1499.38
2021-03-01,1491.4
2021-03-04,1494.21
2021-03-08,1481.14
2021-03-12,1478.75
2021-03-15,1477.36
2021-03-19,1477.6
2021-03-22,1479.49
2021-03-23,1482.12
2021-03-26,1487.97
2021-03-29,1487.71
2021-03-30,1485.43
2021-04-05,1494.01
2021-04-07,1504.82
2021-04-12,1503.56
2021-04-13,1501.04
2021-04-14,1499.98
2021-04-19,1506.52
2021-04-20,1509.69
2021-04-22,1511.37
2021-04-26,1511.61
2021-04-27,1511.3
2021-04-29,1509.57
