tanggal,data
2024-06-20,1001.84
2024-06-21,1014.19
2024-06-24,1011.64
2024-06-25,1009.52
2024-06-26,1008.47
2024-06-27,1018.39
2024-06-28,1030.96
2024-07-01,1032.18
2024-07-02,1028.27
2024-07-03,1029.3
2024-07-04,1030.07
2024-07-05,1037.51
2024-07-08,1041.4
2024-07-09,1046.86
2024-07-10,1047.64
2024-07-11,1051.67
2024-07-12,1055.71
2024-07-15,1047.72
2024-07-16,1041.31
2024-07-17,1047.6
2024-07-18,1052.04
2024-07-19,1048.7
2024-07-22,1052.34
2024-07-23,1051.02
2024-07-24,1043.69
2024-07-25,1040.8
2024-07-26,1041.57
2024-07-29,1040.56
2024-07-30,1030.22
2024-07-31,1036.03
2024-08-01,1046.35
2024-08-02,1039.21
2024-08-05,1012.3
2024-08-06,1020.8
2024-08-07,1030.92
2024-08-08,1035.48
2024-08-09,1039.6
2024-08-12,1043.86
2024-08-13,1050.89
2024-08-14,1060.84
2024-08-15,1056.8
2024-08-16,1062.11
2024-08-19,1062.37
2024-08-20,1075.86
2024-08-21,1077.48
2024-08-22,1064.61
2024-08-23,1073.19
2024-08-26,1082.05
2024-08-27,1077.38
2024-08-28,1084.46
2024-08-29,1074.59
2024-08-30,1075.71
2024-09-02,1082.01
2024-09-03,1074.83
2024-09-04,1073.69
2024-09-05,1079.45
2024-09-06,1082.66
2024-09-09,1080.04
2024-09-10,1086.92
2024-09-11,1087.37
2024-09-12,1090.3
2024-09-13,1088.98
2024-09-17,1095.24
2024-09-18,1101.39
2024-09-19,1109.85
2024-09-20,1107.65
2024-09-23,1118.12
2024-09-24,1121.21
2024-09-25,1111.45
2024-09-26,1110.85
2024-09-27,1105.5
2024-09-30,1086.98
2024-10-01,1100.35
2024-10-02,1086.88
2024-10-03,1083.1
2024-10-04,1081.37
2024-10-07,1083.78
2024-10-08,1090.74
2024-10-09,1083.24
2024-10-10,1082.97
2024-10-11,1089.16
2024-10-14,1090.4
2024-10-15,1097.38
2024-10-16,1096.43
2024-10-17,1110.44
2024-10-18,1112.96
2024-10-21,1115.39
2024-10-22,1113.91
2024-10-23,1114.55
2024-10-24,1104.96
2024-10-25,1099.75
2024-10-28,1095.1
2024-10-29,1088.29
2024-10-30,1086.87
2024-10-31,1083.65
2024-11-01,1071.17
2024-11-04,1076.83
2024-11-05,1084.84
2024-11-06,1063.42
2024-11-07,1061.1
2024-11-08,1053.29
2024-11-11,1044.46
2024-11-12,1045.97
2024-11-13,1043.93
2024-11-14,1033.75
2024-11-15,1031.22
2024-11-18,1026.51
2024-11-19,1038.47
2024-11-20,1038.31
2024-11-21,1034.06
2024-11-22,1043.97
2024-11-25,1060.2
2024-11-26,1046.8
2024-11-28,1046.52
2024-11-29,1036.51
2024-12-02,1022.59
2024-12-03,1048.04
2024-12-04,1062.22
2024-12-05,1054.35
2024-12-06,1054.95
2024-12-09,1065.4
2024-12-10,1065.15
2024-12-11,1065.18
2024-12-12,1051.29
2024-12-13,1041.83
2024-12-16,1034.48
2024-12-17,1014.16
2024-12-18,1004.36
2024-12-19,982.8
2024-12-20,983.45
2024-12-23,1005.3
2024-12-24,1000.13
2024-12-27,1003.31
2024-12-30,1006.5
2025-01-02,1011.52
2025-01-03,1016.58
2025-01-06,1006.32
2025-01-07,999.21
2025-01-08,1000.26
2025-01-09,1000.39
2025-01-10,1001.88
2025-01-13,986.93
2025-01-14,977.34
2025-01-15,1000.33
2025-01-16,1003.58
2025-01-17,1007.62
2025-01-20,1007.35
2025-01-21,1010.91
2025-01-22,1023.36
2025-01-23,1023.2
2025-01-24,1012.3
2025-01-30,999.11
