tanggal,data
2022-05-17,1000.0
2022-05-19,992.99
2022-05-23,981.96
2022-05-25,982.37
2022-05-27,1005.75
2022-05-30,1002.41
2022-05-31,1029.77
2022-06-02,1009.91
2022-06-06,1002.93
2022-06-08,1013.18
2022-06-10,983.47
2022-06-13,971.26
2022-06-14,976.91
2022-06-16,986.25
2022-06-20,985.68
2022-06-22,978.27
2022-06-24,985.12
2022-06-27,975.25
2022-06-28,973.62
2022-06-30,953.51
2022-07-04,924.2
2022-07-05,939.0
2022-07-07,926.18
2022-07-11,933.13
2022-07-13,918.87
2022-07-15,927.85
2022-07-18,941.04
2022-07-19,947.45
2022-07-21,974.37
2022-07-25,966.26
2022-07-27,973.4
2022-07-29,976.84
2022-08-01,983.22
2022-08-02,992.27
2022-08-04,1010.97
2022-08-08,1019.26
2022-08-10,1022.8
2022-08-12,1021.25
2022-08-15,1013.38
2022-08-16,1012.38
2022-08-18,1017.33
2022-08-22,1010.19
2022-08-24,1020.6
2022-08-26,1011.98
2022-08-29,1013.73
2022-08-30,1017.31
2022-09-01,1025.03
2022-09-05,1040.35
2022-09-08,1039.13
2022-09-12,1043.84
2022-09-14,1049.18
2022-09-16,1040.38
2022-09-19,1051.9
2022-09-20,1045.12
2022-09-22,1048.04
2022-09-26,1036.42
2022-09-28,1029.58
2022-09-30,1031.86
2022-10-03,1030.74
2022-10-04,1038.12
2022-10-06,1034.43
2022-10-10,1020.72
2022-10-12,1017.92
2022-10-14,1005.68
2022-10-17,1010.63
2022-10-18,1007.93
2022-10-20,1035.19
2022-10-24,1057.69
2022-10-26,1053.08
2022-10-28,1058.57
2022-10-31,1062.81
2022-11-01,1060.46
2022-11-03,1049.37
2022-11-07,1061.49
2022-11-09,1057.18
2022-11-14,1039.98
2022-11-16,1030.41
2022-11-18,1040.85
2022-11-21,1039.67
2022-11-22,1040.5
2022-11-24,1049.66
2022-11-28,1049.63
2022-11-30,1067.77
2022-12-02,1052.41
2022-12-05,1042.64
2022-12-06,1025.1
2022-12-08,1011.62
2022-12-12,1012.88
2022-12-14,1020.61
2022-12-16,1020.52
2022-12-19,1017.04
2022-12-20,1011.43
2022-12-22,1012.77
2022-12-26,1007.88
2022-12-28,1002.25
2022-12-30,1004.61
2023-01-02,1000.81
2023-01-03,1005.62
2023-01-05,974.22
2023-01-09,982.28
2023-01-11,957.51
2023-01-16,970.93
2023-01-18,985.19
2023-01-20,995.22
2023-01-24,990.66
2023-01-26,998.86
2023-01-30,1004.74
2023-02-01,996.85
2023-02-03,1009.47
2023-02-06,1008.32
2023-02-07,1017.34
2023-02-09,1016.74
2023-02-13,1014.63
2023-02-15,1016.96
2023-02-17,1009.98
2023-02-20,1011.39
2023-02-21,1005.13
2023-02-23,1003.54
2023-02-27,1005.5
2023-03-01,997.68
2023-03-03,991.35
2023-03-06,990.06
2023-03-07,986.33
2023-03-09,995.84
2023-03-13,994.0
2023-03-15,964.21
2023-03-17,977.84
2023-03-20,973.08
2023-03-24,1007.96
2023-03-27,999.23
2023-03-28,1005.71
2023-03-30,1015.05
2023-04-03,1017.41
2023-04-05,1016.01
2023-04-10,1011.84
2023-04-11,1018.26
2023-04-13,1022.23
