tanggal,data
2018-01-30,1355.21
2018-02-05,1346.53
2018-02-09,1322.27
2018-02-14,1343.08
2018-02-21,1354.24
2018-02-26,1339.98
2018-03-02,1334.79
2018-03-07,1287.75
2018-03-13,1293.96
2018-03-19,1244.93
2018-03-23,1233.38
2018-03-28,1218.26
2018-04-03,1247.09
2018-04-09,1270.77
2018-04-13,1267.21
2018-04-18,1272.96
2018-04-23,1274.85
2018-04-30,1225.94
2018-05-04,1194.94
2018-05-09,1203.21
2018-05-14,1209.41
2018-05-21,1195.21
2018-05-25,1229.13
2018-05-30,1228.03
2018-06-04,1229.65
2018-06-20,1222.57
2018-06-25,1201.35
2018-07-02,1175.29
2018-07-06,1171.35
2018-07-11,1205.58
2018-07-16,1207.45
2018-07-23,1217.94
2018-07-27,1236.7
2018-08-01,1232.79
2018-08-06,1251.67
2018-08-13,1201.96
2018-08-20,1211.69
2018-08-23,1224.29
2018-08-27,1234.76
2018-09-03,1219.67
2018-09-07,1181.5
2018-09-12,1178.6
2018-09-17,1180.78
2018-09-24,1194.25
2018-09-28,1212.27
2018-10-03,1188.14
2018-10-08,1162.12
2018-10-15,1160.38
2018-10-19,1189.13
2018-10-24,1159.54
2018-10-29,1162.64
2018-11-05,1183.0
2018-11-09,1178.65
2018-11-14,1163.85
2018-11-19,1200.94
2018-11-26,1199.88
2018-11-30,1186.2
2018-12-05,1202.76
2018-12-10,1199.32
2018-12-17,1195.24
2018-12-20,1210.55
2018-12-26,1188.16
2019-01-02,1200.27
2019-01-07,1234.53
2019-01-10,1247.39
2019-01-16,1271.93
2019-01-21,1266.2
2019-01-28,1291.92
2019-01-31,1301.95
2019-02-06,1306.01
2019-02-11,1289.49
2019-02-18,1277.29
2019-02-21,1292.14
2019-02-27,1290.0
2019-03-04,1285.68
2019-03-11,1244.82
2019-03-14,1253.91
2019-03-20,1265.03
2019-03-25,1243.96
2019-04-01,1261.84
2019-04-04,1265.2
2019-04-10,1263.19
2019-04-15,1253.42
2019-04-22,1253.75
2019-04-25,1249.71
2019-04-30,1260.53
2019-05-06,1220.89
2019-05-13,1183.49
2019-05-16,1139.37
2019-05-21,1152.38
2019-05-27,1194.11
2019-06-10,1242.39
2019-06-11,1246.46
2019-06-17,1217.01
2019-06-24,1241.95
2019-06-27,1257.11
2019-07-02,1277.94
2019-07-08,1265.14
2019-07-15,1287.69
2019-07-18,1283.85
