tanggal,data
2018-01-30,3092.19
2018-02-05,3091.23
2018-02-09,3083.05
2018-02-14,3086.77
2018-02-21,3088.55
2018-02-26,3076.0
2018-03-02,3065.98
2018-03-07,3044.8
2018-03-13,3048.35
2018-03-19,3036.04
2018-03-23,3030.19
2018-03-28,3029.72
2018-04-03,3044.95
2018-04-09,3057.66
2018-04-13,3060.37
2018-04-18,3060.49
2018-04-23,3060.33
2018-04-30,3038.95
2018-05-04,3036.13
2018-05-09,3016.78
2018-05-14,3023.2
2018-05-21,3018.94
2018-05-25,3023.06
2018-05-30,3033.6
2018-06-04,3047.52
2018-06-20,3038.64
2018-06-25,3017.94
2018-07-02,2990.83
2018-07-06,2971.04
2018-07-11,2985.96
2018-07-16,2983.78
2018-07-23,2965.03
2018-07-27,2969.27
2018-08-01,2971.31
2018-08-06,3047.9
2018-08-13,3054.69
2018-08-20,3070.32
2018-08-23,3072.79
2018-08-27,3080.69
2018-09-03,3065.59
2018-09-07,3046.25
2018-09-12,3037.44
2018-09-17,3047.27
2018-09-24,3060.25
2018-09-28,3068.36
2018-10-03,3062.22
2018-10-08,3052.1
2018-10-15,3035.65
2018-10-19,3047.45
2018-10-24,3048.61
2018-10-29,3047.72
2018-11-05,3072.57
2018-11-09,3077.56
2018-11-14,3072.39
2018-11-19,3079.85
2018-11-26,3073.95
2018-11-30,3074.98
2018-12-05,3077.85
2018-12-10,3071.43
2018-12-17,3071.82
2018-12-20,3080.84
2018-12-26,3082.14
2019-01-02,3086.82
2019-01-07,3099.55
2019-01-10,3099.15
2019-01-16,3102.09
2019-01-21,3100.51
2019-01-28,3117.81
2019-01-31,3127.59
2019-02-06,3139.56
2019-02-11,3132.86
2019-02-18,3123.84
2019-02-21,3130.4
2019-02-27,3141.81
2019-03-04,3143.7
2019-03-11,3126.19
2019-03-14,3135.6
2019-03-20,3144.58
2019-03-25,3149.55
2019-04-01,3157.27
2019-04-04,3157.08
2019-04-10,3159.03
2019-04-15,3159.92
2019-04-22,3177.36
2019-04-25,3173.84
2019-04-30,3157.29
2019-05-06,3143.74
2019-05-13,3146.57
2019-05-16,3132.74
2019-05-21,3133.54
2019-05-27,3145.64
2019-06-10,3163.86
2019-06-11,3169.2
2019-06-17,3177.72
2019-06-24,3192.17
2019-06-27,3200.15
2019-07-02,3212.86
2019-07-08,3217.93
2019-07-15,3244.24
2019-07-18,3248.92
2019-07-23,3245.8
2019-07-29,3238.71
2019-08-05,3222.93
2019-08-08,3235.84
2019-08-13,3234.78
2019-08-19,3246.01
2019-08-26,3250.55
2019-08-29,3248.05
2019-09-03,3248.6
2019-09-09,3250.82
2019-09-16,3255.37
2019-09-19,3261.27
2019-09-24,3259.56
2019-09-30,3261.31
2019-10-07,3269.06
2019-10-10,3268.37
2019-10-15,3272.13
2019-10-21,3274.9
2019-10-28,3287.92
2019-10-31,3290.51
2019-11-05,3291.13
2019-11-11,3292.78
2019-11-18,3292.25
2019-11-21,3291.84
2019-11-26,3289.52
2019-12-02,3287.83
2019-12-09,3299.9
2019-12-12,3301.02
2019-12-17,3306.71
