tanggal,data
2019-05-03,1000.23
2019-05-07,1000.68
2019-05-13,1001.39
2019-05-16,1001.75
2019-05-20,1002.24
2019-05-27,1003.37
2019-05-29,1003.63
2019-06-10,1005.4
2019-06-11,1005.51
2019-06-17,1006.31
2019-06-19,1007.23
2019-06-24,1007.28
2019-06-28,1008.72
2019-07-02,1009.12
2019-07-08,1010.46
2019-07-11,1011.05
2019-07-15,1011.68
2019-07-22,1012.79
2019-07-24,1013.07
2019-07-29,1013.83
2019-08-01,1014.2
2019-08-06,1014.88
2019-08-12,1015.86
2019-08-14,1016.16
2019-08-19,1016.92
2019-08-23,1017.53
2019-08-27,1018.12
2019-09-02,1018.94
2019-09-05,1019.42
2019-09-09,1020.07
2019-09-13,1020.7
2019-09-18,1021.52
2019-09-23,1022.27
2019-09-26,1022.75
2019-10-01,1023.48
2019-10-07,1024.18
2019-10-09,1024.5
2019-10-14,1025.25
2019-10-18,1025.86
2019-10-22,1026.48
2019-10-28,1027.3
2019-10-31,1027.73
2019-11-04,1028.39
2019-11-08,1029.1
2019-11-13,1029.87
2019-11-18,1030.67
2019-11-21,1031.13
2019-11-26,1031.89
2019-12-02,1032.74
2019-12-04,1033.2
2019-12-09,1033.97
2019-12-13,1034.58
2019-12-17,1035.15
2019-12-23,1036.07
2019-12-26,1036.57
2019-12-30,1037.18
2020-01-03,1037.76
2020-01-08,1038.54
2020-01-13,1039.34
2020-01-16,1040.07
2020-01-20,1040.68
2020-01-27,1041.7
2020-01-29,1042.01
2020-02-03,1042.64
2020-02-05,1043.0
2020-02-07,1043.29
2020-02-10,1043.73
2020-02-11,1043.88
2020-02-13,1044.16
2020-02-17,1044.77
2020-02-20,1045.22
2020-02-24,1045.81
2020-02-28,1046.34
2020-03-03,1046.89
2020-03-06,1047.35
2020-03-09,1047.76
2020-03-10,1047.92
2020-03-12,1048.19
2020-03-16,1048.77
2020-03-18,1049.04
2020-03-23,1049.61
2020-03-26,1050.04
2020-03-30,1050.62
2020-04-02,1051.01
2020-04-03,1051.13
2020-04-06,1051.57
2020-04-07,1051.71
2020-04-09,1051.98
2020-04-13,1052.52
2020-04-15,1052.79
2020-04-17,1053.06
2020-04-20,1053.49
2020-04-24,1054.02
2020-04-28,1054.57
2020-05-04,1055.41
2020-05-05,1055.54
2020-05-08,1055.94
2020-05-11,1056.36
2020-05-13,1056.63
2020-05-18,1057.2
2020-05-20,1057.43
2020-05-26,1058.21
2020-05-28,1058.44
2020-06-02,1059.06
2020-06-04,1059.3
2020-06-08,1059.83
2020-06-10,1060.05
2020-06-12,1060.43
2020-06-15,1060.8
2020-06-19,1061.29
2020-06-23,1061.81
2020-06-29,1062.36
2020-06-30,1062.47
2020-07-02,1062.67
2020-07-06,1063.21
2020-07-08,1063.39
2020-07-10,1063.68
2020-07-13,1064.01
2020-07-15,1064.34
2020-07-20,1065.1
2020-07-23,1065.5
2020-07-27,1065.98
2020-07-28,1066.15
2020-07-30,1066.42
2020-08-03,1066.91
2020-08-05,1067.16
2020-08-07,1067.52
2020-08-10,1067.94
2020-08-14,1068.59
2020-08-18,1069.14
2020-08-24,1069.95
2020-08-25,1070.06
2020-08-27,1070.11
2020-08-31,1070.52
2020-09-02,1070.72
2020-09-04,1070.94
2020-09-07,1071.78
2020-09-09,1072.01
2020-09-14,1072.52
2020-09-17,1072.82
2020-09-21,1073.31
2020-09-22,1073.46
2020-09-24,1073.72
2020-09-28,1074.2
2020-09-30,1074.37
2020-10-02,1074.48
2020-10-05,1074.83
2020-10-09,1075.38
2020-10-13,1075.89
2020-10-19,1076.68
2020-10-20,1076.76
2020-10-22,1076.94
2020-10-26,1077.56
2020-11-02,1078.46
2020-11-04,1078.99
2020-11-09,1079.79
2020-11-12,1079.87
2020-11-16,1080.39
2020-11-19,1080.82
2020-11-23,1081.28
2020-11-25,1081.58
2020-11-27,1081.37
2020-11-30,1081.68
2020-12-01,1081.77
2020-12-04,1082.09
2020-12-08,1082.59
2020-12-14,1083.27
2020-12-15,1083.39
2020-12-17,1083.62
2020-12-21,1084.09
2020-12-23,1084.31
2020-12-28,1084.92
2020-12-29,1084.98
2020-12-30,1085.08
2021-01-04,1085.57
2021-01-07,1085.87
2021-01-11,1086.29
2021-01-14,1086.56
2021-01-18,1086.98
2021-01-20,1087.18
2021-01-22,1087.38
2021-01-25,1087.72
2021-01-26,1087.82
2021-01-29,1088.12
2021-02-02,1088.46
2021-02-08,1089.08
2021-02-10,1089.27
2021-02-15,1089.78
2021-02-17,1089.97
2021-02-19,1090.16
2021-02-22,1090.48
2021-02-23,1090.57
2021-02-24,1090.64
2021-03-01,1091.34
2021-03-04,1091.86
2021-03-08,1092.24
2021-03-12,1092.61
2021-03-15,1092.96
2021-03-17,1093.13
2021-03-19,1093.3
2021-03-22,1093.59
2021-03-23,1093.68
2021-03-25,1093.87
2021-03-26,1093.97
2021-03-30,1094.28
2021-04-05,1094.8
2021-04-07,1094.98
2021-04-12,1095.46
2021-04-14,1095.61
2021-04-16,1095.79
2021-04-19,1096.08
2021-04-20,1096.16
2021-04-22,1096.35
2021-04-26,1096.71
2021-04-29,1096.92
2021-05-03,1097.03
2021-05-06,1097.23
2021-05-07,1097.3
2021-05-10,1097.59
2021-05-17,1098.25
2021-05-18,1098.3
2021-05-20,1098.44
2021-05-21,1098.5
2021-05-25,1098.76
2021-05-31,1099.19
2021-06-02,1099.38
2021-06-07,1099.79
2021-06-09,1099.91
2021-06-11,1100.01
2021-06-14,1100.35
2021-06-15,1100.32
2021-06-17,1100.28
2021-06-21,1100.64
2021-06-24,1100.93
2021-06-28,1101.29
2021-07-02,1101.56
2021-07-05,1101.79
2021-07-07,1101.9
2021-07-09,1102.06
2021-07-12,1102.26
2021-07-13,1102.35
2021-07-15,1102.48
2021-07-19,1102.77
2021-07-21,1102.95
2021-07-26,1103.54
2021-07-28,1103.57
2021-08-02,1103.95
2021-08-04,1104.13
2021-08-06,1104.25
2021-08-09,1104.49
2021-08-10,1104.54
2021-08-12,1104.64
2021-08-16,1104.96
2021-08-19,1105.1
2021-08-23,1105.46
2021-08-27,1105.73
2021-08-30,1105.99
2021-09-01,1106.05
2021-09-03,1106.18
2021-09-06,1106.42
2021-09-07,1106.51
2021-09-09,1106.59
2021-09-13,1106.82
2021-09-14,1106.88
2021-09-20,1107.29
2021-09-22,1107.39
2021-09-27,1107.72
2021-09-29,1107.79
2021-10-01,1108.04
2021-10-04,1108.24
2021-10-05,1108.32
2021-10-07,1108.39
2021-10-11,1108.63
2021-10-14,1109.05
2021-10-18,1109.32
2021-10-22,1109.56
2021-10-25,1109.78
2021-10-26,1109.81
2021-11-02,1110.2
2021-11-04,1110.25
2021-11-08,1110.51
2021-11-09,1110.56
2021-11-15,1110.89
2021-11-17,1110.99
2021-11-22,1111.28
2021-11-24,1111.37
2021-11-26,1111.46
2021-11-29,1111.43
2021-11-30,1111.46
2021-12-02,1111.55
2021-12-06,1111.74
2021-12-08,1111.79
2021-12-09,1111.89
2021-12-13,1112.17
2021-12-17,1112.37
2021-12-20,1112.55
2021-12-21,1112.59
2021-12-24,1112.75
2021-12-27,1112.81
2021-12-28,1112.88
2022-01-03,1113.25
2022-01-04,1113.33
2022-01-10,1113.61
2022-01-12,1113.69
2022-01-17,1113.96
2022-01-19,1114.15
2022-01-20,1114.22
2022-01-24,1114.44
2022-01-25,1114.44
2022-01-27,1114.51
2022-01-31,1114.7
2022-02-02,1114.84
2022-02-03,1114.92
2022-02-07,1115.1
2022-02-09,1115.21
2022-02-11,1115.25
2022-02-14,1115.44
2022-02-15,1115.51
2022-02-16,1115.55
2022-02-18,1115.71
2022-02-21,1115.91
2022-02-22,1115.96
2022-02-23,1115.98
2022-02-24,1116.03
2022-03-01,1116.34
2022-03-07,1116.62
2022-03-08,1116.65
2022-03-09,1116.68
2022-03-10,1116.72
2022-03-14,1116.99
2022-03-15,1117.05
2022-03-16,1117.07
2022-03-17,1117.12
2022-03-21,1117.38
2022-03-23,1117.49
2022-03-24,1117.53
2022-03-28,1117.74
2022-03-30,1117.85
2022-03-31,1117.87
2022-04-04,1118.11
2022-04-06,1118.21
2022-04-11,1118.49
2022-04-12,1118.55
2022-04-13,1118.59
2022-04-18,1118.88
2022-04-19,1118.92
2022-04-20,1118.98
2022-04-21,1119.04
2022-04-22,1119.1
2022-04-25,1119.27
2022-04-28,1119.44
2022-05-09,1119.98
2022-05-10,1120.21
2022-05-12,1120.33
2022-05-17,1120.63
2022-05-19,1121.11
2022-05-23,1121.91
2022-05-25,1122.03
2022-05-27,1122.18
2022-05-30,1122.53
2022-06-02,1122.66
2022-06-03,1122.7
2022-06-07,1122.89
2022-06-08,1122.93
2022-06-13,1123.16
2022-06-14,1123.16
2022-06-15,1123.19
2022-06-16,1123.19
2022-06-17,1123.11
2022-06-20,1123.26
2022-06-22,1123.35
2022-06-24,1123.45
2022-06-27,1123.59
2022-06-28,1123.64
2022-06-29,1123.69
2022-07-04,1123.89
2022-07-05,1123.94
2022-07-07,1124.04
2022-07-11,1124.23
2022-07-12,1124.28
2022-07-14,1124.38
2022-07-18,1124.6
2022-07-19,1124.65
2022-07-20,1124.71
2022-07-21,1124.76
2022-07-22,1124.8
2022-07-25,1124.94
2022-07-28,1125.07
2022-07-29,1125.11
2022-08-01,1125.23
2022-08-02,1125.29
2022-08-03,1125.34
2022-08-05,1125.43
2022-08-08,1125.57
2022-08-09,1125.62
2022-08-10,1125.66
2022-08-12,1125.76
2022-08-15,1125.9
2022-08-18,1126.02
2022-08-19,1126.04
2022-08-22,1126.18
2022-08-23,1126.23
2022-08-24,1126.27
2022-08-26,1126.36
2022-08-29,1126.49
2022-08-30,1126.53
2022-09-01,1126.61
2022-09-05,1126.82
2022-09-07,1126.88
2022-09-08,1126.94
2022-09-12,1127.15
2022-09-13,1127.21
2022-09-14,1127.26
2022-09-15,1127.31
2022-09-16,1127.25
2022-09-19,1127.35
2022-09-20,1127.41
2022-09-22,1127.49
2022-09-23,1127.34
2022-09-26,1127.5
2022-09-27,1127.53
2022-09-29,1127.75
2022-10-03,1127.92
2022-10-04,1128.07
2022-10-05,1128.13
2022-10-10,1128.44
2022-10-12,1128.57
2022-10-14,1128.72
2022-10-17,1128.92
2022-10-18,1128.98
2022-10-19,1129.03
2022-10-21,1129.19
2022-10-24,1129.31
2022-10-26,1129.49
2022-10-27,1129.58
2022-10-28,1129.64
2022-10-31,1129.82
2022-11-01,1129.88
2022-11-03,1130.02
2022-11-04,1130.1
2022-11-07,1130.33
2022-11-08,1130.41
2022-11-09,1130.49
2022-11-10,1130.56
2022-11-11,1130.66
2022-11-14,1130.89
2022-11-15,1131.0
2022-11-17,1131.16
2022-11-18,1131.23
2022-11-21,1131.47
2022-11-22,1131.55
2022-11-24,1131.7
2022-11-28,1132.03
2022-11-29,1132.11
2022-11-30,1132.2
2022-12-01,1132.28
2022-12-05,1132.59
2022-12-07,1132.75
2022-12-09,1132.9
2022-12-12,1133.13
2022-12-13,1133.2
2022-12-14,1133.28
2022-12-19,1133.54
2022-12-21,1133.65
2022-12-22,1133.73
2022-12-23,1133.81
2022-12-26,1134.05
2022-12-28,1134.13
2022-12-29,1134.08
2022-12-30,1134.15
2023-01-02,1134.39
2023-01-03,1134.48
2023-01-04,1134.58
2023-01-06,1134.82
2023-01-09,1135.08
2023-01-10,1135.17
2023-01-12,1135.36
2023-01-13,1135.47
2023-01-16,1135.77
2023-01-17,1135.88
2023-01-19,1136.09
2023-01-24,1136.59
2023-01-25,1136.66
2023-01-26,1136.69
2023-01-30,1136.95
2023-02-01,1137.02
2023-02-02,1137.1
2023-02-03,1137.12
2023-02-06,1137.36
2023-02-07,1137.33
2023-02-08,1137.36
